Date,Open,High,Low,Close
20151127,80.22,80.48,79.45,79.97
20151130,79.73,80.18,79.29,79.69
20151201,80.35,81.10,79.65,81.01
20151202,80.77,81.94,80.42,80.88
20151203,80.96,82.06,79.56,79.93
20151204,80.33,82.14,80.16,82.14
20151207,81.81,81.86,80.30,80.68
20151208,80.21,81.46,79.86,81.08
20151209,80.83,81.40,79.22,79.71
20151210,79.80,79.97,79.16,79.38
20151211,78.30,78.88,76.65,76.87
20151214,76.76,77.67,75.85,76.99
20151215,77.66,77.87,76.97,77.37
20151216,77.64,79.10,77.12,78.89
20151217,78.97,79.32,78.04,78.43
20151218,78.11,79.49,77.03,77.03
20151221,78.30,78.33,76.43,77.29
20151222,77.52,78.09,76.85,77.86
20151223,78.20,78.90,77.94,78.04
20151224,78.03,78.35,77.58,77.83
20151228,77.66,78.20,77.38,78.20
20151229,78.50,79.76,78.44,79.44
20151230,79.30,79.89,78.97,79.14
20151231,78.99,79.42,78.36,78.40
20160104,77.14,77.21,75.64,76.71
20160105,77.07,77.97,76.67,77.05
20160106,75.72,77.33,75.63,76.29
20160107,75.13,75.60,73.47,74.30
20160108,74.78,75.26,72.90,73.23
20160111,73.74,73.83,71.86,73.18
20160112,73.97,75.28,73.05,74.46
20160113,74.99,75.71,71.80,72.35
20160114,72.42,73.62,70.87,73.07
20160115,69.87,71.05,68.18,70.86
20160119,71.86,72.19,69.90,70.80
20160120,69.13,70.83,66.94,70.33
20160121,70.36,70.64,69.14,69.51
20160122,70.45,71.64,70.30,71.55
20160125,71.23,71.40,69.80,69.92
20160126,69.96,70.10,69.22,69.87
20160127,69.27,69.85,67.03,67.43
20160128,66.88,67.50,65.27,65.69
20160129,66.49,68.10,66.12,68.06
20160201,67.59,69.09,67.07,68.44
20160202,67.65,67.75,64.16,64.52
20160203,65.42,66.50,63.24,65.34
20160204,65.68,67.37,64.83,67.20
20160205,63.11,63.27,57.75,58.51
20160208,56.87,56.99,52.60,54.05
20160209,53.61,58.58,52.79,57.33
20160210,58.50,61.59,58.38,58.76
20160211,57.19,59.85,56.58,59.24
20160212,60.01,60.53,59.10,59.68
20160216,60.68,60.98,58.46,59.72
20160217,60.38,64.42,59.89,63.49
20160218,63.48,64.18,61.58,61.70
20160219,61.75,62.36,60.66,62.14
20160222,62.14,64.34,62.14,63.98
20160223,63.72,63.78,62.44,62.90
20160224,62.00,62.98,60.33,62.52
20160225,70.50,70.84,67.14,69.42
20160226,69.68,70.01,68.28,69.72
20160229,69.13,69.16,67.65,67.75
20160301,68.12,70.06,67.50,70.02
20160302,69.68,70.55,69.52,70.43
20160303,70.05,70.94,69.52,70.80
20160304,71.18,72.18,70.63,71.06
20160307,70.50,70.86,69.00,70.49
20160308,69.79,70.90,69.17,69.82
20160309,70.09,71.12,69.92,71.04
20160310,71.44,72.32,69.79,70.70
20160311,71.16,71.90,70.87,71.63
20160314,71.31,72.49,71.17,72.22
20160315,71.78,72.35,71.09,71.70
20160316,71.27,72.92,71.11,72.73
20160317,72.53,73.18,71.60,72.72
20160318,73.10,73.54,72.19,72.65
20160321,72.50,72.67,71.69,72.25
20160322,72.16,73.28,71.70,72.85
20160323,71.69,72.58,71.49,71.78
20160324,71.54,72.45,71.06,72.44
20160328,72.39,72.68,71.41,71.95
20160329,71.54,72.69,70.71,72.30
20160330,73.00,74.66,72.96,74.30
20160331,74.06,74.39,73.38,73.83
20160401,73.38,75.95,73.11,75.73
20160404,75.85,76.44,75.41,75.69
20160405,74.88,75.51,74.36,74.58
20160406,74.76,75.68,74.47,75.58
20160407,74.91,75.46,74.68,75.32
20160408,75.72,75.94,74.30,74.85
20160411,75.47,75.50,74.13,74.16
20160412,74.53,74.54,73.44,74.27
20160413,74.77,76.19,74.45,75.95
20160414,76.00,76.59,75.66,76.15
20160415,76.25,76.54,75.88,76.31
20160418,76.24,77.29,75.86,77.27
20160419,77.59,77.59,75.53,76.19
20160420,76.20,76.64,75.79,76.14
20160421,76.66,77.82,76.50,77.15
20160422,76.23,76.87,75.35,76.48
20160425,76.18,76.83,75.88,76.51
20160426,76.80,76.80,75.80,76.21
20160427,75.67,76.20,74.80,75.69
20160428,75.38,76.64,74.96,75.38
