Date,Open,High,Low,Close
20151127,28.80,29.06,28.71,28.99
20151130,28.95,29.06,28.40,28.43
20151201,28.47,28.67,28.18,28.60
20151202,28.50,28.54,27.34,27.53
20151203,27.49,27.57,26.72,27.10
20151204,26.52,27.02,26.21,26.86
20151207,26.75,26.96,25.94,26.03
20151208,25.62,25.67,24.96,24.99
20151209,24.88,25.33,24.64,25.01
20151210,25.03,25.32,24.64,24.70
20151211,25.29,25.86,24.58,25.72
20151214,25.64,25.77,25.00,25.29
20151215,25.60,26.41,25.54,26.29
20151216,26.42,26.83,25.94,26.43
20151217,26.40,26.56,25.60,25.60
20151218,25.46,25.51,25.00,25.20
20151221,25.48,25.59,25.02,25.12
20151222,25.35,25.84,25.25,25.75
20151223,25.76,26.37,25.56,26.14
20151224,26.15,26.40,26.07,26.13
20151228,26.15,26.23,25.85,25.94
20151229,26.08,26.42,26.02,26.38
20151230,26.12,26.21,25.86,25.90
20151231,25.50,26.14,25.50,25.95
20160104,25.37,25.80,25.08,25.79
20160105,25.80,25.99,25.21,25.53
20160106,25.07,25.22,24.17,24.37
20160107,23.82,24.30,23.59,23.62
20160108,23.80,23.85,23.44,23.48
20160111,23.38,23.79,23.18,23.52
20160112,23.58,24.14,23.21,23.70
20160113,23.52,23.91,21.75,22.35
20160114,22.65,23.79,22.56,23.26
20160115,22.25,22.83,22.15,22.76
20160119,23.12,23.30,22.47,22.73
20160120,22.29,22.58,21.33,22.29
20160121,22.00,22.81,21.66,22.36
20160122,22.92,23.22,22.13,22.42
20160125,22.35,22.52,21.91,21.97
20160126,22.15,22.35,22.01,22.27
20160127,22.30,22.67,21.80,21.97
20160128,22.27,22.52,22.03,22.37
20160129,22.55,23.03,22.53,23.02
20160201,22.60,22.99,22.38,22.86
20160202,22.61,22.68,21.86,22.03
20160203,22.34,22.53,21.64,22.36
20160204,22.35,23.45,22.35,23.05
20160205,23.04,23.25,22.66,22.83
20160208,22.64,23.06,22.28,23.01
20160209,22.56,23.93,22.56,23.88
20160210,24.02,24.37,23.84,24.13
20160211,23.65,23.94,23.04,23.41
20160212,23.27,24.22,23.26,24.19
20160216,24.78,24.99,23.97,24.76
20160217,24.37,25.18,23.75,24.83
20160218,24.82,25.08,24.55,24.82
20160219,24.64,24.91,24.41,24.51
20160222,25.44,25.71,25.21,25.30
20160223,24.86,25.40,24.36,24.38
20160224,24.01,24.69,23.58,24.49
20160225,24.42,24.70,24.05,24.36
20160226,24.50,24.81,24.27,24.31
20160229,24.26,24.50,24.01,24.14
20160301,24.45,24.96,24.26,24.64
20160302,25.14,25.22,24.50,24.55
20160303,24.55,25.05,24.45,24.90
20160304,25.06,25.50,24.86,25.23
20160307,25.21,25.68,25.05,25.54
20160308,25.25,25.34,24.67,24.70
20160309,24.74,25.18,24.70,25.08
20160310,25.27,25.67,24.85,25.29
20160311,25.61,26.18,25.50,26.10
20160314,26.19,26.41,25.98,26.18
20160315,25.97,26.01,25.61,25.95
20160316,25.88,26.30,25.75,26.18
20160317,26.24,26.79,26.13,26.69
20160318,26.86,27.27,26.69,27.02
20160321,27.06,27.14,26.43,26.66
20160322,26.43,26.59,26.31,26.37
20160323,26.35,26.37,25.81,25.86
20160324,25.77,26.18,25.51,26.17
20160328,26.04,26.15,25.43,25.62
20160329,25.40,25.99,25.03,25.89
20160330,26.01,26.46,25.93,26.30
20160331,26.06,26.28,25.68,25.75
20160401,25.64,25.71,25.17,25.62
20160404,25.53,25.74,25.03,25.16
20160405,25.02,25.21,24.72,25.05
20160406,25.01,25.06,24.46,24.85
20160407,24.66,24.88,24.46,24.62
20160408,24.87,25.28,24.66,24.80
20160411,24.73,24.97,24.36,24.53
20160412,24.65,25.12,24.56,24.99
20160413,25.90,26.32,25.07,26.03
20160414,26.43,26.43,25.78,26.14
20160415,26.35,26.44,25.79,25.93
20160418,25.74,26.27,25.61,26.07
20160419,26.27,26.77,26.12,26.41
20160420,26.44,26.67,26.26,26.52
20160421,26.57,27.09,26.50,26.80
20160422,27.00,27.62,27.00,27.53
20160425,27.40,27.63,26.91,27.14
20160426,27.10,27.70,27.10,27.65
20160427,27.55,27.97,27.42,27.83
20160428,27.60,27.94,27.31,27.37
20160429,27.04,27.36,26.82,27.27
20160502,27.27,27.54,26.94,27.38
20160503,26.80,26.94,26.25,26.54
20160504,26.48,26.62,26.03,26.17
20160505,26.20,26.50,26.00,26.04
20160506,25.92,26.30,25.84,26.16
20160509,26.18,26.18,25.68,25.85
20160510,25.89,26.49,25.89,26.37
20160511,26.37,26.39,25.89,25.89
20160512,25.97,26.06,25.36,25.54
