Date,Open,High,Low,Close
20151127,27.06,27.19,27.01,27.06
20151130,27.06,27.13,26.89,26.93
20151201,26.99,27.12,26.61,27.03
20151202,27.10,27.10,26.46,26.47
20151203,26.59,26.80,26.30,26.46
20151204,26.49,26.80,26.41,26.71
20151207,26.70,27.20,26.49,27.13
20151208,26.85,26.99,26.46,26.54
20151209,26.49,27.08,26.28,26.38
20151210,26.39,26.58,25.93,25.99
20151211,25.68,25.68,24.85,24.91
20151214,24.92,24.92,24.21,24.38
20151215,24.51,25.43,24.51,25.34
20151216,25.51,26.28,25.50,26.12
20151217,26.11,26.19,25.39,25.40
20151218,25.29,25.41,24.98,25.11
20151221,25.29,25.43,24.98,25.16
20151222,25.20,25.30,24.70,25.18
20151223,25.32,26.03,25.32,26.02
20151224,25.99,26.01,25.64,25.87
20151228,25.74,25.87,25.47,25.84
20151229,26.00,26.18,25.74,25.88
20151230,25.81,25.88,25.36,25.38
20151231,25.30,25.34,25.09,25.16
20160104,24.85,25.23,24.78,25.11
20160105,25.11,25.19,24.77,24.99
20160106,24.68,24.90,24.56,24.72
20160107,24.41,24.70,24.17,24.22
20160108,24.37,24.55,23.90,23.97
20160111,24.18,24.32,23.83,24.12
20160112,24.35,24.37,23.30,23.40
20160113,23.50,23.68,23.00,23.02
20160114,23.10,23.98,23.02,23.89
20160115,23.28,23.60,22.76,23.29
20160119,23.54,23.60,23.07,23.22
20160120,22.77,22.90,21.94,22.24
20160121,22.37,23.07,22.37,22.62
20160122,23.07,23.83,23.07,23.80
20160125,23.67,24.17,23.49,23.76
20160126,23.83,24.73,23.82,24.56
20160127,24.38,25.04,24.23,24.63
20160128,24.84,25.00,24.34,24.82
20160129,24.91,25.43,24.85,25.42
20160201,25.20,26.07,25.01,25.90
20160202,25.65,25.65,24.91,25.21
20160203,25.41,26.22,25.13,26.08
20160204,26.17,26.70,26.12,26.54
20160205,26.45,27.04,26.36,26.61
20160208,26.28,26.50,25.37,25.63
20160209,25.31,25.50,24.55,24.81
20160210,25.06,25.58,24.50,24.59
20160211,26.10,27.75,25.37,27.29
20160212,27.50,28.73,27.28,28.61
20160216,28.90,29.15,28.39,28.92
20160217,29.15,29.84,28.75,29.73
20160218,29.84,30.81,29.69,30.32
20160219,30.32,30.35,29.44,29.73
20160222,30.12,30.18,29.72,29.99
20160223,29.70,29.75,29.03,29.25
20160224,29.08,30.13,28.85,30.01
20160225,30.15,30.61,29.81,30.41
20160226,30.49,30.49,29.80,30.17
20160229,30.17,30.82,30.02,30.59
20160301,30.90,31.37,30.69,31.12
20160302,30.42,31.63,30.33,31.15
20160303,31.19,31.62,31.09,31.37
20160304,31.38,32.02,31.19,31.59
20160307,31.44,31.90,31.26,31.77
20160308,31.99,31.99,30.96,31.51
20160309,31.60,31.68,30.92,31.53
20160310,31.55,32.02,31.34,31.71
20160311,31.95,31.98,31.38,31.87
20160314,31.83,32.06,31.68,31.95
20160315,31.76,31.93,31.07,31.32
20160316,31.41,32.20,31.10,32.17
20160317,31.59,31.61,30.75,31.30
20160318,31.46,31.73,31.33,31.70
20160321,31.70,32.01,31.53,31.70
20160322,31.70,32.09,31.60,31.62
20160323,31.58,31.62,30.89,31.02
20160324,30.87,31.16,30.68,31.16
20160328,31.31,31.34,30.79,31.08
20160329,31.10,31.63,30.88,31.59
20160330,31.35,32.04,31.35,31.87
20160331,31.91,32.49,31.69,31.96
20160401,31.82,32.20,31.37,32.18
20160404,32.20,32.70,32.15,32.23
20160405,32.22,32.42,31.79,32.10
20160406,32.15,32.52,31.94,32.49
20160407,32.37,32.46,31.76,31.87
20160408,32.14,32.27,31.73,31.88
20160411,32.15,32.38,31.96,32.08
20160412,32.09,32.42,31.95,32.00
20160413,32.03,32.30,31.68,32.19
20160414,32.08,32.29,31.82,32.09
20160415,32.05,32.29,32.00,32.26
20160418,32.12,32.40,31.96,32.22
20160419,32.41,32.94,32.24,32.71
20160420,32.67,32.92,32.55,32.80
20160421,32.68,32.76,31.27,31.39
20160422,31.37,31.59,31.28,31.39
20160425,31.32,31.44,31.01,31.18
20160426,31.40,31.72,31.05,31.42
20160427,31.41,31.62,31.23,31.58
20160428,31.39,31.69,31.23,31.36
20160429,31.34,31.41,30.95,30.95
20160502,31.19,31.50,30.85,31.48
20160503,30.97,31.00,30.23,30.58
