Date,Open,High,Low,Close
20151127,64.64,65.43,64.51,64.73
20151130,64.97,64.99,64.28,64.58
20151201,64.65,65.25,64.56,65.20
20151202,64.94,65.20,63.96,64.04
20151203,64.05,64.29,61.17,61.67
20151204,61.77,63.04,61.53,62.96
20151207,62.57,62.81,61.62,62.00
20151208,61.35,62.62,61.31,62.01
20151209,61.51,62.30,59.84,60.33
20151210,60.48,60.92,60.12,60.37
20151211,59.54,59.82,58.15,58.30
20151214,58.89,59.77,58.67,59.76
20151215,60.01,61.05,60.00,60.51
20151216,60.90,62.52,60.80,62.42
20151217,62.22,62.32,60.14,60.42
20151218,58.76,60.42,58.75,58.86
20151221,59.51,59.92,59.12,59.74
20151222,59.78,60.24,59.41,60.10
20151223,60.52,60.59,60.11,60.40
20151224,60.44,61.00,60.38,60.73
20151228,60.48,60.71,59.86,60.50
20151229,60.43,61.65,60.41,61.41
20151230,61.25,61.72,60.96,61.00
20151231,60.60,61.03,60.00,60.02
20160104,58.81,58.81,57.47,58.13
20160105,58.45,58.68,57.97,58.13
20160106,57.00,57.89,56.60,57.13
20160107,56.03,57.95,55.53,56.64
20160108,56.87,56.90,55.70,55.76
20160111,56.08,56.52,55.58,56.12
20160112,57.50,59.92,57.45,59.65
20160113,59.74,59.95,57.38,57.77
20160114,58.17,61.09,58.00,60.21
20160115,57.92,59.33,57.80,58.71
20160119,59.57,60.24,58.31,59.94
20160120,58.45,59.94,58.03,59.25
20160121,59.46,60.16,58.63,59.06
20160122,59.63,60.63,59.34,60.51
20160125,60.23,61.81,60.17,60.92
20160126,61.04,62.11,60.66,61.94
20160127,61.74,62.59,60.62,61.01
20160128,61.78,62.26,61.14,61.34
20160129,61.83,63.43,61.82,63.31
20160201,62.48,63.00,62.07,62.33
20160202,61.04,61.63,59.78,60.12
20160203,60.63,61.02,59.51,60.76
20160204,60.09,60.36,58.98,59.62
20160205,59.20,59.72,57.95,58.54
20160208,54.98,55.44,53.04,54.05
20160209,53.27,54.03,51.22,52.33
20160210,53.60,54.29,52.94,53.32
20160211,52.22,52.86,51.33,52.11
20160212,53.33,53.87,52.52,53.87
20160216,54.13,55.21,54.02,55.01
20160217,55.46,56.88,55.03,56.61
20160218,57.02,57.27,55.87,56.01
20160219,55.41,56.03,55.07,55.90
20160222,56.71,57.41,56.34,56.63
20160223,56.52,56.75,55.70,55.76
20160224,55.18,56.33,54.53,56.19
20160225,56.56,57.25,55.56,57.24
20160226,57.52,57.80,56.87,57.04
20160229,57.13,57.50,56.66,56.98
20160301,57.87,58.42,57.42,58.21
20160302,58.23,58.25,57.24,57.68
20160303,57.95,58.00,56.75,57.80
20160304,58.34,58.40,57.42,57.74
20160307,57.25,57.29,56.46,57.00
20160308,56.41,56.60,55.78,55.93
20160309,56.20,56.24,55.66,56.05
20160310,56.39,56.98,54.65,55.42
20160311,56.19,57.08,55.62,56.97
20160314,56.55,58.22,56.45,58.12
20160315,57.70,58.23,57.66,58.03
20160316,57.70,58.98,57.31,58.91
20160317,58.57,58.99,58.24,58.73
20160318,58.21,59.32,57.93,59.25
20160321,59.31,59.72,58.73,59.52
20160322,59.28,59.64,58.80,58.85
20160323,58.66,59.27,58.23,59.06
20160324,58.87,60.64,58.78,60.32
20160328,60.25,60.73,59.92,60.18
20160329,60.18,61.79,59.95,61.62
20160330,62.13,62.85,61.79,62.45
20160331,62.34,63.02,62.04,62.70
20160401,62.32,63.19,62.21,63.12
20160404,63.12,63.14,61.60,61.76
20160405,61.35,61.56,60.89,61.18
20160406,61.10,61.65,60.89,61.56
20160407,61.01,61.23,59.89,59.99
20160408,60.50,60.80,59.92,60.16
20160411,60.66,61.12,59.96,59.98
20160412,60.84,60.84,58.94,59.46
20160413,60.07,60.74,59.44,60.45
20160414,60.45,60.77,60.06,60.36
20160415,60.85,60.96,59.95,60.07
20160418,59.95,60.51,59.12,60.38
20160419,60.63,60.63,59.25,59.85
20160420,59.99,60.39,59.33,60.09
20160421,59.88,60.42,59.71,60.05
20160422,59.98,60.62,59.69,60.44
20160425,60.09,60.31,59.69,60.21
20160426,60.27,60.95,60.16,60.63
20160427,60.50,61.25,60.11,60.58
20160428,60.10,60.50,59.58,59.73
20160429,59.25,59.50,57.78,58.37
20160502,58.37,58.63,57.95,58.37
20160503,58.01,58.30,57.52,57.65
20160504,57.20,57.83,57.00,57.54
20160505,57.50,57.76,57.06,57.59
20160506,56.45,60.81,56.21,60.55
20160509,60.57,61.17,60.05,60.82
20160510,60.80,61.95,60.57,61.74
20160511,61.56,61.98,60.90,61.10
20160512,61.27,61.46,60.51,61.13
20160513,60.95,62.09,60.79,61.35
20160516,61.30,62.04,60.87,61.81
20160517,61.49,62.06,61.31,61.64
20160518,61.55,62.40,61.39,62.02
20160519,61.59,62.15,61.45,62.01
20160520,61.91,63.23,61.91,62.94
20160523,62.83,62.90,61.70,61.74
20160524,62.04,63.00,61.95,62.91
20160525,63.00,63.15,62.53,62.60
20160526,62.52,62.81,62.05,62.26
20160527,62.48,62.73,62.14,62.46
20160531,62.60,62.63,61.27,61.44
20160601,61.43,61.55,60.90,61.13
20160602,61.16,61.35,60.69,61.34
20160603,61.32,61.33,60.10,60.12
20160606,60.05,60.42,59.47,60.35
20160607,60.74,61.06,60.26,60.73
20160608,60.72,61.76,60.61,61.62
20160609,60.89,61.16,60.39,60.99
20160610,60.26,60.79,59.80,60.27
20160613,59.92,60.98,59.76,60.05
20160614,59.98,60.72,59.88,60.60
20160615,60.86,60.86,59.51,59.63
20160616,59.25,59.86,58.59,59.71
20160617,59.88,60.02,58.94,59.55
20160620,60.50,61.76,60.42,61.30
20160621,61.46,61.85,61.19,61.60
20160622,61.48,62.15,61.43,61.72
20160623,62.44,62.71,61.63,62.70
20160624,60.00,60.04,57.96,58.01
20160627,57.42,57.55,55.17,55.48
20160628,56.38,56.69,55.62,56.00
