Date,Open,High,Low,Close
20190524,29.75,32.00,28.50,29.00
20190528,29.25,30.50,28.51,28.76
20190529,29.90,29.90,27.66,28.50
20190530,28.99,29.16,28.22,28.80
20190531,28.50,28.59,26.97,26.97
20190603,26.54,27.00,24.37,24.81
20190604,24.35,27.94,24.35,27.75
20190605,27.54,28.22,26.46,28.01
20190606,27.69,27.69,26.23,26.90
20190607,26.17,26.93,25.71,26.31
20190610,26.07,26.74,25.12,25.31
20190611,25.01,25.36,24.53,24.95
20190612,25.11,25.45,24.48,25.07
20190613,25.06,25.19,24.70,24.97
20190614,24.76,25.24,24.55,25.19
20190617,25.53,26.90,25.45,25.95
20190618,26.03,27.57,25.75,27.30
20190619,27.48,27.48,26.87,27.15
20190620,27.37,27.60,26.42,27.16
20190621,26.87,27.71,26.87,27.21
20190624,27.14,28.45,27.05,28.01
20190625,28.02,28.09,27.48,27.67
20190626,27.93,29.38,27.85,29.26
20190627,29.38,30.33,29.26,29.57
20190628,29.60,29.75,29.26,29.57
20190701,29.58,30.75,28.95,29.68
20190702,29.50,29.60,28.14,28.99
20190703,28.78,28.90,28.20,28.80
20190705,28.45,29.32,28.26,28.64
20190708,28.39,28.39,27.64,27.77
20190709,27.47,27.77,26.83,26.99
20190710,26.81,27.00,26.44,26.50
20190711,26.55,26.80,25.96,26.43
20190712,26.42,27.73,26.26,27.60
20190715,27.41,28.27,27.40,28.08
20190716,27.93,28.50,27.71,27.86
20190717,27.60,27.71,26.85,26.88
20190718,26.58,26.98,26.41,26.65
20190719,26.79,27.48,26.64,27.39
20190722,27.34,27.85,27.21,27.76
20190723,27.65,28.48,27.45,28.12
20190724,27.77,28.52,27.63,28.32
20190725,28.10,28.40,27.75,28.02
20190726,27.72,28.52,27.65,28.48
20190729,28.36,28.95,28.32,28.78
20190730,28.00,29.29,27.80,29.13
20190731,29.10,30.15,28.71,29.50
20190801,29.50,32.78,29.31,31.25
20190802,30.94,31.54,30.85,31.46
20190805,30.63,30.97,29.64,29.90
20190806,30.06,30.22,29.47,30.05
20190807,29.58,30.83,29.43,30.64
20190808,30.71,31.79,30.67,31.61
20190809,31.94,32.00,31.22,31.63
20190812,31.49,31.83,29.51,29.63
20190813,29.33,30.15,29.19,29.60
20190814,29.12,29.36,28.28,28.34
20190815,28.93,29.23,27.93,28.42
20190816,28.69,30.31,28.56,30.24
20190819,30.75,30.84,30.25,30.57
20190820,30.62,30.68,30.09,30.26
20190821,30.30,30.98,30.28,30.58
20190822,30.78,30.95,30.21,30.29
20190823,29.80,30.16,28.81,29.05
20190826,29.35,29.48,28.67,29.02
20190827,29.15,29.43,28.54,28.73
20190828,28.48,29.53,28.31,29.17
20190829,29.55,30.23,29.52,29.71
20190830,30.00,30.03,29.26,29.32
20190903,28.99,29.10,28.00,28.23
20190904,28.62,28.84,28.17,28.43
20190905,28.74,28.99,27.95,28.46
20190906,28.45,28.81,27.89,28.39
20190909,28.35,28.82,28.02,28.75
20190910,28.70,29.13,28.14,28.56
20190911,28.50,29.30,28.11,29.27
20190912,29.50,30.09,28.90,29.90
20190913,30.04,30.35,29.90,30.12
20190916,30.05,30.06,28.84,29.40
20190917,29.32,29.47,28.96,28.98
20190918,28.75,29.46,28.75,29.15
20190919,29.26,29.71,29.06,29.14
