Date,Open,High,Low,Close
20151127,109.21,109.94,107.15,108.30
20151130,108.76,110.17,108.04,109.44
20151201,110.52,112.50,110.00,111.91
20151202,111.35,111.42,105.67,106.00
20151203,107.52,108.39,105.48,106.20
20151204,105.00,107.56,103.27,105.84
20151207,102.50,102.76,98.88,99.59
20151208,99.45,102.12,97.05,100.19
20151209,100.84,102.72,98.46,99.36
20151210,98.70,105.22,98.49,103.70
20151211,102.33,102.80,98.78,98.99
20151214,98.27,102.90,98.27,102.43
20151215,103.93,108.87,102.63,108.57
20151216,108.48,108.84,101.88,102.15
20151217,102.31,102.70,95.06,95.47
20151218,95.80,97.14,91.92,91.97
20151221,92.27,92.99,85.87,86.67
20151222,86.91,90.06,86.10,88.41
20151223,90.01,96.67,89.93,96.54
20151224,96.02,97.00,94.16,95.77
20151228,93.70,93.75,89.89,90.50
20151229,92.48,94.92,90.79,92.72
20151230,90.81,92.78,90.03,91.58
20151231,91.28,94.29,91.28,92.86
20160104,92.68,93.79,88.87,90.29
20160105,90.60,92.00,88.88,91.05
20160106,86.84,87.01,82.77,84.29
20160107,81.87,85.89,80.59,82.42
20160108,83.33,85.56,81.76,84.42
20160111,85.50,86.28,80.54,82.17
20160112,83.59,84.89,77.41,80.52
20160113,82.11,83.85,76.89,78.40
20160114,79.17,81.96,75.58,80.95
20160115,76.64,79.09,74.02,77.07
20160119,78.66,79.29,74.77,75.98
20160120,73.62,74.58,69.94,72.52
20160121,72.69,82.16,72.25,81.39
20160122,86.04,88.90,83.25,85.87
20160125,83.69,86.95,80.46,80.68
20160126,83.29,88.63,81.62,88.15
20160127,86.61,92.54,86.09,87.94
20160128,93.49,93.54,88.58,91.08
20160129,91.49,95.21,91.05,95.13
20160201,93.82,94.41,89.42,92.01
20160202,88.42,91.51,87.51,88.92
20160203,90.84,92.46,87.66,91.30
20160204,92.71,93.20,88.72,90.00
20160205,88.91,90.23,85.85,87.27
20160208,85.00,88.06,82.81,87.15
20160209,85.94,87.65,83.10,85.58
20160210,85.49,88.91,83.55,85.97
20160211,84.23,85.16,80.70,84.90
20160212,87.40,87.77,84.45,87.15
20160216,89.20,89.50,86.63,88.14
20160217,94.11,97.00,93.11,95.51
20160218,95.57,96.24,92.70,93.96
20160219,92.83,94.42,91.66,92.29
20160222,93.53,95.19,92.75,94.97
20160223,93.93,94.35,90.16,90.87
20160224,90.25,92.00,88.05,91.54
20160225,88.50,91.00,87.55,88.78
20160226,93.00,94.26,90.60,91.93
20160229,92.21,92.89,89.52,90.24
20160301,90.58,92.06,89.06,91.24
20160302,90.92,96.94,90.89,96.74
20160303,95.78,100.16,95.25,97.23
20160304,98.06,102.30,95.17,98.16
20160307,98.10,101.21,95.90,101.15
20160308,99.57,100.20,94.61,95.45
20160309,97.63,98.69,94.85,96.68
20160310,96.16,97.61,94.26,96.84
