Date,Open,High,Low,Close
20151127,67.21,67.78,67.17,67.37
20151130,67.40,67.83,67.29,67.37
20151201,67.87,68.04,66.76,67.41
20151202,67.28,67.36,66.05,66.14
20151203,65.96,66.03,65.04,65.17
20151204,65.54,66.69,65.44,66.60
20151207,66.36,66.60,66.01,66.14
20151208,66.00,66.18,65.16,65.91
20151209,65.65,66.72,65.40,66.19
20151210,66.13,66.24,65.14,65.20
20151211,64.92,65.44,64.54,64.89
20151214,64.81,65.44,64.55,65.40
20151215,65.60,66.69,65.42,66.15
20151216,66.50,67.63,66.31,67.57
20151217,67.50,67.96,67.10,67.54
20151218,67.22,67.45,66.53,66.90
20151221,67.38,67.44,66.18,66.56
20151222,66.87,67.23,66.16,67.14
20151223,67.20,68.14,67.20,68.08
20151224,67.96,68.04,67.65,67.77
20151228,67.66,68.00,67.42,67.86
20151229,68.01,68.87,67.95,68.64
20151230,68.54,68.92,68.35,68.68
20151231,68.56,68.60,67.02,67.64
20160104,66.97,67.51,66.33,67.47
20160105,67.29,68.12,66.25,68.05
20160106,67.57,68.87,67.33,68.47
20160107,67.67,68.71,67.60,68.51
20160108,68.48,69.90,68.38,69.52
20160111,69.59,69.93,69.31,69.41
20160112,69.64,69.88,68.51,68.90
20160113,69.04,69.49,68.86,69.02
20160114,68.97,69.97,68.85,69.67
20160115,69.00,69.44,68.18,68.88
20160119,69.23,70.06,68.69,69.90
20160120,69.45,69.75,67.94,68.73
20160121,69.05,69.05,67.97,68.49
20160122,69.14,69.83,68.52,69.76
20160125,69.79,70.14,69.27,69.56
20160126,69.58,70.56,69.44,69.72
20160127,69.61,70.12,69.17,69.71
20160128,69.70,71.51,69.43,70.94
20160129,71.48,72.20,71.03,72.17
20160201,70.27,71.42,69.94,70.18
20160202,69.24,70.11,68.62,69.89
20160203,70.05,70.42,69.28,69.93
20160204,70.07,71.16,69.62,70.43
20160205,70.34,71.43,69.69,71.06
20160208,70.13,70.89,69.08,69.49
20160209,69.49,70.87,69.16,70.43
20160210,70.18,70.74,69.05,70.29
20160211,69.95,70.49,69.11,69.21
20160212,69.34,69.64,68.45,68.94
20160216,69.49,69.56,68.56,69.15
20160217,69.46,69.83,68.80,69.77
20160218,69.31,70.21,69.19,69.75
20160219,69.55,69.77,69.00,69.46
20160222,69.78,70.78,69.62,70.74
20160223,70.39,71.19,70.27,70.88
20160224,70.92,71.30,70.33,71.22
20160225,71.34,71.87,71.16,71.83
20160226,71.60,71.75,69.91,70.02
20160229,70.01,70.73,69.85,69.92
20160301,70.33,70.42,69.56,69.95
20160302,69.06,69.25,67.58,68.77
20160303,68.89,70.02,68.29,69.99
20160304,69.54,70.78,69.32,70.62
20160307,70.25,71.38,70.13,71.22
20160308,71.09,71.78,70.71,71.72
20160309,71.70,72.33,71.60,72.10
20160310,72.12,72.24,71.07,71.59
20160311,71.80,72.34,71.61,72.22
20160314,72.34,72.47,71.91,72.34
20160315,72.16,73.07,72.12,72.99
20160316,72.75,73.80,72.09,73.56
20160317,73.76,74.90,73.36,74.55
20160318,74.61,74.89,73.45,73.46
20160321,73.65,73.81,72.60,73.63
20160322,73.71,73.74,72.92,72.96
20160323,73.18,73.75,72.63,73.51
20160324,73.51,73.59,73.03,73.42
20160328,73.64,74.04,73.00,73.15
20160329,73.47,74.70,73.09,74.64
20160330,74.79,74.90,74.10,74.75
20160331,74.54,75.18,74.31,75.12
20160401,74.78,75.50,74.36,75.39
20160404,75.22,75.22,74.29,74.58
20160405,73.60,73.74,72.14,73.05
20160406,72.89,73.23,72.34,72.75
20160407,72.62,73.23,72.54,72.97
20160408,73.24,73.50,72.83,73.04
20160411,73.10,73.59,72.83,72.87
20160412,72.91,73.33,72.78,73.22
20160413,73.44,73.44,72.41,72.80
20160414,72.80,73.10,72.41,72.70
20160415,72.87,73.26,72.58,73.05
20160418,73.05,73.16,72.16,72.87
20160419,72.78,73.15,72.48,72.82
20160420,72.98,73.09,71.02,71.08
20160421,71.08,71.08,69.28,69.51
20160422,69.60,70.25,69.60,70.06
20160425,70.07,70.34,69.78,70.20
20160426,70.25,70.57,69.69,69.90
20160427,70.14,71.22,69.94,70.75
20160428,70.22,71.09,70.05,71.03
20160429,70.60,71.47,70.10,71.47
20160502,71.70,72.47,71.50,72.10
