Date,Open,High,Low,Close
20151127,80.08,80.17,78.85,79.09
20151130,79.33,79.96,78.87,79.57
20151201,79.42,79.86,78.82,79.49
20151202,79.58,79.83,78.99,79.33
20151203,79.43,79.49,77.95,78.30
20151204,78.41,79.62,78.00,79.59
20151207,79.15,79.25,78.19,79.10
20151208,78.06,79.35,77.51,79.25
20151209,79.15,80.55,78.67,79.24
20151210,79.20,79.37,78.18,78.60
20151211,77.75,77.99,76.63,77.16
20151214,77.16,78.99,76.63,78.94
20151215,79.36,79.77,76.74,77.25
20151216,77.45,78.59,76.94,78.19
20151217,78.34,78.53,76.75,76.91
20151218,76.47,77.13,74.95,74.97
20151221,75.63,76.03,74.63,75.71
20151222,75.98,77.91,75.98,77.59
20151223,78.25,79.39,78.15,79.22
20151224,78.88,79.36,78.52,78.79
20151228,78.67,78.77,77.00,77.97
20151229,77.56,78.13,77.13,77.64
20151230,77.43,78.32,77.18,77.50
20151231,77.01,77.20,76.26,76.27
20160104,75.78,76.13,74.64,76.08
20160105,75.95,76.54,75.02,76.52
20160106,75.16,76.21,75.02,75.66
20160107,74.39,76.03,74.25,74.99
20160108,75.36,75.55,73.51,73.76
20160111,73.89,74.37,73.21,74.15
20160112,75.00,75.08,73.10,74.52
20160113,74.81,75.48,73.15,73.22
20160114,73.38,74.73,72.68,73.60
20160115,72.00,73.46,71.91,73.12
20160119,73.57,73.74,71.57,72.46
20160120,71.37,73.01,70.16,72.00
20160121,71.99,73.66,71.19,73.03
20160122,74.19,76.23,73.65,74.61
20160125,73.80,73.90,71.70,71.78
20160126,72.02,73.58,71.64,73.57
20160127,73.60,75.03,73.17,73.63
20160128,74.70,75.24,73.36,74.81
20160129,75.38,77.01,75.34,77.01
20160201,76.23,77.13,75.72,76.80
20160202,75.60,75.70,74.17,74.58
20160203,75.00,75.73,72.86,75.41
20160204,75.07,79.04,75.05,78.70
20160205,78.40,79.84,78.10,78.42
20160208,77.60,78.85,75.93,77.07
20160209,75.90,78.60,75.90,78.08
20160210,78.57,78.83,77.07,77.41
20160211,75.97,77.14,75.18,76.41
20160212,77.31,78.48,76.75,78.27
20160216,78.99,79.94,77.74,79.81
20160217,80.47,82.23,80.00,81.43
20160218,81.41,81.68,79.18,80.33
20160219,76.65,78.36,76.50,77.00
20160222,77.30,78.79,77.20,78.40
20160223,78.23,78.49,76.92,77.14
20160224,76.69,79.30,75.73,79.00
20160225,79.21,79.65,78.56,79.60
20160226,79.87,80.59,79.21,79.47
20160229,79.59,81.35,79.05,80.18
20160301,80.64,82.15,79.50,81.05
20160302,80.64,82.06,80.16,81.84
20160303,81.77,83.82,81.45,83.67
20160304,83.67,86.07,83.46,84.88
20160307,84.60,85.95,84.26,85.68
20160308,84.84,85.13,82.75,83.85
20160309,84.15,84.70,82.63,83.04
20160310,82.82,82.90,81.39,82.38
20160311,83.20,83.43,82.37,82.95
20160314,82.61,83.32,81.52,81.85
20160315,80.97,81.02,80.06,80.65
20160316,80.62,81.57,80.25,81.41
20160317,81.62,83.52,81.27,83.06
20160318,83.27,83.86,82.46,82.63
20160321,82.78,83.03,81.93,82.72
20160322,82.39,82.56,81.99,82.26
20160323,81.91,82.01,80.54,80.84
20160324,80.50,80.58,80.00,80.24
20160328,80.32,80.57,79.50,80.17
20160329,79.14,80.70,79.14,80.50
20160330,81.00,81.09,80.01,80.12
20160331,80.18,80.36,76.91,76.99
20160401,76.26,76.59,74.91,76.50
20160404,76.28,76.85,75.78,75.90
20160405,75.40,76.63,75.27,76.07
20160406,76.12,76.53,75.35,76.34
20160407,76.00,76.28,75.50,76.18
20160408,76.71,77.25,75.91,76.31
20160411,76.46,77.16,75.75,75.75
20160412,75.91,76.94,75.79,76.60
20160413,76.75,78.53,76.33,78.46
20160414,78.45,78.80,77.48,77.66
20160415,77.66,78.21,77.36,77.44
20160418,77.44,78.48,76.81,78.32
20160419,78.75,82.63,78.67,82.36
20160420,82.27,84.94,81.70,84.26
20160421,84.49,84.94,82.40,82.80
20160422,82.95,83.46,82.70,82.80
20160425,82.61,82.75,81.36,82.41
20160426,82.93,83.99,82.75,83.42
20160427,84.07,85.24,83.56,84.71
20160428,84.13,85.34,83.50,83.93
20160429,83.53,84.64,83.40,84.11
20160502,84.17,84.93,83.48,84.29
20160503,83.55,83.85,82.53,83.40
20160504,83.22,83.49,81.76,82.18
20160505,82.23,82.30,80.77,81.20
20160506,80.74,81.70,80.59,81.45
20160509,81.04,81.12,80.02,80.58
20160510,80.91,84.38,80.61,83.81
20160511,83.65,84.95,83.02,83.90
20160512,84.26,84.93,82.57,84.15
20160513,83.80,84.29,82.28,82.47
20160516,82.71,84.14,82.71,83.63
20160517,83.66,84.25,82.58,83.20
20160518,82.85,83.11,81.92,82.60
20160519,82.18,83.34,81.68,82.25
20160520,80.80,80.95,77.50,77.74
20160523,77.50,79.17,77.25,77.88
20160524,78.99,79.73,78.41,79.64
20160525,80.18,80.88,79.95,80.49
20160526,80.84,81.08,80.12,80.27
20160527,80.20,80.50,79.82,80.50
20160531,82.10,83.12,81.86,82.29
20160601,81.96,83.01,81.35,82.83
20160602,82.73,84.14,82.42,84.06
20160603,84.87,86.20,84.80,85.57
20160606,85.75,87.81,85.70,87.48
20160607,87.28,87.85,87.05,87.31
20160608,87.97,88.20,86.42,87.18
20160609,86.29,87.16,85.96,86.95
20160610,86.06,86.49,85.10,85.67
20160613,85.64,86.87,85.30,85.32
20160614,85.00,85.39,83.64,85.15
20160615,85.56,85.78,84.74,84.83
20160616,84.31,85.31,83.15,85.12
20160617,85.64,86.54,85.45,86.00
20160620,86.76,86.99,85.46,85.59
20160621,85.39,85.40,84.04,84.09
20160622,84.56,84.85,83.89,83.92
20160623,84.93,84.95,83.53,84.29
20160624,81.58,83.16,81.40,81.72
20160627,81.33,81.37,79.78,80.58
20160628,80.93,81.85,80.04,81.38
20160629,82.03,82.28,80.55,81.51
20160630,81.89,81.95,79.83,81.04
20160701,81.22,81.38,80.34,80.90
20160705,80.26,80.53,78.61,79.17
20160706,79.05,79.49,78.25,79.47
20160707,79.65,80.17,79.04,79.37
20160708,80.22,81.09,80.00,80.97
20160711,80.97,81.40,80.49,80.99
20160712,81.29,82.64,80.38,82.42
20160713,82.68,83.52,82.43,82.96
20160714,83.58,84.65,83.39,83.64
20160715,83.96,83.96,82.88,83.41
20160718,83.21,83.92,81.96,83.82
20160719,82.82,83.32,82.47,83.26
20160720,83.04,83.46,82.75,82.81
20160721,83.06,83.62,82.11,82.22
20160722,82.20,82.20,79.84,80.12
20160725,79.03,79.10,76.87,77.92
20160726,78.68,79.99,78.56,78.99
20160727,79.36,79.50,78.39,78.45
20160728,78.48,78.56,77.81,78.17
20160729,77.27,78.18,77.13,77.71
20160801,77.75,77.98,77.18,77.69
20160802,77.36,77.94,77.36,77.70
20160803,77.76,78.61,77.71,78.31
20160804,78.40,78.76,77.41,77.74
20160805,78.07,78.83,77.71,78.34
20160808,78.55,78.99,78.41,78.92
20160809,79.00,79.50,78.39,78.89
20160810,78.98,79.19,77.99,78.15
20160811,78.29,78.47,77.92,77.99
20160812,77.99,78.23,76.83,77.00
20160815,77.15,78.65,76.96,78.28
20160816,78.19,78.42,77.74,78.15
20160817,78.00,78.31,77.24,77.43
20160818,77.16,77.67,76.73,76.94
20160819,76.94,88.09,76.94,87.32
20160822,86.90,88.43,86.60,87.96
20160823,88.40,88.63,87.26,88.09
20160824,87.86,88.43,87.35,87.42
20160825,87.29,87.70,86.93,87.29
20160826,87.33,87.99,86.59,86.74
20160829,86.66,87.05,86.35,86.93
20160830,87.00,87.05,85.51,85.72
20160831,85.49,85.49,83.92,84.55
20160901,84.50,84.82,83.38,83.55
20160902,83.95,84.19,83.74,84.05
20160906,83.93,84.64,83.82,84.47
20160907,84.20,84.40,83.77,84.02
20160908,83.87,83.98,83.25,83.58
20160909,83.20,83.36,82.21,82.23
20160912,82.02,83.66,81.77,83.09
20160913,82.40,82.71,80.85,81.09
20160914,80.94,81.42,80.35,80.57
20160915,80.78,81.78,80.43,81.61
20160916,81.20,82.07,80.69,81.95
20160919,82.29,82.71,81.89,82.11
20160920,82.60,83.36,82.26,82.47
20160921,82.84,83.19,82.33,83.05
20160922,83.39,84.24,83.19,84.16
20160923,83.77,84.15,83.18,83.34
20160926,83.27,83.83,83.20,83.58
20160927,83.22,83.55,82.80,83.05
20160928,82.72,84.17,82.70,84.09
20160929,84.09,84.91,83.47,83.86
20160930,84.22,85.49,84.18,85.35
20161003,84.61,85.80,84.24,85.35
20161004,85.55,86.24,84.65,84.70
20161005,85.00,85.78,84.51,85.12
20161006,85.13,86.02,85.05,85.29
20161007,85.28,86.67,85.12,86.30
20161010,87.42,89.34,87.30,87.49
20161011,87.18,87.79,86.57,87.05
20161012,87.13,87.62,86.60,86.94
20161013,86.45,86.77,86.12,86.34
20161014,86.88,87.29,86.34,86.40
20161017,86.43,86.73,86.30,86.47
20161018,87.12,87.12,85.81,86.61
20161019,86.50,86.93,85.95,86.56
20161020,86.39,86.45,85.33,86.11
20161021,85.45,86.50,85.27,86.43
20161024,86.81,87.19,86.18,86.70
20161025,86.33,87.49,86.22,86.52
20161026,85.88,87.47,85.62,87.04
20161027,87.49,87.60,86.69,87.00
20161028,87.18,87.60,86.67,87.17
20161031,87.92,88.85,87.80,88.30
20161101,88.12,88.43,87.38,88.09
20161102,87.86,88.69,87.85,88.16
20161103,88.13,88.58,87.87,88.30
20161104,88.27,88.53,87.68,88.06
20161107,89.00,89.78,88.23,89.00
20161108,88.79,89.56,88.61,88.99
20161109,89.54,92.99,89.17,90.11
20161110,90.59,91.83,89.96,90.70
20161111,90.47,91.15,89.69,91.10
20161114,90.97,92.00,90.97,91.62
20161115,91.34,91.56,90.84,91.25
20161116,90.86,91.52,90.75,91.25
20161117,91.27,92.04,90.99,91.77
20161118,91.69,92.19,91.53,91.96
20161121,92.25,92.40,91.33,92.30
20161122,92.75,93.14,91.84,92.01
20161123,99.53,102.50,98.57,102.17
20161125,101.68,104.83,100.80,103.92
20161128,103.49,103.71,101.69,101.70
20161129,100.71,101.11,99.84,100.35
20161130,100.56,102.08,100.20,100.20
20161201,100.95,103.04,100.15,102.70
20161202,102.04,102.45,101.10,101.50
20161205,102.32,102.56,101.04,101.29
20161206,100.84,103.00,100.66,102.52
20161207,102.45,103.23,102.03,102.86
20161208,102.57,104.77,102.30,103.92
20161209,103.23,103.82,102.76,103.62
20161212,103.01,103.65,102.33,102.42
20161213,102.19,102.41,101.19,101.33
20161214,101.29,101.48,100.35,100.55
20161215,100.55,101.83,100.05,101.40
20161216,100.90,102.49,100.90,101.76
20161219,101.50,103.00,101.40,102.25
20161220,102.76,104.10,102.28,103.64
20161221,103.54,103.54,102.70,103.09
20161222,103.01,103.33,102.74,103.09
20161223,103.00,103.31,102.75,103.12
20161227,103.11,104.12,103.11,103.90
20161228,103.45,104.33,103.15,103.41
20161229,103.24,103.94,103.03,103.21
20161230,103.01,103.48,102.78,103.04
20170103,103.68,104.77,103.45,104.05
20170104,104.34,106.50,104.10,105.82
20170105,105.64,106.25,105.04,105.35
20170106,105.80,106.75,105.41,106.49
20170109,105.94,106.31,104.85,105.19
20170110,105.00,105.35,104.63,104.89
20170111,105.10,105.83,104.97,105.71
20170112,105.16,105.43,103.99,105.17
20170113,105.56,106.00,104.96,105.79
20170117,105.71,105.71,104.10,104.34
20170118,104.96,105.65,104.45,105.24
20170119,105.43,105.70,104.92,105.02
20170120,105.47,107.03,105.04,106.74
20170123,106.79,107.30,106.45,107.12
20170124,106.37,108.00,106.37,107.67
20170125,107.82,108.47,107.58,108.06
20170126,107.95,108.08,106.93,107.63
20170127,107.80,107.99,107.10,107.99
20170130,107.73,107.73,106.45,107.06
20170131,106.31,107.15,105.64,107.05
20170201,107.30,107.86,106.65,107.15
20170202,107.15,107.58,106.62,107.43
20170203,107.51,108.08,107.28,107.99
20170206,107.76,108.15,107.45,108.06
20170207,108.49,108.90,108.07,108.76
20170208,108.28,108.55,107.75,108.41
20170209,108.41,109.19,108.09,109.12
20170210,109.25,110.39,109.15,110.24
20170213,109.97,112.18,109.52,110.75
20170214,109.88,110.42,109.06,110.05
20170215,109.08,109.67,108.31,109.12
20170216,109.15,109.40,107.96,109.17
20170217,111.77,112.16,107.78,110.27
20170221,110.24,110.27,108.55,109.61
20170222,108.80,109.92,108.70,109.65
20170223,109.55,109.70,106.72,107.73
20170224,107.27,108.67,107.08,108.62
20170227,108.65,109.74,108.56,109.51
20170228,108.91,110.62,108.91,109.49
20170301,110.72,111.78,110.71,111.22
20170302,110.77,111.23,109.38,109.54
20170303,109.42,111.01,108.86,110.83
20170306,109.91,111.06,109.71,110.84
20170307,110.83,110.95,110.02,110.24
20170308,110.44,111.31,110.15,110.47
20170309,110.54,110.90,108.81,109.58
20170310,109.83,110.00,108.88,109.92
20170313,110.17,110.67,109.35,109.88
20170314,109.30,109.59,108.64,109.21
20170315,109.59,111.32,109.17,110.79
20170316,111.20,111.27,110.42,110.73
20170317,110.74,111.11,110.23,110.45
20170320,110.46,111.19,109.90,110.88
20170321,111.26,111.49,109.14,109.61
20170322,109.70,110.24,109.10,109.77
20170323,109.86,110.71,109.26,109.53
20170324,109.53,110.24,108.34,108.98
20170327,107.61,107.99,106.93,107.16
20170328,107.31,108.54,107.31,108.33
20170329,107.65,108.33,107.36,108.18
20170330,108.33,109.43,108.25,109.17
20170331,108.80,109.87,108.38,108.86
20170403,108.97,109.26,107.97,108.78
20170404,108.93,109.63,108.50,109.50
20170405,110.00,111.04,108.93,109.25
20170406,109.62,110.89,109.20,110.44
20170407,110.38,110.84,109.29,109.32
20170410,109.45,110.21,109.18,109.63
20170411,110.02,111.38,109.37,111.16
20170412,110.99,111.20,109.28,109.35
20170413,109.10,109.57,107.96,108.00
20170417,108.39,108.99,107.75,108.80
20170418,108.02,108.88,107.83,108.47
20170419,108.80,108.99,107.89,108.22
20170420,108.00,109.15,107.26,108.80
20170421,109.04,109.47,107.04,107.54
20170424,109.01,110.59,108.94,110.25
20170425,111.68,114.13,111.57,113.15
20170426,113.09,113.78,112.50,112.55
20170427,112.50,112.68,110.54,111.18
20170428,111.00,111.86,109.84,111.61
20170501,112.25,112.79,111.93,111.97
20170502,112.28,112.94,110.42,110.93
20170503,110.34,111.00,109.79,110.79
20170504,111.02,112.09,110.42,112.03
20170505,111.60,113.14,111.38,113.11
20170508,112.94,113.13,112.22,112.64
20170509,112.96,114.04,112.84,113.58
20170510,113.50,114.17,113.33,113.55
20170511,113.45,114.13,112.29,113.47
20170512,113.04,113.18,112.37,113.11
20170515,113.62,113.97,113.27,113.80
20170516,114.10,114.96,113.83,114.80
20170517,114.80,114.80,113.05,113.23
20170518,112.19,113.52,111.12,112.67
20170519,120.37,122.24,119.00,120.90
20170522,122.08,122.50,120.12,121.71
20170523,121.86,122.65,121.03,122.13
20170524,121.96,122.82,121.79,122.78
20170525,123.00,123.43,122.06,122.43
20170526,122.80,123.59,122.36,122.79
20170530,122.00,122.65,121.85,122.26
20170531,123.05,123.21,122.11,122.46
20170601,125.25,125.98,124.12,124.70
20170602,125.89,126.00,124.44,124.91
20170605,124.63,126.44,124.63,125.33
20170606,124.80,125.75,124.64,125.05
20170607,125.05,125.67,124.79,125.29
20170608,125.29,126.29,125.16,126.00
20170609,126.27,127.04,125.32,125.95
20170612,125.89,126.40,124.39,126.00
20170613,126.00,126.65,126.00,126.42
20170614,126.42,126.55,125.94,126.43
20170615,125.70,126.55,125.41,126.37
20170616,126.58,128.21,126.53,127.90
20170619,128.37,128.37,126.50,126.99
20170620,126.63,127.08,126.04,126.04
20170621,126.30,126.40,124.13,124.78
20170622,124.98,125.27,123.51,123.86
20170623,123.81,124.47,123.35,123.60
20170626,124.17,124.52,122.24,123.35
20170627,123.94,124.27,121.94,122.00
20170628,122.26,123.67,121.51,123.47
20170629,123.38,123.41,120.92,121.91
20170630,122.59,124.34,122.26,123.59
20170703,124.19,125.50,123.79,124.95
20170705,124.75,125.87,124.11,125.60
20170706,125.29,125.47,124.69,125.09
20170707,125.13,126.82,125.05,126.64
20170710,126.71,128.50,126.67,128.14
20170711,128.01,128.80,127.32,128.06
20170712,128.80,129.00,123.46,123.48
