Date,Open,High,Low,Close
20151127,56.79,57.05,56.61,56.85
20151130,56.85,57.04,56.63,56.76
20151201,57.06,57.40,56.55,57.15
20151202,57.12,57.19,55.92,56.01
20151203,56.18,56.26,55.10,55.31
20151204,55.46,56.56,55.33,56.40
20151207,56.38,56.49,55.89,56.28
20151208,55.90,55.94,54.97,54.99
20151209,54.79,55.26,53.92,54.08
20151210,54.09,54.95,54.09,54.27
20151211,53.50,53.77,52.66,52.75
20151214,52.87,53.23,51.94,52.55
20151215,53.21,54.08,53.20,53.87
20151216,54.49,55.01,53.92,54.91
20151217,55.11,55.19,53.75,53.88
20151218,53.55,53.55,52.28,52.44
20151221,52.69,53.39,52.67,53.34
20151222,53.68,54.18,53.01,53.99
20151223,54.37,54.94,54.28,54.80
20151224,54.71,55.01,54.33,54.77
20151228,54.50,54.75,53.87,54.35
20151229,54.77,54.91,54.47,54.78
20151230,54.71,54.94,54.17,54.25
20151231,54.10,54.49,53.62,53.62
20160104,52.53,52.77,52.09,52.71
20160105,52.64,53.09,52.22,52.59
20160106,51.82,52.36,51.33,51.56
20160107,50.79,51.80,50.46,50.60
20160108,50.99,51.17,49.88,49.97
20160111,50.46,50.80,50.02,50.49
20160112,50.97,51.36,50.36,51.00
20160113,51.44,51.68,49.16,49.40
20160114,49.06,50.43,48.19,50.16
20160115,48.65,49.41,48.44,49.16
20160119,49.78,49.88,48.51,48.91
20160120,47.86,49.29,47.29,48.75
20160121,48.78,49.53,48.29,48.42
20160122,48.86,49.45,48.23,48.59
20160125,48.31,48.59,47.49,47.59
20160126,48.05,48.58,47.80,48.39
20160127,48.50,49.62,48.18,48.72
20160128,46.08,46.99,44.82,44.83
20160129,44.99,45.96,44.67,45.79
20160201,45.79,46.32,44.65,46.05
20160202,45.11,45.14,44.70,45.03
20160203,45.20,45.49,43.73,45.40
20160204,45.29,46.41,45.14,46.31
20160205,46.25,46.78,45.81,46.25
20160208,45.65,45.68,44.42,45.11
20160209,44.51,46.20,44.36,45.87
20160210,46.02,46.57,45.48,45.77
20160211,44.14,44.14,42.86,43.25
20160212,43.90,44.53,43.48,44.52
