Date,Open,High,Low,Close
20151127,65.07,65.30,64.71,65.01
20151130,65.00,65.48,64.10,65.41
20151201,65.53,66.12,65.17,65.72
20151202,65.80,66.04,65.11,65.35
20151203,66.80,68.41,66.27,68.12
20151204,68.19,69.19,66.90,69.12
20151207,68.77,69.88,68.20,69.60
20151208,69.35,71.53,69.08,71.21
20151209,70.58,72.21,70.50,71.00
20151210,71.22,71.52,70.86,71.14
20151211,70.54,70.72,69.77,70.35
20151214,70.31,71.60,70.14,71.01
20151215,71.50,72.20,70.91,70.96
20151216,70.96,72.02,70.09,71.83
20151217,71.89,72.02,71.04,71.54
20151218,71.15,71.79,70.30,71.54
20151221,71.11,71.74,71.09,71.56
20151222,71.50,72.32,71.24,72.06
20151223,72.45,72.79,71.94,72.12
20151224,72.18,72.41,71.90,72.22
20151228,71.81,72.25,71.56,71.99
20151229,72.28,72.91,72.07,72.69
20151230,72.65,73.00,72.10,72.10
20151231,72.04,72.22,71.76,71.87
20160104,70.93,72.44,70.44,72.41
20160105,72.50,73.16,72.08,72.83
20160106,72.03,73.07,71.83,72.71
20160107,72.45,73.09,71.32,71.84
20160108,72.01,72.38,71.34,71.46
20160111,71.35,71.67,69.20,69.64
20160112,70.00,70.90,69.74,70.73
20160113,70.82,70.82,68.35,68.48
20160114,69.07,69.65,67.59,68.39
20160115,67.17,69.30,67.14,68.88
20160119,69.54,70.80,69.08,70.34
20160120,69.54,70.62,68.65,70.23
20160121,70.42,71.95,70.30,70.81
20160122,71.38,72.49,71.09,71.86
20160125,72.00,72.80,71.72,72.18
20160126,72.54,73.87,72.29,73.69
20160127,73.53,74.77,73.48,74.04
20160128,74.25,74.26,73.26,73.40
20160129,73.69,75.14,73.51,75.06
20160201,74.86,76.49,74.05,76.35
20160202,76.26,76.75,75.50,76.34
20160203,76.40,76.42,74.32,75.10
20160204,74.35,75.14,72.43,72.86
20160205,72.85,73.21,71.58,71.66
20160208,71.26,71.31,68.88,69.71
20160209,68.86,70.21,68.18,69.52
20160210,69.78,70.59,69.49,69.67
20160211,68.90,69.46,67.90,68.75
20160212,68.81,70.61,68.74,70.46
20160216,72.87,75.54,72.06,73.04
20160217,73.67,74.54,73.50,74.27
20160218,72.58,73.49,71.49,72.60
20160219,72.20,72.49,70.66,72.00
20160222,72.34,73.32,71.98,72.78
20160223,73.39,74.58,73.01,74.11
20160224,73.88,75.16,73.36,75.08
20160225,75.57,76.28,74.64,76.27
20160226,76.14,76.40,75.64,76.02
20160229,75.64,76.17,74.24,74.25
20160301,74.54,75.86,72.58,75.55
20160302,75.09,75.47,74.12,74.79
20160303,74.27,75.08,73.90,75.02
20160304,74.83,75.53,73.98,74.88
20160307,74.12,74.93,73.69,74.58
20160308,74.16,75.56,74.11,74.24
20160309,74.68,75.33,74.38,75.21
20160310,79.73,83.28,79.50,83.23
20160311,83.96,85.05,83.76,85.01
20160314,85.15,85.88,84.64,85.81
20160315,85.37,86.80,84.87,85.04
20160316,85.03,85.03,83.36,84.67
20160317,84.61,84.89,83.68,84.14
20160318,84.25,84.83,83.50,84.04
20160321,84.01,85.29,84.01,84.62
20160322,84.55,85.18,83.80,83.90
20160323,83.93,85.05,83.70,84.51
20160324,84.20,84.53,83.66,83.95
20160328,84.18,86.46,84.13,86.08
20160329,85.76,86.60,85.39,86.18
20160330,86.00,86.71,85.50,86.14
20160331,86.13,86.47,85.29,85.60
20160401,85.55,87.42,85.40,87.31
20160404,87.21,87.31,85.80,86.17
20160405,85.75,85.75,84.45,84.66
20160406,84.27,84.83,83.62,84.60
20160407,84.06,84.67,83.27,83.72
20160408,83.95,83.95,82.03,82.31
20160411,82.44,83.67,82.23,82.27
20160412,82.63,83.79,81.76,83.35
20160413,83.46,83.77,82.72,83.29
20160414,83.21,83.45,82.58,82.71
20160415,82.49,83.26,82.04,82.80
20160418,83.02,83.91,82.50,83.74
20160419,83.86,84.05,83.00,83.49
20160420,83.49,83.49,81.90,82.54
20160421,82.96,84.17,82.32,82.97
20160422,82.62,83.13,80.06,81.44
20160425,81.65,82.04,81.36,82.00
20160426,82.06,82.73,81.92,82.30
20160427,82.44,82.94,81.90,82.69
20160428,82.63,82.65,80.76,80.96
20160429,80.85,82.03,79.89,81.91
20160502,82.06,82.77,81.79,82.50
20160503,82.12,83.73,81.84,82.93
20160504,83.24,84.14,81.05,84.00
20160505,83.94,84.00,82.46,82.62
20160506,82.62,83.46,81.70,83.27
20160509,83.55,85.27,83.46,85.08
20160510,84.93,85.07,83.89,84.32
20160511,82.94,83.40,81.86,83.10
20160512,83.05,84.20,82.69,83.69
20160513,83.33,83.59,81.42,81.54
20160516,81.87,83.41,81.13,82.88
20160517,82.46,82.60,80.78,81.17
20160518,79.93,80.54,78.91,79.71
20160519,80.60,82.28,80.60,82.00
20160520,82.22,82.24,81.04,81.62
20160523,81.67,82.16,81.18,81.22
20160524,81.31,83.81,81.19,83.42
20160525,83.30,84.74,82.38,84.13
20160526,87.60,88.98,85.38,88.01
20160527,88.89,90.06,88.44,89.88
20160531,90.57,90.93,88.24,89.90
20160601,89.90,90.91,89.41,90.74
20160602,90.81,91.56,90.32,90.90
20160603,90.45,92.00,90.33,91.80
20160606,91.75,91.93,90.25,90.87
20160607,90.85,91.31,90.37,90.56
20160608,90.56,91.00,90.08,90.88
20160609,90.87,91.94,90.60,91.69
20160610,91.53,91.61,90.97,91.44
20160613,91.14,91.95,90.61,90.74
20160614,90.38,90.92,90.08,90.58
20160615,90.25,91.26,90.15,90.48
20160616,90.34,91.00,90.24,90.81
20160617,90.86,90.97,89.28,90.05
20160620,90.82,91.52,90.63,90.98
20160621,91.17,92.21,91.03,91.46
20160622,91.82,92.33,91.51,91.94
20160623,92.32,92.39,91.44,91.68
20160624,90.32,93.21,90.27,92.13
20160627,91.72,93.78,91.42,93.51
20160628,94.00,94.27,91.92,92.90
20160629,93.33,94.05,93.05,93.80
20160630,94.08,94.16,93.25,94.00
20160701,94.11,94.24,93.05,93.48
20160705,93.45,93.99,93.01,93.60
20160706,93.67,94.68,93.67,94.51
20160707,94.10,94.45,93.45,93.78
20160708,94.14,94.48,93.67,94.32
20160711,94.73,94.85,94.23,94.24
20160712,94.21,94.71,92.57,93.04
20160713,93.05,93.45,92.21,92.43
20160714,93.35,93.35,92.41,92.63
20160715,92.90,92.90,91.65,91.71
20160718,92.19,93.57,92.10,92.82
20160719,93.03,93.83,93.00,93.15
20160720,93.50,93.99,93.22,93.82
20160721,93.68,94.14,93.29,94.04
20160722,93.99,95.25,93.99,95.15
20160725,95.32,96.25,95.00,95.98
20160726,96.14,96.75,96.04,96.71
20160727,96.72,96.88,95.02,95.07
20160728,94.82,95.32,94.02,95.07
20160729,95.11,95.34,94.46,94.74
20160801,93.85,94.55,93.44,94.06
20160802,93.98,94.24,92.82,93.16
20160803,92.58,93.95,92.13,93.77
20160804,93.85,94.23,92.90,93.12
20160805,93.41,94.62,93.28,94.37
20160808,94.32,94.32,92.78,92.99
20160809,92.76,92.76,91.83,92.04
20160810,92.44,93.49,92.28,93.02
20160811,94.08,94.75,92.26,92.72
20160812,92.69,93.11,92.31,92.91
20160815,92.20,92.65,91.75,92.13
20160816,91.76,92.10,89.06,89.49
20160817,88.68,91.31,88.07,90.92
20160818,91.25,92.04,90.63,91.69
20160819,91.60,91.87,90.42,90.85
20160822,91.12,91.38,90.24,90.80
20160823,91.13,91.68,90.90,91.49
20160824,91.60,92.01,91.40,91.79
20160825,81.59,82.28,75.13,75.61
20160826,75.24,77.36,75.20,75.50
20160829,75.78,77.79,75.48,77.49
20160830,77.19,77.45,75.40,75.65
20160831,75.17,75.25,73.19,73.41
20160901,73.89,74.39,73.07,73.78
20160902,73.81,74.35,72.87,73.32
