Date,Open,High,Low,Close
20151127,32.71,32.95,32.53,32.77
20151130,32.72,32.85,32.29,32.31
20151201,32.43,33.06,32.29,33.03
20151202,33.01,33.10,32.09,32.31
20151203,32.42,32.55,31.47,31.66
20151204,31.78,32.99,31.63,32.99
20151207,32.84,33.07,32.70,32.92
20151208,32.40,32.74,32.05,32.48
20151209,32.21,32.67,31.56,31.84
20151210,32.05,32.64,31.92,32.35
20151211,31.90,32.26,31.68,31.95
20151214,31.89,31.97,30.88,31.15
20151215,31.42,31.72,31.20,31.46
20151216,31.89,32.34,31.71,32.26
20151217,32.38,32.61,31.51,31.52
20151218,31.50,31.53,30.63,30.75
20151221,31.00,31.83,30.95,31.41
20151222,31.42,31.94,30.96,31.88
20151223,32.03,32.27,31.65,32.13
20151224,32.11,32.44,32.03,32.16
20151228,31.92,32.29,31.80,32.29
20151229,32.53,32.68,32.35,32.61
20151230,32.61,32.80,32.41,32.44
20151231,32.32,32.47,32.02,32.03
20160104,31.60,31.64,29.44,30.39
20160105,30.64,30.74,30.03,30.42
20160106,29.98,30.42,29.37,29.66
20160107,28.89,29.40,28.44,28.53
20160108,28.51,28.68,27.23,27.32
20160111,27.52,28.05,27.20,27.70
20160112,28.00,28.39,27.41,28.20
20160113,28.47,28.96,27.13,27.24
20160114,27.26,27.41,26.57,26.92
20160115,25.95,27.01,25.42,26.65
20160119,27.28,27.53,26.59,26.93
20160120,26.46,26.83,25.41,26.47
20160121,26.55,27.33,26.25,26.65
20160122,26.99,28.05,26.95,27.71
20160125,27.70,27.70,25.83,26.40
20160126,27.07,27.57,26.08,27.34
20160127,26.98,27.27,26.65,26.82
20160128,27.09,27.43,26.43,26.78
20160129,26.84,27.67,26.73,27.51
20160201,27.33,27.51,26.90,27.03
20160202,26.85,26.90,26.01,26.18
20160203,26.37,26.55,25.00,25.73
20160204,25.58,26.21,25.42,25.67
20160205,25.28,25.75,24.35,24.44
20160208,24.12,24.34,23.14,23.48
20160209,23.09,24.16,22.97,24.04
20160210,24.36,24.78,23.85,24.47
20160211,23.98,24.19,23.01,23.23
20160212,23.71,24.23,23.33,24.21
20160216,24.45,24.88,24.26,24.78
20160217,24.85,24.99,24.41,24.75
20160218,24.76,24.88,24.26,24.58
20160219,24.55,25.13,24.44,25.01
20160222,25.21,26.12,25.21,26.10
20160223,25.93,26.36,25.81,26.31
20160224,25.99,26.50,25.70,26.48
20160225,26.50,27.33,26.47,27.22
20160226,27.28,27.68,27.03,27.17
20160229,27.10,27.42,26.72,26.72
20160301,26.99,27.75,26.90,27.67
20160302,27.55,28.06,27.47,28.05
20160303,28.08,28.67,28.02,28.63
20160304,28.63,28.76,28.21,28.40
20160307,28.25,28.43,27.95,28.15
20160308,28.06,28.22,27.40,27.69
20160309,27.91,28.22,27.54,28.06
20160310,28.23,28.61,27.58,28.11
20160311,28.40,29.65,28.31,29.56
20160314,29.30,29.63,29.04,29.49
20160315,29.20,29.56,29.11,29.33
20160316,29.10,29.96,29.00,29.87
20160317,29.78,30.27,29.61,30.12
20160318,30.27,30.58,30.12,30.21
20160321,30.27,30.45,29.50,29.92
20160322,29.67,30.11,29.61,29.78
20160323,29.82,29.87,29.31,29.35
20160324,29.43,29.48,29.08,29.40
20160328,29.46,29.92,29.28,29.82
20160329,30.03,30.87,29.95,30.72
20160330,30.91,31.00,30.15,30.17
20160331,30.10,30.39,29.96,30.23
20160401,30.04,30.48,29.96,30.40
20160404,30.36,30.39,29.60,29.96
20160405,29.61,30.16,29.45,29.70
20160406,29.71,30.59,29.71,30.47
20160407,30.21,30.58,30.07,30.25
20160408,30.53,30.69,30.31,30.50
20160411,30.83,30.90,30.32,30.33
20160412,30.35,30.87,30.21,30.71
20160413,30.82,31.68,30.81,31.60
20160414,31.56,31.73,31.24,31.40
20160415,31.33,31.43,31.11,31.37
20160418,31.10,31.48,31.07,31.40
20160419,31.09,31.67,30.88,31.28
20160420,31.18,31.78,30.97,31.42
20160421,31.63,32.51,31.57,31.78
20160422,31.54,32.05,31.02,31.14
20160425,30.98,31.28,30.73,31.12
20160426,31.18,31.65,31.09,31.41
20160427,31.42,31.73,31.19,31.50
20160428,31.24,31.32,30.26,30.36
20160429,30.34,30.67,29.61,30.06
20160502,30.28,30.70,30.09,30.63
20160503,30.41,30.53,29.89,29.99
20160504,29.76,29.90,29.32,29.78
20160505,29.81,29.88,29.43,29.61
20160506,29.49,29.80,29.17,29.54
20160509,29.58,29.91,29.34,29.60
20160510,29.70,29.77,29.41,29.73
20160511,29.48,29.72,29.11,29.12
20160512,29.23,29.40,28.86,29.15
20160513,29.09,29.47,28.97,29.10
20160516,29.08,29.45,29.00,29.36
20160517,29.33,29.88,29.31,29.45
20160518,29.35,29.93,29.14,29.39
20160519,29.12,29.31,28.82,29.24
20160520,29.47,29.88,29.36,29.71
20160523,29.64,29.81,29.23,29.24
20160524,29.70,30.62,29.50,30.48
20160525,30.69,30.90,30.46,30.55
20160526,30.57,30.79,30.38,30.59
20160527,30.56,30.93,30.53,30.58
20160531,30.63,30.64,30.33,30.56
20160601,30.34,30.93,30.19,30.88
20160602,30.76,31.06,30.50,31.06
20160603,30.89,31.11,30.35,30.99
20160606,31.07,31.15,30.76,30.95
20160607,30.95,32.10,30.95,31.59
20160608,31.60,32.06,31.45,32.00
20160609,31.81,31.94,31.62,31.73
20160610,31.44,31.46,31.04,31.14
20160613,30.91,31.19,30.55,30.57
20160614,30.57,30.80,30.13,30.37
20160615,30.43,31.05,30.28,30.72
20160616,30.46,30.66,30.17,30.54
20160617,30.55,31.00,30.41,30.90
20160620,31.39,31.51,31.07,31.08
20160621,31.37,31.52,30.70,31.01
20160622,30.96,31.24,30.77,30.79
20160623,31.18,31.29,30.86,31.29
20160624,30.03,30.83,29.85,30.36
20160627,29.98,30.05,29.14,29.48
20160628,29.91,30.33,29.83,30.24
20160629,30.59,31.14,30.27,30.98
20160630,31.05,31.53,30.75,31.48
20160701,31.48,31.99,31.45,31.85
20160705,31.65,31.86,31.27,31.77
20160706,31.51,32.72,31.48,32.71
20160707,32.90,33.24,32.60,32.83
20160708,33.18,33.97,33.11,33.82
20160711,33.95,34.26,33.81,33.86
20160712,34.15,34.20,33.72,33.82
20160713,33.91,34.08,33.71,33.90
20160714,34.15,34.28,33.90,34.00
20160715,34.05,34.12,33.47,33.80
20160718,33.92,34.02,33.63,33.95
20160719,33.95,34.22,33.76,34.07
20160720,34.10,34.46,33.94,34.41
20160721,34.24,34.56,33.85,34.29
20160722,34.04,34.46,33.46,33.96
20160725,33.95,34.17,33.69,33.75
20160726,33.78,34.00,33.40,33.93
20160727,34.02,34.33,33.64,33.79
20160728,33.75,33.98,33.63,33.74
20160729,33.77,33.79,32.70,32.88
20160801,32.82,33.11,32.69,32.85
20160802,32.69,32.85,32.03,32.09
20160803,31.93,32.50,31.82,32.29
20160804,32.27,32.40,31.71,32.07
20160805,32.24,32.46,32.06,32.30
20160808,32.37,32.52,32.03,32.11
20160809,32.10,32.29,31.96,32.27
20160810,32.37,32.38,31.84,32.16
20160811,32.29,32.62,32.12,32.35
20160812,32.32,32.41,31.94,32.16
20160815,32.19,32.86,32.19,32.46
20160816,32.39,32.42,32.10,32.35
20160817,32.23,32.39,31.78,32.05
20160818,32.08,32.23,31.75,32.05
20160819,31.96,32.10,31.83,31.88
20160822,31.88,32.13,31.64,32.07
20160823,32.22,33.26,32.02,32.99
20160824,32.83,33.01,32.54,32.67
20160825,32.57,32.89,32.50,32.63
20160826,32.67,32.79,31.71,31.94
20160829,31.90,32.21,31.78,31.84
20160830,31.85,32.15,31.77,32.09
20160831,32.09,32.12,31.82,32.06
20160901,32.11,32.22,31.47,31.56
20160902,31.78,32.12,31.55,31.61
20160906,31.64,31.83,31.30,31.45
20160907,31.41,32.19,31.41,32.02
20160908,31.97,31.97,31.52,31.54
20160909,31.23,31.25,29.99,30.22
20160912,29.98,30.73,29.94,30.57
20160913,30.82,30.97,29.86,30.03
20160914,30.04,30.37,29.89,30.11
20160915,30.11,30.57,29.95,30.47
20160916,30.22,30.41,29.88,29.97
20160919,30.18,30.90,30.18,30.46
20160920,30.63,30.63,29.84,29.94
20160921,29.98,30.30,29.64,30.26
20160922,30.55,30.87,30.45,30.61
20160923,30.50,30.75,30.18,30.18
20160926,30.06,30.25,29.72,29.92
20160927,29.89,30.26,29.76,30.02
20160928,30.05,30.36,29.96,30.32
20160929,30.37,30.63,30.06,30.14
20160930,30.33,30.41,29.98,30.20
20161003,30.06,30.17,29.85,30.08
20161004,30.11,30.48,29.79,29.90
20161005,30.08,30.37,30.02,30.08
20161006,29.91,30.39,29.76,30.28
20161007,30.33,30.62,29.53,29.60
20161010,29.95,30.11,29.55,29.62
20161011,29.57,29.65,29.05,29.20
20161012,29.30,29.62,29.16,29.47
20161013,29.19,29.20,28.71,28.88
20161014,29.02,29.30,28.77,28.88
20161017,28.92,29.23,28.68,28.80
20161018,29.10,29.54,28.89,29.40
20161019,29.53,29.77,29.18,29.73
20161020,29.52,29.54,29.01,29.37
20161021,29.12,29.28,28.99,29.08
20161024,29.28,29.50,29.22,29.29
20161025,29.10,29.10,28.60,28.81
20161026,28.72,28.86,28.46,28.58
20161027,28.67,28.76,27.78,28.06
20161028,28.11,28.87,28.08,28.64
20161031,28.73,29.02,28.67,28.83
20161101,28.83,29.06,28.39,28.66
20161102,28.65,28.85,28.32,28.61
20161103,28.71,28.79,28.27,28.29
20161104,28.32,29.36,28.20,28.75
20161107,29.28,29.44,29.00,29.37
20161108,27.80,28.22,27.18,27.77
20161109,27.18,27.82,26.69,27.54
20161110,27.62,28.14,27.19,27.52
20161111,27.45,28.00,27.28,27.33
20161114,27.50,27.98,27.31,27.97
20161115,28.23,28.87,27.72,28.31
20161116,28.21,28.26,27.70,27.79
20161117,28.27,28.99,28.23,28.57
20161118,28.56,28.84,28.46,28.54
20161121,28.64,28.95,28.43,28.91
20161122,28.96,29.03,28.58,28.72
20161123,28.53,28.92,28.43,28.81
20161125,28.87,29.03,28.78,28.88
20161128,28.75,28.75,28.32,28.49
20161129,28.55,29.07,28.49,28.84
20161130,28.85,28.89,27.69,27.72
20161201,27.73,27.82,27.21,27.31
20161202,27.25,27.48,27.15,27.28
20161205,27.46,27.78,27.18,27.51
20161206,27.88,28.05,27.53,28.05
20161207,28.02,28.82,27.96,28.78
20161208,28.77,29.70,28.77,29.49
20161209,29.46,29.46,28.51,28.86
20161212,28.72,29.25,28.65,29.15
20161213,29.50,29.57,29.05,29.25
20161214,29.32,29.39,28.42,28.48
20161215,28.50,28.99,27.81,27.89
20161216,27.99,28.27,27.41,28.04
20161219,28.22,28.74,27.93,28.02
20161220,28.05,28.37,28.01,28.07
20161221,28.02,28.42,28.02,28.15
20161222,28.15,28.23,27.70,27.76
20161223,27.87,27.92,27.48,27.56
20161227,27.65,28.00,27.56,27.93
20161228,28.00,28.03,27.48,27.61
20161229,27.63,27.90,27.45,27.53
20161230,27.61,27.72,27.22,27.33
20170103,27.71,27.80,27.21,27.56
20170104,27.75,28.47,27.63,28.23
20170105,28.09,28.38,28.08,28.35
20170106,28.21,28.43,27.80,27.85
20170109,27.80,28.15,27.61,27.96
20170110,28.14,28.38,27.88,28.15
20170111,28.10,28.72,27.97,28.61
20170112,28.51,28.75,27.98,28.69
20170113,28.61,28.80,28.42,28.50
20170117,28.40,28.76,28.25,28.57
20170118,28.56,28.68,28.37,28.50
20170119,28.53,28.82,27.97,28.01
20170120,28.08,28.38,28.03,28.31
20170123,28.40,28.86,28.33,28.74
20170124,29.86,30.83,29.51,30.64
20170125,30.91,31.66,30.70,31.37
20170126,31.47,31.90,31.17,31.35
20170127,31.44,31.48,30.83,30.94
20170130,30.86,30.86,30.23,30.71
20170131,30.61,30.63,29.78,29.91
20170201,30.00,30.11,29.50,29.68
20170202,29.82,30.14,29.62,29.88
20170203,30.10,30.22,29.78,29.89
20170206,29.86,29.99,29.47,29.49
20170207,29.63,29.69,29.29,29.42
20170208,29.46,29.93,29.37,29.89
20170209,29.89,30.19,29.54,30.12
20170210,30.20,30.96,30.15,30.82
20170213,31.00,31.05,30.37,30.42
20170214,30.20,30.45,29.95,30.11
20170215,30.11,30.92,29.99,30.76
20170216,30.76,30.90,30.37,30.43
20170217,30.34,30.51,30.10,30.49
20170221,30.60,30.98,30.51,30.90
20170222,31.39,31.45,30.81,31.00
20170223,31.10,31.21,30.71,30.98
20170224,30.86,31.40,30.61,31.39
20170227,31.39,32.05,31.27,32.03
20170228,31.94,32.17,31.74,32.00
20170301,32.23,32.89,32.21,32.60
20170302,32.60,32.82,32.32,32.51
20170303,32.39,32.60,31.91,32.55
20170306,32.31,32.51,32.18,32.41
20170307,32.48,33.07,32.31,32.85
20170308,32.88,33.43,32.78,33.30
20170309,33.29,33.63,32.69,33.05
20170310,33.38,33.89,33.31,33.57
20170313,33.60,33.69,33.14,33.18
20170314,33.07,33.16,32.53,32.90
20170315,33.18,33.47,32.69,33.27
20170316,33.36,34.06,33.24,33.85
20170317,33.82,33.93,33.53,33.66
20170320,33.62,33.68,33.39,33.54
20170321,33.65,33.65,32.82,33.16
20170322,33.20,33.20,32.63,32.98
20170323,33.04,33.49,32.91,33.25
20170324,33.42,33.56,33.12,33.22
20170327,32.77,33.22,32.67,33.05
20170328,32.94,33.42,32.94,33.27
20170329,33.19,33.48,33.01,33.37
20170330,33.37,33.59,33.10,33.43
20170331,33.40,33.49,33.24,33.31
20170403,33.39,33.55,33.18,33.37
20170404,33.24,33.39,33.13,33.29
20170405,33.45,33.89,33.20,33.23
20170406,33.20,33.46,33.07,33.29
20170407,33.25,33.35,33.06,33.12
20170410,33.12,33.61,33.04,33.19
20170411,33.21,33.75,33.08,33.74
20170412,33.70,33.72,33.31,33.44
20170413,33.45,33.88,33.40,33.69
20170417,33.81,34.23,33.77,34.16
20170418,33.99,34.42,33.80,34.28
20170419,34.39,34.54,33.85,33.95
20170420,33.76,34.34,32.68,33.10
20170421,33.05,33.27,32.62,32.87
20170424,33.27,33.31,32.53,33.05
20170425,32.85,32.88,31.98,32.65
20170426,32.64,33.19,32.40,32.99
20170427,33.04,33.35,32.80,33.25
20170428,33.18,33.25,32.47,32.89
20170501,33.01,33.18,32.65,32.75
20170502,32.76,32.82,32.24,32.28
20170503,32.19,32.63,32.19,32.38
20170504,32.36,32.65,32.36,32.51
20170505,32.64,32.68,32.33,32.60
20170508,32.50,32.83,32.46,32.66
20170509,32.73,33.29,32.64,33.21
20170510,33.14,33.40,33.02,33.16
20170511,33.09,33.34,32.84,33.25
20170512,33.24,33.26,32.97,33.07
20170515,33.15,33.59,33.06,33.45
20170516,33.61,33.62,33.19,33.56
20170517,33.56,33.56,32.85,32.86
20170518,32.86,33.35,32.56,33.25
20170519,33.35,33.94,33.25,33.79
20170522,33.89,34.08,33.70,33.91
20170523,34.10,34.39,33.27,33.37
20170524,33.27,33.61,32.99,33.60
20170525,33.72,33.76,33.02,33.22
20170526,33.17,33.28,33.02,33.11
20170530,33.06,33.14,32.65,32.93
20170531,33.10,33.13,32.47,32.69
20170601,32.76,33.11,32.53,33.10
20170602,33.10,33.90,33.09,33.79
20170605,33.75,33.88,33.16,33.29
20170606,33.10,33.34,32.89,33.21
20170607,33.21,33.90,33.19,33.70
20170608,33.70,33.96,33.41,33.54
20170609,33.62,33.82,33.25,33.62
20170612,33.58,33.95,33.33,33.39
20170613,33.45,34.19,33.31,33.98
20170614,34.10,34.94,33.84,34.37
20170615,34.12,34.39,33.74,33.82
20170616,33.71,33.74,33.27,33.65
20170619,33.74,34.05,33.62,33.85
20170620,34.62,34.84,34.07,34.17
