Date,Open,High,Low,Close
20151127,73.69,73.76,73.28,73.43
20151130,73.45,73.63,72.98,73.08
20151201,73.50,73.91,73.07,73.28
20151202,73.07,73.39,72.65,72.77
20151203,72.77,73.02,71.44,71.68
20151204,71.88,73.31,71.68,73.18
20151207,73.19,73.32,72.74,73.01
20151208,71.77,72.71,71.46,72.61
20151209,72.10,73.08,71.42,71.62
20151210,71.74,72.36,71.50,71.76
20151211,70.96,71.35,70.24,70.52
20151214,70.79,71.10,70.17,70.79
20151215,71.30,71.49,70.05,70.17
20151216,70.52,71.57,70.05,71.36
20151217,71.76,71.90,69.65,69.67
20151218,69.23,69.95,69.08,69.17
20151221,69.49,70.12,69.42,70.11
20151222,70.45,70.53,69.55,70.31
20151223,70.57,71.24,70.42,71.05
20151224,70.84,71.18,70.79,70.81
20151228,70.65,70.92,70.41,70.82
20151229,71.27,71.71,71.04,71.39
20151230,71.33,71.47,70.61,70.77
20151231,70.44,71.02,70.31,70.42
20160104,69.04,69.67,68.94,69.51
20160105,69.55,69.85,69.07,69.64
20160106,68.82,69.30,68.29,68.82
20160107,67.70,68.23,66.84,67.06
20160108,67.25,67.99,66.94,67.10
20160111,67.36,67.55,66.42,67.06
20160112,67.95,67.95,66.26,67.13
20160113,67.60,67.63,65.50,65.60
20160114,65.63,66.57,65.06,66.19
20160115,65.16,65.51,64.50,64.59
20160119,65.47,65.66,64.18,64.91
20160120,64.03,64.94,63.31,64.44
20160121,64.13,64.50,63.57,64.01
20160122,64.86,64.98,64.23,64.71
20160125,64.72,64.94,63.87,63.97
20160126,62.84,64.40,61.60,64.20
20160127,64.20,64.87,63.42,63.87
20160128,64.28,64.50,63.68,64.04
20160129,64.47,65.75,64.06,65.69
20160201,65.52,65.61,64.68,65.17
20160202,64.33,64.56,63.71,63.97
20160203,64.53,64.80,63.23,64.47
20160204,64.34,65.73,64.30,65.54
20160205,65.22,65.47,64.18,64.47
20160208,64.09,64.33,62.83,63.79
20160209,63.13,65.15,62.96,64.59
20160210,64.99,65.83,64.47,64.60
20160211,63.39,64.17,62.82,63.37
20160212,63.96,64.41,63.51,64.38
20160216,65.34,65.80,65.06,65.57
20160217,65.99,66.30,65.69,66.01
20160218,65.66,66.10,65.56,65.71
20160219,65.63,65.95,65.22,65.69
20160222,66.34,66.78,66.22,66.53
20160223,66.21,66.63,65.78,66.20
20160224,65.84,66.35,65.44,66.11
20160225,66.11,66.93,65.90,66.91
20160226,67.13,67.68,66.94,67.53
20160229,67.37,68.14,67.19,67.68
20160301,68.13,68.82,67.96,68.69
20160302,68.51,69.43,68.34,68.61
20160303,68.89,69.10,68.44,68.86
20160304,68.98,69.36,68.42,68.77
20160307,68.41,68.64,68.16,68.42
20160308,68.13,68.27,67.32,67.44
20160309,67.80,67.81,66.94,67.07
20160310,67.60,67.91,66.96,67.63
20160311,68.36,68.91,68.10,68.70
20160314,68.66,69.60,68.27,69.36
20160315,69.17,69.87,69.07,69.53
20160316,69.48,69.53,68.87,69.21
20160317,69.29,71.14,69.17,70.92
20160318,71.28,72.24,70.92,72.24
20160321,72.02,72.23,71.51,71.92
20160322,71.11,72.15,71.00,71.97
20160323,71.99,72.02,71.57,71.90
20160324,71.58,71.90,71.36,71.86
20160328,71.84,72.21,71.66,72.01
20160329,71.98,72.39,71.57,72.22
20160330,72.50,72.70,71.98,72.05
20160331,72.15,72.18,71.75,71.92
20160401,71.53,72.62,71.08,72.50
20160404,71.97,71.97,70.96,71.08
20160405,70.62,70.85,70.39,70.71
20160406,70.58,71.18,70.38,71.14
20160407,70.51,70.89,70.09,70.72
20160408,71.07,71.42,70.50,70.65
20160411,70.68,70.99,70.25,70.27
20160412,70.45,71.06,70.31,70.87
20160413,71.14,71.55,70.95,71.46
20160414,71.74,71.89,71.29,71.30
20160415,71.38,71.55,71.11,71.36
20160418,71.40,71.73,71.27,71.54
20160419,71.78,71.98,71.61,71.90
20160420,71.77,72.21,71.43,71.96
20160421,72.45,73.89,71.99,72.77
20160422,72.40,73.31,72.40,73.10
20160425,72.94,73.22,72.65,73.12
20160426,73.03,73.25,72.73,73.06
20160427,73.16,73.78,72.89,73.68
20160428,73.24,73.93,72.90,73.05
20160429,72.69,73.54,72.63,73.35
20160502,73.34,73.98,73.08,73.84
20160503,73.33,73.62,73.09,73.45
20160504,72.55,73.25,72.34,72.71
20160505,73.06,73.20,72.62,72.87
20160506,72.84,73.68,72.62,73.62
20160509,73.54,73.83,73.24,73.59
20160510,73.91,74.56,73.69,74.54
20160511,74.52,74.89,74.13,74.23
20160512,74.33,74.57,73.83,74.39
20160513,74.29,74.66,73.60,73.82
20160516,74.08,75.00,73.75,74.79
20160517,74.82,75.13,74.36,74.63
20160518,74.46,74.81,74.01,74.55
20160519,74.12,74.44,73.56,74.28
20160520,74.63,75.36,74.34,74.87
20160523,74.54,75.09,74.30,74.94
20160524,75.05,76.05,74.83,75.79
20160525,75.73,76.19,75.49,75.56
20160526,75.59,75.78,75.06,75.21
20160527,75.28,75.36,74.91,74.99
20160531,74.70,74.82,74.15,74.57
20160601,74.45,74.98,74.06,74.78
20160602,74.36,74.84,74.16,74.78
20160603,74.44,74.62,74.04,74.52
20160606,74.53,75.30,74.53,75.08
20160607,75.19,75.73,75.08,75.40
20160608,75.25,76.04,75.25,75.94
20160609,75.78,76.19,75.63,76.11
20160610,75.56,75.72,75.16,75.29
20160613,75.11,75.50,74.34,74.37
20160614,74.25,74.94,73.92,74.80
20160615,75.00,75.05,74.44,74.46
20160616,74.16,75.25,74.04,75.11
20160617,75.06,75.16,74.03,74.12
20160620,75.04,75.53,74.84,74.86
20160621,75.16,75.28,74.84,75.08
20160622,75.25,75.50,75.00,75.09
20160623,75.73,76.15,75.47,76.15
20160624,74.03,75.82,74.03,74.46
20160627,73.93,74.52,73.42,73.78
20160628,74.10,74.44,73.53,74.39
20160629,74.82,76.07,74.82,75.90
20160630,75.98,76.57,75.95,76.57
20160701,76.83,77.93,76.59,77.57
20160705,77.42,80.40,77.34,80.40
20160706,80.25,81.05,79.73,80.62
20160707,81.09,81.26,80.04,80.70
20160708,81.00,81.28,80.49,80.86
20160711,81.08,81.14,80.01,80.08
20160712,80.25,80.79,80.25,80.34
20160713,80.71,81.27,80.50,81.04
20160714,81.72,81.80,80.66,80.88
20160715,81.31,81.70,80.75,80.92
20160718,81.02,81.58,80.54,80.94
20160719,80.75,81.01,80.57,80.88
20160720,81.28,81.60,81.11,81.39
20160721,81.39,81.74,81.08,81.29
20160722,81.40,81.46,80.66,81.24
20160725,82.14,82.19,80.57,81.29
20160726,81.27,81.35,80.94,81.12
20160727,81.22,81.42,80.67,80.85
20160728,81.10,81.35,80.74,81.18
20160729,81.32,81.76,81.19,81.44
20160801,81.24,81.89,81.18,81.50
20160802,81.26,81.53,80.59,80.93
20160803,81.11,81.28,80.68,80.98
20160804,81.00,81.34,80.80,81.12
20160805,81.26,81.62,81.14,81.50
20160808,81.66,81.70,81.20,81.28
20160809,81.50,81.65,81.07,81.20
20160810,81.26,81.33,80.95,81.22
20160811,81.29,81.76,81.25,81.54
20160812,81.36,81.52,81.11,81.39
20160815,81.73,81.79,81.15,81.23
20160816,81.20,81.20,80.56,80.70
20160817,80.82,81.05,80.52,81.02
20160818,80.91,80.99,79.86,80.56
20160819,80.41,80.79,80.15,80.74
20160822,80.79,80.98,80.53,80.93
20160823,81.16,81.33,80.84,81.03
20160824,80.98,81.10,80.47,80.61
20160825,80.42,80.68,80.32,80.52
20160826,80.76,81.47,80.69,81.20
20160829,81.19,82.08,81.19,81.84
20160830,82.64,82.64,81.12,81.20
20160831,81.20,81.67,81.01,81.41
20160901,81.55,81.85,81.26,81.44
20160902,81.81,81.85,80.68,81.19
20160906,80.99,81.22,79.14,79.50
20160907,79.37,79.78,79.18,79.35
20160908,79.15,79.27,78.74,79.00
20160909,78.55,78.55,77.01,77.02
20160912,76.78,78.40,76.59,78.21
20160913,77.90,77.93,76.86,76.86
20160914,76.80,76.97,76.15,76.45
