Date,Open,High,Low,Close
20151127,31.12,31.33,30.65,31.08
20151130,31.15,31.39,30.71,31.14
20151201,31.22,31.38,30.88,31.08
20151202,31.13,31.25,30.04,30.18
20151203,30.18,30.60,29.67,30.12
20151204,30.14,30.85,29.89,30.73
20151207,30.73,30.85,30.12,30.70
20151208,30.44,30.44,29.39,29.43
20151209,29.26,29.47,28.32,28.45
20151210,28.44,28.82,28.04,28.39
20151211,27.92,28.12,27.15,27.37
20151214,27.36,27.68,25.99,26.45
20151215,26.58,27.48,26.31,26.52
20151216,26.80,27.41,26.62,27.18
20151217,27.21,27.36,26.30,26.48
20151218,26.47,26.47,25.83,26.22
20151221,26.60,26.63,26.16,26.28
20151222,26.38,27.04,26.27,26.87
20151223,26.86,27.24,26.71,27.14
20151224,27.17,27.29,26.97,27.09
20151228,26.69,27.06,26.27,26.84
20151229,27.00,27.19,26.75,26.90
20151230,26.89,27.08,26.35,26.56
20151231,26.50,26.91,26.30,26.68
20160104,26.13,26.85,25.90,26.41
20160105,26.46,27.14,26.17,26.47
20160106,25.96,26.64,25.93,26.28
20160107,25.75,26.03,25.23,25.48
20160108,25.65,26.18,25.38,26.01
20160111,26.08,26.31,25.42,25.83
20160112,25.95,26.64,25.89,26.33
20160113,26.43,26.70,25.38,25.54
20160114,25.69,26.55,25.45,26.30
20160115,25.54,26.11,25.34,25.89
20160119,26.14,26.41,25.43,25.79
20160120,25.34,25.77,24.70,25.53
20160121,25.53,26.31,25.21,25.89
20160122,26.36,27.03,26.28,26.90
20160125,26.71,26.87,26.18,26.25
20160126,26.43,27.48,26.34,27.42
20160127,27.40,28.03,26.99,27.10
20160128,27.37,27.42,26.22,26.73
20160129,26.79,27.62,26.71,27.59
20160201,27.33,27.82,26.89,27.64
20160202,27.22,27.43,26.32,26.40
20160203,26.54,27.31,25.95,27.27
20160204,27.38,28.32,27.36,27.70
20160205,27.70,27.74,26.79,27.21
20160208,26.84,26.98,25.49,26.02
20160209,25.51,25.58,24.20,24.72
20160210,24.63,25.14,23.85,24.75
20160211,24.13,24.55,23.74,24.33
20160212,24.47,25.07,24.20,25.00
20160216,24.71,25.67,24.21,25.56
20160217,25.67,26.97,25.41,26.71
20160218,25.90,26.19,24.33,25.62
20160219,25.49,25.87,25.09,25.35
20160222,25.72,26.36,25.66,26.19
20160223,26.20,26.20,25.10,25.19
20160224,24.92,25.35,24.43,25.20
20160225,25.38,25.39,24.53,24.88
20160226,25.07,25.32,24.84,25.08
20160229,25.04,25.42,24.83,25.00
20160301,25.26,26.70,25.06,26.43
20160302,26.27,27.08,26.22,26.78
20160303,26.60,27.86,26.60,27.63
20160304,27.54,27.88,27.03,27.60
20160307,27.32,28.19,27.15,28.06
20160308,27.84,27.90,27.10,27.18
20160309,27.49,27.86,27.26,27.67
20160310,27.88,27.92,27.22,27.64
20160311,27.95,28.65,27.61,28.44
20160314,28.01,28.45,27.50,27.93
20160315,27.82,27.99,27.46,27.66
20160316,27.49,28.57,27.36,28.55
20160317,28.58,29.24,28.54,29.10
20160318,29.16,29.53,28.92,29.42
20160321,29.27,29.75,28.66,29.24
20160322,28.97,29.12,28.54,28.87
20160323,28.89,28.89,27.52,27.81
20160324,27.58,28.10,27.32,27.99
20160328,28.15,28.46,27.92,28.23
20160329,28.19,28.38,27.79,28.24
20160330,28.45,28.53,27.99,28.09
20160331,28.16,28.69,28.16,28.63
20160401,28.27,28.98,28.17,28.90
20160404,29.00,29.26,28.75,28.88
20160405,28.65,28.83,28.36,28.62
20160406,28.73,29.01,28.45,28.93
20160407,28.72,28.89,27.66,27.91
20160408,28.39,28.43,27.90,28.17
20160411,28.44,28.60,28.05,28.35
