Date,Open,High,Low,Close
20151127,29.36,29.93,29.04,29.46
20151130,29.52,29.79,29.07,29.58
20151201,29.59,29.90,29.38,29.53
20151202,29.81,29.81,28.71,28.78
20151203,28.77,29.21,28.32,28.68
20151204,28.71,29.51,28.49,29.40
20151207,29.28,29.53,28.83,29.39
20151208,29.17,29.17,28.14,28.18
20151209,28.17,28.24,27.21,27.29
20151210,27.29,27.65,26.96,27.19
20151211,26.84,27.00,26.04,26.25
20151214,26.35,26.60,24.97,25.35
20151215,25.65,26.41,25.32,25.48
20151216,25.66,26.36,25.58,26.11
20151217,26.18,26.27,25.24,25.38
20151218,25.21,25.48,24.76,24.98
20151221,25.25,25.38,24.97,25.13
20151222,25.76,25.88,25.19,25.53
20151223,25.69,25.82,25.40,25.73
20151224,25.76,25.82,25.49,25.55
20151228,25.49,25.55,24.78,25.35
20151229,25.60,25.66,25.25,25.38
20151230,25.46,25.51,24.95,25.06
20151231,24.95,25.49,24.86,25.22
20160104,24.72,25.29,24.72,25.16
20160105,25.20,25.47,24.84,25.27
20160106,24.80,25.39,24.78,25.10
20160107,24.56,24.89,24.15,24.32
20160108,24.39,25.09,24.21,25.00
20160111,25.06,25.27,24.45,24.85
20160112,24.95,25.56,24.92,25.25
20160113,25.26,25.69,24.48,24.62
20160114,24.71,25.67,24.55,25.42
20160115,24.83,25.33,24.55,25.07
20160119,25.32,25.66,24.92,25.22
20160120,24.92,25.23,24.21,25.02
20160121,25.04,25.82,24.70,25.54
20160122,25.94,26.54,25.90,26.43
20160125,26.32,26.42,25.88,25.92
20160126,25.96,27.18,25.95,27.12
20160127,27.08,27.69,26.69,26.79
20160128,27.04,27.13,25.95,26.44
20160129,26.65,27.29,26.43,27.21
20160201,26.96,27.53,26.60,27.39
20160202,27.00,27.10,26.01,26.06
20160203,26.31,26.93,25.66,26.89
20160204,26.88,27.91,26.88,27.19
20160205,27.03,27.16,26.23,26.59
20160208,26.35,26.36,24.85,25.39
20160209,24.98,24.98,23.89,24.33
20160210,24.30,24.68,23.55,24.28
20160211,23.80,24.09,23.33,23.81
20160212,24.09,24.48,23.72,24.44
20160216,24.42,25.07,23.88,25.03
20160217,25.31,26.25,25.28,26.01
20160218,25.75,25.75,23.80,25.27
20160219,25.16,25.80,24.56,24.94
20160222,25.17,25.97,25.12,25.71
20160223,25.58,25.67,24.60,24.69
20160224,24.39,24.91,23.92,24.82
20160225,24.99,25.02,24.09,24.57
20160226,24.74,24.86,24.42,24.58
20160229,24.59,25.00,24.44,24.65
20160301,24.86,26.01,24.69,25.77
20160302,25.67,26.32,25.57,26.00
20160303,26.00,27.07,25.95,26.82
20160304,26.90,27.08,26.25,26.73
20160307,26.48,27.26,26.27,27.09
20160308,26.91,26.91,26.18,26.24
20160309,26.44,26.82,26.30,26.62
20160310,26.68,26.84,26.15,26.57
20160311,26.57,27.53,26.57,27.32
20160314,27.27,27.28,26.50,26.67
20160315,26.50,26.97,26.15,26.29
20160316,26.10,27.06,26.01,27.02
20160317,26.98,27.78,26.98,27.60
20160318,27.73,28.02,27.50,28.00
20160321,27.96,28.05,27.31,27.90
20160322,27.58,27.73,27.13,27.33
20160323,27.20,27.30,26.26,26.44
20160324,26.27,26.59,25.93,26.53
20160328,26.64,26.93,26.37,26.63
20160329,26.54,26.82,26.27,26.64
20160330,26.90,26.99,26.48,26.64
20160331,26.59,27.26,26.59,27.00
20160401,26.74,27.52,26.55,27.48
20160404,27.50,27.78,27.29,27.62
20160405,27.34,27.71,27.16,27.49
20160406,27.46,27.77,27.08,27.70
20160407,27.52,27.70,26.73,26.96
20160408,27.27,27.52,27.00,27.38
20160411,27.62,27.81,27.34,27.51
20160412,27.61,27.76,27.44,27.64
20160413,27.86,28.01,27.71,27.85
20160414,27.85,27.98,27.59,27.61
20160415,27.68,27.74,27.38,27.59
20160418,27.40,27.99,27.40,27.81
20160419,27.80,28.24,27.52,27.68
20160420,27.72,27.72,27.11,27.61
20160421,27.61,28.05,27.61,27.68
20160422,27.69,28.17,27.67,27.95
20160425,27.68,27.89,27.21,27.40
20160426,27.13,27.90,27.01,27.61
20160427,27.66,27.94,27.39,27.80
20160428,27.68,28.00,27.39,27.49
20160429,27.29,27.39,26.47,26.78
20160502,26.85,27.65,26.62,27.50
20160503,27.20,27.28,26.53,26.58
20160504,26.46,27.09,26.22,26.24
20160505,26.61,27.81,26.61,27.22
20160506,27.05,27.73,26.93,27.67
20160509,27.71,27.99,27.45,27.57
20160510,27.65,28.53,27.65,28.48
20160511,28.46,28.46,28.00,28.06
20160512,28.21,28.37,27.04,27.31
20160513,27.26,27.54,26.96,27.04
20160516,27.09,27.09,26.51,26.64
20160517,26.52,26.93,26.34,26.45
20160518,25.98,26.01,25.44,25.93
20160519,25.78,25.91,25.09,25.10
20160520,25.22,25.78,25.03,25.17
20160523,25.11,25.55,25.10,25.15
20160524,25.40,25.54,25.14,25.38
20160525,25.47,26.01,25.40,25.87
20160526,25.94,26.18,25.75,25.97
20160527,26.02,26.46,25.99,26.37
20160531,26.47,26.84,26.34,26.77
20160601,26.67,26.81,26.41,26.66
20160602,26.53,27.23,26.53,27.11
20160603,27.11,27.14,26.58,27.09
20160606,27.13,27.57,27.06,27.54
20160607,27.04,27.07,26.51,26.83
20160608,26.96,27.11,26.74,26.90
20160609,26.76,26.76,26.15,26.29
20160610,25.95,26.30,25.13,25.26
20160613,25.27,25.62,25.07,25.08
20160614,25.05,25.18,24.62,24.82
20160615,24.88,25.24,24.65,24.70
20160616,24.57,24.72,24.25,24.68
20160617,24.72,25.07,24.58,24.75
20160620,25.08,25.44,25.00,25.03
20160621,25.00,25.07,24.41,24.66
20160622,24.66,25.18,24.66,24.84
20160623,25.08,25.21,24.92,25.11
20160624,24.12,24.19,23.29,23.35
20160627,23.12,23.44,22.51,22.54
20160628,22.78,22.88,22.43,22.66
20160629,22.84,23.21,22.60,23.08
20160630,23.19,23.86,23.19,23.85
20160701,23.90,24.11,23.72,23.89
20160705,23.75,23.86,23.28,23.44
20160706,23.37,23.95,23.22,23.90
20160707,23.98,24.33,23.96,24.23
20160708,24.40,24.63,24.29,24.44
20160711,24.61,24.67,24.25,24.25
20160712,24.45,24.63,24.39,24.55
20160713,24.61,24.69,24.42,24.52
20160714,24.77,24.82,24.48,24.72
20160715,24.77,24.77,24.03,24.33
