Date,Open,High,Low,Close
20151127,63.13,63.51,62.16,63.07
20151130,63.04,63.06,62.20,62.71
20151201,62.79,63.80,62.59,63.66
20151202,63.74,63.74,61.93,62.25
20151203,62.33,62.41,60.03,60.68
20151204,60.64,61.68,60.55,61.52
20151207,61.27,61.50,60.54,61.39
20151208,60.62,61.06,60.06,60.44
20151209,60.18,60.88,59.02,59.85
20151210,59.75,60.72,59.68,60.13
20151211,59.46,60.36,58.78,59.00
20151214,59.22,59.43,57.01,57.59
20151215,58.05,59.16,57.99,58.09
20151216,58.43,59.27,57.80,59.17
20151217,59.53,59.77,57.99,58.14
20151218,57.74,58.14,56.89,57.16
20151221,57.33,57.79,56.78,57.58
20151222,57.54,58.16,57.35,57.70
20151223,58.02,59.05,57.56,58.10
20151224,58.34,58.72,58.03,58.31
20151228,58.23,58.51,57.28,57.90
20151229,58.33,58.48,57.03,58.05
20151230,58.03,58.05,57.29,57.48
20151231,57.11,57.80,57.05,57.18
20160104,56.11,57.32,55.82,57.29
20160105,57.45,57.53,56.31,57.35
20160106,56.10,57.15,56.01,56.06
20160107,55.26,55.60,54.55,54.86
20160108,55.23,55.90,53.66,53.81
20160111,53.86,54.22,52.82,53.24
20160112,53.87,54.21,53.25,53.94
20160113,54.02,54.23,51.48,52.07
20160114,52.28,52.48,51.35,51.73
20160115,50.28,51.99,49.43,49.94
20160119,50.75,50.78,48.42,48.90
20160120,48.25,48.83,46.64,48.36
20160121,48.19,48.63,47.33,47.67
20160122,48.45,49.16,48.31,49.10
20160125,48.79,48.94,46.97,47.06
20160126,47.18,48.52,47.02,48.36
20160127,48.03,48.44,46.97,47.09
20160128,47.51,47.71,46.53,47.00
20160129,47.41,48.30,47.14,48.27
20160201,47.74,48.23,46.91,47.88
20160202,47.39,47.69,46.65,46.76
20160203,47.36,47.75,45.76,47.68
20160204,47.77,48.51,47.43,47.79
20160205,47.69,47.87,45.26,45.56
20160208,45.43,45.53,41.38,42.27
20160209,41.49,41.83,40.02,40.68
20160210,41.15,41.74,39.51,39.71
20160211,39.28,42.02,38.85,41.55
20160212,42.13,43.52,41.32,43.31
20160216,43.95,44.33,43.20,44.15
20160217,45.21,46.46,44.65,46.07
20160218,45.51,46.88,41.38,43.17
20160219,42.68,44.50,42.45,44.21
20160222,44.47,46.47,44.22,46.46
20160223,46.35,46.68,44.61,46.06
20160224,45.59,46.51,45.00,46.42
20160225,46.57,46.57,45.69,46.51
20160226,47.28,47.82,46.47,46.70
20160229,46.93,47.57,46.57,47.13
20160301,47.42,48.76,46.97,48.74
20160302,48.50,49.14,47.44,48.84
20160303,48.74,49.42,48.21,49.29
20160304,49.45,50.13,49.08,49.93
20160307,49.50,50.05,49.42,49.85
20160308,49.61,49.79,48.59,48.90
20160309,49.23,49.43,48.56,48.95
20160310,49.06,50.35,48.12,48.71
20160311,49.42,49.92,48.71,49.54
20160314,49.50,49.73,48.87,49.04
20160315,48.90,48.90,48.08,48.58
20160316,48.19,49.18,48.19,48.97
20160317,49.01,49.56,48.78,49.27
20160318,49.49,49.62,49.01,49.13
20160321,48.90,49.09,48.22,48.29
20160322,47.95,48.30,47.54,48.11
