Date,Open,High,Low,Close
20151127,71.61,72.54,71.61,72.17
20151130,72.27,72.77,71.88,72.11
20151201,72.56,73.06,72.25,72.80
20151202,72.59,73.00,72.04,72.09
20151203,72.09,72.34,71.00,71.51
20151204,71.53,73.09,71.28,72.93
20151207,72.84,72.89,71.76,72.16
20151208,72.00,72.72,71.60,72.12
20151209,71.90,72.24,71.13,71.48
20151210,71.48,71.91,70.31,70.38
20151211,69.32,70.26,69.00,69.96
20151214,69.89,70.74,69.79,70.68
20151215,70.99,71.31,70.44,70.58
20151216,70.88,72.75,70.79,72.56
20151217,72.79,74.40,72.53,73.87
20151218,73.87,75.28,73.87,74.80
20151221,75.24,75.80,74.64,75.19
20151222,75.20,75.80,75.03,75.26
20151223,75.50,75.97,74.78,75.80
20151224,75.75,75.81,75.17,75.56
20151228,75.40,76.15,75.27,76.10
20151229,76.39,77.06,76.22,77.01
20151230,76.80,77.26,76.68,76.93
20151231,76.85,76.85,75.59,75.62
20160104,74.86,76.60,74.86,76.20
20160105,76.19,76.45,75.48,76.29
20160106,75.91,77.34,75.81,77.00
20160107,76.28,77.04,76.11,76.78
20160108,77.02,77.67,76.79,77.04
20160111,77.12,78.95,77.05,78.60
20160112,79.30,79.54,77.91,78.08
20160113,78.21,78.55,77.41,77.63
20160114,77.95,78.73,77.31,78.36
20160115,77.32,78.23,76.20,76.32
20160119,76.72,77.28,75.02,75.10
20160120,74.29,74.29,69.89,72.64
20160121,72.93,73.54,71.87,72.50
20160122,73.16,74.85,73.03,74.76
20160125,74.77,76.42,74.29,75.72
20160126,75.87,78.53,75.74,78.53
20160127,78.09,78.38,76.51,77.04
20160128,77.54,80.80,77.08,79.47
20160129,79.77,80.27,78.65,80.08
20160201,80.00,80.13,78.75,79.62
20160202,79.49,80.08,78.74,79.60
20160203,79.95,80.99,79.87,80.83
20160204,80.39,81.97,79.85,81.35
20160205,81.00,82.24,80.50,81.76
20160208,81.08,81.29,77.72,78.49
