Date,Open,High,Low,Close
20190320,52.75,53.50,49.50,49.80
20190321,49.99,50.00,48.20,48.98
20190322,48.80,49.95,48.16,48.60
20190325,48.60,49.40,48.00,49.15
20190326,49.00,49.75,48.18,48.85
20190327,49.00,50.78,49.00,50.10
20190328,50.90,51.00,49.92,50.85
20190329,49.52,52.48,49.18,51.63
20190401,52.30,54.39,51.25,53.50
20190402,55.12,57.39,54.30,56.25
20190403,57.08,57.20,55.51,56.88
20190404,57.20,60.52,57.10,59.71
20190405,58.39,58.98,56.27,57.24
20190408,56.50,58.39,56.27,57.15
20190409,56.80,57.20,56.08,56.27
20190410,55.99,56.41,55.10,55.71
20190411,55.70,56.21,54.83,54.89
20190412,55.93,58.33,55.93,58.30
20190415,58.57,58.85,57.29,57.78
20190416,58.71,58.99,57.84,58.50
20190417,58.95,59.05,58.20,58.32
20190418,58.36,58.61,57.55,57.77
20190422,57.48,58.41,57.26,57.89
20190423,57.29,57.84,57.00,57.64
20190424,57.49,57.89,55.87,55.98
20190425,55.76,55.98,54.82,55.33
20190426,55.30,55.60,54.95,55.25
20190429,55.05,55.69,54.80,55.50
20190430,55.76,57.21,55.60,56.73
20190501,56.82,57.48,55.88,56.13
20190502,55.54,56.49,52.03,52.70
20190503,53.20,53.35,51.72,53.30
20190506,52.15,54.03,51.70,53.46
20190507,52.86,53.33,52.65,52.95
20190508,53.33,53.40,52.31,52.48
20190509,52.26,53.14,51.55,52.93
20190510,52.94,53.71,52.49,53.07
20190513,52.28,52.55,50.76,50.95
20190514,51.33,53.00,50.84,52.48
20190515,51.98,53.33,51.67,52.95
20190516,53.29,53.55,52.73,52.98
20190517,52.34,52.52,50.66,50.80
20190520,50.40,50.54,49.92,50.08
20190521,50.28,51.19,50.02,50.63
20190522,50.46,50.61,49.97,50.21
20190523,49.50,49.86,48.21,48.71
20190524,49.39,49.58,48.44,49.20
20190528,49.37,49.43,48.10,48.56
20190529,48.20,49.43,48.01,48.71
20190530,48.12,48.59,48.02,48.47
20190531,47.96,48.00,46.75,46.76
20190603,46.85,47.96,46.85,47.96
20190604,48.68,49.93,48.64,49.93
20190605,50.49,50.57,49.05,50.34
20190606,50.28,51.31,50.15,51.06
20190607,51.13,51.69,50.87,51.30
20190610,51.72,52.10,51.58,51.62
20190611,52.00,52.17,51.56,52.04
20190612,52.06,52.64,51.68,52.49
20190613,52.68,52.95,52.04,52.88
20190614,52.63,52.69,51.00,51.15
20190617,50.06,50.33,49.05,49.35
20190618,49.75,50.57,49.40,49.61
20190619,49.95,50.24,48.33,48.50
20190620,49.10,49.59,48.62,48.93
20190621,48.82,49.27,48.31,48.36
20190624,48.51,49.70,48.32,49.58
20190625,49.49,50.22,49.05,49.69
20190626,49.85,51.22,49.81,50.45
20190627,50.61,51.14,50.53,50.91
20190628,51.04,51.20,49.08,49.31
20190701,50.00,50.20,49.52,50.16
20190702,50.00,50.06,48.76,49.40
20190703,49.46,49.65,49.20,49.33
20190705,49.01,49.37,48.96,49.31
20190708,49.34,49.50,48.38,48.52
20190709,48.30,48.43,47.50,47.87
20190710,48.34,48.42,47.52,47.55
20190711,47.73,48.06,47.18,47.78
20190712,48.46,50.04,48.08,49.71
20190715,49.77,50.95,49.66,50.93
20190716,50.95,52.65,50.95,52.32
20190717,52.16,52.30,51.23,51.60
20190718,51.55,52.05,51.28,51.75
20190719,51.77,51.83,51.50,51.52
20190722,51.50,51.57,50.60,50.88
20190723,51.00,52.90,50.95,52.62
20190724,52.50,52.99,52.04,52.79
20190725,51.64,51.99,50.30,50.77
20190726,50.27,50.30,48.92,49.11
20190729,48.52,48.88,47.98,48.05
20190730,47.78,48.44,47.78,48.40
20190731,48.49,49.43,47.95,48.44
20190801,48.15,48.60,46.78,46.85
20190802,46.69,47.50,45.37,45.60
20190805,45.06,45.13,44.07,44.77
20190806,45.11,45.45,43.74,44.43
20190807,44.10,45.00,43.91,44.89
20190808,45.20,46.82,45.19,46.79
20190809,46.42,46.99,46.10,46.64
20190812,46.39,46.80,45.52,45.69
20190813,45.78,47.76,45.58,46.85
20190814,45.80,46.15,44.00,44.08
20190815,44.34,44.37,42.96,43.38
20190816,43.29,44.81,42.77,44.51
20190819,45.36,45.86,45.15,45.60
20190820,45.25,45.25,43.07,43.16
20190821,43.85,44.24,43.24,43.28
20190822,43.32,43.90,42.02,42.05
20190823,42.00,42.02,40.44,40.71
20190826,41.27,41.35,40.61,40.82
20190827,41.19,41.73,40.92,41.17
20190828,41.15,42.64,40.76,42.52
20190829,42.33,43.00,42.21,42.37
20190830,42.83,43.00,42.27,42.63
20190903,42.14,42.23,41.15,41.80
20190904,42.59,42.79,41.85,42.54
20190905,43.15,43.97,43.09,43.36
20190906,43.54,43.66,42.66,43.24
20190909,43.53,44.63,43.26,44.45
20190910,45.10,46.37,44.78,46.32
20190911,46.52,47.05,45.58,46.88
20190912,47.07,47.19,45.57,46.97
20190913,47.64,48.44,47.25,48.20
20190916,48.69,49.98,48.28,49.01
20190917,48.67,49.09,47.61,48.00
20190918,47.90,47.90,47.02,47.51
20190919,48.12,48.41,47.49,47.64
20190920,47.47,48.85,47.07,48.21
20190923,47.39,48.22,47.12,47.91
20190924,47.78,48.00,45.95,46.60
20190925,46.55,47.97,46.13,47.68
20190926,47.51,47.69,46.93,47.23
20190927,47.40,47.88,47.01,47.07
20190930,47.26,47.79,47.11,47.65
20191001,47.94,48.57,45.90,45.97
20191002,44.67,45.17,44.36,44.93
20191003,44.85,45.39,44.37,45.31
20191004,45.18,45.78,45.01,45.34
20191007,45.08,45.77,44.76,45.17
20191008,44.75,45.05,43.83,43.85
20191009,44.39,44.54,44.00,44.01
20191010,44.33,45.29,44.02,44.92
20191011,45.75,47.72,45.50,47.13
20191014,46.72,47.27,46.24,46.82
20191015,46.82,48.10,46.53,47.20
20191016,47.49,47.92,47.01,47.12
20191017,47.44,48.54,47.14,47.81
20191018,47.91,48.19,47.36,47.96
20191021,48.59,48.97,47.09,47.12
20191022,47.08,47.38,46.02,46.82
20191023,46.78,47.51,46.55,47.23
