Date,Open,High,Low,Close
20151127,57.15,57.28,56.76,57.05
20151130,56.89,57.06,56.02,56.17
20151201,56.60,56.76,56.13,56.72
20151202,56.49,56.76,56.06,56.30
20151203,56.42,56.97,55.01,55.20
20151204,55.53,57.61,55.36,57.43
20151207,57.50,59.13,57.50,58.92
20151208,58.46,59.72,58.24,59.18
20151209,58.59,59.74,57.99,58.09
20151210,58.22,58.70,57.58,57.75
20151211,57.07,57.89,56.97,57.77
20151214,57.88,59.19,57.64,58.59
20151215,58.96,59.60,58.33,59.00
20151216,59.49,60.14,58.21,59.29
20151217,59.40,60.05,58.39,58.39
20151218,59.63,63.04,59.48,62.50
20151221,62.91,63.98,62.71,63.70
20151222,64.11,64.38,63.26,64.08
20151223,64.35,64.90,64.14,64.50
20151224,64.45,64.84,64.30,64.56
20151228,64.56,64.72,63.55,64.30
20151229,64.67,64.88,64.37,64.45
20151230,64.55,64.86,64.22,64.29
20151231,64.13,64.24,63.58,63.64
20160104,62.88,63.07,62.33,62.75
20160105,63.49,63.89,62.71,63.89
20160106,62.83,63.61,62.56,62.92
20160107,62.28,63.16,62.07,62.48
20160108,62.65,63.39,61.88,62.01
20160111,62.39,62.66,61.59,61.96
20160112,62.32,62.60,61.40,62.51
20160113,62.48,63.18,61.83,61.86
20160114,61.85,62.01,60.20,61.67
20160115,60.58,60.94,58.97,60.23
20160119,61.02,61.51,60.35,60.83
20160120,59.92,60.33,57.95,59.67
20160121,59.50,60.74,58.89,60.32
20160122,60.90,62.23,60.77,61.93
20160125,62.10,62.59,61.31,61.47
20160126,61.20,62.69,60.91,62.66
20160127,62.25,63.16,61.81,62.59
20160128,62.56,63.98,62.26,63.26
20160129,62.70,63.24,61.59,63.06
20160201,62.84,63.88,62.06,63.33
20160202,62.65,63.38,61.69,62.15
20160203,62.35,62.51,60.54,61.93
20160204,61.65,62.09,61.00,61.52
20160205,61.20,61.45,58.81,58.99
20160208,58.70,59.81,58.22,59.54
20160209,58.70,59.15,57.98,58.48
20160210,59.00,59.08,57.58,57.59
20160211,57.08,57.95,55.77,57.14
20160212,57.63,59.04,57.19,58.67
20160216,58.81,59.99,58.66,59.54
20160217,59.64,61.65,59.40,61.54
20160218,61.22,61.86,60.62,61.52
20160219,61.53,61.83,60.26,61.19
20160222,61.57,62.45,61.34,62.14
20160223,62.37,63.86,62.01,62.86
20160224,62.42,63.47,61.45,63.32
20160225,63.37,63.88,62.86,63.74
20160226,63.69,64.36,63.45,63.74
20160229,63.47,64.23,63.19,63.88
20160301,64.31,64.66,63.94,64.25
20160302,63.96,64.73,63.93,64.68
20160303,64.51,65.00,63.52,64.82
20160304,64.51,64.95,64.16,64.93
20160307,64.76,65.34,64.50,65.15
