Date,Open,High,Low,Close
20151127,79.88,80.62,79.58,80.17
20151130,80.19,81.12,80.14,80.49
20151201,80.94,81.05,80.00,80.67
20151202,80.40,80.51,78.61,78.68
20151203,78.70,78.96,77.95,78.27
20151204,78.76,80.80,78.53,80.53
20151207,80.32,81.20,80.02,81.18
20151208,81.00,81.22,80.00,80.62
20151209,80.34,81.35,79.78,80.21
20151210,80.14,80.27,78.61,78.92
20151211,78.61,79.25,78.24,78.33
20151214,78.34,78.72,77.35,78.47
20151215,78.66,79.85,78.66,79.12
20151216,79.49,81.05,79.22,80.89
20151217,80.30,80.66,79.69,79.95
20151218,79.87,79.97,78.50,78.88
20151221,79.16,79.61,77.98,78.66
20151222,78.87,79.30,77.97,79.08
20151223,79.35,80.13,79.27,80.01
20151224,79.82,80.23,79.70,79.88
20151228,79.80,80.69,79.59,80.66
20151229,80.97,81.88,80.79,81.44
20151230,81.59,81.93,81.23,81.54
20151231,81.43,81.67,79.34,80.19
20160104,79.50,79.67,78.42,79.14
20160105,78.96,80.10,78.01,79.95
20160106,79.37,80.07,79.13,79.59
20160107,78.78,79.49,78.49,78.72
20160108,78.72,79.16,78.25,78.38
20160111,78.59,79.37,78.58,79.15
20160112,79.77,79.77,78.46,79.60
20160113,80.42,81.18,80.01,80.25
20160114,80.19,81.82,79.87,81.32
20160115,80.29,81.20,79.82,80.54
20160119,81.26,82.43,80.87,82.23
20160120,81.71,82.39,79.53,80.19
20160121,80.18,80.76,78.72,79.25
20160122,79.94,81.42,79.38,81.33
20160125,81.37,81.43,80.53,80.76
20160126,81.11,82.27,80.85,81.70
20160127,81.26,82.54,81.04,82.00
20160128,82.00,83.90,81.59,83.25
20160129,84.00,85.18,82.81,85.01
20160201,84.51,85.84,84.29,85.31
20160202,85.15,86.31,84.98,86.22
20160203,86.67,87.84,86.10,87.09
20160204,86.94,87.56,86.44,86.61
20160205,86.18,86.86,85.04,86.45
20160208,86.84,87.81,85.24,86.22
20160209,86.03,87.12,85.79,86.85
20160210,85.63,86.78,83.80,85.79
20160211,85.93,86.45,84.03,84.08
20160212,83.74,84.51,82.93,83.72
20160216,83.64,84.63,83.23,84.54
20160217,84.55,84.83,83.57,84.22
20160218,84.37,85.69,84.04,85.14
20160219,84.95,85.21,84.11,84.72
20160222,85.02,85.75,84.69,85.39
20160223,84.97,86.05,84.72,85.76
20160224,85.69,86.39,85.20,86.06
20160225,86.33,87.04,86.00,86.97
20160226,86.46,86.73,84.26,84.29
20160229,84.20,85.01,84.01,84.12
20160301,84.61,84.80,83.15,83.83
20160302,83.46,84.15,81.75,84.06
20160303,84.25,84.25,82.60,84.01
20160304,83.58,85.08,83.27,84.86
20160307,84.53,86.18,84.39,86.17
20160308,86.22,87.60,85.73,87.26
20160309,88.33,88.58,87.59,87.93
20160310,87.70,88.32,87.19,88.00
20160311,88.48,88.83,87.85,88.25
20160314,88.15,88.53,87.63,88.06
20160315,87.75,88.72,87.69,88.37
20160316,87.96,89.72,87.32,89.48
20160317,89.10,89.71,88.31,89.46
20160318,89.67,89.79,88.62,88.91
20160321,88.49,89.31,87.72,88.91
20160322,88.80,89.31,88.26,88.37
20160323,88.44,89.71,87.92,89.39
20160324,88.99,89.62,88.74,89.46
20160328,89.50,90.03,88.91,89.28
20160329,89.26,90.91,88.94,90.87
20160330,90.93,91.00,90.25,90.72
20160331,90.72,90.93,90.19,90.66
20160401,90.62,91.20,89.94,91.05
20160404,91.05,91.23,89.84,90.72
20160405,90.50,90.72,88.92,89.05
20160406,88.93,89.24,88.43,88.99
20160407,88.66,89.32,88.54,88.77
20160408,89.00,89.78,88.55,89.00
20160411,89.08,89.69,88.56,88.59
20160412,88.94,89.23,88.60,89.09
20160413,89.40,89.46,88.00,88.69
20160414,88.57,88.90,88.10,88.28
20160415,88.58,89.29,88.14,89.12
20160418,89.11,89.32,88.49,89.24
20160419,89.26,89.58,88.99,89.55
20160420,89.50,89.80,86.93,87.06
20160421,86.80,86.96,84.77,85.07
20160422,85.55,86.24,85.21,85.77
20160425,85.69,86.28,85.37,86.27
20160426,86.19,87.04,85.47,86.07
20160427,86.46,88.03,85.83,87.45
20160428,86.47,88.13,86.36,88.05
20160429,87.56,89.32,86.98,89.16
20160502,89.09,90.49,88.78,90.13
20160503,90.04,90.54,89.29,89.70
20160504,89.51,91.95,89.51,91.21
20160505,90.95,92.32,90.71,91.10
20160506,91.08,91.08,89.56,90.04
20160509,90.23,90.49,89.81,90.34
20160510,90.64,90.79,90.05,90.28
20160511,90.41,90.82,89.67,90.69
20160512,90.81,91.57,90.24,91.33
20160513,91.29,91.41,90.37,90.87
20160516,90.71,91.03,90.16,90.88
20160517,90.60,90.76,88.70,89.12
20160518,88.52,89.68,87.34,87.72
20160519,87.39,88.68,86.81,88.65
20160520,88.97,88.97,88.12,88.69
20160523,88.70,88.79,87.69,87.75
20160524,88.10,89.35,88.00,89.22
20160525,89.00,89.10,88.36,88.69
20160526,88.75,89.90,88.43,89.72
20160527,89.81,90.24,89.44,90.21
20160531,90.04,90.77,89.83,90.68
20160601,90.60,91.14,90.42,91.12
20160602,90.91,91.11,90.02,91.11
20160603,92.00,93.27,91.94,92.83
20160606,92.83,93.14,92.14,92.59
20160607,92.79,93.26,92.51,92.70
20160608,92.71,93.46,92.37,93.38
20160609,93.39,94.23,93.35,94.05
20160610,93.99,94.44,93.53,93.91
20160613,94.00,94.37,93.71,93.83
20160614,93.92,95.03,93.43,94.98
20160615,95.03,95.03,93.56,94.00
20160616,92.78,94.16,92.78,93.94
20160617,94.07,94.49,93.33,94.38
20160620,94.29,94.49,93.09,93.91
20160621,93.91,94.61,93.35,94.03
20160622,94.27,94.27,93.58,93.75
20160623,93.91,94.08,93.28,94.06
20160624,93.45,96.53,93.35,95.58
20160627,95.36,96.95,95.36,96.49
20160628,96.49,96.90,95.41,96.79
20160629,97.14,97.57,96.74,97.10
20160630,97.28,99.13,97.06,99.12
20160701,99.64,100.00,98.27,99.28
20160705,99.38,100.26,99.27,100.10
20160706,100.14,100.45,99.34,99.95
20160707,99.69,100.02,97.94,98.19
