Date,Open,High,Low,Close
20151127,67.74,68.30,67.49,67.51
20151130,67.61,68.23,67.55,67.76
20151201,68.05,68.44,67.39,68.06
20151202,67.88,67.94,66.06,66.13
20151203,66.04,66.73,65.50,66.23
20151204,66.49,67.10,66.30,67.04
20151207,66.80,68.56,66.77,68.50
20151208,68.27,68.60,67.81,68.44
20151209,68.17,69.50,67.90,68.61
20151210,68.45,68.46,67.31,67.43
20151211,67.19,67.98,66.99,67.84
20151214,67.81,68.50,67.25,68.45
20151215,68.57,69.53,68.26,68.84
20151216,69.29,70.29,69.11,70.03
20151217,70.07,71.02,69.70,70.50
20151218,70.08,70.35,68.78,69.60
20151221,69.96,70.26,69.33,69.81
20151222,70.35,71.15,69.66,70.95
20151223,71.15,72.31,71.08,72.00
20151224,72.00,72.39,71.90,72.04
20151228,71.75,72.26,71.60,71.92
20151229,72.28,72.75,72.17,72.37
20151230,72.37,72.60,72.12,72.19
20151231,72.14,72.22,70.74,71.39
20160104,70.93,71.21,70.16,71.19
20160105,71.18,71.85,70.18,71.70
20160106,71.11,72.18,70.87,71.86
20160107,71.05,71.77,70.89,71.20
20160108,71.19,71.68,70.91,71.04
20160111,71.25,72.05,71.20,71.83
20160112,72.14,72.26,70.60,71.27
20160113,71.36,72.35,71.29,71.70
20160114,71.73,72.83,71.16,72.37
20160115,71.48,72.30,71.02,72.08
20160119,72.47,73.36,72.09,73.16
20160120,72.57,72.99,70.65,71.42
20160121,71.70,72.14,70.35,71.09
20160122,71.58,72.24,70.95,72.18
20160125,72.19,72.29,71.52,71.80
20160126,72.00,73.20,71.74,72.22
20160127,72.00,72.89,71.66,72.41
20160128,72.17,73.96,71.83,73.47
20160129,73.99,75.41,73.93,75.30
20160201,75.18,77.68,75.02,77.00
20160202,76.09,76.94,76.03,76.75
20160203,76.84,78.72,76.76,78.56
20160204,78.27,79.03,77.88,78.58
20160205,78.17,79.22,77.35,79.04
20160208,79.25,80.10,78.60,79.17
20160209,78.75,79.81,78.24,78.93
