Date,Open,High,Low,Close
20151127,45.44,45.70,44.68,44.87
20151130,45.08,46.57,44.88,46.01
20151201,46.11,46.52,45.67,46.49
20151202,45.78,46.08,43.44,43.53
20151203,43.87,43.87,40.68,41.10
20151204,40.34,40.99,39.62,40.53
20151207,37.76,38.26,36.13,36.44
20151208,35.30,35.76,33.52,35.19
20151209,36.39,36.47,34.38,35.32
20151210,35.10,36.70,34.70,35.51
20151211,34.54,35.40,33.41,33.55
20151214,33.37,33.72,31.40,31.54
20151215,31.98,32.44,31.50,31.87
20151216,31.85,32.05,29.98,30.57
20151217,30.51,30.66,28.00,28.98
20151218,28.95,29.98,28.58,28.67
20151221,28.70,29.67,28.39,28.83
20151222,28.82,30.34,28.65,29.83
20151223,30.61,33.38,30.60,33.20
20151224,33.22,33.47,32.03,32.70
20151228,32.24,32.48,31.28,31.69
20151229,32.31,32.84,31.51,32.24
20151230,31.50,32.53,30.73,31.00
20151231,30.99,32.20,30.57,32.00
20160104,31.78,32.91,31.53,32.32
20160105,32.20,32.93,31.56,32.83
20160106,31.61,31.63,30.13,30.21
20160107,29.21,30.13,27.90,28.06
20160108,28.35,28.93,27.45,28.50
20160111,28.80,28.83,26.51,26.97
20160112,27.66,27.86,24.55,25.72
20160113,26.36,26.69,24.22,24.80
20160114,25.04,26.22,24.18,25.96
20160115,24.37,24.65,23.36,24.49
20160119,24.88,24.88,22.75,23.48
20160120,22.56,22.65,19.69,21.59
20160121,21.33,24.92,21.18,24.18
20160122,26.44,27.50,24.97,25.63
20160125,24.75,26.02,22.76,22.77
20160126,23.89,24.65,22.70,24.56
20160127,24.16,25.85,23.52,24.49
20160128,25.80,26.99,25.21,26.79
20160129,27.06,28.66,26.80,27.90
20160201,27.03,27.03,25.40,26.06
20160202,24.88,25.38,24.46,24.69
20160203,25.35,26.60,24.12,26.59
20160204,26.77,28.87,26.42,26.56
20160205,25.85,25.94,24.34,24.85
20160208,24.06,24.18,22.24,23.68
20160209,22.73,23.40,22.12,22.66
20160210,22.20,23.42,21.32,21.63
20160211,21.02,21.60,19.62,21.25
20160212,20.62,21.82,20.57,21.69
20160216,22.34,22.53,20.25,21.26
20160217,20.41,20.83,18.38,20.33
20160218,19.21,20.41,18.99,19.70
20160219,19.25,19.31,18.07,18.65
20160222,18.65,20.50,18.65,20.30
20160223,20.08,20.39,18.89,18.91
20160224,18.46,19.50,18.22,19.41
