Date,Open,High,Low,Close
20151127,34.34,34.93,34.03,34.09
20151130,26.69,27.65,25.76,27.10
20151201,27.07,27.28,26.75,27.10
20151202,27.03,27.25,26.67,26.70
20151203,26.72,26.73,25.70,26.01
20151204,26.01,26.55,26.01,26.48
20151207,26.38,26.64,26.25,26.63
20151208,26.25,26.70,26.12,26.35
20151209,26.40,26.88,26.15,26.39
20151210,26.37,26.61,26.25,26.49
20151211,26.14,26.33,25.57,25.77
20151214,25.86,26.13,25.53,25.88
20151215,26.14,26.50,25.91,26.22
20151216,26.47,27.23,26.19,27.14
20151217,27.10,27.61,26.87,27.15
20151218,27.06,27.47,26.83,27.26
20151221,27.35,27.99,27.24,27.90
20151222,27.87,28.09,27.77,27.87
20151223,27.90,28.73,27.85,28.58
20151224,28.55,28.79,28.53,28.69
20151228,28.62,28.67,28.19,28.60
20151229,28.59,29.12,28.56,28.68
20151230,28.68,28.89,28.56,28.65
20151231,28.50,28.64,28.09,28.27
20160104,27.56,27.82,27.08,27.37
20160105,27.37,27.41,26.78,26.86
20160106,26.48,26.77,26.43,26.59
20160107,26.10,26.61,26.06,26.23
20160108,26.33,26.43,25.49,25.52
20160111,25.54,25.70,25.16,25.58
20160112,25.78,25.95,25.38,25.79
20160113,25.93,25.99,24.82,24.93
20160114,25.09,25.71,24.73,25.48
20160115,24.72,25.19,24.57,25.14
20160119,25.43,25.49,24.84,24.98
20160120,24.50,25.62,24.35,25.28
20160121,25.25,25.48,24.88,24.92
20160122,25.39,26.30,25.39,26.26
20160125,26.22,26.38,25.61,25.77
20160126,25.80,26.37,25.73,26.19
20160127,26.15,27.02,26.11,26.27
20160128,26.66,26.89,26.34,26.61
20160129,26.76,27.75,26.75,27.74
20160201,27.60,27.71,27.32,27.46
20160202,27.26,27.56,26.98,27.08
20160203,27.30,27.47,26.60,27.06
20160204,27.02,27.81,27.02,27.60
20160205,27.56,27.75,27.21,27.24
20160208,26.60,26.71,26.10,26.56
20160209,26.31,26.96,26.29,26.64
20160210,20.99,24.39,20.99,23.98
20160211,23.56,24.18,23.13,23.40
20160212,23.57,24.01,23.28,23.89
20160216,24.31,24.58,23.84,23.91
20160217,24.03,24.28,23.65,24.24
20160218,24.18,24.25,23.69,23.81
20160219,23.53,23.82,23.28,23.75
20160222,24.07,24.31,23.75,24.03
20160223,24.01,24.31,23.88,23.94
20160224,23.44,24.13,23.44,24.04
20160225,24.07,24.15,23.65,24.12
20160226,24.28,24.76,23.92,24.68
20160229,24.60,25.17,24.33,24.92
20160301,25.11,25.95,24.98,25.74
20160302,25.74,26.16,25.61,26.14
20160303,26.17,26.63,26.01,26.62
20160304,26.61,26.63,26.17,26.39
20160307,26.33,26.73,26.19,26.56
20160308,26.41,26.56,25.74,25.98
20160309,26.17,26.29,25.97,26.22
20160310,26.27,26.58,25.66,26.04
20160311,26.24,26.63,26.22,26.44
20160314,26.42,26.69,25.93,26.50
20160315,26.38,26.80,26.31,26.73
20160316,26.65,26.76,26.36,26.72
20160317,26.74,27.40,26.69,27.33
20160318,27.30,27.48,27.05,27.20
20160321,27.12,27.38,27.09,27.32
20160322,27.26,27.45,27.17,27.34
20160323,27.30,27.60,27.19,27.38
20160324,27.23,27.57,27.16,27.56
20160328,27.65,28.24,27.53,27.99
20160329,27.94,29.01,27.90,28.96
20160330,29.07,29.58,29.03,29.44
20160331,29.44,29.84,29.33,29.75
20160401,29.48,29.67,29.13,29.65
20160404,29.68,29.75,29.04,29.15
20160405,28.95,29.09,28.69,28.73
20160406,28.73,29.00,28.60,28.98
20160407,28.89,28.91,28.30,28.52
20160408,28.75,28.99,28.62,28.82
20160411,28.99,29.20,28.62,28.65
20160412,28.66,28.98,28.49,28.72
20160413,28.43,28.82,28.24,28.82
20160414,28.77,29.13,28.73,28.93
20160415,29.01,29.23,28.88,28.92
20160418,28.71,28.98,28.51,28.90
20160419,28.92,29.23,28.48,28.61
20160420,28.67,28.92,28.52,28.67
20160421,28.58,28.87,28.47,28.62
20160422,28.53,28.80,28.49,28.75
20160425,28.57,28.85,28.37,28.56
20160426,28.61,28.98,28.48,28.79
20160427,28.78,29.08,28.59,29.04
20160428,28.95,29.31,28.77,28.82
20160429,28.79,28.79,28.12,28.66
20160502,28.69,29.01,28.58,29.00
20160503,28.83,28.87,28.35,28.59
20160504,28.45,28.53,28.22,28.29
20160505,28.23,28.84,28.21,28.59
20160506,28.41,29.04,28.26,29.01
20160509,29.07,29.31,28.94,29.05
20160510,29.20,29.52,29.06,29.51
20160511,29.41,29.58,29.11,29.20
20160512,29.38,29.38,28.84,29.17
20160513,29.19,29.45,29.01,29.26
20160516,29.27,29.97,29.27,29.75
20160517,29.78,29.97,29.35,29.42
20160518,29.42,29.77,29.31,29.57
20160519,29.54,30.02,29.51,29.79
20160520,29.82,30.33,29.80,30.29
20160523,30.26,30.41,30.09,30.28
20160524,30.35,31.16,30.35,30.84
20160525,41.01,44.03,40.31,43.81
20160526,43.72,44.20,41.59,41.69
20160527,41.63,42.70,41.54,42.60
