Date,Open,High,Low,Close
20151127,29.09,29.22,28.79,29.10
20151130,29.09,29.63,29.04,29.59
20151201,29.75,29.83,29.02,29.05
20151202,29.16,29.41,28.79,28.97
20151203,29.00,29.00,28.12,28.59
20151204,28.72,29.59,28.59,29.35
20151207,29.29,29.37,28.82,29.05
20151208,28.93,29.10,28.50,28.79
20151209,28.42,28.85,28.14,28.34
20151210,28.28,28.90,28.23,28.57
20151211,28.19,28.43,27.87,27.97
20151214,28.10,28.42,27.85,28.04
20151215,28.23,28.60,28.22,28.31
20151216,28.52,28.66,28.26,28.57
20151217,28.65,28.75,28.03,28.05
20151218,27.84,28.07,27.45,27.46
20151221,27.62,27.71,27.26,27.59
20151222,27.62,28.07,27.42,27.89
20151223,28.00,28.04,27.65,27.78
20151224,27.91,27.94,27.60,27.66
20151228,27.52,27.69,27.32,27.64
20151229,27.73,28.00,27.70,27.91
20151230,27.73,27.99,27.71,27.75
20151231,27.63,27.69,27.45,27.48
20160104,27.11,27.25,26.08,26.43
20160105,26.61,26.86,25.94,26.12
20160106,25.83,26.66,25.77,26.41
20160107,25.80,26.47,25.60,25.69
20160108,25.97,26.16,25.67,25.75
20160111,25.95,26.25,25.80,26.10
20160112,26.11,26.40,25.92,26.21
20160113,26.41,26.46,25.26,25.41
20160114,25.42,26.15,24.95,25.86
20160115,25.05,25.48,24.80,25.26
20160119,25.61,25.91,25.36,25.77
20160120,24.84,26.14,24.76,25.82
20160121,25.87,26.25,25.32,26.09
20160122,26.46,26.74,26.11,26.43
20160125,26.40,26.55,26.10,26.14
20160126,26.20,26.67,26.20,26.65
20160127,26.71,27.07,26.10,26.42
20160128,23.23,24.13,22.40,23.13
20160129,23.19,23.48,22.95,23.46
20160201,23.34,24.23,23.26,23.94
20160202,23.72,23.76,23.21,23.29
20160203,23.45,23.73,22.91,23.50
20160204,23.49,23.61,23.09,23.49
20160205,23.45,23.51,23.06,23.20
20160208,22.86,22.88,21.52,22.48
20160209,22.19,23.00,21.91,22.01
20160210,22.27,22.72,22.08,22.32
20160211,21.93,22.45,21.64,22.08
20160212,22.38,22.62,22.23,22.49
20160216,22.30,23.00,22.23,22.95
20160217,23.08,23.28,22.90,23.22
20160218,23.12,23.67,23.08,23.53
20160219,23.43,23.86,23.35,23.81
20160222,23.95,24.29,23.92,24.24
20160223,24.04,24.20,23.61,23.62
20160224,23.43,24.02,23.28,23.96
20160225,24.03,24.20,23.89,24.18
20160226,24.39,24.54,24.13,24.18
20160229,24.12,24.35,23.77,23.80
20160301,23.99,24.25,23.62,24.25
20160302,24.13,24.19,23.66,23.72
20160303,23.69,23.99,23.58,23.94
20160304,24.06,24.62,23.93,24.41
20160307,24.36,24.40,24.06,24.26
20160308,24.02,24.39,23.69,24.07
20160309,24.34,24.49,23.70,23.95
20160310,24.04,24.10,22.98,23.69
20160311,23.97,24.08,23.90,24.02
20160314,24.02,24.35,23.90,24.28
20160315,24.10,24.15,23.54,23.58
20160316,23.45,23.79,22.88,23.68
20160317,23.78,23.93,23.34,23.76
20160318,23.76,23.97,23.19,23.77
20160321,23.81,24.49,23.75,24.34
20160322,24.16,24.33,24.10,24.13
20160323,24.09,24.28,23.96,24.17
20160324,24.13,24.37,24.00,24.33
20160328,24.29,24.34,24.08,24.12
20160329,23.70,24.11,23.36,24.10
20160330,24.06,24.57,24.01,24.04
20160331,24.13,24.15,23.80,23.86
20160401,24.37,24.38,23.67,23.88
20160404,23.40,24.18,23.40,24.03
20160405,23.69,24.67,23.65,24.39
20160406,24.45,25.52,24.36,25.43
20160407,25.28,25.28,23.96,24.10
20160408,24.21,24.38,23.88,24.07
20160411,24.17,24.44,24.04,24.06
20160412,24.19,24.55,24.03,24.42
20160413,24.58,25.60,24.55,25.08
20160414,25.29,25.32,24.96,25.21
20160415,25.31,25.33,25.00,25.22
20160418,24.80,25.47,24.80,25.31
20160419,24.65,24.88,24.08,24.30
20160420,24.30,24.86,24.26,24.66
20160421,24.63,24.87,24.60,24.69
20160422,24.61,24.97,24.37,24.40
20160425,24.40,24.54,24.15,24.22
20160426,24.17,24.72,24.17,24.49
20160427,25.33,26.21,25.19,25.27
20160428,25.09,25.34,24.55,24.62
20160429,24.37,24.58,24.06,24.43
20160502,24.18,24.39,24.06,24.26
20160503,24.07,24.25,23.88,23.98
20160504,23.82,24.04,23.73,23.80
20160505,24.02,24.05,23.76,23.81
20160506,23.67,23.84,23.54,23.82
20160509,23.79,24.14,23.73,24.02
20160510,24.04,24.22,23.95,24.16
20160511,24.12,24.18,23.74,23.74
20160512,23.91,23.92,23.50,23.58
20160513,23.65,23.93,23.60,23.78
20160516,23.68,23.88,23.61,23.80
20160517,23.64,23.80,23.18,23.27
20160518,23.31,23.85,23.22,23.69
20160519,23.59,23.67,23.25,23.42
20160520,23.44,23.76,23.31,23.65
20160523,23.38,23.82,23.34,23.46
20160524,23.64,24.18,23.64,24.05
20160525,23.91,24.20,23.89,24.04
20160526,23.98,24.13,23.86,24.12
20160527,24.17,24.40,24.15,24.36
20160531,24.29,24.62,24.24,24.46
20160601,24.43,24.44,24.04,24.07
20160602,24.15,24.27,23.88,24.25
20160603,24.21,24.25,23.75,23.98
20160606,23.98,24.10,23.87,23.99
20160607,24.13,24.36,24.11,24.28
20160608,24.25,24.34,24.11,24.23
20160609,24.19,24.38,24.07,24.33
20160610,24.16,24.27,23.91,24.07
20160613,24.02,24.13,23.84,23.89
20160614,23.79,24.01,23.63,23.88
20160615,23.99,24.08,23.79,23.96
20160616,23.94,23.96,23.47,23.85
20160617,23.74,23.89,23.59,23.79
20160620,24.34,24.87,24.26,24.57
20160621,24.54,24.77,24.45,24.70
20160622,24.62,24.75,24.32,24.34
20160623,24.69,24.95,24.60,24.85
20160624,23.77,23.89,22.81,23.13
20160627,22.95,23.12,22.30,22.72
20160628,22.89,23.11,22.77,22.99
20160629,23.18,23.38,23.07,23.31
20160630,23.36,23.47,23.25,23.41
20160701,23.43,23.95,23.41,23.78
20160705,23.71,23.82,23.43,23.76
20160706,23.71,23.85,23.30,23.83
20160707,23.92,24.00,23.75,23.93
20160708,24.02,24.66,23.95,24.61
20160711,24.74,25.02,24.64,24.86
20160712,24.97,25.34,24.97,25.13
20160713,25.12,25.27,24.98,25.12
20160714,25.45,26.26,25.40,26.08
20160715,26.20,26.34,25.95,26.34
20160718,26.23,26.56,26.17,26.49
20160719,26.59,26.72,26.39,26.50
20160720,26.61,27.14,26.41,26.99
20160721,28.87,30.31,28.79,29.93
20160722,29.81,30.56,29.75,30.49
20160725,30.31,30.86,30.27,30.68
20160726,30.56,31.41,30.56,31.40
20160727,31.44,31.79,31.10,31.31
20160728,31.28,31.49,31.07,31.17
20160729,31.12,31.24,30.90,31.16
20160801,31.30,31.39,31.13,31.25
20160802,31.07,31.21,30.69,30.79
20160803,30.80,31.04,30.74,30.95
20160804,30.94,31.31,30.85,31.06
20160805,31.15,31.45,31.13,31.39
20160808,31.38,31.38,30.94,31.15
20160809,31.22,31.24,30.94,31.11
20160810,31.11,31.25,30.94,31.12
20160811,31.19,31.50,31.02,31.20
20160812,31.22,31.27,30.89,30.89
20160815,31.00,31.31,30.64,31.05
20160816,30.90,30.98,30.58,30.83
20160817,30.88,30.90,30.49,30.61
20160818,30.51,30.67,30.42,30.52
20160819,30.46,30.65,30.36,30.63
20160822,30.46,30.64,30.37,30.62
20160823,30.68,30.97,30.65,30.67
20160824,30.74,31.33,30.73,31.25
20160825,31.08,31.45,31.06,31.34
20160826,31.34,31.63,31.09,31.31
20160829,31.25,31.50,31.14,31.40
20160830,31.46,32.03,31.36,31.77
20160831,31.66,32.23,31.59,32.16
20160901,32.15,32.24,31.88,32.13
20160902,32.30,32.50,32.11,32.28
20160906,32.20,32.66,32.15,32.41
20160907,32.45,32.73,32.29,32.51
20160908,32.50,32.81,32.38,32.70
20160909,32.42,32.59,31.86,31.89
20160912,31.67,32.57,31.55,32.49
20160913,32.16,32.29,31.71,31.91
20160914,32.07,32.13,31.70,31.80
20160915,31.74,31.98,31.33,31.98
20160916,31.71,31.88,31.63,31.77
20160919,31.81,31.96,31.43,31.57
20160920,31.75,31.80,31.23,31.36
20160921,31.56,32.02,31.50,31.97
20160922,32.02,32.34,32.02,32.28
20160923,32.28,32.38,32.07,32.07
20160926,31.88,32.01,31.59,31.67
20160927,31.80,32.10,31.68,31.94
20160928,31.95,31.98,31.67,31.85
20160929,33.04,33.19,32.19,32.30
20160930,32.49,33.02,32.46,32.90
20161003,31.30,32.65,31.30,32.55
20161004,32.71,33.03,32.42,32.56
20161005,32.40,32.47,32.08,32.15
20161006,32.12,32.21,31.86,32.13
20161007,32.25,32.25,31.04,31.62
20161010,32.01,32.25,31.89,31.95
20161011,31.96,31.98,31.14,31.46
20161012,31.28,31.61,31.28,31.50
20161013,31.79,31.83,31.08,31.51
20161014,31.82,32.24,31.60,31.89
20161017,32.39,32.39,31.38,31.81
20161018,32.05,32.37,31.57,31.64
20161019,31.91,32.64,31.72,32.52
20161020,29.50,29.84,28.75,29.02
20161021,29.06,29.19,28.60,29.06
20161024,29.26,29.71,29.15,29.22
20161025,29.20,29.39,28.94,29.05
20161026,29.00,29.05,28.77,28.82
20161027,28.97,29.07,28.63,28.81
20161028,28.86,29.10,28.47,28.60
20161031,28.77,28.77,28.44,28.51
20161101,28.51,28.70,28.09,28.38
20161102,28.24,28.51,28.11,28.26
20161103,28.17,28.45,28.02,28.06
20161104,28.10,28.29,27.94,27.95
20161107,28.34,28.37,28.08,28.24
20161108,28.09,28.25,27.63,28.03
20161109,27.34,28.47,27.33,28.29
20161110,28.39,28.75,27.82,28.16
