Date,Open,High,Low,Close
20151127,62.07,62.42,62.03,62.21
20151130,62.27,62.60,62.05,62.15
20151201,62.38,62.66,62.01,62.59
20151202,62.30,62.57,61.41,61.47
20151203,61.28,61.28,60.30,60.50
20151204,60.72,62.17,60.72,62.15
20151207,62.15,62.81,61.85,62.78
20151208,62.66,63.62,62.29,63.47
20151209,63.28,63.94,62.61,63.02
20151210,62.87,62.99,60.96,61.15
20151211,60.92,61.44,60.32,60.81
20151214,61.22,62.05,61.07,62.04
20151215,62.27,63.22,62.22,62.67
20151216,62.96,64.30,62.88,64.22
20151217,64.17,64.72,63.69,64.22
20151218,64.03,64.15,62.95,63.29
20151221,63.53,63.82,63.04,63.41
20151222,63.46,63.88,62.83,63.70
20151223,63.91,64.85,63.73,64.79
20151224,64.63,64.92,64.58,64.75
20151228,64.43,65.13,64.17,65.09
20151229,65.09,65.66,64.92,65.14
20151230,65.14,65.52,65.01,65.25
20151231,65.19,65.25,63.80,64.27
20160104,63.85,64.42,63.47,64.40
20160105,64.44,65.17,63.58,64.91
20160106,64.45,65.47,64.20,65.22
20160107,64.54,65.96,64.50,65.72
20160108,65.82,66.80,65.72,66.43
20160111,66.59,67.45,66.17,66.31
20160112,66.35,66.69,65.11,65.50
20160113,65.68,66.99,65.59,66.68
20160114,66.56,67.99,66.08,67.62
20160115,66.51,67.87,66.50,67.68
20160119,68.00,69.26,67.65,69.07
20160120,68.66,69.05,67.73,68.25
20160121,68.25,68.98,66.20,67.69
20160122,68.22,68.32,66.67,67.97
20160125,68.17,68.23,67.48,67.81
20160126,67.92,69.14,67.67,67.99
20160127,67.87,68.64,67.48,68.33
20160128,68.24,69.63,67.65,69.15
20160129,69.70,70.20,69.21,69.39
20160201,69.41,70.81,69.08,70.42
20160202,70.16,71.22,69.88,71.12
20160203,71.26,72.31,71.22,71.67
20160204,71.43,71.85,70.73,71.53
20160205,71.21,72.24,70.14,72.04
20160208,72.14,73.15,71.97,73.08
20160209,73.12,73.90,72.72,73.61
20160210,73.49,73.70,71.94,73.39
20160211,73.39,73.68,72.08,72.15
20160212,71.81,72.00,69.75,70.72
20160216,70.91,71.08,69.93,70.97
20160217,70.41,70.72,69.34,69.97
20160218,70.03,71.98,69.85,71.31
20160219,71.00,71.61,69.68,70.87
20160222,71.00,71.68,70.32,71.58
20160223,71.58,72.31,71.07,72.05
20160224,71.77,72.40,71.19,71.57
20160225,71.67,72.49,71.43,72.45
