Date,Open,High,Low,Close
20151127,111.27,112.42,110.77,112.32
20151130,112.61,112.63,111.43,111.50
20151201,112.38,112.74,111.68,112.52
20151202,112.55,112.84,111.86,111.96
20151203,112.07,112.33,108.91,109.35
20151204,109.78,112.22,109.78,111.77
20151207,111.54,112.13,110.51,111.43
20151208,110.68,112.26,110.26,111.96
20151209,111.28,112.01,109.71,109.91
20151210,110.14,111.88,109.64,110.97
20151211,109.53,110.15,107.33,107.78
20151214,108.03,109.30,107.20,108.40
20151215,109.41,109.99,108.61,109.24
20151216,110.42,113.20,109.96,112.95
20151217,113.05,113.82,111.74,113.20
20151218,112.98,112.98,109.58,109.63
20151221,110.60,111.49,110.07,110.99
20151222,111.48,112.37,110.50,111.64
20151223,112.04,112.93,111.50,112.89
20151224,113.04,113.35,112.39,112.75
20151228,112.55,113.20,112.14,113.07
20151229,114.25,114.46,113.02,113.61
20151230,113.73,113.85,112.56,112.77
20151231,112.50,112.72,111.35,111.37
20160104,109.92,110.24,108.35,109.45
20160105,110.17,110.77,109.16,110.11
20160106,108.42,109.68,108.24,109.23
20160107,107.34,108.44,105.14,105.29
20160108,105.75,105.93,102.04,102.24
20160111,103.02,103.12,100.75,101.83
20160112,102.47,103.15,100.96,102.42
20160113,102.84,103.73,100.63,101.04
20160114,101.00,104.15,100.35,103.46
20160115,100.68,103.30,100.51,102.86
20160119,103.94,104.30,102.93,103.86
20160120,102.20,102.82,98.40,101.68
20160121,102.00,103.32,100.88,102.62
20160122,103.87,104.87,103.71,104.84
20160125,104.63,104.70,103.72,104.14
20160126,104.31,105.38,104.01,104.85
20160127,104.71,105.18,102.47,102.98
20160128,103.56,103.68,101.65,101.77
20160129,102.76,105.86,102.22,105.80
20160201,105.05,107.39,104.74,106.92
20160202,106.01,106.51,103.29,103.75
20160203,104.49,104.84,100.87,103.17
20160204,103.12,104.16,102.60,103.67
20160205,103.27,103.76,99.53,99.88
20160208,99.12,99.30,92.81,93.90
20160209,92.65,94.22,92.26,93.22
20160210,93.94,95.51,93.01,94.52
20160211,93.96,96.63,91.72,93.45
20160212,95.30,99.14,95.30,97.47
20160216,98.97,99.94,97.61,99.17
20160217,100.09,101.96,99.49,101.79
20160218,102.22,102.55,100.41,100.89
20160219,100.44,101.14,99.79,100.99
20160222,101.83,103.67,101.83,103.36
20160223,103.26,103.80,102.08,103.14
20160224,102.45,104.54,101.29,104.44
20160225,103.80,106.58,103.80,106.53
20160226,106.73,107.08,105.93,106.37
20160229,106.03,106.53,104.78,104.88
20160301,105.59,107.09,105.18,106.49
20160302,105.99,107.04,105.41,107.00
20160303,106.70,107.17,105.92,107.13
20160304,107.00,108.64,105.97,107.66
20160307,106.82,107.45,105.13,106.08
20160308,105.12,106.14,104.66,106.00
20160309,106.60,107.00,106.04,106.76
20160310,107.16,107.68,105.52,106.78
20160311,107.60,108.55,106.81,108.45
20160314,108.06,110.00,107.52,109.71
20160315,109.00,110.24,108.63,109.50
20160316,108.82,110.40,108.65,110.13
20160317,109.92,111.54,109.83,111.31
20160318,111.86,113.03,111.18,112.51
20160321,111.94,112.59,111.54,112.22
20160322,111.58,112.97,111.09,112.51
20160323,112.09,112.66,111.27,111.54
20160324,110.73,111.25,109.09,111.23
20160328,111.66,112.31,110.92,111.95
20160329,111.55,112.94,111.07,112.85
20160330,113.57,114.18,112.88,113.90
20160331,114.01,114.67,113.40,114.29
20160401,113.84,116.80,113.57,116.59
20160404,116.59,116.79,115.13,115.42
20160405,114.85,115.54,113.96,114.57
20160406,114.78,115.50,113.93,115.45
20160407,114.45,114.78,113.17,113.78
20160408,115.44,115.59,114.13,115.02
20160411,115.34,115.47,113.65,113.69
20160412,114.09,114.09,113.09,113.48
20160413,114.28,115.02,113.50,114.95
20160414,115.18,117.22,115.18,115.97
20160415,116.15,116.50,115.45,116.18
20160418,115.80,117.00,115.75,116.75
20160419,116.98,117.48,116.05,116.41
20160420,116.81,117.68,116.40,117.33
20160421,116.99,117.07,115.82,115.91
20160422,115.30,116.35,114.99,115.71
20160425,115.39,116.42,115.15,116.31
20160426,116.76,117.48,116.50,117.18
20160427,116.89,118.75,116.86,118.61
20160428,117.79,122.55,115.66,120.32
20160429,120.06,120.45,118.84,120.25
20160502,120.35,121.41,119.68,121.22
20160503,120.43,120.72,118.76,120.09
20160504,119.09,119.76,118.34,119.30
20160505,119.35,120.22,119.30,120.04
20160506,119.08,120.25,118.50,119.92
20160509,119.64,121.28,119.23,120.97
20160510,121.93,124.65,121.24,124.59
20160511,124.54,124.75,122.14,122.18
20160512,122.81,123.32,121.41,122.65
20160513,122.66,123.30,121.86,122.59
20160516,122.44,124.08,122.38,123.69
20160517,123.40,123.99,122.32,122.94
20160518,122.75,123.56,121.75,122.41
20160519,122.50,122.98,121.33,122.55
20160520,123.35,123.67,122.14,122.88
20160523,122.63,122.72,121.92,122.39
20160524,123.15,125.27,122.55,125.16
20160525,125.54,125.86,124.67,124.89
20160526,124.88,125.33,124.70,125.07
20160527,125.13,126.51,124.89,126.29
20160531,126.09,126.25,124.97,125.73
20160601,125.30,125.73,124.71,125.49
20160602,125.45,126.33,124.99,126.31
20160603,125.83,125.88,124.43,125.20
20160606,125.67,126.38,125.18,125.82
20160607,125.82,125.98,124.65,125.17
20160608,124.97,126.10,124.97,125.96
20160609,125.47,125.99,124.80,125.94
20160610,125.13,125.92,123.62,123.90
20160613,123.57,124.87,123.22,123.39
20160614,123.41,124.12,121.83,122.37
20160615,122.65,122.78,121.09,121.57
20160616,120.92,122.53,120.25,122.35
20160617,122.79,123.37,121.80,122.65
20160620,123.87,125.81,123.40,124.19
20160621,124.43,125.34,124.21,124.96
20160622,124.90,125.82,124.43,125.15
20160623,126.35,126.96,125.62,126.96
20160624,122.30,124.47,121.79,122.09
20160627,120.73,120.87,118.05,118.63
20160628,119.89,122.08,119.13,121.99
20160629,123.46,125.92,123.39,125.70
20160630,125.83,128.41,125.63,128.40
20160701,128.15,129.27,127.91,128.47
20160705,127.85,129.38,127.85,128.90
20160706,128.64,130.28,128.19,130.04
20160707,129.93,130.82,129.60,130.41
20160708,131.49,132.67,130.81,132.24
20160711,132.80,132.80,131.81,132.45
20160712,133.16,133.63,132.28,133.37
20160713,133.98,135.23,133.34,133.42
20160714,134.81,134.97,133.41,133.62
20160715,134.07,134.70,133.62,134.05
20160718,134.05,134.55,133.44,133.93
20160719,133.71,134.60,133.51,134.54
20160720,134.92,136.02,134.44,135.69
20160721,135.81,136.44,134.40,134.83
20160722,135.41,136.00,134.64,135.78
20160725,135.80,136.44,135.35,136.43
20160726,136.59,136.97,135.38,136.04
20160727,136.46,136.46,134.44,135.38
20160728,134.38,135.44,131.87,133.49
20160729,133.77,134.61,132.28,132.46
20160801,132.56,133.26,131.63,131.94
20160802,131.91,132.16,130.15,130.82
20160803,130.82,130.82,129.11,130.37
20160804,130.48,132.04,130.37,131.28
20160805,131.77,134.41,131.67,132.84
20160808,132.71,132.80,131.14,131.36
20160809,131.46,132.67,131.34,132.22
20160810,132.55,132.55,131.48,132.39
20160811,132.74,133.35,132.34,132.69
20160812,132.60,133.11,132.08,132.36
20160815,132.28,132.57,131.41,131.56
20160816,131.37,131.73,130.23,130.31
20160817,130.24,131.11,129.93,130.98
20160818,131.00,131.59,130.54,131.41
20160819,130.92,131.64,130.32,131.42
20160822,131.31,131.88,131.22,131.57
20160823,131.91,131.99,131.20,131.29
20160824,131.35,131.80,130.06,130.42
20160825,130.32,130.78,129.97,130.49
20160826,130.62,132.44,130.56,131.47
20160829,131.67,132.17,131.61,131.89
20160830,131.93,132.32,130.72,132.10
20160831,131.75,132.17,131.27,131.90
20160901,131.87,133.13,131.48,133.09
20160902,133.76,134.43,133.05,134.16
20160906,134.34,135.10,133.66,135.10
20160907,134.77,135.32,134.18,135.19
20160908,134.77,135.02,134.52,134.68
20160909,133.46,133.46,131.09,131.09
20160912,130.38,133.36,130.15,133.08
20160913,132.16,132.35,131.17,131.46
20160914,131.19,132.38,131.13,131.90
20160915,131.86,134.71,131.22,134.35
20160916,134.03,134.20,131.50,132.21
20160919,133.00,133.17,131.12,131.55
20160920,132.48,132.74,131.13,131.85
20160921,132.65,133.32,131.05,133.12
20160922,133.95,134.08,133.39,133.66
20160923,133.14,133.92,131.88,132.13
20160926,131.81,131.81,130.52,131.31
20160927,131.53,132.82,131.07,132.65
20160928,133.02,134.66,132.74,134.42
20160929,134.54,134.58,132.89,133.33
20160930,134.46,135.00,133.51,134.58
20161003,134.36,134.56,133.56,133.97
20161004,133.85,134.56,132.75,133.27
20161005,133.38,133.81,131.76,132.05
20161006,131.70,132.53,131.31,132.21
20161007,132.37,132.48,129.75,130.14
20161010,130.81,131.66,130.71,131.11
20161011,130.73,131.00,128.01,128.65
20161012,128.51,130.25,128.47,130.03
20161013,129.16,129.78,128.33,128.99
20161014,129.47,131.77,129.47,130.35
20161017,130.07,130.45,129.40,129.53
20161018,130.54,131.30,130.07,130.28
20161019,130.61,130.61,129.35,130.21
20161020,129.88,130.30,129.12,129.53
20161021,128.64,129.92,128.16,129.76
20161024,130.24,131.63,129.90,131.19
20161025,131.04,132.49,130.28,130.43
20161026,129.83,130.73,128.11,128.71
20161027,126.83,127.98,122.63,123.17
20161028,122.91,124.44,121.80,122.00
20161031,122.46,124.20,122.34,123.97
20161101,124.52,124.75,122.80,123.64
20161102,123.62,124.03,122.32,122.43
20161103,122.74,123.46,121.87,122.97
20161104,123.05,124.79,122.90,123.61
20161107,125.42,126.36,124.82,126.09
20161108,126.04,127.39,125.09,127.07
20161109,126.44,126.88,121.89,122.53
20161110,122.25,122.53,113.69,116.23
20161111,115.84,116.38,112.73,114.03
20161114,114.64,115.28,113.35,115.14
20161115,115.27,118.36,115.27,118.15
20161116,118.11,119.78,117.70,119.50
20161117,120.00,122.41,119.26,121.81
20161118,122.03,122.59,121.34,121.56
20161121,121.37,122.30,121.22,121.60
20161122,121.60,121.68,119.77,120.24
