Date,Open,High,Low,Close
20151127,59.27,59.89,59.27,59.43
20151130,59.57,59.83,59.31,59.36
20151201,59.50,59.68,58.90,59.30
20151202,59.17,59.36,58.58,58.67
20151203,58.32,58.72,57.85,58.64
20151204,58.88,60.34,58.87,60.21
20151207,60.13,60.24,59.48,60.04
20151208,59.82,60.25,59.35,59.65
20151209,59.32,60.02,58.96,59.40
20151210,59.31,59.56,58.87,59.02
20151211,58.80,59.72,58.49,59.23
20151214,59.30,59.77,58.81,59.31
20151215,59.61,60.40,59.39,59.63
20151216,59.89,60.99,59.69,60.85
20151217,60.85,61.35,60.31,60.90
20151218,60.74,60.74,59.42,59.66
20151221,59.97,60.06,58.62,58.93
20151222,59.21,59.98,58.54,59.53
20151223,59.84,60.49,59.79,60.36
20151224,60.36,60.61,60.12,60.36
20151228,60.24,60.52,59.91,60.43
20151229,60.18,60.84,60.16,60.41
20151230,60.52,60.85,60.25,60.30
20151231,60.08,60.20,58.74,59.21
20160104,58.57,59.07,58.24,58.95
20160105,59.08,59.21,58.01,58.97
20160106,58.66,58.77,58.00,58.58
20160107,58.03,58.63,57.97,58.29
20160108,58.33,58.70,58.18,58.28
20160111,58.46,59.36,58.27,59.20
20160112,59.28,59.57,58.34,59.40
20160113,59.90,60.20,59.24,59.38
20160114,59.45,60.06,58.89,59.55
20160115,58.70,59.48,58.59,59.12
20160119,59.45,60.31,59.08,60.12
20160120,59.77,60.18,58.24,59.01
20160121,59.03,59.49,58.48,58.72
20160122,58.83,59.88,58.45,59.73
20160125,59.80,60.01,59.21,59.92
20160126,60.30,61.31,60.23,60.70
20160127,60.90,61.17,60.05,60.50
20160128,60.33,62.11,60.01,61.56
20160129,62.07,62.34,61.48,61.80
20160201,61.81,62.47,61.49,62.23
20160202,62.01,62.81,61.68,62.72
20160203,62.91,64.48,62.77,64.07
20160204,63.89,64.31,62.88,63.07
20160205,63.19,63.68,62.17,63.29
20160208,63.34,64.30,62.65,62.90
20160209,63.00,63.75,62.72,63.40
20160210,63.20,63.87,62.29,63.51
