Date,Open,High,Low,Close
20151127,85.47,85.80,85.13,85.29
20151130,85.19,85.42,84.10,84.12
20151201,84.26,85.07,83.77,85.03
20151202,84.93,85.16,83.72,83.79
20151203,84.26,84.45,82.99,83.83
20151204,84.01,85.52,83.82,85.43
20151207,85.44,87.57,85.11,86.98
20151208,86.43,87.28,85.85,87.08
20151209,86.96,87.99,86.06,86.24
20151210,86.51,87.61,86.05,86.86
20151211,85.57,86.17,83.70,84.50
20151214,84.55,85.56,84.15,85.55
20151215,86.18,88.00,86.12,87.48
20151216,87.88,89.46,87.23,89.26
20151217,89.77,89.93,88.86,89.21
20151218,88.76,88.88,87.35,87.41
20151221,88.16,88.54,87.49,88.21
20151222,88.29,88.85,87.59,88.65
20151223,89.00,89.38,88.77,89.36
20151224,88.93,89.28,88.32,88.80
20151228,88.39,88.84,88.13,88.66
20151229,89.09,89.63,88.98,89.40
20151230,89.34,89.62,89.01,89.03
20151231,88.62,89.15,88.03,88.06
20160104,86.93,87.24,86.12,87.21
20160105,87.18,88.17,86.91,88.01
20160106,87.06,87.22,84.74,85.09
20160107,83.52,84.60,83.01,83.33
20160108,83.70,84.40,82.68,82.82
20160111,83.37,83.57,81.46,82.88
20160112,83.52,84.27,83.06,84.23
20160113,84.34,84.82,82.81,83.10
20160114,83.32,84.95,82.87,84.28
20160115,84.28,84.28,81.44,82.35
20160119,83.41,84.13,82.88,83.88
20160120,82.67,83.55,81.02,82.93
20160121,83.41,84.11,81.92,83.30
20160122,84.51,85.90,84.28,85.69
20160125,84.63,85.14,83.37,83.47
20160126,84.39,84.82,83.39,83.59
20160127,83.55,83.82,81.95,82.40
20160128,82.90,84.22,82.89,83.69
20160129,84.11,85.39,83.98,85.25
20160201,85.04,85.93,84.31,85.46
20160202,84.55,85.52,84.55,85.02
20160203,85.36,86.71,84.08,86.46
20160204,85.78,87.65,85.77,87.01
20160205,87.39,91.00,87.38,90.99
20160208,89.81,91.11,88.08,89.63
20160209,88.00,90.77,87.99,90.44
20160210,90.41,90.88,88.32,88.47
20160211,86.78,87.25,86.00,86.74
20160212,87.23,88.37,86.56,88.31
20160216,89.45,90.31,88.14,88.62
20160217,88.98,90.90,88.71,90.07
20160218,89.98,91.40,89.42,91.25
20160219,91.06,91.64,90.15,91.63
20160222,91.97,92.50,91.35,91.72
20160223,91.48,92.00,90.91,91.72
20160224,90.55,92.20,90.31,92.02
20160225,92.22,92.70,91.16,92.68
20160226,92.92,93.43,91.71,91.79
20160229,91.62,92.16,91.23,91.33
20160301,92.23,92.80,91.78,92.40
20160302,92.13,92.76,91.35,91.85
20160303,91.86,92.40,91.43,92.20
20160304,92.61,93.06,91.79,92.55
20160307,91.91,92.39,91.44,91.63
20160308,91.53,91.96,90.73,91.74
20160309,92.24,93.10,91.79,92.20
20160310,92.20,92.70,90.95,91.77
20160311,92.86,93.27,92.29,93.11
20160314,93.09,94.56,92.74,93.83
20160315,93.07,94.06,92.99,93.80
20160316,91.80,93.32,91.55,93.11
20160317,93.11,94.13,92.85,93.95
20160318,93.74,94.50,93.21,94.18
20160321,94.24,94.64,93.36,94.13
20160322,93.65,93.75,92.60,93.18
20160323,93.49,94.09,93.25,93.38
20160324,93.19,93.44,92.66,93.27
20160328,93.31,93.90,93.23,93.60
20160329,93.70,94.39,93.20,94.17
20160330,94.77,94.93,94.35,94.42
20160331,94.15,94.67,93.95,94.31
20160401,93.88,95.73,93.64,95.65
20160404,95.80,95.80,94.84,95.50
20160405,95.38,95.90,94.90,95.10
20160406,95.12,95.72,94.95,95.68
20160407,95.09,95.10,93.50,94.54
20160408,95.02,95.39,94.58,95.21
20160411,95.73,96.20,95.12,95.25
20160412,95.09,95.69,94.51,94.73
20160413,95.25,95.25,94.26,94.52
20160414,94.61,95.30,94.15,94.71
20160415,94.82,94.99,94.08,94.95
20160418,94.90,95.97,94.63,95.78
20160419,96.42,97.08,96.06,96.95
20160420,96.85,97.33,96.54,96.57
20160421,96.04,96.25,93.69,93.89
20160422,93.53,93.96,91.96,93.95
20160425,93.53,94.79,93.52,94.72
20160426,94.72,95.88,94.38,95.69
20160427,95.71,96.80,95.47,96.17
20160428,95.67,97.46,95.47,97.12
20160429,96.69,96.85,95.31,95.87
20160502,95.86,97.48,95.68,97.13
20160503,94.23,95.48,93.02,93.29
20160504,92.50,93.42,91.92,93.15
20160505,93.13,94.26,92.97,93.28
20160506,93.17,94.12,92.06,93.99
20160509,94.22,95.03,93.36,93.74
20160510,94.23,95.58,94.17,95.54
20160511,95.03,95.22,94.38,94.93
20160512,95.43,95.86,93.72,94.61
20160513,94.22,94.32,92.38,92.66
20160516,92.72,93.20,92.56,92.79
20160517,92.66,92.98,91.60,92.02
20160518,91.88,92.12,90.13,90.50
20160519,90.04,91.09,89.84,91.01
20160520,91.31,91.31,90.14,90.48
20160523,90.34,91.09,90.14,90.73
20160524,91.31,92.61,90.43,92.14
20160525,92.21,92.75,92.01,92.04
20160526,92.12,92.26,91.43,91.44
20160527,91.79,93.01,91.53,92.00
20160531,92.32,92.73,91.41,91.78
20160601,91.59,92.99,91.36,92.99
20160602,92.74,93.35,92.60,93.20
20160603,93.22,93.88,92.88,93.07
20160606,93.09,93.59,92.63,93.06
20160607,93.35,93.77,92.97,93.12
20160608,93.30,93.53,92.82,92.88
20160609,92.41,92.71,91.85,92.28
20160610,91.51,92.06,91.12,91.55
20160613,91.77,92.28,91.24,91.29
20160614,90.88,91.76,90.23,91.45
20160615,91.52,92.17,90.80,91.01
20160616,90.97,91.87,90.62,91.71
20160617,91.78,92.27,91.34,91.94
20160620,92.85,93.81,92.62,93.08
20160621,93.30,93.69,92.76,93.10
20160622,93.36,94.33,93.05,93.59
20160623,94.05,95.00,93.98,94.95
20160624,92.53,92.87,89.67,89.73
20160627,89.42,89.42,87.11,87.24
20160628,88.39,88.67,87.08,88.19
20160629,88.76,89.97,88.53,89.71
20160630,89.74,91.09,89.65,91.02
20160701,91.25,92.42,91.16,91.82
20160705,91.45,92.16,91.03,91.32
20160706,90.74,91.28,90.31,91.03
20160707,91.00,91.75,91.00,91.55
20160708,92.00,93.17,91.83,93.01
20160711,92.69,93.50,92.66,93.28
20160712,93.29,93.59,92.77,93.29
20160713,93.28,93.58,92.94,93.30
20160714,93.69,94.28,93.53,94.03
20160715,94.53,94.94,94.14,94.40
20160718,94.39,94.39,93.59,93.97
20160719,93.41,93.76,93.12,93.49
20160720,93.49,94.07,93.32,93.50
20160721,93.22,93.63,92.64,92.86
20160722,93.06,93.34,92.87,93.23
20160725,92.98,93.25,92.49,93.17
20160726,93.07,94.05,92.76,93.05
20160727,93.04,93.04,92.13,92.41
20160728,92.56,92.88,92.01,92.11
20160729,91.90,93.15,91.90,92.90
20160801,92.81,94.22,92.81,93.43
20160802,93.73,94.04,92.74,93.27
20160803,93.05,93.89,92.67,93.84
20160804,93.79,94.27,93.32,93.68
20160805,93.67,94.19,92.49,93.58
20160808,93.57,93.64,93.11,93.29
20160809,93.49,94.06,93.31,93.34
20160810,93.29,93.41,92.72,92.91
20160811,92.96,93.24,91.76,92.53
20160812,92.64,93.64,92.17,93.10
20160815,93.09,93.82,93.07,93.20
20160816,92.77,92.96,91.95,92.42
20160817,92.64,93.20,92.08,93.02
20160818,93.18,95.38,92.96,95.10
20160819,91.89,93.25,91.06,91.73
20160822,90.89,92.95,90.10,91.38
20160823,91.65,92.27,91.45,91.57
20160824,91.37,91.57,90.19,90.50
20160825,90.56,91.77,90.30,91.23
20160826,91.19,91.81,90.26,90.91
20160829,90.65,91.18,90.59,90.86
20160830,90.83,90.98,89.77,89.87
20160831,89.74,89.88,88.75,89.23
20160901,89.43,89.50,88.34,88.95
20160902,89.59,90.00,89.41,89.62
20160906,89.51,90.10,88.71,89.47
20160907,89.11,89.22,88.00,88.21
20160908,88.00,88.54,87.50,88.09
20160909,87.15,88.02,86.85,87.55
20160912,87.54,88.89,87.25,88.77
20160913,88.05,88.25,87.05,87.84
20160914,88.06,88.62,87.29,87.51
20160915,87.57,88.11,87.05,87.86
20160916,87.49,88.03,87.31,87.72
20160919,88.08,88.48,87.37,87.38
20160920,87.85,88.19,87.29,87.30
20160921,87.41,88.34,87.09,88.25
20160922,88.71,89.17,88.42,88.74
20160923,88.39,88.78,88.15,88.15
20160926,87.76,88.70,87.73,88.32
20160927,88.53,89.59,88.37,89.39
20160928,89.45,89.76,88.02,88.45
20160929,88.34,88.50,86.57,86.87
20160930,87.14,88.90,87.14,88.56
20161003,88.41,88.56,87.53,88.07
20161004,88.43,88.46,87.21,87.43
20161005,87.46,88.15,87.34,87.95
20161006,87.77,88.74,87.70,88.31
20161007,88.27,88.52,87.26,87.83
20161010,88.22,88.45,87.39,87.53
20161011,87.34,87.67,87.00,87.28
20161012,87.52,88.58,87.23,88.18
20161013,87.37,88.53,87.13,88.15
20161014,87.49,88.49,87.18,87.33
20161017,87.20,88.01,87.20,87.54
20161018,88.00,88.09,87.58,87.67
20161019,87.60,87.89,87.21,87.60
20161020,87.42,87.69,86.15,86.30
20161021,86.09,86.62,85.45,86.51
20161024,86.44,86.75,86.21,86.63
20161025,86.74,87.02,86.11,86.18
20161026,85.89,86.24,85.58,85.76
20161027,86.12,86.14,85.28,85.92
20161028,86.13,86.92,86.01,86.41
20161031,86.51,87.72,86.39,87.13
20161101,87.35,87.57,85.82,86.30
20161102,83.27,84.63,81.16,81.60
20161103,81.31,81.43,79.44,79.57
20161104,79.60,80.46,79.01,79.02
20161107,80.07,80.77,79.20,80.56
20161108,80.45,81.02,80.14,80.31
20161109,78.90,80.52,77.74,80.39
20161110,80.16,80.19,78.10,78.21
20161111,78.02,78.99,77.12,78.36
20161114,78.33,78.36,77.19,77.60
20161115,78.17,78.99,77.61,77.75
20161116,77.63,77.81,76.65,77.01
20161117,77.48,78.59,76.84,78.11
20161118,77.86,78.04,77.37,77.41
20161121,77.41,78.22,77.41,77.82
20161122,77.90,78.03,77.46,77.73
20161123,77.61,78.40,77.61,77.78
20161125,78.00,78.78,78.00,78.65
20161128,78.17,79.30,77.87,78.44
20161129,78.57,79.04,78.24,78.61
20161130,78.83,79.63,77.67,77.70
20161201,77.43,77.56,75.30,75.91
20161202,76.12,76.72,75.68,75.84
20161205,76.38,77.62,76.00,77.16
20161206,77.41,77.60,76.85,77.46
20161207,77.83,79.01,77.53,78.33
20161208,78.50,79.32,78.30,79.29
20161209,79.41,79.85,79.17,79.71
20161212,79.70,79.71,77.84,78.23
20161213,78.34,79.28,78.34,78.73
20161214,78.79,79.37,77.80,77.96
20161215,77.90,78.54,76.99,77.58
20161216,76.98,77.49,76.03,76.13
20161219,76.57,76.81,75.83,76.28
20161220,76.74,77.65,76.40,77.63
20161221,77.55,78.30,77.38,78.12
20161222,78.38,78.92,77.80,78.78
20161223,78.80,78.83,78.34,78.38
20161227,78.33,78.52,78.00,78.23
20161228,78.09,78.27,77.18,77.22
20161229,77.53,77.88,77.04,77.27
20161230,77.31,77.47,76.28,76.49
20170103,77.26,77.97,76.93,77.33
20170104,77.53,78.99,77.50,78.70
20170105,78.19,78.69,77.56,78.60
20170106,78.64,79.50,78.30,79.16
20170109,78.80,79.00,78.11,78.24
20170110,78.40,78.40,77.23,77.35
20170111,76.63,78.36,76.34,78.33
20170112,78.74,79.85,78.10,79.14
20170113,78.98,79.57,78.62,78.79
20170117,79.35,80.34,79.25,79.85
20170118,79.99,80.43,79.22,79.27
20170119,79.23,79.32,78.36,78.89
20170120,78.99,79.79,78.71,79.63
20170123,79.53,79.81,79.12,79.65
20170124,79.78,80.84,79.70,80.79
20170125,81.05,82.06,80.90,82.01
20170126,82.21,83.33,81.64,81.96
20170127,81.58,81.78,80.69,80.96
20170130,81.11,81.11,80.11,80.87
20170131,80.92,81.25,80.31,81.21
20170201,80.83,81.29,79.35,79.92
20170202,82.91,83.31,80.86,82.00
20170203,82.06,83.50,81.94,83.02
20170206,82.99,83.20,82.56,82.82
20170207,83.18,83.75,82.32,83.40
20170208,83.11,83.48,82.20,82.49
20170209,82.49,82.90,82.29,82.66
20170210,82.56,82.74,82.15,82.59
20170213,82.81,82.97,82.43,82.59
20170214,82.35,83.56,82.20,83.25
20170215,83.33,83.94,82.65,83.54
20170216,83.36,83.70,82.52,83.27
20170217,83.68,85.72,83.59,85.00
20170221,85.20,85.71,84.48,84.64
20170222,84.53,84.99,84.03,84.20
20170223,84.60,84.83,83.86,84.02
20170224,83.72,83.85,82.94,83.75
20170227,83.42,83.72,82.50,82.97
20170228,83.00,83.40,82.74,82.85
20170301,83.18,84.23,82.81,84.05
20170302,85.00,85.04,82.80,82.92
20170303,82.79,83.05,81.69,82.95
20170306,82.53,83.14,82.43,82.71
20170307,82.48,82.94,82.35,82.77
20170308,82.84,83.25,82.71,82.93
20170309,83.30,83.34,82.66,82.88
20170310,84.21,86.42,84.15,85.78
20170313,85.44,85.87,85.17,85.37
20170314,84.96,85.31,84.46,84.78
20170315,84.75,85.75,84.75,85.33
20170316,85.25,85.67,85.10,85.58
20170317,85.71,86.66,85.40,85.96
20170320,85.77,86.55,85.50,86.51
20170321,86.98,87.55,86.39,86.48
20170322,86.38,86.89,86.09,86.53
20170323,86.41,87.24,86.36,86.52
20170324,86.56,87.23,85.31,86.01
20170327,85.49,86.57,85.37,85.82
20170328,85.53,86.13,84.89,85.61
20170329,85.66,86.17,85.33,85.52
20170330,85.42,85.66,85.22,85.34
20170331,85.26,85.81,84.71,84.79
20170403,84.73,85.20,83.34,83.50
20170404,84.34,85.27,83.69,85.06
20170405,85.11,86.41,84.77,85.24
20170406,84.86,85.60,84.29,84.37
20170407,84.36,84.45,83.67,84.15
20170410,84.34,84.99,84.05,84.72
20170411,84.61,85.02,84.16,84.85
20170412,84.37,85.03,84.33,84.92
20170413,84.76,85.31,84.70,84.94
20170417,85.09,85.40,85.05,85.36
20170418,85.17,86.38,84.84,86.29
20170419,86.34,86.89,85.46,85.62
20170420,85.75,86.43,85.34,86.03
20170421,85.96,86.15,85.01,85.18
20170424,85.71,86.33,85.54,85.99
20170425,86.27,87.72,86.25,87.38
20170426,87.41,88.41,87.27,87.81
20170427,87.72,88.17,87.35,87.42
20170428,87.21,87.57,86.56,87.14
20170501,87.68,88.39,87.10,87.18
20170502,87.11,87.81,87.02,87.48
20170503,90.15,91.91,89.98,91.30
20170504,91.46,92.21,90.77,91.86
20170505,91.38,92.95,91.04,92.86
20170508,92.58,92.95,92.14,92.61
20170509,92.77,93.01,92.28,92.98
20170510,93.45,94.47,93.37,94.08
20170511,93.73,93.85,92.85,92.90
20170512,93.08,93.08,92.37,92.93
20170515,92.98,93.38,92.48,92.61
20170516,92.79,92.95,91.76,91.90
20170517,91.90,92.65,91.09,92.10
20170518,91.96,91.96,90.97,91.38
20170519,91.53,92.83,90.81,92.37
20170522,92.11,93.30,92.11,92.95
20170523,93.22,93.38,91.88,91.99
20170524,92.34,93.13,92.13,93.03
20170525,93.25,93.72,93.03,93.59
20170526,93.35,94.19,93.25,93.70
20170530,93.41,94.05,92.85,93.99
20170531,93.99,94.63,93.74,94.14
