Date,Open,High,Low,Close
20151127,70.79,71.69,70.51,71.26
20151130,71.30,72.72,71.29,72.65
20151201,72.81,72.95,70.53,72.54
20151202,72.00,72.88,71.39,71.78
20151203,71.91,72.51,70.96,71.14
20151204,71.18,73.72,71.17,73.31
20151207,72.06,72.75,70.35,70.90
20151208,69.72,70.54,68.77,68.91
20151209,68.40,71.40,68.40,70.89
20151210,70.29,70.44,69.26,69.41
20151211,68.16,69.18,67.34,67.47
20151214,67.09,67.67,65.88,66.70
20151215,67.50,67.96,66.61,67.22
20151216,67.55,68.53,66.95,68.52
20151217,68.38,68.49,66.76,66.80
20151218,66.37,67.90,66.14,66.56
20151221,66.84,67.73,66.32,66.74
20151222,66.99,68.18,66.52,67.50
20151223,68.16,69.29,67.45,69.25
20151224,69.13,69.45,68.79,68.91
20151228,68.40,68.55,67.70,68.21
20151229,68.79,69.38,68.49,69.07
20151230,68.42,68.71,67.64,67.80
20151231,67.45,68.25,67.28,67.51
20160104,66.50,66.66,65.12,66.63
20160105,67.13,68.11,66.10,67.11
20160106,65.93,66.72,65.18,65.81
20160107,64.53,65.76,63.92,64.74
20160108,64.97,65.73,63.47,63.66
20160111,63.88,64.18,61.74,62.25
20160112,63.10,63.48,61.44,63.01
20160113,63.58,63.99,62.34,62.71
20160114,62.89,64.24,62.17,63.96
20160115,62.25,62.88,60.71,61.74
20160119,62.59,62.74,60.31,61.19
20160120,60.05,61.43,58.85,60.78
20160121,60.70,62.49,60.03,61.25
20160122,62.69,63.98,62.00,62.56
20160125,62.13,62.62,60.63,60.76
20160126,60.91,62.73,60.63,62.67
20160127,62.22,63.23,61.43,61.99
20160128,63.34,63.78,62.42,63.06
20160129,57.86,61.43,56.03,61.21
20160201,58.82,61.38,58.50,60.46
20160202,59.20,59.46,58.14,58.74
20160203,59.36,61.54,58.07,61.30
20160204,61.43,62.51,61.03,61.36
20160205,60.82,62.10,60.01,60.39
20160208,59.82,60.27,58.11,58.77
20160209,57.74,59.09,57.09,58.43
20160210,58.62,59.78,57.93,58.65
20160211,57.09,58.84,57.00,58.44
20160212,58.87,60.82,58.00,60.66
20160216,61.38,62.40,60.60,62.36
20160217,63.07,64.40,63.01,63.85
20160218,64.10,64.16,62.53,63.46
20160219,63.00,63.11,62.19,62.40
20160222,63.55,64.56,63.52,64.52
20160223,64.04,64.49,62.71,62.92
20160224,62.11,63.94,61.53,63.86
20160225,63.86,64.56,63.01,64.54
20160226,64.98,65.77,64.67,65.16
20160229,65.15,65.77,64.14,64.15
20160301,65.16,66.72,64.71,66.48
20160302,66.28,67.43,65.84,67.34
20160303,67.44,68.60,67.18,68.49
20160304,68.68,70.22,68.17,69.67
20160307,69.42,70.64,69.24,70.39
20160308,69.56,69.99,68.70,68.87
20160309,69.28,70.39,68.98,70.36
20160310,70.16,70.47,68.49,69.39
20160311,69.71,71.54,69.43,71.41
20160314,70.55,70.83,69.62,70.13
20160315,68.96,69.92,68.45,69.76
20160316,69.59,71.49,69.43,71.29
20160317,71.96,73.92,71.73,73.72
20160318,74.22,74.98,73.14,73.49
20160321,73.75,73.82,72.56,73.61
20160322,73.10,73.47,72.37,72.93
20160323,72.68,73.18,72.28,72.63
20160324,71.65,72.85,70.89,72.84
20160328,72.96,73.29,72.22,72.87
20160329,72.33,73.50,71.70,73.25
20160330,73.71,74.13,73.23,73.27
20160331,73.09,73.10,71.99,72.23
20160401,71.90,73.80,71.29,73.66
20160404,73.36,73.46,72.26,72.50
20160405,71.98,72.36,71.53,72.14
20160406,72.17,72.41,70.94,72.26
20160407,71.65,72.06,70.54,71.19
20160408,71.90,72.67,71.63,71.95
20160411,72.24,72.93,71.94,72.19
20160412,72.59,73.62,72.33,73.24
20160413,73.89,74.41,73.48,74.36
20160414,74.38,74.97,73.95,74.16
20160415,74.20,74.97,73.88,74.64
20160418,73.90,74.95,73.66,74.78
20160419,75.33,76.78,75.33,76.70
20160420,76.51,77.27,75.75,76.94
20160421,77.03,77.20,75.89,76.07
20160422,76.58,77.14,76.25,76.54
20160425,76.09,76.45,75.29,75.95
20160426,76.37,77.06,76.09,76.89
20160427,77.03,77.91,76.63,77.69
20160428,76.99,78.79,76.77,78.21
20160429,74.09,76.53,74.05,76.38
20160502,75.97,77.97,75.35,77.06
20160503,76.30,76.39,75.72,76.19
20160504,75.70,77.13,75.26,75.95
20160505,76.72,76.94,75.25,75.29
20160506,75.14,76.18,75.14,75.87
20160509,75.38,75.60,74.51,74.77
20160510,74.99,75.99,74.68,75.82
20160511,75.86,76.12,75.28,75.38
20160512,76.13,76.60,74.61,74.80
20160513,74.67,75.05,72.64,72.75
20160516,73.12,74.28,73.00,73.88
20160517,73.79,75.99,73.31,75.21
20160518,74.50,74.88,73.03,73.44
20160519,73.06,73.86,72.61,73.02
20160520,73.62,74.24,73.06,73.28
20160523,73.15,73.75,72.87,73.17
20160524,73.36,74.07,73.16,73.29
20160525,73.62,74.75,73.45,74.50
20160526,74.62,75.01,73.42,73.67
20160527,73.63,74.27,73.34,73.76
20160531,73.73,74.20,73.09,73.36
20160601,73.01,73.97,72.55,73.92
20160602,73.61,73.95,72.82,73.71
20160603,73.63,73.71,72.22,72.77
20160606,73.12,74.23,72.94,73.92
20160607,73.91,74.98,73.83,74.56
20160608,74.83,75.13,73.53,73.62
20160609,72.60,72.71,71.51,71.78
20160610,71.19,73.07,71.00,72.90
20160613,72.26,74.15,71.80,72.56
20160614,72.17,72.93,70.76,71.43
20160615,71.62,72.68,71.51,71.67
20160616,70.84,71.77,70.09,71.70
20160617,71.78,72.51,71.14,71.39
20160620,72.32,73.34,71.92,71.97
20160621,72.21,72.26,71.24,72.07
20160622,72.24,72.65,71.50,71.58
20160623,72.34,73.01,72.25,73.01
20160624,69.70,70.80,68.33,68.41
20160627,67.37,67.53,65.19,65.81
20160628,66.69,66.93,65.51,66.51
20160629,67.47,67.70,66.47,67.31
20160630,67.60,67.91,66.62,67.90
20160701,68.03,69.28,67.92,68.16
20160705,67.72,68.01,65.45,65.63
20160706,65.32,66.12,64.19,66.08
20160707,66.41,67.51,66.22,66.99
20160708,67.92,69.95,67.77,68.52
20160711,68.78,69.76,68.66,69.10
20160712,69.89,70.59,69.89,70.36
20160713,70.71,70.93,70.33,70.74
20160714,71.55,71.90,70.94,71.70
20160715,71.96,71.99,70.99,71.35
20160718,71.19,72.15,70.95,72.00
20160719,71.49,71.98,71.35,71.40
20160720,71.47,72.23,71.07,71.90
20160721,71.90,72.10,71.26,72.02
20160722,71.94,72.50,71.53,71.93
20160725,71.71,72.13,71.13,72.11
20160726,71.93,71.93,69.18,69.99
20160727,70.06,70.74,69.67,70.32
20160728,69.84,70.82,69.37,70.37
20160729,66.00,66.52,64.34,65.23
20160801,65.20,65.86,64.71,65.18
20160802,64.89,64.93,63.65,64.12
20160803,64.15,65.12,63.82,64.92
20160804,64.95,65.26,64.66,64.78
20160805,65.13,65.60,65.01,65.37
20160808,65.55,66.19,65.29,65.56
20160809,65.67,66.32,65.37,65.49
20160810,65.59,65.73,64.68,64.84
20160811,65.15,65.65,64.70,65.32
20160812,65.23,65.63,64.55,64.79
20160815,64.94,66.10,64.94,66.01
20160816,66.11,66.52,65.42,65.46
20160817,65.61,65.61,64.39,64.75
20160818,64.97,65.47,64.52,64.88
20160819,64.75,66.42,64.52,66.35
20160822,65.88,66.81,65.62,66.64
20160823,66.97,67.60,66.78,67.06
20160824,66.84,67.69,66.84,67.36
20160825,67.39,68.18,67.32,67.74
20160826,68.01,68.64,66.94,67.25
20160829,67.17,68.24,66.83,68.06
20160830,68.06,69.43,68.03,68.26
20160831,67.97,68.53,67.33,67.89
20160901,67.88,68.35,67.08,67.77
20160902,68.23,68.80,68.23,68.58
