Date,Open,High,Low,Close
20151127,82.88,83.27,81.90,82.02
20151130,82.41,84.64,82.20,83.43
20151201,83.45,84.13,83.02,84.05
20151202,83.33,84.06,80.41,80.86
20151203,81.64,82.48,80.25,80.99
20151204,79.29,80.84,78.50,80.49
20151207,77.88,78.40,74.55,76.19
20151208,74.72,77.88,73.93,77.11
20151209,77.47,80.40,76.88,78.38
20151210,77.84,80.15,77.40,78.18
20151211,77.32,79.43,74.76,74.89
20151214,74.36,77.03,73.72,76.86
20151215,77.97,78.66,76.98,77.30
20151216,77.29,77.62,75.72,75.80
20151217,75.47,75.98,71.93,73.30
20151218,73.19,73.87,71.41,71.43
20151221,71.60,71.85,69.30,70.25
20151222,70.33,71.58,69.58,69.81
20151223,71.40,73.76,70.79,73.69
20151224,73.75,73.98,72.65,73.42
20151228,71.76,71.98,70.21,70.49
20151229,71.88,72.33,70.55,71.09
20151230,69.80,71.09,69.74,70.61
20151231,70.11,71.59,70.00,70.79
20160104,70.80,71.00,68.83,69.68
20160105,70.06,70.54,68.57,70.13
20160106,68.50,68.50,66.70,67.32
20160107,65.92,69.01,65.19,65.46
20160108,65.86,66.43,64.77,65.52
20160111,65.88,66.06,62.92,63.67
20160112,64.65,65.18,61.35,62.92
20160113,63.42,64.66,62.59,64.17
20160114,64.67,66.61,63.61,65.26
20160115,62.01,64.02,61.01,62.97
20160119,63.15,63.63,59.48,60.98
20160120,59.73,60.88,57.15,60.24
20160121,60.24,64.25,59.41,63.75
20160122,66.44,67.49,64.67,66.02
20160125,64.62,66.15,61.51,61.59
20160126,63.00,66.13,62.29,66.03
20160127,65.09,67.93,64.49,66.07
20160128,69.23,69.79,66.65,68.63
20160129,69.17,71.18,69.02,71.02
20160201,69.30,70.00,67.69,69.09
20160202,67.01,69.37,66.00,67.16
20160203,68.61,70.27,66.32,70.19
20160204,70.67,71.39,68.14,68.44
20160205,67.68,67.68,65.62,67.06
20160208,65.66,68.80,64.75,68.43
20160209,67.21,67.97,64.34,65.59
20160210,65.45,66.78,63.91,65.79
20160211,63.62,65.99,63.06,65.56
20160212,66.82,68.76,65.98,67.70
20160216,68.77,69.09,66.25,67.89
20160217,69.00,70.94,67.60,70.82
20160218,70.99,71.23,69.34,69.46
20160219,68.61,69.73,68.06,69.71
20160222,69.71,72.77,69.71,72.21
20160223,71.69,71.75,67.65,68.02
20160224,67.23,69.94,66.75,69.52
20160225,69.19,70.30,67.17,68.50
20160226,68.00,69.70,65.74,67.50
20160229,67.42,67.56,64.72,64.74
20160301,65.10,65.47,62.53,65.02
20160302,64.95,67.12,64.14,67.00
20160303,66.95,69.67,66.18,69.25
20160304,69.91,71.52,68.74,71.41
20160307,71.12,75.53,70.22,75.47
20160308,74.65,74.84,70.48,70.56
20160309,71.59,72.50,69.81,72.26
20160310,71.16,72.86,70.31,72.27
20160311,73.14,75.89,72.99,75.18
20160314,73.71,75.45,73.29,74.78
20160315,73.82,74.37,71.90,73.61
20160316,74.37,75.27,72.69,75.04
20160317,75.66,77.45,75.18,76.50
20160318,77.50,77.70,74.63,75.63
20160321,75.02,76.32,74.59,75.96
20160322,75.39,77.25,75.38,75.90
20160323,75.45,76.54,73.84,74.34
20160324,72.42,74.91,72.32,74.30
20160328,74.30,74.76,73.52,74.53
20160329,73.17,75.64,73.14,75.45
20160330,76.44,76.50,73.59,73.66
20160331,73.48,74.42,72.37,72.58
20160401,70.85,72.47,70.41,72.04
20160404,72.48,72.63,70.11,70.31
20160405,69.89,71.36,69.66,70.54
20160406,70.68,71.71,69.76,71.22
20160407,70.79,72.08,70.39,71.45
20160408,73.37,73.50,72.44,73.47
