Date,Open,High,Low,Close
20151127,295.01,298.33,293.60,297.75
20151130,297.75,298.98,292.74,296.50
20151201,297.70,300.81,296.50,300.63
20151202,300.77,303.14,299.25,299.66
20151203,298.37,300.00,293.90,295.22
20151204,296.22,301.76,291.95,301.20
20151207,302.41,302.41,296.60,297.58
20151208,295.52,301.10,295.15,298.10
20151209,297.69,300.65,295.37,298.24
20151210,297.84,299.34,293.94,295.65
20151211,292.59,295.24,287.30,289.94
20151214,290.79,298.69,290.23,293.55
20151215,294.67,295.17,289.92,290.02
20151216,290.88,296.57,290.12,295.49
20151217,296.21,297.34,292.44,293.41
20151218,292.20,294.79,289.35,289.35
20151221,291.07,296.13,289.22,295.74
20151222,295.99,298.53,292.60,296.93
20151223,297.93,297.93,292.85,297.35
20151224,296.99,298.45,295.91,297.19
20151228,296.56,301.55,295.29,300.91
20151229,305.00,305.00,301.95,304.98
20151230,303.44,304.83,302.20,302.69
20151231,302.49,304.37,299.60,302.40
20160104,299.75,300.60,293.25,296.08
20160105,297.98,304.53,294.17,303.41
20160106,299.64,310.28,298.88,309.13
20160107,304.73,306.70,302.25,303.29
20160108,304.60,312.29,304.32,309.79
20160111,311.74,318.36,309.36,312.88
20160112,314.76,316.00,309.83,314.92
20160113,314.24,316.20,304.69,305.58
20160114,306.07,315.50,297.29,310.99
20160115,305.01,309.97,299.80,303.19
20160119,308.50,308.94,289.72,295.11
20160120,290.84,297.25,281.85,294.36
20160121,294.29,295.35,287.31,289.78
20160122,293.70,298.55,291.36,297.05
20160125,296.26,306.31,295.78,299.93
20160126,304.18,305.99,299.88,303.64
20160127,304.24,307.96,297.02,299.57
20160128,301.25,309.96,295.51,300.22
20160129,301.33,310.83,300.01,310.57
20160201,310.05,315.81,308.88,311.44
20160202,307.93,313.87,307.26,312.59
20160203,313.50,314.88,304.34,309.54
20160204,312.17,314.08,305.36,308.45
20160205,306.91,307.34,288.11,288.44
20160208,285.88,286.00,261.81,268.84
20160209,268.69,269.99,255.45,265.05
20160210,268.05,278.28,266.29,273.34
20160211,265.40,279.29,265.40,275.05
20160212,279.54,285.17,276.56,284.88
20160216,285.82,291.68,284.44,291.30
20160217,291.30,296.43,285.95,290.65
20160218,288.02,293.67,286.95,290.31
20160219,287.90,304.13,284.76,299.37
20160222,302.17,304.83,298.17,299.83
20160223,298.85,299.90,290.62,292.06
20160224,290.59,296.61,287.69,295.01
20160225,296.23,307.62,296.23,307.49
20160226,306.49,315.06,303.66,306.77
20160229,305.31,308.77,302.95,303.69
20160301,306.24,308.57,303.02,308.40
20160302,307.71,308.00,299.30,304.01
20160303,302.78,310.81,301.70,310.59
