Date,Open,High,Low,Close
20151127,79.68,81.05,79.50,80.65
20151130,80.75,81.60,79.43,79.82
20151201,80.30,81.16,80.00,81.13
20151202,80.83,81.49,79.78,79.93
20151203,79.88,79.96,77.47,77.63
20151204,78.16,79.95,78.14,79.66
20151207,79.74,80.00,78.84,79.11
20151208,79.10,79.68,78.53,78.65
20151209,78.12,78.68,77.19,77.57
20151210,77.55,78.00,76.98,77.21
20151211,76.82,78.30,76.66,77.55
20151214,77.29,78.28,77.00,78.19
20151215,78.77,79.94,78.58,79.32
20151216,79.67,81.09,79.41,80.83
20151217,80.71,80.89,80.12,80.58
20151218,79.93,80.75,79.89,79.90
20151221,80.67,80.93,79.68,80.08
20151222,80.70,81.26,79.79,80.03
20151223,79.65,80.90,79.62,80.76
20151224,80.79,81.19,80.14,80.87
20151228,80.66,81.29,80.34,81.19
20151229,81.72,82.00,81.15,81.97
20151230,81.97,82.25,81.50,81.89
20151231,81.76,82.39,81.55,81.59
20160104,80.79,80.87,79.21,79.90
20160105,80.15,81.76,80.00,81.50
20160106,80.76,81.50,80.31,80.73
20160107,79.56,80.95,79.56,80.48
20160108,81.06,81.13,78.69,78.82
20160111,79.15,80.15,78.82,79.78
20160112,80.86,80.96,79.50,79.94
20160113,80.09,81.07,79.08,79.17
20160114,79.33,79.93,78.49,78.57
20160115,77.14,78.81,76.64,78.58
20160119,78.67,79.72,78.32,79.18
20160120,78.43,78.67,75.41,76.40
20160121,76.78,77.42,76.04,76.44
20160122,77.37,78.05,76.77,77.72
20160125,77.61,79.20,77.15,78.20
20160126,78.35,79.90,78.10,79.74
20160127,79.65,79.65,77.61,78.27
20160128,78.12,78.38,75.67,75.79
20160129,76.63,77.23,74.93,77.09
20160201,76.19,77.80,75.79,76.73
20160202,77.00,77.22,74.79,75.60
20160203,75.80,75.92,73.40,75.68
20160204,75.27,76.93,74.48,76.27
20160205,75.94,76.15,73.31,73.59
20160208,73.28,73.59,70.91,72.23
20160209,71.95,72.44,71.20,71.34
20160210,71.86,72.95,71.41,71.77
20160211,70.71,71.13,69.87,70.72
20160212,71.67,71.67,70.64,71.29
20160216,72.03,72.31,71.15,72.18
20160217,72.33,72.88,72.10,72.44
20160218,72.32,73.19,71.89,72.97
20160219,72.95,73.74,72.49,73.12
20160222,73.68,74.62,73.63,74.20
20160223,74.86,75.23,73.51,73.81
20160224,73.50,74.06,72.16,73.23
20160225,73.87,74.55,73.57,74.50
20160226,74.49,74.90,73.54,74.55
20160229,74.66,75.41,74.29,74.49
20160301,67.16,68.67,66.62,68.62
20160302,68.57,70.35,68.57,70.02
20160303,70.03,71.00,69.79,70.97
20160304,70.97,71.52,70.46,71.47
20160307,70.99,71.83,70.66,71.66
20160308,71.71,71.93,70.84,70.97
20160309,71.00,72.11,70.83,71.68
20160310,72.39,72.72,70.70,71.06
20160311,71.97,72.98,70.79,72.90
20160314,72.71,73.20,72.19,72.59
20160315,72.51,72.90,72.07,72.69
20160316,72.51,73.60,72.14,73.36
20160317,73.49,74.56,73.16,74.45
20160318,74.70,75.39,74.21,74.26
20160321,74.16,74.33,72.82,73.02
20160322,72.47,73.41,72.30,72.74
20160323,72.82,72.93,72.33,72.54
20160324,72.19,72.55,71.77,72.49
20160328,72.56,73.87,72.56,73.70
20160329,73.64,75.22,73.64,75.21
20160330,74.82,75.30,74.49,74.85
20160331,74.96,75.27,74.49,75.03
20160401,74.71,75.43,74.45,75.17
20160404,75.26,75.49,74.21,74.67
20160405,74.29,74.82,73.91,74.02
20160406,73.89,74.64,73.75,74.59
20160407,74.33,74.56,73.63,73.90
20160408,74.22,74.71,73.78,73.91
20160411,73.33,73.33,72.20,72.28
20160412,72.36,72.51,71.88,72.36
20160413,72.74,72.75,70.40,70.56
20160414,70.30,70.43,68.99,69.37
20160415,69.35,71.28,69.05,70.89
20160418,70.89,71.27,70.37,71.25
20160419,71.51,71.95,71.18,71.75
20160420,71.82,72.00,69.92,70.14
20160421,70.14,71.07,69.58,69.82
20160422,70.00,70.88,69.94,70.66
20160425,70.47,71.36,70.16,71.26
20160426,71.37,71.94,70.06,70.53
20160427,67.68,69.10,66.82,68.75
20160428,68.29,69.52,67.86,68.94
20160429,68.51,68.89,67.45,68.07
20160502,68.72,69.35,68.11,69.15
20160503,68.89,69.30,68.72,69.23
20160504,68.61,70.66,68.50,70.44
20160505,70.29,71.23,70.09,70.73
20160506,70.68,71.43,69.91,71.18
20160509,71.26,72.07,71.13,71.88
20160510,72.10,73.05,71.44,72.35
20160511,72.27,72.34,69.78,69.86
20160512,69.96,70.23,69.05,69.88
20160513,69.68,69.91,69.00,69.20
20160516,69.06,70.18,69.06,69.75
20160517,69.71,69.71,67.93,68.16
20160518,68.38,68.39,66.90,67.70
20160519,67.03,67.31,66.59,66.82
20160520,67.22,67.61,66.81,67.47
20160523,67.63,67.95,67.18,67.54
20160524,68.08,68.35,67.64,67.98
20160525,68.19,68.93,67.56,68.84
20160526,68.78,69.09,68.34,68.74
20160527,68.81,69.27,68.30,68.72
20160531,68.89,69.42,68.32,69.21
20160601,67.89,68.43,65.85,66.37
20160602,66.81,66.87,65.65,66.50
20160603,67.01,67.01,64.79,64.97
20160606,64.97,65.13,63.11,63.62
20160607,63.88,64.29,63.62,64.16
20160608,63.65,64.28,63.12,64.28
20160609,64.15,64.58,63.99,64.46
20160610,64.02,64.56,63.56,64.42
20160613,64.50,65.29,64.17,64.24
20160614,64.32,64.90,64.04,64.55
20160615,64.67,65.60,64.41,65.54
20160616,65.37,66.43,65.12,66.25
20160617,65.99,66.11,65.16,65.81
20160620,66.59,67.27,65.81,65.84
20160621,66.01,66.23,65.73,66.00
20160622,66.21,66.78,65.73,66.37
20160623,66.41,66.42,65.81,66.09
20160624,65.00,65.85,64.42,65.50
20160627,64.88,66.04,64.60,65.97
20160628,66.49,67.80,66.24,67.79
20160629,68.00,68.88,67.52,68.01
20160630,68.05,68.89,67.61,68.88
20160701,69.01,69.25,68.41,69.00
20160705,68.98,70.38,68.84,69.78
20160706,69.61,69.82,68.49,69.22
20160707,69.07,69.32,68.35,69.30
20160708,69.83,70.52,69.46,70.50
20160711,70.61,70.92,69.85,70.77
20160712,70.43,71.13,70.03,71.02
20160713,71.31,71.53,70.72,70.91
20160714,70.81,71.09,70.15,70.45
20160715,70.55,70.55,69.33,69.57
20160718,69.73,69.99,69.43,69.82
20160719,69.70,70.75,69.45,70.71
20160720,70.63,70.72,69.96,70.09
20160721,70.00,70.10,69.52,69.95
20160722,69.96,70.58,69.64,70.32
20160725,70.48,70.75,69.84,70.16
20160726,69.70,69.90,69.37,69.82
20160727,66.37,67.32,65.38,65.96
20160728,65.74,67.26,65.41,66.85
20160729,66.85,68.42,66.70,67.99
20160801,67.99,68.67,67.90,68.36
20160802,68.22,68.22,66.93,67.27
20160803,66.80,66.93,65.62,66.01
20160804,66.04,66.65,66.00,66.36
20160805,66.57,67.23,66.11,67.23
20160808,67.32,68.55,67.08,68.30
20160809,68.30,68.73,67.97,68.64
20160810,68.57,68.80,66.90,67.26
20160811,67.33,67.38,65.94,66.34
20160812,66.40,67.20,66.08,66.36
20160815,66.44,67.00,66.32,66.54
20160816,66.22,66.55,65.82,65.99
20160817,66.11,66.33,65.02,66.26
20160818,66.06,66.61,65.39,65.64
20160819,65.38,65.60,64.60,65.38
20160822,65.50,65.67,64.77,65.34
20160823,65.68,65.73,65.05,65.05
20160824,64.74,65.22,64.27,64.81
20160825,64.77,66.17,64.47,65.61
20160826,65.65,66.36,64.16,64.55
20160829,64.64,65.56,64.58,65.01
20160830,65.00,65.05,64.17,64.68
20160831,64.65,65.07,64.40,64.87
20160901,64.90,64.96,64.25,64.41
20160902,64.68,65.36,64.01,64.59
20160906,64.68,65.02,64.09,65.00
20160907,65.00,65.77,64.42,65.72
20160908,65.37,65.37,64.27,64.41
20160909,63.76,64.09,62.44,62.80
20160912,62.51,64.02,62.39,63.81
20160913,63.27,63.35,62.58,62.73
20160914,64.44,64.44,63.08,63.61
20160915,63.56,64.48,63.18,64.36
20160916,64.02,64.46,63.58,64.42
20160919,64.56,65.18,64.37,65.13
20160920,65.45,65.56,65.13,65.21
20160921,65.31,66.19,64.41,66.01
20160922,63.09,64.40,62.98,64.36
20160923,64.13,65.07,63.74,64.44
20160926,64.19,64.86,64.19,64.49
20160927,64.87,65.86,64.21,64.58
20160928,64.71,65.59,64.65,65.51
