Date,Open,High,Low,Close
20151127,50.55,50.91,50.30,50.53
20151130,50.70,51.54,50.41,50.95
20151201,50.78,51.19,50.19,50.77
20151202,50.62,50.79,49.66,49.73
20151203,49.53,49.72,49.15,49.32
20151204,49.65,50.67,49.51,50.63
20151207,50.42,51.20,50.30,51.18
20151208,51.10,51.30,50.73,51.11
20151209,50.90,51.68,50.66,50.84
20151210,50.32,50.35,48.74,48.86
20151211,48.59,49.33,48.18,48.91
20151214,48.95,49.21,48.60,49.19
20151215,49.47,50.03,49.28,49.72
20151216,49.90,51.31,49.72,51.15
20151217,51.11,51.92,51.11,51.72
20151218,51.49,51.55,50.40,50.45
20151221,50.59,50.73,49.84,50.07
20151222,50.30,50.83,49.73,50.69
20151223,50.91,51.81,50.61,51.64
20151224,51.61,51.92,51.46,51.74
20151228,51.71,51.86,51.39,51.84
20151229,52.08,52.24,51.85,51.90
20151230,51.97,52.24,51.84,51.85
20151231,51.89,51.90,50.55,51.07
20160104,50.65,50.89,50.23,50.88
20160105,50.85,51.43,50.01,51.35
20160106,51.04,51.65,50.73,51.46
20160107,50.80,51.29,50.76,51.14
20160108,51.17,51.49,50.72,50.82
20160111,50.91,51.32,50.58,51.03
20160112,51.27,51.44,50.40,51.12
20160113,51.27,51.73,51.06,51.30
20160114,51.28,52.22,50.57,51.86
20160115,51.30,51.72,50.82,51.39
20160119,51.45,52.75,51.38,52.59
20160120,52.37,52.65,50.52,51.15
20160121,51.27,51.47,50.21,50.58
20160122,50.63,51.63,50.16,51.58
20160125,51.62,51.97,51.22,51.64
20160126,51.77,52.68,51.74,52.15
20160127,52.23,52.68,51.84,52.32
20160128,52.19,53.52,51.76,53.09
20160129,53.63,54.15,53.37,53.80
20160201,53.60,54.92,53.49,54.57
20160202,54.27,55.23,54.03,55.08
20160203,55.47,55.97,55.34,55.72
20160204,55.63,55.91,54.84,54.93
20160205,54.41,54.86,53.39,54.66
20160208,54.14,54.78,53.43,54.09
20160209,54.00,54.90,53.84,54.69
20160210,54.48,55.28,53.81,54.94
20160211,54.79,55.13,53.79,53.90
20160212,53.88,54.07,52.93,53.51
20160216,53.85,53.98,53.12,53.86
20160217,53.81,53.90,53.29,53.54
20160218,53.65,54.74,53.53,54.46
20160219,54.42,54.74,53.83,54.67
20160222,54.83,55.51,54.66,55.34
20160223,55.02,56.00,55.02,55.84
20160224,55.54,56.49,55.54,56.23
20160225,56.45,56.92,56.25,56.66
20160226,56.42,56.47,54.75,54.77
20160229,54.28,54.84,53.93,54.30
20160301,54.50,54.87,53.80,54.23
20160302,53.96,54.38,52.62,54.34
20160303,54.44,54.66,53.59,54.63
20160304,54.33,55.69,54.13,55.54
20160307,55.32,56.27,55.32,56.11
20160308,56.35,57.03,55.89,56.69
20160309,56.59,57.16,56.40,56.87
20160310,56.92,57.25,56.07,56.50
20160311,56.72,57.00,56.36,56.55
20160314,56.59,56.83,56.15,56.74
20160315,56.73,57.35,56.46,56.75
20160316,56.50,57.58,56.05,57.39
20160317,57.54,58.09,57.32,57.84
20160318,57.82,58.07,57.18,57.19
20160321,57.10,57.82,56.74,57.35
20160322,57.35,57.67,57.07,57.48
20160323,57.49,58.08,57.13,57.93
20160324,57.74,58.29,57.65,57.83
20160328,58.10,58.42,57.63,57.77
20160329,58.00,58.60,57.70,58.53
20160330,58.65,58.81,58.26,58.39
20160331,58.06,58.51,58.03,58.34
20160401,57.90,58.94,57.90,58.80
20160404,58.87,59.09,58.28,58.59
20160405,58.51,58.66,57.03,57.08
20160406,57.00,57.17,56.54,56.89
20160407,56.76,57.33,56.54,56.80
20160408,57.06,57.60,56.95,57.05
20160411,57.06,57.43,56.61,56.63
20160412,56.67,56.80,56.43,56.67
20160413,56.86,56.86,55.95,56.07
