Date,Open,High,Low,Close
20151127,230.07,234.97,228.83,233.83
20151130,234.57,235.67,230.14,230.79
20151201,232.05,235.64,232.05,235.36
20151202,234.69,235.79,228.46,228.92
20151203,228.00,229.26,226.51,227.61
20151204,228.42,234.32,228.42,233.38
20151207,232.80,234.28,231.10,232.56
20151208,232.38,233.35,227.74,231.95
20151209,230.61,232.42,227.12,230.22
20151210,230.33,231.59,228.80,229.43
20151211,227.71,231.11,226.63,230.81
20151214,230.28,233.12,227.01,232.86
20151215,233.25,236.84,231.09,235.00
20151216,235.96,241.13,234.68,240.18
20151217,240.09,240.16,237.48,238.63
20151218,237.43,238.02,235.07,235.47
20151221,237.91,238.60,234.12,235.10
20151222,235.77,237.69,234.19,234.38
20151223,235.60,238.25,233.25,238.15
20151224,237.71,239.19,236.58,238.37
20151228,237.74,240.92,237.31,240.83
20151229,242.56,244.71,242.11,244.29
20151230,241.88,244.36,240.83,243.27
20151231,243.36,243.92,239.30,239.41
20160104,238.45,239.32,235.54,237.32
20160105,237.90,240.55,237.78,240.04
20160106,238.01,239.99,236.63,238.05
20160107,235.56,237.99,234.73,235.70
20160108,236.28,238.67,233.14,233.67
20160111,234.85,236.55,234.11,235.69
20160112,234.60,235.56,230.39,234.78
20160113,235.27,237.03,232.36,233.78
20160114,233.78,235.85,230.54,230.83
20160115,228.97,231.66,226.26,230.15
20160119,231.19,233.85,229.17,232.33
20160120,231.61,231.61,223.95,224.48
20160121,225.12,226.84,219.31,221.00
20160122,222.82,225.39,221.49,224.85
20160125,224.86,227.22,222.46,223.11
20160126,223.37,226.63,223.08,226.32
20160127,226.32,226.32,218.99,220.44
20160128,219.38,221.19,209.89,210.78
20160129,212.04,213.62,205.73,213.11
20160201,211.39,216.35,210.44,214.23
20160202,214.23,216.53,207.60,208.32
20160203,209.38,211.97,207.24,210.38
20160204,209.20,212.57,207.25,210.92
20160205,209.86,215.28,202.08,202.50
20160208,205.98,205.98,196.69,198.17
20160209,196.83,200.19,191.66,193.49
20160210,196.64,200.00,195.56,196.79
20160211,194.03,194.87,191.25,192.26
20160212,196.94,197.87,192.40,195.54
20160216,197.00,199.20,193.80,198.63
20160217,199.13,203.36,196.32,201.57
20160218,201.78,203.80,198.87,202.03
20160219,201.96,208.79,201.96,207.12
20160222,208.55,210.88,208.30,209.53
20160223,208.14,211.53,208.14,209.17
20160224,208.04,211.47,205.45,207.42
20160225,208.65,214.86,208.15,211.00
20160226,210.96,211.74,209.79,209.98
20160229,210.14,214.57,209.15,209.28
20160301,210.64,216.79,209.51,216.59
20160302,215.72,219.05,211.86,218.00
20160303,218.66,221.10,217.19,221.05
20160304,222.66,223.86,221.05,222.49
20160307,220.82,223.47,220.29,223.17
20160308,223.17,225.26,221.56,221.93
20160309,222.19,224.38,219.67,222.24
20160310,223.53,224.67,219.17,220.67
20160311,222.36,224.56,220.49,224.43
20160314,223.84,224.91,219.04,221.11
20160315,220.15,221.44,219.60,221.32
20160316,220.50,222.81,218.65,222.02
20160317,222.41,227.12,221.05,226.38
20160318,226.67,229.67,224.94,226.07
20160321,226.07,227.41,225.76,226.25
20160322,226.16,229.61,225.36,228.48
20160323,228.50,230.36,228.14,228.51
20160324,227.74,228.22,224.74,226.21
20160328,226.21,228.44,225.22,228.27
20160329,226.76,233.90,226.76,233.67
20160330,234.00,234.95,232.17,232.35
20160331,232.17,234.78,231.14,233.86
20160401,233.14,234.19,231.69,232.82
20160404,233.15,234.99,232.13,233.79
20160405,232.02,233.99,230.87,231.86
20160406,231.43,233.25,230.38,232.40
20160407,231.41,232.63,229.30,230.60
20160408,232.31,232.90,231.15,231.43
20160411,231.73,231.73,227.12,227.14
20160412,227.34,228.94,224.09,228.65
20160413,229.79,229.79,222.17,222.95
20160414,222.66,222.66,217.47,218.89
20160415,218.79,225.67,218.31,224.87
20160418,224.75,226.70,223.25,226.44
20160419,226.92,229.90,226.21,229.27
20160420,229.32,229.43,222.33,222.81
20160421,222.02,225.76,221.22,222.30
20160422,222.69,225.43,221.94,224.51
20160425,223.85,227.55,223.85,227.46
20160426,227.42,229.26,224.68,225.43
20160427,223.77,225.00,220.94,224.65
20160428,224.08,227.87,223.36,224.33
20160429,223.75,224.68,218.85,220.45
20160502,219.42,223.67,219.00,222.93
20160503,221.60,223.81,220.85,223.52
20160504,221.84,227.55,221.50,225.91
20160505,227.30,230.00,227.09,228.87
20160506,228.91,232.33,225.78,232.16
20160509,232.39,233.99,232.39,233.51
20160510,235.00,237.50,233.20,236.11
20160511,236.09,236.09,229.92,230.60
20160512,230.78,231.19,227.56,229.93
20160513,229.68,229.88,227.04,227.75
20160516,228.62,230.57,227.13,229.49
20160517,229.04,229.49,222.81,224.28
20160518,223.79,225.00,220.35,223.52
20160519,221.86,221.90,219.46,221.32
20160520,222.74,223.62,221.16,222.83
20160523,223.31,224.05,221.97,222.17
20160524,224.05,224.66,222.16,223.49
20160525,223.86,226.37,222.28,226.00
