Date,Open,High,Low,Close
20151127,57.87,58.18,57.60,58.10
20151130,58.20,58.59,57.98,58.16
20151201,58.35,58.58,58.01,58.45
20151202,58.10,58.47,56.96,57.13
20151203,57.09,57.22,55.15,55.62
20151204,55.74,56.24,55.52,56.05
20151207,55.85,55.88,54.60,54.71
20151208,54.00,54.21,52.82,53.00
20151209,52.86,53.70,52.47,52.67
20151210,52.64,53.05,52.02,52.14
20151211,51.42,51.86,50.66,50.87
20151214,50.71,51.08,49.98,50.38
20151215,50.62,50.90,49.93,50.58
20151216,51.30,52.19,50.97,51.99
20151217,51.93,52.17,50.11,50.13
20151218,50.10,50.51,49.65,49.74
20151221,50.26,50.90,50.10,50.71
20151222,51.00,52.34,50.87,51.81
20151223,52.36,53.50,52.28,53.28
20151224,53.20,53.50,53.01,53.25
20151228,53.10,53.21,52.25,52.59
20151229,53.03,53.46,52.71,53.08
20151230,52.89,53.30,52.51,52.59
20151231,52.41,52.79,52.02,52.04
20160104,52.04,52.26,50.78,52.22
20160105,52.22,52.34,51.26,51.85
20160106,50.82,51.29,50.36,50.92
20160107,49.95,50.26,49.38,49.73
20160108,50.05,50.41,49.06,49.17
20160111,49.64,49.81,48.58,49.15
20160112,49.73,50.09,48.85,49.95
20160113,50.11,50.59,48.35,48.43
20160114,48.71,48.71,47.15,48.32
20160115,47.01,48.12,46.98,47.86
20160119,48.60,48.74,47.45,48.09
20160120,47.23,47.95,46.19,47.51
20160121,47.57,48.69,46.78,47.78
20160122,48.87,49.47,47.69,48.51
20160125,48.23,48.56,47.15,47.27
20160126,48.27,49.14,47.46,49.02
20160127,48.99,50.71,48.32,49.44
20160128,50.30,50.70,49.50,50.19
20160129,48.60,50.51,47.75,50.51
20160201,50.04,50.45,49.27,50.22
20160202,49.61,50.08,48.61,49.00
20160203,51.95,52.62,50.31,52.48
20160204,52.47,55.26,52.47,54.36
20160205,53.97,55.25,53.75,54.66
20160208,54.00,55.30,53.14,55.11
20160209,53.76,55.25,53.76,54.48
20160210,54.60,54.96,53.64,53.70
20160211,52.59,53.72,52.35,53.10
20160212,53.91,54.51,53.05,54.20
20160216,54.18,54.91,53.51,54.82
20160217,55.41,56.77,55.10,56.01
20160218,56.16,56.49,55.87,56.20
20160219,55.86,56.15,54.92,56.01
20160222,56.01,57.91,56.01,57.68
20160223,57.40,57.93,56.41,56.55
20160224,55.81,56.92,54.91,56.80
20160225,56.75,57.34,56.09,57.28
20160226,57.54,57.98,57.06,57.27
20160229,57.43,57.76,56.68,56.71
20160301,57.69,58.58,57.04,58.06
20160302,57.91,57.97,57.14,57.95
20160303,57.39,57.85,56.97,57.83
20160304,57.87,58.54,57.27,57.95
20160307,57.77,59.11,57.75,59.02
20160308,58.54,58.54,57.71,57.87
20160309,58.23,58.74,57.86,58.56
20160310,58.65,59.45,58.38,59.41
20160311,59.65,60.63,59.65,60.13
20160314,59.69,60.66,59.50,60.50
20160315,60.03,60.49,59.36,60.45
20160316,60.43,61.07,59.93,60.78
20160317,60.78,63.30,60.78,63.11
20160318,63.31,63.99,62.53,63.47
20160321,63.46,63.76,63.14,63.68
20160322,63.20,63.96,62.84,63.42
20160323,63.26,63.26,62.40,62.48
20160324,61.93,62.40,61.31,62.37
20160328,62.52,62.63,62.01,62.47
20160329,62.00,62.50,61.62,62.37
20160330,62.88,63.17,62.46,62.75
20160331,62.75,62.97,62.26,62.56
20160401,61.89,63.80,61.44,63.66
20160404,62.89,63.33,62.49,62.65
20160405,61.68,61.71,60.22,60.39
20160406,60.27,60.42,58.13,59.55
20160407,59.07,60.20,58.94,59.48
20160408,60.11,60.76,59.79,59.91
20160411,60.16,61.20,60.10,60.62
20160412,60.78,61.79,60.74,61.54
20160413,61.95,63.14,61.73,63.04
20160414,63.31,63.39,62.43,62.58
20160415,62.65,63.26,62.58,62.83
20160418,62.59,62.90,62.20,62.68
20160419,63.44,63.44,62.61,62.77
20160420,62.86,62.95,62.07,62.16
20160421,62.08,62.66,61.83,62.15
20160422,61.90,63.06,61.90,62.99
20160425,62.55,62.88,61.85,62.26
20160426,62.70,63.38,62.65,63.25
20160427,63.33,63.91,63.06,63.83
20160428,63.51,63.98,62.90,63.19
20160429,62.50,63.75,62.32,63.27
20160502,63.48,63.62,62.17,63.46
20160503,63.16,63.50,62.53,63.29
20160504,62.40,62.59,60.45,60.97
20160505,61.13,61.61,60.62,60.98
20160506,60.83,61.38,60.32,61.30
20160509,61.11,61.19,60.31,60.66
20160510,60.78,62.13,60.59,62.10
20160511,62.05,62.64,61.80,62.00
20160512,62.27,62.49,61.68,62.07
20160513,61.92,62.39,60.62,60.87
20160516,61.06,62.12,61.02,61.95
20160517,61.84,62.38,61.09,61.32
20160518,61.08,61.35,59.80,60.10
20160519,59.64,59.74,58.86,59.54
20160520,59.99,60.54,59.50,59.80
20160523,59.67,60.28,59.32,60.05
20160524,60.43,60.63,60.13,60.40
20160525,60.68,61.83,60.59,61.61
20160526,61.54,62.29,61.38,61.52
20160527,61.63,61.92,61.25,61.63
20160531,61.70,62.03,61.18,61.63
20160601,61.22,61.73,60.75,61.65
20160602,61.53,61.79,61.12,61.75
20160603,61.72,61.81,61.01,61.45
20160606,61.74,62.76,61.56,62.67
20160607,62.85,63.36,62.50,62.53
20160608,62.96,63.57,62.91,63.14
20160609,62.66,62.92,62.23,62.77
20160610,62.21,62.35,61.19,61.62
20160613,61.25,61.49,60.60,60.63
20160614,60.46,60.88,59.94,60.44
20160615,60.79,61.14,60.41,60.65
20160616,60.23,60.98,59.62,60.79
20160617,60.90,61.85,60.79,61.62
20160620,62.54,63.25,62.25,62.29
20160621,62.25,62.50,61.47,61.85
20160622,61.88,62.10,61.62,61.76
20160623,62.56,62.82,62.23,62.82
20160624,60.05,60.73,57.92,58.03
20160627,57.28,57.42,54.30,55.57
20160628,56.14,57.11,55.85,56.86
20160629,57.73,58.32,57.15,58.09
20160630,58.34,59.73,57.96,59.73
20160701,59.63,60.93,59.63,60.27
20160705,59.66,60.00,58.29,58.72
20160706,58.71,59.46,58.28,59.45
20160707,59.52,60.49,59.48,60.11
20160708,60.72,62.00,60.52,61.92
20160711,62.22,62.72,62.00,62.40
20160712,62.93,64.16,62.53,63.96
20160713,63.98,64.15,63.32,63.87
20160714,63.86,64.71,63.35,63.80
20160715,63.97,64.19,63.54,63.83
20160718,63.57,63.73,63.08,63.49
20160719,63.05,63.52,62.78,63.05
20160720,63.15,63.74,62.67,63.50
20160721,63.60,63.86,62.86,63.21
20160722,63.37,63.44,62.63,63.38
20160725,63.39,63.47,62.93,63.47
20160726,63.47,64.66,63.34,64.57
20160727,64.80,64.85,64.13,64.41
20160728,64.15,64.15,63.53,64.01
20160729,63.91,64.00,63.06,63.41
20160801,63.43,63.94,62.63,63.94
20160802,65.00,65.51,63.91,64.01
20160803,63.51,64.60,63.14,64.24
20160804,64.36,64.91,64.13,64.50
20160805,64.78,65.71,64.61,65.46
20160808,65.72,66.54,65.49,65.83
20160809,66.00,66.47,65.80,65.84
20160810,66.34,66.74,66.06,66.71
20160811,66.90,67.37,66.70,67.33
20160812,67.07,67.46,66.94,67.21
20160815,67.39,68.01,67.33,67.63
20160816,67.54,67.55,67.19,67.27
20160817,67.47,67.70,67.14,67.62
20160818,67.66,67.73,67.37,67.72
20160819,67.30,67.76,67.16,67.66
20160822,67.58,67.87,67.17,67.70
20160823,68.00,68.18,67.64,67.68
20160824,67.59,67.72,67.19,67.30
20160825,67.24,67.58,66.86,67.39
20160826,67.67,68.20,67.06,67.32
20160829,67.28,67.94,67.22,67.71
20160830,67.60,67.75,67.00,67.15
20160831,67.00,67.15,66.26,66.54
20160901,66.66,66.94,65.91,66.92
20160902,67.33,67.66,67.10,67.54
