Date,Open,High,Low,Close
20151127,66.08,66.40,65.83,66.17
20151130,66.13,67.24,66.02,66.63
20151201,66.77,67.95,65.46,67.39
20151202,67.20,67.20,65.23,65.31
20151203,64.97,65.25,64.18,64.36
20151204,64.61,66.00,64.25,65.93
20151207,65.74,66.71,65.25,66.69
20151208,66.51,66.78,66.16,66.56
20151209,66.24,68.63,66.11,68.04
20151210,67.97,68.04,65.66,65.71
20151211,65.30,66.36,65.08,65.66
20151214,65.64,65.82,64.20,65.44
20151215,65.48,65.80,65.06,65.22
20151216,65.60,67.24,65.37,67.13
20151217,67.10,67.67,66.38,67.23
20151218,66.91,67.34,66.07,66.26
20151221,66.64,66.65,65.77,66.18
20151222,66.38,67.82,65.74,67.68
20151223,67.92,68.97,67.90,68.79
20151224,68.58,68.94,68.31,68.69
20151228,68.39,69.09,68.20,68.86
20151229,69.13,69.41,68.89,69.20
20151230,69.28,69.49,68.98,69.25
20151231,69.11,69.11,67.65,68.36
20160104,67.91,68.60,66.77,68.58
20160105,68.47,69.16,67.03,68.95
20160106,68.55,68.72,67.82,68.51
20160107,67.91,68.61,67.28,67.54
20160108,67.58,68.29,67.37,67.52
20160111,67.74,68.19,67.07,67.55
20160112,68.27,68.52,67.05,68.40
20160113,68.62,69.08,67.70,68.20
20160114,68.28,69.59,67.76,69.10
20160115,68.59,68.59,67.42,68.09
20160119,68.83,69.24,68.16,68.87
20160120,68.42,68.91,65.38,66.56
20160121,66.58,67.08,65.64,66.68
20160122,67.26,68.85,66.84,68.73
20160125,68.65,68.73,67.23,67.58
20160126,67.93,69.54,67.89,68.70
20160127,68.59,70.02,68.39,69.55
20160128,69.49,70.91,69.12,70.56
20160129,71.28,71.57,70.39,70.58
20160201,70.62,71.82,70.34,71.60
20160202,71.10,71.94,70.72,71.74
20160203,71.93,73.96,71.82,73.35
20160204,73.12,74.48,72.19,72.30
20160205,72.05,72.66,71.15,72.22
20160208,72.37,73.02,70.41,71.45
20160209,69.97,71.30,69.65,70.74
20160210,70.57,71.85,69.34,71.44
