Date,Open,High,Low,Close
20151127,42.17,42.64,42.05,42.43
20151130,42.57,42.88,42.39,42.68
20151201,42.77,43.56,42.75,43.51
20151202,43.36,43.48,41.95,42.30
20151203,42.16,42.32,41.16,41.60
20151204,41.72,42.42,41.65,42.08
20151207,41.74,41.86,41.35,41.61
20151208,41.52,41.81,41.04,41.40
20151209,41.16,41.66,40.98,41.05
20151210,40.96,41.03,40.35,40.41
20151211,40.31,40.85,40.00,40.70
20151214,40.69,40.95,40.51,40.60
20151215,40.77,41.54,40.73,41.23
20151216,41.46,42.25,41.46,42.24
20151217,42.21,42.49,41.95,42.04
20151218,42.04,42.09,41.09,41.45
20151221,41.74,41.77,41.04,41.31
20151222,41.36,41.98,40.87,41.81
20151223,42.01,42.81,41.94,42.70
20151224,42.56,42.87,42.51,42.71
20151228,42.59,42.93,42.39,42.83
20151229,43.18,43.35,42.98,43.05
20151230,43.00,43.30,42.84,43.16
20151231,43.05,43.05,42.20,42.41
20160104,42.11,42.40,41.98,42.37
20160105,42.37,42.76,41.81,42.64
20160106,42.35,42.80,42.06,42.74
20160107,42.25,42.76,42.05,42.24
20160108,42.44,42.65,41.96,42.09
20160111,42.17,42.60,42.05,42.25
20160112,42.39,42.45,41.33,41.55
20160113,41.73,42.07,41.47,41.58
20160114,41.59,42.25,41.16,41.94
20160115,41.45,41.84,40.55,41.20
20160119,41.38,41.93,41.24,41.71
20160120,41.44,41.76,40.01,40.71
20160121,40.73,41.00,40.22,40.38
20160122,40.56,41.66,40.35,41.66
20160125,41.45,41.65,40.92,41.02
20160126,41.15,41.82,41.07,41.37
20160127,41.23,41.88,41.11,41.48
20160128,41.54,42.36,41.33,42.23
20160129,42.53,43.59,42.50,43.56
20160201,43.42,44.61,43.33,44.28
20160202,44.17,45.36,44.12,44.99
20160203,45.25,46.60,45.25,45.96
20160204,45.78,46.14,45.04,45.14
20160205,45.07,45.97,44.50,45.26
20160208,45.12,45.69,44.23,44.78
20160209,44.68,45.20,44.47,44.99
20160210,44.92,45.60,44.49,45.47
20160211,45.30,45.53,45.02,45.22
20160212,45.34,45.43,44.16,44.76
20160216,45.00,45.37,44.53,45.27
20160217,45.27,45.28,44.69,45.15
20160218,45.15,45.87,44.95,45.72
20160219,45.69,45.83,45.26,45.56
20160222,45.77,46.15,45.48,46.07
