Date,Open,High,Low,Close
20151127,49.00,49.79,48.93,49.49
20151130,49.37,49.58,48.50,48.54
20151201,48.67,49.18,48.15,48.91
20151202,48.70,48.80,47.12,47.24
20151203,47.19,47.91,46.44,46.58
20151204,46.77,47.98,46.59,47.83
20151207,47.64,47.87,46.76,47.17
20151208,46.63,47.32,46.20,46.68
20151209,46.45,47.20,46.13,46.29
20151210,46.46,47.42,45.98,46.89
20151211,46.26,46.91,46.01,46.60
20151214,46.75,46.85,46.13,46.75
20151215,46.93,47.27,46.35,46.57
20151216,46.98,47.38,46.44,47.14
20151217,47.28,47.29,46.31,46.31
20151218,45.93,46.08,44.73,45.21
20151221,45.56,45.56,44.84,45.24
20151222,45.60,46.15,45.13,46.00
20151223,46.16,46.25,45.56,45.83
20151224,45.80,46.14,45.50,45.92
20151228,45.70,45.83,45.29,45.82
20151229,46.12,46.12,45.44,45.67
20151230,45.63,46.05,45.50,45.58
20151231,45.53,45.60,45.10,45.10
20160104,44.35,44.47,43.49,44.26
20160105,44.06,44.66,43.74,44.55
20160106,44.00,44.33,43.56,43.64
20160107,41.46,42.95,40.50,42.66
20160108,42.66,43.30,42.56,42.78
20160111,43.00,43.40,42.41,42.99
20160112,43.30,43.56,42.79,43.50
20160113,43.42,43.71,42.30,42.62
20160114,42.82,43.62,42.30,43.20
20160115,40.95,42.25,40.41,42.20
20160119,42.75,43.36,42.45,42.95
20160120,42.34,43.54,42.33,43.28
20160121,43.33,43.78,42.96,43.40
20160122,43.89,44.36,43.15,43.65
20160125,43.32,43.53,42.99,43.10
20160126,43.18,44.38,43.18,44.19
20160127,44.11,44.58,43.78,44.06
20160128,44.16,44.59,43.84,44.48
20160129,44.79,45.25,44.10,45.12
20160201,44.94,45.35,44.60,45.16
20160202,44.75,45.13,44.18,44.33
20160203,44.71,44.97,44.14,44.37
20160204,44.37,45.84,44.37,45.79
20160205,45.79,45.99,45.47,45.85
20160208,45.24,46.16,45.08,46.05
20160209,45.76,46.10,45.34,45.90
20160210,46.06,46.24,45.03,45.07
20160211,44.43,45.02,44.13,44.69
20160212,45.23,45.94,45.05,45.70
20160216,46.16,46.74,45.49,46.58
20160217,46.84,47.21,46.60,46.80
20160218,46.85,47.20,46.51,46.73
20160219,46.66,46.81,46.21,46.69
20160222,47.00,47.46,46.60,46.75
20160223,43.94,45.96,43.61,45.19
20160224,44.70,45.74,44.60,45.47
20160225,45.76,45.98,45.40,45.91
20160226,46.00,46.48,45.81,46.08
20160229,46.08,46.35,45.76,45.78
20160301,46.09,46.50,45.74,46.29
20160302,46.40,46.49,45.76,46.18
20160303,46.07,46.81,45.64,46.64
20160304,46.77,47.33,46.56,46.93
20160307,46.24,47.35,46.06,47.26
20160308,46.91,47.57,46.54,47.21
20160309,47.26,47.82,47.07,47.39
20160310,47.47,47.96,46.95,47.79
20160311,48.00,48.66,47.86,48.06
20160314,47.89,48.06,47.27,47.80
20160315,47.59,48.27,47.33,48.12
20160316,47.86,48.09,47.31,48.00
20160317,48.15,49.36,47.77,48.75
20160318,48.77,48.99,48.28,48.48
20160321,48.50,48.69,46.42,48.48
