Date,Open,High,Low,Close
20151127,124.09,124.19,121.66,123.63
20151130,123.49,124.35,122.14,123.11
20151201,124.09,125.23,122.76,125.04
20151202,125.00,125.60,122.78,123.11
20151203,123.39,125.13,121.58,122.27
20151204,123.11,126.06,122.21,125.92
20151207,126.34,126.48,123.92,125.04
20151208,123.92,126.17,123.01,125.63
20151209,125.03,126.86,123.31,125.02
20151210,124.80,126.60,123.12,125.61
20151211,123.55,125.61,122.74,123.21
20151214,123.48,126.00,123.44,124.30
20151215,125.77,132.00,125.73,130.24
20151216,131.12,133.07,128.30,131.16
20151217,131.23,131.90,128.45,128.67
20151218,128.66,129.54,125.00,125.36
20151221,126.06,127.39,124.52,125.58
20151222,126.33,128.03,125.05,127.52
20151223,128.30,128.52,125.00,126.28
20151224,126.17,127.43,125.60,126.47
20151228,126.30,127.48,124.66,126.10
20151229,126.43,128.92,126.43,127.70
20151230,127.68,127.97,126.01,126.27
20151231,125.49,126.21,123.96,124.30
20160104,121.26,122.00,119.06,120.80
20160105,121.25,122.13,118.39,119.93
20160106,117.56,120.16,116.51,119.04
20160107,117.01,117.78,114.00,114.81
20160108,116.06,116.50,111.25,111.41
20160111,112.11,112.78,109.25,111.20
20160112,112.05,113.12,110.15,111.90
20160113,112.44,112.91,105.33,106.37
20160114,106.74,109.49,102.87,107.67
20160115,103.56,104.02,99.56,102.76
20160119,104.81,106.77,104.08,105.32
20160120,103.75,107.88,100.07,106.28
20160121,106.39,107.62,105.19,106.40
20160122,108.00,109.24,106.04,107.12
20160125,106.88,107.86,104.98,105.21
20160126,104.66,105.93,102.36,104.93
20160127,102.91,104.00,99.00,99.53
20160128,101.29,101.49,97.22,98.69
20160129,99.22,101.27,98.13,101.04
20160201,100.16,102.93,98.71,102.15
20160202,101.44,101.79,97.35,98.71
20160203,98.85,99.08,92.41,96.30
20160204,95.97,100.21,94.50,99.90
20160205,99.07,99.11,91.91,93.54
20160208,91.37,92.27,88.40,91.53
20160209,90.25,94.40,89.24,92.64
20160210,93.36,96.51,93.02,94.35
20160211,100.10,104.95,96.88,103.37
20160212,104.71,106.21,99.37,102.25
20160216,103.35,105.45,101.14,105.44
20160217,107.96,112.62,107.70,110.88
20160218,110.01,111.53,107.28,107.47
20160219,107.04,108.76,104.94,108.67
20160222,106.59,108.24,105.62,106.96
20160223,106.60,107.64,103.28,104.16
20160224,103.16,105.36,100.47,104.40
20160225,105.00,105.26,102.70,105.13
20160226,105.88,107.15,104.39,105.45
20160229,104.19,106.20,104.01,104.11
20160301,105.02,108.88,102.85,108.19
20160302,107.83,108.19,105.66,106.73
20160303,106.43,109.22,105.24,108.51
20160304,108.89,109.09,107.14,108.53
20160307,107.53,107.87,104.79,105.39
20160308,104.94,106.36,103.35,104.86
20160309,105.13,106.23,103.49,105.69
20160310,108.60,111.45,107.18,109.38
20160311,110.55,115.01,110.24,114.93
20160314,113.42,118.64,113.42,116.39
20160315,115.56,117.62,114.86,116.27
20160316,116.20,116.93,111.20,114.30
20160317,114.60,115.09,111.25,111.48
20160318,111.90,111.90,109.00,110.19
20160321,110.14,111.52,108.42,110.88
20160322,108.09,109.61,107.85,108.92
20160323,109.34,109.72,108.38,108.99
20160324,108.14,108.38,106.50,107.69
20160328,108.03,108.03,105.34,106.60
20160329,106.45,107.96,104.96,107.24
20160330,108.24,109.19,107.51,107.80
20160331,107.96,108.27,106.66,107.82
20160401,106.79,108.79,106.06,108.20
20160404,108.32,108.63,103.75,105.14
20160405,104.62,104.98,102.42,104.05
20160406,104.55,106.87,104.22,105.74
20160407,105.01,105.87,103.38,103.57
20160408,104.10,104.10,102.51,102.97
20160411,103.00,104.12,101.84,101.96
20160412,102.05,104.85,102.05,104.57
20160413,104.94,107.21,104.69,106.92
20160414,109.06,109.50,107.63,108.82
20160415,108.98,109.23,107.81,109.16
20160418,109.16,111.25,109.16,111.03
20160419,109.12,109.81,106.32,107.56
20160420,107.71,108.98,106.73,108.29
20160421,108.55,108.86,107.00,108.34
20160422,108.07,108.72,105.99,107.51
20160425,107.15,107.50,105.69,106.43
20160426,106.68,106.91,105.76,106.64
20160427,106.03,107.94,105.36,107.77
20160428,107.55,110.79,106.83,106.99
20160429,116.84,118.00,113.77,115.77
20160502,115.76,116.99,113.87,116.52
20160503,115.16,116.79,114.40,115.97
20160504,113.66,115.43,112.89,114.11
20160505,114.14,114.56,112.45,112.55
20160506,112.00,113.33,111.55,113.16
20160509,113.10,114.12,111.98,112.60
20160510,113.38,115.36,113.02,115.02
20160511,114.60,114.91,112.58,112.65
20160512,113.25,113.62,111.21,112.94
20160513,113.25,113.80,111.90,111.92
20160516,112.50,112.70,111.35,111.92
20160517,111.95,113.68,111.21,111.62
20160518,111.10,112.27,109.69,110.77
20160519,109.49,110.43,107.76,108.56
20160520,108.73,111.08,108.27,110.49
20160523,110.30,110.77,109.94,110.20
20160524,110.77,113.69,110.38,113.17
20160525,113.17,114.10,112.66,113.01
20160526,113.15,113.45,111.09,111.82
20160527,112.00,112.65,111.51,112.29
20160531,112.36,112.65,109.92,111.24
20160601,110.47,111.90,109.53,110.60
20160602,110.12,111.50,109.75,111.10
20160603,110.50,110.67,108.36,109.99
20160606,109.83,109.97,108.32,109.76
20160607,110.00,111.08,109.26,110.66
20160608,111.10,111.25,110.00,110.03
20160609,109.12,110.68,108.66,109.11
20160610,108.00,108.34,106.06,106.80
20160613,106.26,107.22,104.13,104.33
20160614,104.52,105.69,103.61,105.00
20160615,105.42,105.97,104.17,104.34
20160616,104.16,104.54,102.85,104.35
20160617,104.08,104.72,103.07,104.14
20160620,106.63,109.26,106.02,107.19
20160621,107.22,107.60,106.32,107.37
20160622,107.28,108.87,106.82,107.98
20160623,108.98,110.00,108.44,109.90
20160624,102.54,106.28,101.22,101.76
20160627,100.54,100.84,96.58,98.44
20160628,99.83,102.97,99.75,101.19
20160629,102.47,105.20,102.22,104.18
20160630,105.54,106.46,103.93,106.30
20160701,106.03,108.33,105.82,107.71
20160705,106.90,107.64,104.59,105.93
20160706,105.35,106.79,104.44,106.20
20160707,106.05,107.61,105.67,107.57
20160708,108.34,109.70,108.09,109.43
20160711,110.11,111.50,110.07,111.28
20160712,112.03,113.75,111.91,113.40
20160713,113.45,114.41,112.29,114.26
20160714,115.25,115.64,114.50,115.13
20160715,114.38,115.27,113.02,114.62
20160718,114.69,116.22,113.82,115.53
20160719,114.69,116.29,114.28,116.13
20160720,116.26,117.89,115.80,117.19
20160721,117.07,117.27,115.82,116.58
20160722,116.35,117.31,115.78,117.20
20160725,116.85,117.65,115.85,117.61
20160726,117.99,118.91,116.72,117.64
20160727,117.76,118.00,115.80,117.20
20160728,117.55,119.77,116.23,119.27
20160729,113.74,117.93,112.99,116.65
20160801,116.82,117.77,115.50,117.37
20160802,116.28,116.95,112.50,113.55
20160803,113.30,114.08,112.35,112.56
20160804,111.62,114.20,111.01,113.51
20160805,114.39,115.50,113.12,113.23
20160808,113.37,114.20,112.32,114.09
20160809,114.08,114.96,113.40,113.78
20160810,114.47,114.78,113.78,114.38
20160811,114.84,115.74,114.20,114.80
20160812,114.52,116.34,114.30,116.08
20160815,116.59,117.99,116.57,116.90
20160816,116.90,117.70,116.00,116.28
20160817,116.07,116.62,115.16,115.42
20160818,115.64,115.99,115.01,115.44
20160819,114.98,115.29,114.71,115.00
20160822,114.77,115.16,113.95,113.99
20160823,114.00,114.81,113.58,113.60
20160824,113.60,114.12,111.89,111.89
20160825,111.39,112.58,111.34,112.25
20160826,112.61,113.76,110.48,111.36
20160829,111.70,111.74,109.79,109.80
20160830,110.14,110.32,108.70,109.09
20160831,108.72,109.78,108.26,109.12
20160901,109.86,113.25,109.16,113.13
20160902,114.00,114.39,111.87,112.05
20160906,112.10,114.70,112.02,113.91
20160907,113.55,114.39,113.47,113.65
20160908,113.08,114.28,112.35,114.07
20160909,113.04,113.37,111.05,111.10
20160912,109.80,113.95,109.80,113.57
20160913,112.50,113.07,111.12,111.56
20160914,111.98,112.67,111.03,111.31
20160915,110.94,112.20,110.15,111.90
20160916,110.70,111.00,106.86,107.83
20160919,108.56,108.79,105.74,106.12
20160920,106.99,107.82,105.62,107.65
20160921,107.96,108.20,107.10,108.02
20160922,109.00,109.05,108.35,108.79
20160923,108.97,110.27,108.54,109.91
20160926,109.34,109.59,108.50,109.09
20160927,109.25,113.29,109.25,113.10
20160928,113.52,116.08,112.64,115.99
20160929,115.99,119.15,115.56,118.40
20160930,118.63,118.77,116.58,116.72
20161003,116.38,117.40,115.70,117.02
20161004,118.05,119.12,117.20,119.12
20161005,119.30,119.50,118.48,119.14
20161006,119.04,119.05,117.45,118.53
20161007,118.78,118.78,117.39,117.77
20161010,118.34,119.50,117.91,118.77
20161011,118.16,118.66,116.85,117.72
20161012,118.60,119.42,117.95,118.79
20161013,117.43,119.35,116.58,118.69
20161014,118.77,121.25,118.76,120.80
20161017,121.09,122.00,119.94,121.78
