Date,Open,High,Low,Close
20151127,14.54,14.59,14.50,14.53
20151130,14.54,14.55,14.29,14.33
20151201,14.32,14.56,14.29,14.56
20151202,14.60,14.62,14.24,14.26
20151203,14.31,14.34,13.93,13.98
20151204,14.08,14.26,14.00,14.20
20151207,14.19,14.20,14.02,14.12
20151208,14.03,14.10,13.88,13.97
20151209,13.91,14.14,13.80,13.89
20151210,13.91,14.09,13.89,13.96
20151211,13.84,13.92,13.58,13.64
20151214,13.66,13.74,13.40,13.62
20151215,13.74,14.00,13.72,13.87
20151216,14.00,14.36,13.99,14.36
20151217,14.37,14.38,13.95,13.98
20151218,13.88,13.91,13.72,13.80
20151221,13.89,13.95,13.67,13.73
20151222,13.93,14.25,13.90,14.20
20151223,14.27,14.38,14.26,14.36
20151224,14.35,14.37,14.25,14.31
20151228,14.28,14.34,14.16,14.18
20151229,14.28,14.30,14.15,14.23
20151230,14.23,14.26,14.12,14.17
20151231,14.14,14.16,14.04,14.09
20160104,13.87,14.00,13.75,13.97
20160105,13.97,14.00,13.51,13.72
20160106,13.56,13.56,13.05,13.11
20160107,12.90,13.04,12.60,12.70
20160108,13.05,13.10,12.50,12.54
20160111,12.80,12.82,12.55,12.77
20160112,13.03,13.04,12.58,12.85
20160113,12.73,12.84,12.06,12.20
20160114,12.19,12.31,11.82,12.19
20160115,11.81,12.00,11.58,11.97
20160119,12.15,12.16,11.82,11.95
20160120,11.79,12.07,11.47,11.90
20160121,12.01,12.28,11.86,12.01
20160122,12.26,12.36,12.03,12.14
20160125,12.30,12.31,11.93,11.98
20160126,12.14,12.30,12.04,12.26
20160127,12.05,12.10,11.73,11.85
20160128,12.03,12.06,11.20,11.71
20160129,11.83,11.94,11.65,11.94
20160201,11.92,12.14,11.73,12.07
20160202,11.95,12.08,11.45,11.51
20160203,11.67,11.68,11.02,11.46
20160204,11.37,11.69,11.26,11.53
20160205,11.52,11.70,11.42,11.45
20160208,11.39,11.69,11.25,11.59
20160209,11.47,11.61,11.22,11.35
20160210,11.46,11.57,11.33,11.34
20160211,11.17,11.43,11.10,11.17
20160212,11.25,11.58,11.18,11.55
20160216,11.75,11.88,11.53,11.87
20160217,11.99,12.30,11.98,12.27
20160218,12.40,12.44,12.12,12.26
20160219,12.19,12.22,12.01,12.10
20160222,12.10,12.56,12.10,12.56
20160223,12.53,12.65,12.42,12.42
20160224,12.11,12.11,11.60,12.08
20160225,12.11,12.40,12.05,12.39
20160226,12.52,12.59,12.40,12.47
20160229,12.42,12.65,12.39,12.51
20160301,13.01,13.12,12.72,13.09
20160302,13.06,13.35,13.04,13.22
20160303,13.25,13.61,13.24,13.54
20160304,13.56,13.86,13.43,13.59
20160307,13.46,13.74,13.45,13.62
20160308,13.51,13.58,13.15,13.23
20160309,13.25,13.32,13.01,13.19
20160310,13.25,13.28,12.92,13.15
20160311,13.26,13.30,13.20,13.29
20160314,13.28,13.37,13.18,13.27
20160315,13.12,13.24,13.05,13.23
20160316,13.21,13.51,13.18,13.50
20160317,13.47,13.68,13.39,13.47
20160318,13.54,13.70,13.49,13.64
20160321,13.64,13.76,13.56,13.66
20160322,13.65,13.73,13.51,13.59
20160323,13.57,13.61,13.19,13.26
20160324,13.11,13.12,12.78,13.06
20160328,13.13,13.17,13.07,13.09
20160329,13.05,13.20,12.97,13.20
20160330,13.28,13.44,13.25,13.35
20160331,13.34,13.52,13.34,13.50
20160401,13.28,13.33,13.05,13.10
20160404,13.11,13.12,12.76,12.80
20160405,12.73,12.85,12.52,12.77
20160406,12.75,12.87,12.65,12.82
20160407,12.77,12.79,12.39,12.52
20160408,12.62,12.78,12.51,12.55
20160411,12.61,12.80,12.58,12.66
20160412,12.72,12.84,12.66,12.81
20160413,12.87,13.12,12.85,13.06
20160414,13.09,13.18,13.02,13.09
20160415,13.10,13.12,12.85,12.94
20160418,12.98,13.28,12.95,13.25
20160419,13.35,13.50,13.28,13.44
20160420,13.42,13.72,13.40,13.64
