Date,Open,High,Low,Close
20151127,77.91,78.52,76.58,77.52
20151130,77.42,79.59,77.19,78.02
20151201,78.33,79.35,77.47,78.20
20151202,78.78,78.78,74.87,76.79
20151203,77.79,78.33,75.76,76.75
20151204,76.25,78.16,74.90,76.31
20151207,74.49,75.43,71.47,73.85
20151208,72.59,75.79,72.24,74.94
20151209,76.16,78.39,75.01,77.02
20151210,76.46,80.00,75.51,79.09
20151211,77.69,78.60,75.91,76.56
20151214,75.80,76.61,73.78,75.61
20151215,75.71,77.69,75.44,76.51
20151216,76.99,77.49,71.96,72.36
20151217,73.35,73.35,67.90,68.75
20151218,68.81,69.15,65.75,66.16
20151221,66.13,67.52,61.51,62.20
20151222,62.25,64.82,61.87,63.35
20151223,64.89,67.60,64.00,67.46
20151224,67.28,68.45,66.13,67.92
20151228,67.15,67.15,64.62,65.43
20151229,67.23,67.77,64.92,66.44
20151230,65.37,67.03,64.84,66.02
20151231,65.77,67.67,65.74,66.90
20160104,66.45,67.15,65.10,66.11
20160105,66.10,66.60,64.60,65.19
20160106,64.02,64.02,61.75,62.20
20160107,60.74,63.63,60.10,60.40
20160108,61.00,61.87,58.79,60.76
20160111,60.64,61.44,56.78,57.60
20160112,58.64,59.28,55.48,58.52
20160113,59.82,60.55,56.85,59.51
20160114,60.76,63.20,58.90,62.68
20160115,59.68,63.34,59.26,63.16
20160119,63.30,64.57,59.43,60.48
20160120,59.00,62.58,56.59,60.91
20160121,60.86,64.88,60.60,64.10
20160122,65.20,68.99,64.44,66.17
20160125,64.06,66.53,61.59,62.08
20160126,63.69,66.99,61.86,66.53
20160127,66.32,69.79,65.49,68.27
20160128,71.18,73.49,70.10,72.79
20160129,73.34,75.66,73.02,75.55
20160201,74.41,74.44,71.37,72.60
20160202,70.71,73.12,70.19,71.25
20160203,72.42,75.00,69.99,74.88
20160204,75.48,76.86,71.68,72.00
20160205,71.46,71.46,66.57,67.31
20160208,66.04,70.35,65.02,69.95
20160209,68.77,69.68,64.88,67.06
20160210,67.28,69.38,65.70,67.33
20160211,65.22,68.57,63.76,67.90
20160212,69.90,71.11,67.10,69.13
20160216,70.54,71.41,67.29,67.97
20160217,69.52,72.20,66.23,70.44
20160218,70.20,71.73,67.68,70.25
20160219,69.42,72.17,68.38,72.08
20160222,74.13,74.67,72.09,73.70
20160223,73.70,73.70,69.88,69.99
20160224,71.06,71.77,67.52,71.72
20160225,71.14,72.25,68.33,71.56
20160226,72.58,73.99,71.85,72.60
20160229,72.70,73.22,70.51,71.25
20160301,71.76,72.51,68.96,72.49
20160302,72.21,74.00,71.25,74.00
20160303,73.41,74.40,70.85,72.51
20160304,72.99,76.04,71.80,75.99
20160307,75.70,76.73,73.71,76.24
20160308,75.36,76.49,73.65,74.39
20160309,75.72,75.92,73.50,74.70
20160310,74.40,75.38,72.75,75.08
20160311,75.94,79.32,74.82,78.43
20160314,76.74,78.20,75.21,76.01
20160315,74.83,77.21,74.61,76.98
20160316,77.53,78.47,75.23,77.11
20160317,77.88,77.97,76.71,77.49
20160318,78.00,79.22,76.76,77.62
20160321,77.11,78.41,76.58,78.05
20160322,77.38,79.04,77.20,78.02
20160323,76.65,78.50,76.51,76.70
20160324,75.69,77.66,75.11,77.43
20160328,76.66,77.67,74.81,76.46
20160329,75.47,77.69,75.24,77.16
20160330,78.19,79.58,76.70,79.03
20160331,78.96,79.87,76.98,77.18
20160401,76.00,77.34,75.31,76.77
20160404,77.07,77.82,74.44,74.51
20160405,74.44,74.52,73.12,73.80
20160406,74.54,76.79,73.82,76.69
20160407,76.06,79.18,75.97,79.07
20160408,80.60,82.50,79.57,81.05
20160411,81.35,82.06,79.97,80.58
20160412,81.01,83.21,80.31,82.05
20160413,81.70,82.23,80.22,81.40
20160414,81.47,81.80,80.50,81.73
20160415,80.88,80.95,79.83,80.11
20160418,77.92,82.01,77.50,81.82
20160419,82.30,84.45,81.75,82.30
20160420,81.91,84.48,80.61,83.45
20160421,84.51,84.51,82.10,82.55
20160422,82.65,84.41,82.64,83.68
20160425,83.07,84.87,83.07,84.48
20160426,84.82,87.13,84.78,86.51
20160427,87.13,89.12,87.00,88.43
20160428,88.23,89.22,86.58,86.88
20160429,87.11,88.30,84.97,86.58
20160502,87.08,87.77,85.56,87.61
20160503,86.91,88.00,83.01,84.90
20160504,85.40,87.94,82.19,84.17
20160505,85.85,88.46,85.85,87.68
20160506,86.99,88.57,85.31,85.46
20160509,84.55,86.14,83.68,85.73
20160510,86.03,87.57,85.78,87.41
20160511,87.01,88.32,86.27,86.49
20160512,87.41,88.41,85.75,87.14
20160513,86.60,87.70,84.89,85.49
20160516,86.86,87.99,86.38,86.58
20160517,86.86,87.75,85.69,86.94
20160518,87.04,87.62,85.89,86.93
20160519,85.93,87.33,83.89,86.93
20160520,87.50,87.50,86.18,87.02
20160523,86.55,87.58,85.64,86.84
20160524,87.52,88.50,86.74,87.97
20160525,88.44,89.79,87.99,89.74
20160526,90.00,92.92,89.89,91.91
20160527,91.42,93.92,90.32,92.86
20160531,93.00,93.77,90.46,90.95
20160601,90.27,92.17,90.05,91.53
20160602,90.65,92.66,89.40,92.42
20160603,92.31,92.53,89.90,90.11
20160606,90.84,91.63,89.80,90.87
20160607,91.47,94.95,91.47,94.59
20160608,95.45,96.01,92.43,93.13
20160609,92.28,93.87,91.72,92.18
20160610,91.10,91.91,89.33,89.34
20160613,88.70,90.44,88.20,88.76
20160614,88.37,90.10,87.97,89.86
20160615,89.76,90.46,88.26,89.13
20160616,88.26,88.26,86.31,87.25
20160617,87.76,88.26,86.96,87.51
20160620,89.26,89.60,88.53,89.01
20160621,89.16,91.33,88.09,90.92
20160622,91.68,91.68,89.72,90.79
20160623,91.50,91.97,90.70,91.41
20160624,87.52,89.50,86.65,87.28
20160627,86.40,87.35,82.80,83.77
20160628,85.01,88.95,84.35,88.61
20160629,89.65,91.82,88.82,90.79
20160630,90.64,91.99,89.59,91.21
20160701,91.79,92.78,89.38,90.54
20160705,89.54,90.01,87.75,89.53
20160706,88.84,91.20,88.49,90.50
20160707,91.50,91.97,88.41,88.59
20160708,89.58,90.00,88.77,89.16
20160711,89.91,91.41,89.20,89.70
20160712,91.05,92.82,91.03,91.96
20160713,90.27,92.45,89.20,91.04
20160714,92.02,92.73,91.15,92.23
20160715,92.19,92.49,90.07,90.93
20160718,90.67,90.97,89.50,90.57
20160719,90.05,90.87,89.21,89.42
20160720,90.10,90.12,88.78,89.48
20160721,89.26,90.31,87.91,88.18
20160722,88.42,88.74,87.44,88.23
20160725,87.79,87.79,84.20,85.35
20160726,85.32,86.17,84.45,85.89
20160727,86.20,86.63,84.73,85.36
20160728,85.17,86.57,84.53,85.93
20160729,85.49,88.37,85.16,87.79
20160801,87.64,87.64,84.65,85.95
20160802,86.20,86.90,83.90,85.85
20160803,87.48,88.00,85.22,87.34
20160804,87.34,89.95,86.87,88.91
20160805,89.27,93.84,89.16,92.95
20160808,93.69,95.96,93.40,93.70
20160809,93.65,95.47,93.09,94.28
20160810,94.67,94.81,92.68,93.29
20160811,94.04,95.48,93.17,94.16
20160812,94.38,94.96,93.57,94.58
20160815,95.24,96.95,95.02,96.45
20160816,95.81,96.49,93.45,95.01
20160817,95.01,95.56,93.95,95.30
20160818,95.93,98.81,95.35,98.55
20160819,98.28,98.94,97.03,98.59
20160822,97.48,98.18,95.86,96.49
20160823,96.60,97.52,96.23,96.59
20160824,96.27,97.30,95.76,96.19
20160825,96.26,96.87,94.99,96.26
20160826,96.52,97.39,95.67,96.33
20160829,95.86,97.89,95.60,97.36
20160830,97.36,97.99,95.84,96.50
20160831,96.12,96.25,93.75,95.25
20160901,95.23,95.37,93.03,95.27
20160902,96.17,96.83,95.75,96.38
20160906,96.58,97.25,95.22,97.15
20160907,97.60,98.95,96.49,98.56
20160908,98.94,99.69,98.07,98.34
20160909,97.57,98.52,95.96,96.05
20160912,95.44,96.94,94.64,95.63
20160913,94.21,95.12,90.40,90.90
20160914,90.49,91.68,87.91,88.56
20160915,88.99,90.39,88.55,89.88
20160916,88.99,89.95,86.93,89.69
20160919,90.53,91.15,88.51,89.29
20160920,89.51,89.51,87.53,88.35
20160921,89.11,90.08,88.01,89.39
20160922,90.39,91.26,89.35,91.00
20160923,90.48,90.94,87.31,88.92
20160926,89.19,91.35,88.89,90.31
20160927,89.38,89.78,87.65,88.53
20160928,89.06,93.60,88.36,93.38
20160929,93.25,96.56,93.18,95.53
20160930,96.00,98.78,95.74,96.54
20161003,95.15,96.47,91.15,92.53
20161004,93.12,93.85,90.51,91.59
20161005,92.60,94.91,92.20,94.70
20161006,95.51,95.81,93.59,95.04
20161007,95.03,95.52,94.26,94.70
20161010,99.80,106.03,99.05,105.21
20161011,105.50,106.84,103.70,104.84
20161012,104.71,105.83,104.00,104.54
20161013,104.09,104.50,102.27,103.53
20161014,103.90,104.78,100.75,100.90
20161017,100.98,101.38,98.80,100.47
20161018,101.37,102.69,99.47,99.71
20161019,100.54,104.51,100.54,103.20
20161020,102.20,104.19,100.57,102.25
20161021,101.98,103.30,100.84,102.24
20161024,102.57,102.57,98.60,99.60
20161025,99.34,100.30,96.92,97.44
20161026,96.46,96.84,94.51,96.05
20161027,96.52,97.68,95.89,96.78
20161028,96.30,98.10,93.94,93.99
20161031,93.71,94.25,90.51,91.29
20161101,92.27,93.66,90.55,91.81
20161102,90.78,91.90,88.74,91.28
20161103,91.81,92.79,90.05,92.56
20161104,91.87,92.87,89.75,91.69
20161107,93.66,94.55,92.25,93.96
20161108,92.70,96.24,91.06,93.74
20161109,93.73,100.01,93.17,98.16
20161110,97.50,99.02,96.20,97.37
20161111,96.42,98.25,94.40,95.49
20161114,95.04,95.18,92.71,94.32
20161115,95.65,98.29,95.65,96.66
20161116,96.44,99.00,96.42,97.59
20161117,98.55,101.37,97.10,97.92
20161118,98.19,99.56,96.98,97.10
20161121,98.45,101.11,98.45,100.46
20161122,102.02,102.02,97.80,99.20
20161123,98.43,101.18,98.00,100.77
20161125,101.57,101.57,97.91,99.44
20161128,100.26,100.26,96.47,96.75
20161129,94.91,97.83,92.72,95.40
20161130,100.00,108.51,100.00,107.85
20161201,111.18,113.23,109.00,110.00
20161202,111.09,111.54,107.88,108.14
20161205,109.09,111.42,106.57,106.93
20161206,106.02,107.68,104.40,106.29
20161207,105.85,106.72,104.17,105.39
20161208,106.14,108.06,105.39,107.26
20161209,108.22,108.37,104.43,106.04
20161212,110.23,113.16,104.21,104.99
20161213,105.67,107.17,103.63,105.28
20161214,103.17,105.24,101.33,101.51
20161215,97.25,101.33,96.50,101.18
20161216,100.85,102.11,99.50,101.95
20161219,102.18,105.63,102.08,105.25
20161220,106.40,106.49,102.49,102.66
20161221,103.00,104.21,100.46,101.45
20161222,101.94,104.00,100.87,102.73
20161223,102.92,103.90,102.07,102.93
20161227,103.87,104.49,103.05,103.85
20161228,104.47,104.60,102.68,102.94
20161229,103.24,103.57,101.62,102.05
20161230,101.91,102.42,100.62,101.06
20170103,102.50,104.99,102.05,103.25
20170104,103.25,104.84,102.47,103.57
20170105,103.93,105.56,102.81,103.67
20170106,103.64,104.79,102.05,103.66
20170109,102.91,103.00,101.29,101.43
20170110,101.94,103.12,101.60,102.71
20170111,102.53,104.49,101.90,103.91
20170112,104.54,105.28,102.69,103.57
20170113,103.13,103.13,101.12,101.36
20170117,102.34,102.92,99.78,100.44
20170118,99.51,101.48,99.13,100.52
20170119,101.00,103.53,101.00,102.26
20170120,103.39,105.21,102.60,103.11
20170123,102.50,103.21,101.25,102.19
20170124,102.72,104.24,102.28,103.74
20170125,103.57,107.08,103.57,105.12
20170126,105.92,108.50,105.92,106.70
20170127,106.66,107.80,106.03,106.68
20170130,106.35,106.61,101.70,102.50
20170131,102.91,105.50,102.58,105.17
20170201,106.07,106.89,103.25,105.76
20170202,105.56,105.89,102.67,104.63
20170203,104.65,105.59,103.93,104.42
20170206,104.70,105.62,102.62,105.44
20170207,104.38,105.71,100.07,100.12
20170208,99.17,100.77,96.05,100.56
20170209,101.00,104.07,100.93,103.93
20170210,105.33,106.77,104.16,104.79
20170213,104.75,104.94,102.50,104.30
20170214,104.41,107.99,102.80,107.68
20170215,111.84,114.00,110.67,111.84
20170216,111.75,112.76,108.71,109.01
20170217,108.18,108.64,106.34,107.63
20170221,109.57,110.59,106.48,106.84
20170222,106.04,106.64,101.65,102.03
20170223,104.09,104.24,99.15,100.96
20170224,99.64,101.93,98.80,100.41
20170227,100.57,102.08,100.06,101.65
20170228,100.52,101.60,99.87,100.86
20170301,102.58,105.96,101.42,105.71
20170302,104.44,106.20,103.67,103.82
20170303,104.06,105.25,103.26,103.58
20170306,103.32,104.79,103.02,103.96
20170307,104.73,106.92,104.30,104.58
20170308,104.10,104.85,99.54,99.76
20170309,98.99,101.75,98.08,101.48
20170310,102.34,102.93,100.83,101.46
20170313,101.09,102.37,100.70,101.26
20170314,99.80,100.77,96.98,98.35
20170315,99.49,103.21,99.04,102.92
20170316,103.86,104.07,102.29,103.44
20170317,104.11,105.30,103.70,104.69
20170320,103.40,103.98,101.73,103.71
20170321,103.42,104.35,101.40,102.12
20170322,102.03,102.64,100.12,101.17
20170323,101.10,101.45,99.13,99.60
20170324,99.89,100.94,99.28,99.73
20170327,97.92,99.66,97.44,98.94
20170328,99.16,101.50,98.79,101.23
20170329,100.98,103.63,100.20,103.16
20170330,103.85,104.54,102.51,102.67
20170331,102.02,104.13,101.50,103.72
20170403,103.50,104.50,102.18,104.08
20170404,103.59,106.92,103.16,106.77
20170405,107.69,108.17,102.81,102.94
20170406,103.82,105.13,103.45,104.67
20170407,104.93,105.57,103.39,104.38
20170410,104.47,105.72,103.29,104.62
20170411,104.91,106.08,103.41,105.96
20170412,106.11,107.95,105.43,106.32
20170413,106.64,107.71,104.46,105.04
20170417,104.87,105.71,104.01,105.14
20170418,104.18,105.87,102.71,103.16
20170419,103.18,103.35,99.85,100.55
20170420,101.50,101.93,100.22,100.27
