Date,Open,High,Low,Close
20151127,20.05,20.20,20.00,20.17
20151130,20.20,20.33,20.09,20.29
20151201,20.41,20.55,20.26,20.46
20151202,20.39,20.48,20.00,20.07
20151203,20.08,20.18,19.58,19.72
20151204,19.80,20.14,19.75,20.07
20151207,20.05,20.45,19.95,20.42
20151208,20.10,20.27,19.97,20.10
20151209,19.99,20.46,19.95,20.11
20151210,20.09,20.24,19.96,20.08
20151211,19.77,20.05,19.64,19.74
20151214,19.80,19.95,19.58,19.95
20151215,20.08,20.17,19.82,19.92
20151216,20.08,20.27,19.82,20.14
20151217,20.21,20.25,19.84,20.00
20151218,19.89,19.96,19.51,19.55
20151221,19.61,19.75,19.22,19.42
20151222,19.50,20.04,19.39,20.04
20151223,20.14,20.66,19.75,20.63
20151224,20.64,20.88,20.50,20.75
20151228,20.70,20.80,20.48,20.70
20151229,20.80,20.98,20.75,20.82
20151230,20.84,20.96,20.74,20.75
20151231,20.70,20.81,20.40,20.41
20160104,20.12,20.12,19.77,20.09
20160105,20.25,20.28,19.61,19.88
20160106,19.66,20.17,19.50,19.93
20160107,19.59,19.81,19.33,19.52
20160108,19.64,19.80,19.33,19.40
20160111,19.50,19.57,19.25,19.45
20160112,19.55,19.77,19.41,19.71
20160113,19.75,19.89,19.32,19.39
20160114,19.50,19.77,19.00,19.62
20160115,17.55,19.36,17.55,18.83
20160119,19.02,19.22,18.18,18.39
20160120,18.17,18.43,17.59,18.26
20160121,18.33,18.68,18.05,18.57
20160122,18.86,19.05,18.51,18.99
20160125,18.91,19.04,18.38,18.41
20160126,18.65,19.11,18.58,19.01
20160127,18.82,19.41,18.66,19.02
20160128,19.06,19.70,18.99,19.67
20160129,19.74,20.28,19.64,20.28
20160201,19.96,20.33,19.75,20.22
20160202,19.92,20.00,19.49,19.57
20160203,19.75,20.17,19.24,19.82
20160204,20.75,22.22,20.75,21.76
20160205,21.64,21.88,21.40,21.63
20160208,21.46,22.12,21.26,21.83
20160209,21.62,22.12,21.58,21.68
20160210,21.89,21.96,21.05,21.14
20160211,21.05,21.14,20.48,21.00
20160212,21.28,21.55,20.95,21.52
20160216,21.88,21.91,21.52,21.84
20160217,21.93,22.47,21.88,22.21
20160218,22.21,22.55,22.03,22.28
20160219,22.09,22.38,21.93,22.33
20160222,22.52,22.83,22.45,22.68
20160223,22.48,22.70,22.23,22.27
20160224,22.08,22.37,21.71,22.25
20160225,22.33,22.54,22.01,22.54
20160226,22.62,22.75,22.45,22.61
20160229,22.62,22.85,22.54,22.64
20160301,22.87,23.51,22.73,23.35
20160302,23.35,23.45,23.01,23.25
20160303,23.22,23.58,23.08,23.50
20160304,23.00,23.30,22.36,23.11
20160307,22.99,23.43,22.92,23.16
20160308,23.14,23.42,22.77,23.29
20160309,23.40,23.55,23.23,23.50
20160310,23.50,23.57,23.18,23.50
20160311,23.62,23.67,23.26,23.43
20160314,23.42,23.54,23.32,23.47
20160315,23.23,23.61,22.59,23.52
20160316,23.30,23.75,23.10,23.71
20160317,23.72,24.59,23.67,24.47
20160318,24.58,24.60,24.26,24.52
20160321,24.51,25.00,24.42,24.93
20160322,24.75,24.92,24.41,24.46
20160323,24.49,24.54,24.32,24.42
20160324,24.34,24.55,24.21,24.45
20160328,24.52,24.52,24.16,24.25
20160329,24.11,24.52,24.03,24.51
20160330,24.63,24.64,24.37,24.46
20160331,24.50,24.54,24.36,24.50
20160401,24.15,24.48,23.79,24.46
20160404,24.38,24.39,23.64,23.68
20160405,24.36,24.36,23.42,23.69
20160406,23.66,24.00,23.07,23.55
20160407,23.51,23.68,23.20,23.36
20160408,23.61,23.81,23.50,23.57
20160411,23.66,23.81,23.40,23.47
20160412,22.50,23.09,22.50,22.67
20160413,22.67,23.00,22.55,22.91
20160414,22.99,23.04,22.81,22.89
20160415,22.89,23.02,22.65,22.91
20160418,22.88,23.03,22.76,22.86
20160419,22.95,23.08,22.82,22.87
20160420,22.87,23.08,22.79,22.91
20160421,23.33,23.33,22.73,22.79
20160422,22.58,22.83,22.58,22.82
20160425,22.75,22.95,22.72,22.80
20160426,22.80,23.33,22.72,23.24
20160427,23.23,23.75,23.20,23.72
20160428,23.55,24.00,23.51,23.64
20160429,23.44,23.62,23.17,23.39
20160502,23.46,23.52,23.05,23.51
20160503,23.27,23.41,22.91,23.18
20160504,23.12,23.12,22.64,22.79
20160505,22.92,23.45,22.79,23.27
20160506,23.20,23.42,23.16,23.25
20160509,23.23,23.25,22.91,23.08
20160510,23.25,23.40,22.91,23.33
20160511,23.28,23.36,23.11,23.15
20160512,23.23,23.32,22.79,22.82
20160513,22.82,23.04,22.61,22.74
20160516,22.81,23.05,22.73,22.86
20160517,22.86,23.01,22.60,22.60
20160518,22.58,22.92,22.52,22.70
20160519,22.50,22.62,22.23,22.25
20160520,22.36,22.56,22.05,22.43
20160523,22.45,22.56,22.36,22.43
20160524,22.52,22.92,22.52,22.85
20160525,22.88,23.02,22.80,22.97
20160526,23.01,23.10,22.97,23.04
20160527,23.05,23.09,22.92,23.00
20160531,23.05,23.18,22.89,23.01
20160601,23.00,23.14,22.74,23.12
20160602,23.07,23.27,22.94,23.25
20160603,23.25,23.30,22.82,23.10
20160606,22.82,22.93,22.49,22.92
20160607,22.89,23.00,22.77,22.87
20160608,22.95,23.07,22.86,23.00
20160609,22.95,23.01,22.64,22.67
20160610,22.43,22.56,22.14,22.29
20160613,22.20,22.40,21.86,21.99
20160614,22.01,22.15,21.86,22.12
20160615,22.06,22.20,21.96,21.98
20160616,21.91,22.25,21.76,22.15
20160617,22.15,22.29,21.92,22.24
20160620,22.57,22.81,22.46,22.52
20160621,22.52,22.68,22.33,22.48
20160622,22.55,22.67,22.45,22.48
20160623,22.71,22.82,22.60,22.78
20160624,21.96,22.18,21.75,21.88
20160627,21.64,21.70,21.09,21.35
20160628,21.50,21.59,21.23,21.41
20160629,21.55,21.76,21.46,21.72
20160630,21.75,22.21,21.70,22.20
20160701,22.17,22.70,22.01,22.64
20160705,22.51,22.59,22.04,22.19
20160706,21.80,22.26,21.75,22.17
20160707,22.21,22.48,22.16,22.36
20160708,22.51,22.63,22.33,22.61
20160711,22.73,22.92,22.64,22.68
20160712,21.88,22.35,21.58,21.89
20160713,21.86,21.95,21.54,21.65
20160714,21.79,21.88,21.64,21.65
20160715,21.78,21.82,21.67,21.73
20160718,21.68,21.72,21.46,21.49
20160719,21.39,21.43,21.16,21.22
20160720,21.15,21.44,20.98,21.27
20160721,21.25,21.29,20.85,20.92
20160722,20.77,21.11,20.74,21.06
20160725,20.99,21.09,20.93,20.96
20160726,21.00,21.12,20.86,20.99
20160727,21.00,21.03,20.83,20.95
20160728,20.92,21.30,20.91,21.25
20160729,21.24,21.48,21.14,21.38
20160801,21.39,21.48,21.16,21.25
20160802,21.22,21.29,20.89,20.91
20160803,20.91,21.04,20.83,21.03
20160804,21.40,21.62,21.19,21.20
20160805,21.25,21.45,21.20,21.43
20160808,21.49,21.56,21.39,21.42
20160809,21.48,21.50,21.19,21.24
20160810,21.24,21.35,21.13,21.24
20160811,21.39,21.82,21.39,21.72
20160812,21.66,21.80,21.58,21.72
20160815,21.70,21.95,21.70,21.89
20160816,21.88,21.89,21.74,21.74
20160817,21.81,21.82,21.66,21.80
20160818,21.86,22.00,21.62,21.95
20160819,21.88,22.02,21.71,22.00
20160822,21.88,22.10,21.80,22.08
20160823,22.29,22.29,21.98,22.01
20160824,21.92,22.04,21.82,21.85
20160825,21.84,21.89,21.74,21.86
20160826,21.93,22.11,21.75,21.88
20160829,21.85,22.02,21.76,22.00
20160830,22.02,22.09,21.80,21.88
20160831,21.84,21.85,21.47,21.55
20160901,21.62,21.68,21.23,21.41
20160902,21.57,21.76,21.45,21.66
20160906,21.72,21.80,21.41,21.45
20160907,21.22,21.25,20.80,21.13
20160908,21.13,21.20,21.00,21.08
