Date,Open,High,Low,Close
20151127,105.78,105.96,104.86,105.45
20151130,105.84,106.10,103.75,104.24
20151201,104.83,107.15,104.50,107.12
20151202,107.00,107.92,105.79,106.07
20151203,106.27,106.85,103.35,104.38
20151204,104.81,107.73,104.11,106.18
20151207,106.48,106.83,104.66,105.61
20151208,104.00,106.91,103.95,106.49
20151209,106.18,106.44,103.55,104.60
20151210,105.05,106.40,104.41,105.42
20151211,104.15,104.34,101.91,102.12
20151214,102.29,104.74,101.46,104.66
20151215,105.30,105.80,104.28,104.55
20151216,105.37,107.09,104.19,106.79
20151217,107.49,107.75,106.13,106.22
20151218,106.08,106.59,103.97,104.04
20151221,104.91,105.15,103.60,104.77
20151222,105.22,105.66,104.81,105.51
20151223,105.89,106.11,103.86,104.63
20151224,104.74,105.32,104.50,105.02
20151228,105.02,105.98,104.53,105.93
20151229,106.42,107.74,106.25,107.26
20151230,107.00,107.25,106.06,106.22
20151231,106.00,106.17,104.62,104.66
20160104,101.95,102.24,99.75,102.22
20160105,102.89,103.71,101.67,102.73
20160106,101.13,103.77,100.90,102.97
20160107,100.50,101.43,97.30,97.92
20160108,99.88,100.50,97.03,97.33
20160111,97.91,98.60,95.39,97.51
20160112,99.00,99.96,97.55,99.37
20160113,100.58,100.58,95.21,95.44
20160114,95.85,98.87,92.45,98.37
20160115,93.98,96.38,93.54,94.97
20160119,96.53,97.42,93.92,95.26
20160120,92.83,95.00,89.37,94.35
20160121,94.91,95.99,92.62,94.16
20160122,96.41,98.07,95.49,97.94
20160125,98.72,99.48,96.93,97.01
20160126,97.76,97.88,95.66,97.34
20160127,97.79,97.85,94.23,94.45
20160128,107.20,110.34,104.81,109.11
20160129,108.99,112.84,108.84,112.21
20160201,112.27,115.72,112.01,115.09
20160202,114.80,117.59,113.20,114.61
20160203,115.27,115.34,109.75,112.69
20160204,111.80,111.94,109.25,110.49
20160205,109.51,109.58,103.18,104.07
20160208,100.41,102.68,97.46,99.75
20160209,97.14,102.40,96.82,99.54
20160210,101.55,103.25,100.24,101.00
20160211,99.60,105.11,98.88,101.91
20160212,103.74,104.24,101.09,102.01
20160216,103.80,103.93,100.24,101.61
20160217,102.02,105.72,100.40,105.20
20160218,105.80,106.00,103.03,103.47
20160219,102.55,105.02,102.06,104.57
20160222,105.49,108.25,105.34,107.16
20160223,106.85,107.47,105.12,105.46
20160224,104.21,106.95,102.74,106.88
20160225,107.11,108.07,105.61,108.07
20160226,108.70,109.45,107.16,107.92
20160229,107.60,108.91,106.75,106.92
20160301,107.83,109.82,107.60,109.82
20160302,109.68,110.55,108.77,109.95
20160303,110.25,110.30,108.54,109.58
20160304,110.05,110.05,107.93,108.39
20160307,108.07,108.07,104.72,105.73
20160308,104.78,107.37,104.40,105.93
20160309,106.70,107.51,105.49,107.51
20160310,107.91,108.66,105.77,107.32
20160311,108.48,109.42,107.92,109.41
20160314,109.28,110.33,108.77,109.89
20160315,109.11,110.83,108.84,110.67
20160316,110.49,112.50,110.10,112.18
20160317,112.15,112.69,110.73,111.02
20160318,111.56,112.42,110.27,111.45
20160321,111.66,112.37,111.03,111.85
20160322,111.36,112.88,111.17,112.25
20160323,112.01,113.19,112.00,112.54
20160324,112.13,113.09,111.68,113.05
20160328,113.32,114.59,112.95,113.69
