Date,Open,High,Low,Close
20151127,30.95,31.29,30.90,31.15
20151130,31.10,31.46,30.92,31.39
20151201,31.59,32.46,31.51,32.27
20151202,32.27,32.54,31.67,31.98
20151203,32.09,32.34,31.80,32.05
20151204,32.24,32.99,32.09,32.82
20151207,32.74,32.88,32.40,32.48
20151208,32.33,32.50,31.70,31.90
20151209,31.65,32.45,31.60,32.05
20151210,32.07,32.07,31.52,31.55
20151211,31.32,31.69,31.11,31.46
20151214,31.57,31.66,30.79,30.98
20151215,31.18,31.33,30.94,31.13
20151216,31.33,31.77,31.33,31.64
20151217,31.64,31.78,31.33,31.53
20151218,31.36,31.40,30.91,31.01
20151221,31.22,31.27,30.92,31.07
20151222,31.17,31.76,30.99,31.72
20151223,31.81,32.53,31.81,32.47
20151224,32.41,32.75,32.35,32.60
20151228,32.50,32.73,32.23,32.64
20151229,32.71,32.81,32.48,32.60
20151230,32.60,32.68,32.28,32.29
20151231,32.25,32.35,31.46,31.73
20160104,31.52,31.63,31.22,31.50
20160105,31.63,31.64,30.94,31.54
20160106,31.32,32.01,31.18,31.85
20160107,31.52,31.77,30.89,31.00
20160108,31.02,31.77,30.98,31.59
20160111,31.70,32.25,31.61,32.07
20160112,32.20,32.29,31.59,32.18
20160113,32.21,32.40,31.41,31.50
20160114,31.60,32.80,31.34,32.56
20160115,32.17,32.47,31.39,31.83
20160119,31.92,32.58,31.71,32.49
20160120,32.26,32.34,30.67,31.12
20160121,31.15,31.64,30.62,31.30
20160122,31.58,32.38,31.35,32.28
20160125,32.28,32.32,31.78,31.82
20160126,31.86,32.52,31.77,32.08
20160127,31.96,32.34,31.60,31.92
20160128,31.95,32.40,31.79,32.14
20160129,32.42,33.11,32.35,33.06
20160201,32.99,33.28,32.90,33.05
20160202,32.70,33.12,32.61,32.97
20160203,32.82,33.72,32.62,33.52
20160204,33.54,33.61,33.20,33.25
20160205,33.08,34.21,32.91,33.70
20160208,33.51,33.90,32.68,33.20
20160209,33.04,33.50,32.73,33.32
20160210,33.18,33.80,32.86,33.63
20160211,33.31,33.57,32.56,32.81
20160212,32.85,33.11,32.53,32.88
20160216,33.09,33.47,32.79,33.46
20160217,33.20,33.35,32.17,32.27
20160218,32.51,34.13,32.37,33.93
20160219,33.82,33.82,32.80,32.97
20160222,33.15,33.42,32.93,33.33
20160223,33.32,33.59,32.93,33.04
20160224,33.00,33.17,32.40,32.70
20160225,32.93,33.99,32.78,33.95
20160226,33.94,34.06,32.65,32.82
20160229,32.82,33.72,32.65,33.47
20160301,33.58,33.79,33.27,33.45
20160302,33.30,33.74,32.57,33.71
20160303,33.66,34.13,33.34,33.98
20160304,33.73,34.74,33.53,34.56
20160307,34.43,35.14,34.34,35.11
20160308,35.12,35.77,34.71,35.56
20160309,35.52,36.45,35.49,35.80
20160310,35.68,36.23,35.60,35.97
20160311,36.08,36.36,35.69,35.70
20160314,35.71,35.76,35.43,35.59
20160315,35.52,35.70,35.25,35.59
20160316,35.42,36.16,35.22,35.90
20160317,36.04,36.35,35.84,36.17
20160318,36.16,36.20,35.75,35.76
20160321,35.73,36.07,35.41,35.85
20160322,35.88,36.18,35.61,35.76
20160323,35.73,36.08,35.52,35.98
20160324,35.85,36.25,35.78,36.16
20160328,36.16,36.35,35.67,35.74
20160329,35.83,36.38,35.64,36.34
20160330,36.41,36.54,35.77,35.79
20160331,35.94,36.52,35.51,35.97
20160401,35.98,36.29,35.66,36.03
20160404,35.99,36.13,35.58,35.68
20160405,35.57,35.69,34.85,35.07
20160406,35.03,35.09,34.55,34.59
