Date,Open,High,Low,Close
20151127,103.33,103.56,102.61,103.00
20151130,103.11,103.77,102.89,103.00
20151201,103.07,104.43,102.46,103.99
20151202,105.03,105.65,104.29,104.82
20151203,104.77,104.99,99.81,102.42
20151204,103.04,105.50,102.63,104.61
20151207,104.14,104.89,103.31,104.01
20151208,103.59,103.95,102.45,103.45
20151209,99.88,101.89,99.76,100.34
20151210,100.14,100.52,98.85,99.06
20151211,98.36,98.43,96.50,97.56
20151214,97.35,97.54,95.60,96.31
20151215,95.00,100.75,94.51,99.75
20151216,100.38,100.55,99.02,100.50
20151217,100.82,100.92,98.94,98.94
20151218,98.33,98.53,97.42,97.63
20151221,98.17,98.21,96.32,97.39
20151222,97.30,97.60,96.56,97.44
20151223,98.06,98.72,97.22,97.69
20151224,97.62,98.41,97.35,97.44
20151228,97.35,97.60,96.49,97.00
20151229,97.00,97.63,96.84,97.55
20151230,97.69,99.21,96.53,98.06
20151231,97.65,98.45,96.80,96.96
20160104,95.60,97.70,94.72,96.93
20160105,95.66,96.70,95.50,96.52
20160106,95.42,96.42,94.63,95.02
20160107,93.68,94.50,90.81,91.82
20160108,93.11,93.71,91.23,92.13
20160111,91.81,94.40,91.01,93.52
20160112,93.19,93.74,91.45,92.61
20160113,92.79,94.24,92.13,94.00
20160114,93.08,96.21,91.99,94.16
20160115,91.33,94.12,91.00,93.52
20160119,94.51,95.00,92.38,93.50
20160120,92.01,92.45,88.75,90.02
20160121,94.50,94.50,88.80,89.51
20160122,90.37,93.92,90.25,93.77
20160125,93.61,95.77,93.40,93.92
20160126,94.28,96.58,94.18,96.41
20160127,95.84,96.94,95.14,95.34
20160128,95.98,95.98,92.49,92.50
20160129,93.26,94.60,93.18,93.78
20160201,93.12,94.29,92.68,94.01
20160202,91.56,93.30,90.81,90.93
20160203,91.50,92.42,89.66,91.19
20160204,91.19,92.65,90.94,92.05
20160205,91.76,92.25,89.85,90.22
20160208,89.79,89.79,87.11,88.18
20160209,87.59,88.84,86.85,87.61
20160210,88.60,89.27,87.32,87.55
20160211,86.79,87.60,86.03,86.96
20160212,87.64,88.06,86.90,87.83
20160216,89.00,89.85,88.12,89.51
20160217,90.02,91.78,90.02,91.52
20160218,92.19,92.77,91.22,91.87
20160219,91.70,92.84,91.11,92.67
20160222,93.22,94.93,92.95,94.57
20160223,93.62,94.90,93.02,93.53
20160224,92.83,94.42,91.35,94.30
20160225,94.37,95.96,92.50,95.95
20160226,96.30,97.72,96.30,97.12
20160229,96.98,97.43,96.02,96.17
20160301,96.73,98.75,96.29,98.66
20160302,98.27,100.50,97.91,100.14
20160303,99.77,100.78,99.41,100.47
20160304,100.73,100.78,99.45,99.79
20160307,99.31,101.27,98.76,100.87
20160308,100.51,100.82,99.25,99.77
20160309,100.25,100.95,99.37,99.79
20160310,100.00,100.32,97.35,98.46
20160311,99.64,100.82,98.55,100.66
20160314,99.97,100.41,97.66,99.43
20160315,98.72,99.47,98.41,99.00
20160316,98.50,100.31,98.27,99.78
20160317,99.58,101.31,99.58,100.93
20160318,101.09,102.42,100.04,102.31
20160321,102.13,103.30,102.00,103.01
20160322,102.11,106.86,102.11,104.36
20160323,104.35,104.54,102.70,102.99
20160324,102.50,103.35,101.00,103.14
20160328,103.49,103.79,102.58,103.40
20160329,103.39,105.07,102.43,104.68
20160330,105.16,106.86,104.87,105.47
20160331,105.26,106.05,104.91,105.85
20160401,104.94,105.76,104.32,105.58
20160404,105.36,105.36,103.82,104.67
20160405,104.24,104.67,102.84,103.34
20160406,102.80,104.20,102.18,103.89
