Date,Open,High,Low,Close
20151127,64.63,64.89,64.48,64.72
20151130,64.81,64.90,63.58,63.67
20151201,63.97,64.76,63.67,64.49
20151202,64.35,65.96,64.15,64.98
20151203,65.18,65.26,63.61,64.07
20151204,64.33,65.30,64.02,65.04
20151207,64.81,65.00,63.13,63.51
20151208,63.00,63.11,62.29,63.05
20151209,62.74,64.10,62.68,63.45
20151210,63.41,63.60,62.78,62.88
20151211,61.53,62.06,60.95,61.20
20151214,60.42,62.10,60.38,61.11
20151215,61.57,61.90,61.07,61.62
20151216,62.09,62.34,60.86,62.03
20151217,61.99,62.49,59.75,59.88
20151218,59.60,59.65,58.49,58.52
20151221,58.98,59.77,58.78,59.16
20151222,59.37,60.05,59.19,59.85
20151223,60.04,61.52,59.91,61.19
20151224,61.13,61.42,60.80,61.11
20151228,60.82,61.00,60.27,61.00
20151229,61.36,62.14,61.24,61.59
20151230,61.33,61.62,60.96,60.99
20151231,60.77,61.36,60.51,60.60
20160104,59.52,59.97,58.99,59.91
20160105,60.19,61.09,59.67,60.29
20160106,59.36,59.73,58.90,59.18
20160107,58.50,59.61,58.08,59.19
20160108,59.52,59.66,58.04,58.13
20160111,58.61,59.27,58.07,58.94
20160112,59.96,60.19,58.94,59.99
20160113,60.21,60.70,58.93,59.12
20160114,59.41,60.62,58.93,60.30
20160115,58.57,59.27,57.62,58.46
20160119,59.15,59.34,58.30,58.71
20160120,57.92,58.35,56.80,57.89
20160121,58.14,58.94,57.67,58.05
20160122,59.06,59.55,58.93,59.45
20160125,59.17,59.65,58.76,58.85
20160126,59.01,60.09,58.72,60.04
20160127,59.87,60.39,58.45,58.81
20160128,59.30,59.46,58.06,58.21
20160129,58.60,59.76,58.31,59.73
20160201,59.38,61.04,59.21,60.67
20160202,60.00,60.12,59.30,59.52
20160203,59.60,59.95,58.86,59.65
20160204,59.46,60.26,59.46,60.15
20160205,59.85,60.40,58.29,58.54
20160208,57.74,57.74,55.11,56.04
20160209,57.65,59.33,56.38,57.93
20160210,57.89,58.68,57.32,57.40
20160211,56.20,56.88,55.99,56.44
20160212,57.10,57.63,56.83,57.57
20160216,58.50,58.97,58.22,58.65
20160217,59.11,59.55,58.83,59.54
20160218,59.51,59.76,58.93,59.17
20160219,59.17,59.75,58.66,59.71
20160222,59.91,60.70,59.66,59.99
20160223,59.66,59.99,58.90,58.98
20160224,58.51,59.23,57.80,59.18
