Date,Open,High,Low,Close
20151127,47.70,48.06,47.53,47.87
20151130,48.16,48.24,47.81,48.12
20151201,48.27,48.88,48.22,48.60
20151202,48.49,48.60,47.85,47.94
20151203,47.97,48.12,46.56,46.88
20151204,46.90,47.74,46.90,47.72
20151207,47.62,47.72,46.91,47.30
20151208,47.01,47.43,46.72,47.33
20151209,47.00,47.46,46.47,46.59
20151210,46.74,47.10,46.35,46.81
20151211,46.12,46.61,45.84,45.87
20151214,45.90,46.75,45.89,46.72
20151215,46.83,47.22,46.69,46.97
20151216,47.30,47.50,46.32,46.82
20151217,47.01,47.17,46.33,46.46
20151218,46.16,46.49,45.58,45.73
20151221,46.05,46.20,45.80,46.19
20151222,46.35,46.57,45.90,46.47
20151223,46.76,46.87,46.33,46.72
20151224,46.74,46.75,46.49,46.53
20151228,46.32,46.58,46.00,46.57
20151229,46.96,47.33,46.81,47.09
20151230,47.09,47.26,46.47,46.48
20151231,46.39,46.74,45.70,45.73
20160104,45.04,45.49,44.08,44.75
20160105,44.71,45.12,44.64,44.96
20160106,44.28,44.80,44.09,44.62
20160107,43.21,44.37,42.81,44.10
20160108,44.12,44.51,43.55,43.76
20160111,43.92,44.18,43.64,43.97
20160112,44.03,44.74,43.85,44.65
20160113,44.75,44.78,43.34,43.42
20160114,43.58,44.92,43.40,44.51
20160115,43.10,43.98,43.01,43.67
20160119,44.25,44.73,43.92,44.52
20160120,43.83,44.82,43.17,44.47
20160121,44.70,45.26,44.28,44.82
20160122,45.49,45.93,45.08,45.74
20160125,45.20,45.74,44.99,45.08
20160126,45.26,45.94,45.04,45.70
20160127,45.62,46.13,45.10,45.22
20160128,45.60,45.94,45.13,45.51
20160129,45.80,47.32,45.65,47.28
20160201,46.78,47.47,46.70,47.19
20160202,46.96,46.96,46.24,46.52
20160203,47.50,47.60,46.37,47.40
20160204,47.51,48.28,47.35,48.26
20160205,47.90,48.26,47.00,47.29
20160208,46.88,47.35,45.24,45.90
20160209,45.67,46.46,45.48,46.04
20160210,46.56,47.18,46.27,46.35
20160211,45.47,46.14,45.30,45.84
20160212,46.67,47.17,46.21,46.53
20160216,47.16,47.38,46.65,47.17
20160217,47.50,48.12,47.02,47.93
20160218,48.02,48.33,47.78,48.16
