Date,Open,High,Low,Close
20151127,153.45,154.12,152.02,152.74
20151130,152.85,154.09,151.76,153.71
20151201,154.27,155.29,152.31,153.49
20151202,153.37,153.58,151.35,151.96
20151203,152.24,152.78,148.23,148.95
20151204,148.97,151.07,148.59,150.52
20151207,149.52,149.52,146.43,147.51
20151208,146.04,148.23,143.84,147.60
20151209,147.24,150.86,144.91,146.00
20151210,146.10,148.14,145.63,146.76
20151211,144.36,145.87,139.67,139.81
20151214,139.50,141.25,136.83,139.31
20151215,139.96,142.37,139.51,141.49
20151216,141.95,144.55,141.60,144.25
20151217,144.91,144.91,142.31,142.79
20151218,141.93,142.45,140.14,140.32
20151221,141.73,143.05,140.00,141.38
20151222,142.10,142.87,139.83,142.14
20151223,143.08,145.46,142.02,145.41
20151224,145.11,146.01,144.58,145.34
20151228,144.80,145.05,142.46,143.85
20151229,144.99,147.00,144.31,145.39
20151230,145.36,145.43,142.96,143.12
20151231,142.39,144.73,142.13,142.93
20160104,140.31,142.29,139.39,140.63
20160105,141.04,141.45,136.01,136.76
20160106,134.66,135.72,131.26,132.66
20160107,130.20,131.32,128.43,128.50
20160108,129.80,132.70,128.68,129.26
20160111,130.15,130.28,123.70,125.56
20160112,126.25,126.61,121.96,124.29
20160113,125.13,125.13,116.86,117.66
20160114,117.82,120.62,115.99,120.02
20160115,116.48,118.68,115.75,118.16
20160119,119.46,119.71,114.24,114.85
20160120,112.95,116.21,107.56,114.90
20160121,114.83,117.43,112.81,116.75
20160122,118.49,123.77,118.31,123.66
20160125,123.40,123.65,118.57,119.01
20160126,119.39,120.59,117.65,120.14
20160127,119.15,120.37,117.42,118.02
20160128,119.86,120.35,117.36,117.50
20160129,118.26,122.89,118.00,122.84
20160201,121.24,122.75,120.36,121.76
20160202,120.51,120.51,117.47,117.75
20160203,118.24,122.25,117.16,121.90
20160204,121.09,125.30,121.09,124.75
20160205,120.38,126.41,117.60,123.76
20160208,121.52,122.58,113.90,117.37
20160209,115.77,117.13,111.23,113.87
20160210,114.98,117.61,113.64,114.99
20160211,112.65,114.32,112.08,113.39
20160212,114.38,117.95,112.63,117.46
20160216,119.11,124.87,118.41,124.61
20160217,126.50,130.25,125.74,127.50
20160218,128.42,128.46,125.77,126.99
20160219,126.70,128.54,125.72,127.97
20160222,129.21,132.40,128.43,129.79
20160223,129.18,129.36,126.18,126.37
20160224,124.90,128.27,124.21,128.12
20160225,128.27,130.07,125.67,127.63
20160226,128.36,128.49,126.87,128.00
20160229,128.30,129.88,127.42,127.69
20160301,129.50,134.80,127.97,134.57
20160302,134.15,135.38,131.74,135.24
20160303,135.31,138.43,134.66,137.71
20160304,138.00,140.10,136.54,138.03
20160307,136.61,142.97,136.37,141.74
20160308,140.95,141.27,135.77,135.82
20160309,136.95,136.95,134.82,136.60
20160310,137.11,137.61,133.51,135.10
20160311,136.33,141.11,136.33,139.79
20160314,139.18,139.72,138.51,139.51
20160315,138.49,139.97,137.21,139.97
20160316,139.50,140.83,138.94,140.42
20160317,141.19,144.32,139.92,142.79
20160318,144.47,150.25,144.47,147.36
20160321,147.11,147.68,145.04,146.79
20160322,145.70,147.23,144.54,146.86
20160323,147.14,147.37,146.07,146.10
20160324,144.76,145.94,144.12,145.86
20160328,146.34,146.92,144.52,145.75
20160329,145.66,147.85,144.90,147.66
20160330,148.98,149.79,146.93,147.76
20160331,147.05,149.56,146.72,148.75
20160401,147.43,148.99,145.98,148.64
20160404,148.82,149.72,148.06,149.06
20160405,147.28,149.25,145.18,145.43
20160406,145.19,147.27,144.68,146.70
20160407,145.41,146.60,142.57,144.65
20160408,145.92,148.23,145.22,145.68
20160411,146.83,149.00,146.27,146.61
20160412,146.74,150.47,145.88,148.98
20160413,149.54,152.35,149.54,151.91
20160414,150.61,151.14,149.27,151.02
20160415,151.00,151.45,149.73,150.87
20160418,150.01,152.60,149.94,152.48
20160419,153.56,153.69,150.73,152.07
20160420,151.48,153.99,151.22,153.20
20160421,152.91,154.77,152.91,153.48
20160422,152.50,154.54,152.40,154.27
20160425,153.91,154.54,152.73,153.46
20160426,153.77,154.42,152.92,153.57
20160427,153.15,156.01,153.15,155.91
20160428,155.49,156.58,153.38,153.78
20160429,153.35,155.13,151.86,154.68
20160502,155.00,156.23,154.09,155.59
20160503,154.32,155.28,151.97,154.86
20160504,153.75,154.15,150.96,152.72
20160505,154.21,154.21,148.79,151.66
20160506,150.45,151.98,150.00,151.43
20160509,150.95,152.13,149.87,150.15
20160510,150.40,152.78,150.40,152.39
20160511,151.65,153.75,151.33,152.00
20160512,153.47,153.65,149.91,150.93
20160513,150.00,150.40,144.89,145.38
20160516,145.26,149.21,143.83,146.40
20160517,146.25,148.86,144.38,144.98
20160518,144.88,147.13,144.13,146.15
20160519,145.66,146.23,143.99,145.48
20160520,146.26,147.89,145.55,146.85
20160523,146.56,147.75,145.86,146.53
20160524,147.08,149.04,146.89,148.88
20160525,149.27,150.52,149.27,150.20
20160526,150.70,150.70,149.18,149.31
20160527,149.17,150.92,148.87,150.17
20160531,150.42,150.88,148.61,148.89
20160601,148.32,150.21,147.39,150.02
20160602,149.67,152.48,149.30,152.48
20160603,151.79,152.13,148.78,150.44
20160606,151.20,153.87,150.58,153.81
20160607,153.95,154.46,152.54,152.85
20160608,152.95,153.58,152.14,152.39
20160609,151.17,151.17,149.99,150.00
20160610,149.50,149.90,147.00,147.34
20160613,146.64,147.66,145.93,145.93
20160614,145.65,146.30,143.44,143.99
20160615,144.62,146.24,143.99,144.66
20160616,144.07,144.43,141.15,144.05
20160617,143.96,145.55,142.74,144.35
20160620,146.77,147.60,145.03,145.09
20160621,145.44,146.68,145.07,146.07
20160622,146.34,146.34,143.81,144.17
20160623,145.62,146.40,144.77,146.40
20160624,138.94,143.22,138.94,141.49
20160627,140.18,140.63,133.64,134.67
20160628,136.21,139.38,135.91,139.23
20160629,140.00,144.05,139.53,143.13
