Date,Open,High,Low,Close
20151127,36.95,37.32,36.38,36.59
20151130,36.74,37.61,36.62,37.27
20151201,37.44,37.44,36.10,36.40
20151202,36.30,37.14,35.56,35.68
20151203,35.84,36.83,35.72,36.36
20151204,36.37,37.03,35.98,36.81
20151207,36.51,36.60,35.59,35.92
20151208,35.55,35.76,34.68,34.70
20151209,35.01,36.17,34.80,35.12
20151210,34.93,35.21,34.16,34.24
20151211,33.43,33.66,32.84,32.97
20151214,32.94,32.94,31.60,32.14
20151215,32.52,32.92,32.26,32.86
20151216,32.99,33.67,32.77,33.55
20151217,33.50,33.62,32.45,32.56
20151218,32.39,33.26,32.31,32.90
20151221,33.15,33.85,32.90,33.17
20151222,33.35,34.35,33.23,34.04
20151223,34.42,35.76,34.36,35.37
20151224,35.43,35.52,34.93,35.20
20151228,34.96,35.07,34.52,34.63
20151229,34.79,35.24,34.41,35.03
20151230,34.83,35.17,34.41,34.42
20151231,34.25,34.61,33.94,33.94
20160104,32.79,33.05,32.08,32.94
20160105,32.99,33.43,32.39,32.59
20160106,31.99,32.08,31.03,31.24
20160107,30.79,31.42,30.27,30.99
20160108,31.17,31.68,30.87,30.94
20160111,31.06,31.20,30.24,30.49
20160112,30.95,31.08,30.07,30.83
20160113,30.88,31.24,29.61,29.77
20160114,29.89,30.82,29.35,30.67
20160115,29.71,30.56,29.65,30.39
20160119,30.76,30.81,29.48,30.19
20160120,29.77,30.38,29.01,30.19
20160121,30.00,31.07,30.00,30.45
20160122,30.91,31.33,30.00,30.57
20160125,30.28,30.44,29.17,29.18
20160126,29.46,30.33,29.35,30.21
20160127,29.98,31.02,29.88,30.10
20160128,30.44,30.58,29.65,30.03
20160129,30.23,31.02,30.00,30.98
20160201,30.57,31.01,29.78,30.94
20160202,30.54,30.64,29.76,29.95
20160203,30.36,31.30,29.44,31.29
20160204,31.46,34.03,31.43,32.61
20160205,32.50,33.21,31.90,32.05
20160208,31.68,31.74,29.71,30.31
20160209,29.97,30.46,29.35,29.95
20160210,30.21,31.01,29.63,29.67
20160211,29.07,29.79,27.96,29.08
20160212,29.07,30.45,28.55,30.39
20160216,30.45,31.96,29.98,31.91
20160217,32.31,33.47,32.19,32.84
20160218,33.04,33.10,31.71,32.17
20160219,32.03,32.03,31.10,31.18
20160222,31.49,32.82,31.43,32.81
20160223,32.50,33.06,31.58,31.78
20160224,31.26,32.21,30.95,32.08
20160225,32.12,32.44,31.44,32.42
20160226,32.74,33.34,32.56,33.01
20160229,32.95,33.40,32.65,32.65
20160301,33.05,33.40,32.80,33.29
20160302,32.78,33.31,32.59,32.96
20160303,32.77,33.58,32.58,33.49
20160304,33.64,36.30,33.54,35.11
20160307,35.13,36.25,34.96,35.39
20160308,35.01,35.20,33.14,33.57
20160309,33.81,34.50,33.76,33.77
20160310,33.91,34.52,33.50,34.01
20160311,34.52,35.25,34.52,34.82
20160314,34.64,35.07,34.39,34.75
20160315,34.41,34.55,33.76,33.93
20160316,33.88,34.92,33.83,34.85
20160317,34.93,36.07,34.92,35.83
20160318,36.04,36.37,35.37,35.46
20160321,35.48,36.12,35.47,35.84
20160322,35.49,36.38,35.45,36.19
20160323,35.94,36.28,35.76,35.90
20160324,35.57,35.78,34.78,35.17
20160328,35.22,36.26,34.91,35.43
20160329,35.07,35.64,34.47,35.61
20160330,36.05,36.45,35.73,35.80
