Date,Open,High,Low,Close
20190313,38.60,39.30,38.00,39.20
20190314,39.50,40.65,39.32,39.96
20190315,40.55,41.05,40.50,41.02
20190318,41.73,41.73,40.47,40.86
20190319,41.40,41.40,39.05,39.55
20190320,39.85,39.85,37.46,37.60
20190321,38.00,38.91,37.84,38.88
20190322,38.76,38.84,36.55,37.46
20190325,37.57,37.81,36.35,36.45
20190326,36.46,37.35,36.46,36.71
20190327,36.75,37.17,36.06,36.20
20190328,36.14,36.47,35.55,35.67
20190329,35.88,36.17,35.39,35.88
20190401,36.17,36.34,35.94,36.15
20190402,36.21,36.46,35.21,35.70
20190403,35.78,35.89,35.30,35.50
20190404,35.56,36.07,35.39,36.03
20190405,35.99,37.09,35.94,36.98
20190408,36.94,36.94,36.65,36.85
20190409,36.81,37.07,36.59,36.89
20190410,36.91,37.05,35.86,35.93
20190411,35.98,36.50,35.53,36.41
20190412,36.47,37.08,35.92,36.95
20190415,36.91,36.99,36.47,36.98
20190416,37.11,37.28,36.93,37.21
20190417,37.18,38.25,37.18,38.21
20190418,38.34,38.37,37.92,37.92
20190422,37.84,37.88,37.11,37.24
20190423,37.22,37.82,37.07,37.60
20190424,37.51,37.76,37.33,37.45
20190425,37.48,37.68,37.04,37.64
20190426,37.80,37.94,37.40,37.91
20190429,37.74,38.91,37.69,38.73
20190430,38.59,38.78,37.89,38.50
20190501,38.66,38.80,38.09,38.74
20190502,38.75,38.80,36.50,36.84
20190503,36.86,37.26,36.64,37.02
20190506,36.72,37.40,36.47,37.31
20190507,36.97,37.22,36.58,36.70
20190508,36.56,37.08,36.27,36.82
20190509,38.08,38.63,36.95,37.97
20190510,37.90,38.25,36.98,38.05
20190513,37.48,38.15,37.22,37.50
20190514,37.54,38.03,37.40,37.48
20190515,37.24,37.48,37.13,37.23
20190516,37.28,37.60,36.28,36.32
20190517,36.08,37.07,36.08,36.83
20190520,36.54,37.14,36.54,36.68
20190521,36.82,37.53,36.64,37.18
20190522,37.10,37.29,36.62,36.67
20190523,36.39,36.63,36.18,36.51
20190524,36.51,36.76,36.40,36.45
20190528,36.59,36.95,36.11,36.16
20190529,36.00,36.16,35.28,35.30
20190530,35.36,35.70,34.69,34.81
20190531,34.55,34.81,34.25,34.71
20190603,34.61,34.81,33.32,33.78
20190604,34.03,34.81,33.75,34.09
20190605,34.24,34.57,33.90,34.02
20190606,34.01,34.23,33.60,33.74
20190607,33.84,34.05,33.66,33.68
20190610,33.86,34.04,33.56,33.74
20190611,33.77,34.04,33.65,33.83
20190612,33.81,34.74,33.80,34.70
20190613,34.96,35.12,34.60,34.94
20190614,34.99,35.16,34.56,34.96
20190617,35.18,35.97,35.04,35.80
20190618,36.09,36.72,35.71,35.83
20190619,35.88,36.08,35.35,35.74
20190620,36.15,36.15,35.31,35.35
20190621,35.36,37.00,35.04,35.88
20190624,35.72,35.79,35.39,35.54
20190625,35.45,35.52,34.90,35.19
20190626,35.46,35.89,35.16,35.31
20190627,35.36,36.12,35.06,35.75
20190628,35.89,36.64,35.67,36.53
20190701,36.82,36.87,35.72,35.96
20190702,35.96,36.57,35.96,36.53
20190703,36.70,36.77,36.31,36.35
20190705,36.28,36.77,36.07,36.56
20190708,36.36,36.94,36.05,36.13
20190709,35.98,36.29,35.79,36.01
20190710,36.11,36.41,36.03,36.14
20190711,36.13,36.37,35.85,36.31
20190712,36.32,37.01,36.32,36.96
