Date,Open,High,Low,Close
20190312,38.00,38.00,38.00,38.00
20190313,39.00,39.90,38.70,39.75
20190314,39.75,41.40,39.75,40.65
20190315,41.38,41.87,41.24,41.70
20190318,41.95,41.95,41.05,41.70
20190319,41.55,41.70,39.84,40.34
20190320,40.49,40.81,38.24,38.62
20190321,39.00,40.07,38.75,40.02
20190322,39.93,39.99,37.69,38.72
20190325,38.89,38.96,37.39,37.44
20190326,37.65,38.28,37.51,37.54
20190327,37.52,37.91,36.76,36.92
20190328,36.85,37.15,36.34,36.40
20190329,36.55,36.91,36.15,36.71
20190401,36.91,37.15,36.71,36.85
20190402,36.96,37.18,35.90,36.28
20190403,36.37,36.56,35.90,36.08
20190404,36.20,36.80,36.01,36.76
20190405,36.79,37.85,36.69,37.68
20190408,37.60,37.68,37.26,37.47
20190409,37.42,37.65,37.17,37.31
20190410,37.33,37.53,36.36,36.48
20190411,36.57,37.16,35.99,37.09
20190412,37.15,37.62,36.47,37.53
20190415,37.46,37.57,36.99,37.53
20190416,37.67,37.85,37.47,37.75
20190417,37.87,38.85,37.76,38.84
20190418,38.91,39.00,38.43,38.44
20190422,38.36,38.44,37.62,37.70
20190423,37.79,38.39,37.63,38.08
20190424,37.95,38.31,37.80,37.96
20190425,37.98,38.20,37.54,38.15
20190426,38.08,38.53,37.90,38.48
20190429,38.54,39.53,38.31,39.20
20190430,39.19,39.33,38.47,38.99
20190501,39.12,39.49,38.66,39.40
20190502,39.23,39.47,37.08,37.28
20190503,37.41,37.75,37.12,37.47
20190506,37.17,37.99,36.96,37.92
20190507,37.58,37.81,37.12,37.26
20190508,37.34,37.70,36.85,37.42
20190509,38.50,39.25,37.51,38.50
20190510,38.64,38.75,37.44,38.53
20190513,37.77,38.68,37.73,37.97
20190514,38.05,38.52,37.87,37.89
20190515,37.70,37.97,37.57,37.71
20190516,37.91,38.08,36.70,36.74
20190517,36.56,37.59,36.55,37.32
20190520,37.18,37.64,37.00,37.14
20190521,37.26,38.00,37.10,37.69
20190522,37.66,37.76,37.05,37.12
20190523,36.82,37.08,36.63,36.91
20190524,37.05,37.21,36.85,36.92
20190528,36.97,37.34,36.51,36.64
20190529,36.50,36.65,35.79,35.79
20190530,35.88,36.15,35.15,35.22
20190531,34.97,35.27,34.70,35.23
20190603,35.05,35.30,33.78,34.24
20190604,34.52,35.25,34.15,34.48
20190605,34.62,34.98,34.28,34.36
20190606,34.66,34.66,33.98,34.12
20190607,34.18,34.44,34.00,34.01
20190610,34.05,34.40,33.90,34.03
20190611,34.23,34.41,34.01,34.18
20190612,34.20,35.10,34.16,35.05
20190613,35.17,35.50,34.96,35.29
20190614,35.24,35.50,34.93,35.24
20190617,35.42,36.33,35.34,36.13
20190618,36.45,37.05,36.08,36.19
20190619,36.26,36.42,35.68,35.99
20190620,36.38,36.47,35.56,35.58
20190621,35.61,37.29,35.31,36.18
20190624,36.01,36.07,35.60,35.80
20190625,35.78,35.86,35.14,35.34
20190626,35.79,36.10,35.33,35.47
20190627,35.53,36.33,35.20,35.99
20190628,35.98,36.76,35.81,36.64
20190701,36.46,36.99,35.74,35.92
20190702,36.01,36.62,35.92,36.59
20190703,36.60,36.82,36.27,36.35
20190705,36.24,36.80,36.08,36.60
20190708,36.53,36.67,36.08,36.13
20190709,36.03,36.27,35.82,36.02
20190710,36.19,36.43,36.08,36.14
20190711,36.17,36.35,35.85,36.29
20190712,36.46,37.04,36.10,36.96
20190715,37.03,37.16,36.64,37.01
20190716,36.93,37.11,36.63,36.69
20190717,36.73,36.76,36.11,36.17
20190718,36.17,36.72,35.96,36.55
20190719,36.70,36.74,36.14,36.43
20190722,36.51,36.61,36.06,36.10
20190723,36.19,36.39,35.84,36.22
20190724,36.13,36.86,36.13,36.60
20190725,36.63,37.34,36.63,37.17
20190726,37.29,37.80,37.08,37.21
20190729,37.16,37.57,37.07,37.51
20190730,37.35,37.98,37.32,37.82
20190731,37.67,37.69,36.81,37.32
20190801,37.25,37.49,36.72,36.89
20190802,36.73,36.96,36.33,36.63
20190805,36.47,36.56,35.77,36.05
20190806,36.16,36.60,35.93,36.45
20190807,35.89,37.15,35.80,37.04
20190808,37.22,37.25,35.00,35.13
20190809,35.11,35.65,34.98,35.40
20190812,35.04,35.32,34.70,34.95
20190813,34.84,35.59,34.80,35.06
20190814,34.70,34.75,33.38,33.69
20190815,33.88,34.09,32.72,32.75
20190816,33.00,33.30,32.67,32.99
20190819,33.32,34.03,33.29,33.87
20190820,33.83,34.05,33.52,33.59
20190821,33.64,33.72,33.01,33.41
20190822,33.38,33.54,32.95,33.05
20190823,32.93,33.08,31.63,31.75
20190826,31.84,32.14,31.58,32.08
20190827,32.22,32.38,31.92,31.93
20190828,32.05,32.28,31.62,31.79
20190829,32.00,33.12,31.88,32.74
20190830,33.72,33.72,32.79,33.17
20190903,32.66,33.11,32.54,32.77
20190904,32.99,33.61,32.90,33.56
20190905,33.64,34.40,33.56,34.25
20190906,34.32,34.74,34.06,34.23
20190909,33.39,34.34,33.39,34.30
20190910,33.85,34.72,33.85,34.30
20190911,34.28,34.43,33.80,34.00
20190912,34.19,34.19,33.67,33.79
20190913,33.96,34.21,33.51,33.83
20190916,33.68,33.83,33.47,33.60
20190917,33.59,33.59,32.79,32.86
20190918,32.88,32.96,32.13,32.64
20190919,32.48,32.78,31.96,32.04
20190920,31.99,32.42,31.72,32.27
20190923,32.37,32.49,32.00,32.27
20190924,32.28,32.45,31.48,31.59
20190925,31.61,32.18,31.56,32.01
20190926,32.18,32.19,31.39,31.45
20190927,31.65,31.72,31.15,31.44
20190930,31.63,31.87,31.35,31.54
20191001,31.73,32.07,31.20,31.24
20191002,31.17,31.29,30.36,30.42
20191003,30.34,30.55,29.70,30.46
20191004,30.60,30.81,30.37,30.57
20191007,30.75,31.14,30.58,30.60
20191008,30.27,30.28,29.70,30.05
20191009,30.36,30.45,29.96,30.23
20191010,30.24,30.55,30.05,30.52
20191011,30.99,31.75,30.76,31.46
20191014,31.27,31.43,31.04,31.39
20191015,31.33,31.80,31.15,31.70
20191016,31.61,32.01,31.55,31.99
20191017,32.10,32.14,31.54,31.98
20191018,32.04,32.57,31.96,32.21
20191021,32.36,32.81,32.20,32.74
20191022,32.73,33.56,32.55,33.45
20191023,33.33,33.67,33.15,33.24
20191024,33.18,33.39,31.79,32.30
20191025,32.39,32.78,32.32,32.41
20191028,32.54,33.41,32.41,32.99
20191029,32.82,33.04,32.55,32.84
20191030,32.66,32.85,32.00,32.08
20191031,32.00,32.08,31.67,32.04
20191101,32.17,32.54,31.96,32.39
20191104,32.50,32.60,32.29,32.55
20191105,32.58,33.08,32.53,32.83
20191106,32.84,33.18,32.30,33.10
20191107,33.95,34.97,33.37,34.94
20191108,35.00,35.23,34.59,35.14
20191111,34.95,35.07,34.59,34.99
20191112,35.07,35.10,34.45,34.49
20191113,34.37,34.72,34.19,34.26
20191114,34.14,34.51,33.99,34.22
20191115,34.39,34.68,33.93,34.27
20191118,34.31,35.25,34.21,35.19
20191119,35.22,36.33,35.22,36.26
20191120,35.66,36.41,35.66,35.89
20191121,35.93,36.35,35.56,35.70
20191122,35.77,36.04,35.51,35.66
20191125,35.70,35.86,35.35,35.68
20191126,35.67,36.10,35.55,35.93
20191127,36.06,36.19,35.67,35.78
20191129,35.81,36.00,35.37,35.76
20191202,35.75,36.02,35.55,35.60
20191203,35.41,35.53,34.71,35.19
20191204,35.53,35.69,34.99,35.50
20191205,35.65,35.77,35.23,35.50
20191206,35.71,35.91,35.35,35.42
20191209,35.50,36.01,35.35,35.62
20191210,35.51,36.01,35.24,35.81
20191211,35.75,36.60,35.75,36.16
20191212,36.32,36.94,36.11,36.85
20191213,36.73,36.99,36.51,36.77
20191216,36.95,37.16,36.70,36.81
20191217,36.71,37.26,36.44,37.16
20191218,37.19,37.33,36.89,36.93
20191219,36.76,37.17,36.76,37.00
20191220,37.29,37.29,36.72,37.17
20191223,37.17,37.62,37.04,37.46
