Date,Open,High,Low,Close
20151127,68.56,68.96,67.95,68.79
20151130,68.81,69.52,68.61,68.86
20151201,69.28,69.41,68.76,69.28
20151202,69.56,69.56,68.64,69.05
20151203,69.18,69.57,67.15,67.36
20151204,67.75,69.25,67.00,69.12
20151207,69.10,69.19,67.72,68.16
20151208,67.65,68.37,67.08,67.13
20151209,67.59,68.38,66.39,66.90
20151210,66.73,67.56,66.63,66.99
20151211,65.77,67.10,65.01,65.53
20151214,65.72,66.20,64.74,65.80
20151215,66.70,68.21,66.70,67.46
20151216,68.30,68.82,66.83,68.52
20151217,68.46,69.01,66.50,66.52
20151218,66.77,66.86,64.78,64.98
20151221,65.60,65.94,64.68,65.85
20151222,66.19,66.34,65.06,65.82
20151223,66.02,66.80,65.50,66.68
20151224,66.71,67.30,66.38,66.90
20151228,66.54,66.75,65.63,66.70
20151229,67.20,67.41,66.63,67.18
20151230,67.14,67.39,66.23,66.26
20151231,66.07,66.67,65.76,66.06
20160104,64.85,65.18,63.46,64.28
20160105,64.36,65.16,64.34,64.81
20160106,63.68,64.40,63.27,64.25
20160107,63.45,64.14,62.94,63.28
20160108,63.62,63.89,62.05,62.27
20160111,62.05,62.59,61.49,61.81
20160112,62.31,62.45,61.01,62.02
20160113,62.34,62.50,60.59,60.86
20160114,61.04,63.52,61.04,62.96
20160115,61.55,64.05,61.15,63.34
20160119,64.27,64.73,62.77,63.41
20160120,62.40,64.71,61.23,64.18
20160121,64.30,64.92,63.61,63.95
20160122,64.64,66.34,64.11,66.02
20160125,65.99,66.17,63.20,63.29
20160126,63.46,66.48,62.89,66.48
20160127,65.98,67.43,65.16,65.55
20160128,66.27,67.13,65.99,66.57
20160129,66.99,68.00,66.61,68.00
20160201,68.10,68.29,67.19,67.84
20160202,66.85,66.91,65.52,65.84
20160203,66.40,67.34,63.91,67.09
20160204,66.67,67.98,66.36,66.98
20160205,66.95,67.32,62.25,63.30
20160208,62.31,62.35,59.36,59.91
20160209,58.81,59.28,56.74,57.90
20160210,58.22,59.76,57.91,58.64
20160211,56.97,57.71,56.32,56.59
20160212,57.35,58.69,56.41,58.39
20160216,59.35,60.19,58.59,59.81
20160217,60.51,61.37,60.22,60.87
20160218,60.91,61.17,59.22,59.52
20160219,58.98,60.23,58.51,59.86
20160222,61.25,62.18,61.10,61.33
20160223,61.07,61.07,59.30,59.74
20160224,58.82,59.83,57.89,59.77
20160225,60.03,62.54,60.03,62.28
20160226,62.66,64.29,62.18,63.58
20160229,63.41,63.81,61.50,61.54
20160301,62.65,65.15,62.30,64.98
20160302,65.20,66.30,64.71,66.29
20160303,66.28,67.42,65.82,67.42
20160304,67.53,68.41,66.90,67.89
20160307,67.29,67.67,66.38,66.76
20160308,66.37,66.47,65.55,65.82
20160309,65.97,66.41,64.87,65.11
20160310,65.82,66.20,64.39,64.94
20160311,65.71,67.01,65.37,66.78
20160314,66.52,67.33,66.26,66.93
20160315,66.29,66.80,65.93,66.15
20160316,66.12,66.43,65.03,65.76
20160317,65.46,65.56,64.07,65.21
20160318,65.51,66.52,65.21,65.87
20160321,66.00,67.11,65.31,66.78
20160322,66.38,67.39,65.75,67.17
20160323,67.17,67.59,66.56,66.83
20160324,66.04,66.80,65.60,66.66
20160328,66.63,67.08,65.67,66.73
20160329,66.32,66.64,65.22,66.59
20160330,66.79,67.98,66.51,67.02
20160331,66.78,67.10,66.23,66.64
20160401,66.04,66.81,65.33,66.56
20160404,66.60,67.73,66.25,67.06
20160405,66.22,67.30,65.97,66.32
20160406,66.38,67.07,66.08,66.95
20160407,66.11,66.37,64.04,64.70
20160408,65.32,65.82,64.22,64.46
20160411,64.94,65.71,64.59,64.90
