Date,Open,High,Low,Close
20151127,145.74,148.10,145.74,147.90
20151130,148.40,148.64,145.89,146.52
20151201,147.26,147.81,146.85,147.66
20151202,146.85,147.47,143.76,144.01
20151203,143.95,144.19,141.34,141.59
20151204,142.24,145.26,142.07,144.73
20151207,144.44,145.56,143.23,144.29
20151208,144.44,145.16,143.51,144.69
20151209,143.94,145.42,143.17,144.23
20151210,144.24,145.01,141.68,141.68
20151211,140.29,142.50,140.11,142.27
20151214,142.08,144.22,141.10,144.18
20151215,144.68,146.64,144.68,146.00
20151216,146.59,149.10,146.09,148.65
20151217,148.73,149.30,147.40,148.46
20151218,148.39,148.79,146.97,147.24
20151221,149.14,149.48,146.97,147.86
20151222,148.24,149.34,147.67,147.75
20151223,148.09,148.35,146.66,147.67
20151224,147.51,148.31,146.92,147.75
20151228,147.66,149.67,147.09,149.64
20151229,150.00,150.54,149.25,149.96
20151230,149.03,149.54,148.02,148.13
20151231,148.04,148.78,146.05,146.10
20160104,145.17,145.60,143.46,144.86
20160105,144.86,147.04,144.16,146.54
20160106,146.25,147.55,146.00,147.44
20160107,145.29,146.55,144.95,145.03
20160108,145.72,146.38,144.60,145.27
20160111,145.84,147.10,145.29,146.24
20160112,147.38,147.38,145.26,146.41
20160113,146.65,148.27,145.74,146.81
20160114,147.13,148.49,146.53,147.05
20160115,146.32,147.48,144.42,146.74
20160119,147.25,149.30,147.12,148.34
20160120,147.22,147.83,141.81,145.51
20160121,146.25,148.14,144.97,145.72
20160122,147.48,151.24,146.75,150.29
20160125,149.28,150.53,147.09,148.86
20160126,148.89,150.49,148.56,150.15
20160127,150.05,150.05,147.08,148.09
20160128,148.19,149.42,146.50,147.83
20160129,148.90,151.99,148.02,150.83
20160201,151.00,153.32,150.26,151.98
20160202,152.09,152.93,149.03,150.41
20160203,150.97,152.89,149.99,152.34
20160204,151.53,152.84,150.14,151.49
20160205,150.68,151.37,149.85,150.71
20160208,149.08,149.63,145.01,147.24
20160209,146.12,148.44,145.06,146.77
20160210,146.00,148.70,143.71,146.70
20160211,144.83,146.21,144.47,144.82
20160212,147.09,148.04,143.66,144.89
20160216,146.20,148.97,144.91,148.91
20160217,149.44,150.54,147.72,148.19
20160218,148.34,151.00,146.43,148.03
20160219,147.30,148.15,146.36,146.90
20160222,148.10,149.44,147.36,147.62
20160223,147.48,149.89,147.15,147.41
20160224,146.40,148.04,146.04,146.69
20160225,147.72,150.65,147.72,150.43
20160226,150.61,150.61,148.38,148.44
20160229,148.67,150.15,148.02,148.06
20160301,149.19,151.37,149.00,151.31
20160302,148.90,150.46,148.84,150.30
20160303,150.54,151.49,149.10,150.21
20160304,150.08,150.61,148.60,149.65
20160307,149.25,149.85,148.51,149.22
20160308,149.38,150.24,148.66,149.71
20160309,150.28,151.01,149.14,149.66
20160310,150.32,151.44,148.91,150.38
20160311,151.82,152.33,151.29,152.29
20160314,152.01,154.98,151.54,152.98
20160315,152.05,154.51,152.05,153.95
20160316,152.77,155.56,151.63,154.84
20160317,155.30,159.79,154.90,158.96
20160318,159.15,159.15,155.47,155.59
20160321,155.39,156.54,154.01,154.08
20160322,154.08,154.29,153.00,153.72
20160323,153.71,154.04,152.03,152.13
20160324,151.93,152.57,151.23,152.42
20160328,152.74,153.50,151.70,152.98
20160329,153.46,156.47,152.81,156.20
20160330,156.53,157.00,155.41,155.94
20160331,155.89,156.25,154.90,156.05
20160401,155.39,157.56,154.99,157.09
20160404,157.11,158.09,156.22,156.87
20160405,156.33,156.98,155.61,155.74
20160406,155.43,157.29,154.80,157.15
20160407,156.65,157.20,155.14,155.86
20160408,156.16,157.33,155.57,156.11
20160411,156.24,156.68,155.51,155.91
20160412,156.28,157.14,154.78,155.89
20160413,156.40,156.59,153.73,154.70
20160414,154.44,155.33,154.01,154.25
20160415,154.01,155.78,153.97,155.48
20160418,155.21,155.74,154.26,155.74
20160419,156.09,156.10,155.20,155.39
20160420,155.26,155.92,153.16,153.28
20160421,152.83,153.04,149.25,149.75
20160422,150.46,151.47,149.34,150.82
20160425,150.10,152.59,150.10,152.38
20160426,153.02,154.23,152.01,153.46
20160427,154.05,155.05,152.93,154.56
20160428,153.28,154.72,153.03,153.54
20160429,152.65,153.21,150.84,152.08
20160502,152.72,154.66,152.43,154.32
20160503,153.67,155.04,153.52,154.69
20160504,154.51,157.23,153.60,156.80
20160505,156.16,157.99,154.28,157.06
20160506,155.60,157.57,154.79,157.56
20160509,157.83,159.65,157.42,159.46
20160510,160.41,160.47,158.48,158.98
20160511,158.88,158.88,154.49,155.57
20160512,155.58,157.16,154.10,156.56
20160513,156.22,156.22,153.51,155.25
20160516,155.55,157.01,155.00,156.80
20160517,156.38,156.96,152.39,153.01
20160518,152.60,152.91,149.68,151.04
20160519,150.10,151.22,148.40,150.63
20160520,151.71,152.67,150.69,152.61
20160523,152.71,153.60,151.45,151.58
20160524,152.57,154.09,152.57,153.25
20160525,153.32,153.36,151.44,152.39
20160526,152.38,153.65,151.81,153.30
20160527,153.71,154.61,153.26,153.60
20160531,153.95,153.95,152.26,153.19
20160601,153.25,154.22,152.54,153.86
20160602,153.42,154.79,152.99,154.79
20160603,155.66,156.82,154.85,155.70
20160606,156.30,156.91,154.13,155.16
20160607,155.76,156.29,155.09,155.17
20160608,155.37,156.10,154.66,155.81
20160609,156.01,157.69,155.84,157.12
20160610,156.55,157.86,155.45,157.02
20160613,157.50,158.91,154.49,156.70
20160614,156.81,156.91,155.62,156.20
20160615,156.05,157.80,155.78,157.13
20160616,156.74,158.85,156.23,158.77
20160617,158.50,158.50,156.49,157.32
20160620,157.03,158.30,156.49,156.67
20160621,156.67,157.71,156.01,157.09
20160622,157.32,157.68,156.52,157.14
20160623,158.06,158.91,156.94,157.77
20160624,153.07,158.76,152.85,156.80
20160627,156.01,159.60,155.78,159.11
20160628,160.29,162.49,159.68,162.43
20160629,163.16,164.48,163.16,163.98
20160630,164.34,165.62,162.77,165.55
20160701,166.38,166.89,165.05,165.73
20160705,166.07,168.36,165.73,168.22
20160706,167.44,168.76,166.91,168.44
20160707,167.97,167.97,164.86,166.30
20160708,167.05,167.89,166.28,167.81
20160711,167.90,168.77,166.50,168.17
20160712,168.09,168.09,165.44,166.75
20160713,166.74,167.77,166.33,167.61
20160714,166.78,167.77,164.70,165.27
20160715,165.75,166.20,164.74,166.05
20160718,165.96,166.59,165.18,165.95
20160719,166.00,166.88,165.07,166.83
20160720,166.91,166.91,165.91,166.16
20160721,165.77,166.82,164.84,166.47
20160722,166.40,167.78,166.33,167.12
20160725,167.43,167.93,166.02,167.35
20160726,167.65,167.78,166.21,166.65
20160727,166.78,166.78,164.36,165.81
20160728,165.92,169.28,165.92,168.71
20160729,168.66,171.08,168.11,169.70
20160801,169.95,170.62,169.51,170.35
20160802,169.41,169.80,167.30,167.47
20160803,167.77,167.77,165.84,166.57
20160804,166.93,166.93,165.48,165.48
20160805,166.80,167.12,163.51,164.43
20160808,164.43,164.43,161.80,162.44
20160809,162.61,163.24,161.03,162.74
20160810,163.00,163.40,161.78,162.19
20160811,162.32,162.32,159.15,159.83
20160812,159.74,161.90,159.74,160.22
20160815,160.40,161.00,159.44,159.60
20160816,159.29,159.40,156.92,157.28
20160817,157.51,158.78,156.45,158.71
20160818,159.01,159.60,158.06,158.73
20160819,158.18,159.14,157.50,157.84
20160822,157.58,158.89,157.33,157.96
20160823,158.52,158.85,157.09,157.51
20160824,157.82,158.13,156.21,157.89
20160825,158.06,159.66,157.74,159.55
20160826,159.92,161.25,158.25,159.10
20160829,160.15,162.06,159.97,160.65
20160830,160.92,161.43,158.25,159.20
20160831,159.04,159.39,157.21,159.00
20160901,158.87,159.08,157.38,158.07
20160902,158.51,161.00,158.48,159.48
20160906,159.44,160.17,158.12,160.16
20160907,159.96,160.89,159.04,160.83
20160908,159.98,160.75,158.97,160.47
20160909,158.81,159.39,154.48,154.48
20160912,154.66,158.71,154.66,158.06
