Date,Open,High,Low,Close
20151127,33.66,34.14,33.27,33.38
20151130,34.13,34.63,33.70,34.02
20151201,33.92,34.23,33.43,34.02
20151202,33.79,34.30,33.31,33.67
20151203,33.98,34.15,33.04,33.19
20151204,32.87,33.12,32.11,32.64
20151207,31.66,31.66,30.38,30.92
20151208,30.38,31.41,30.21,30.71
20151209,30.94,33.67,29.80,31.43
20151210,31.00,31.26,30.35,30.85
20151211,30.26,30.46,28.85,28.92
20151214,28.76,29.61,28.76,29.18
20151215,29.66,31.12,29.56,30.62
20151216,30.52,31.04,29.94,30.37
20151217,30.18,30.36,29.04,29.04
20151218,28.87,29.08,28.34,28.35
20151221,28.39,28.86,28.08,28.70
20151222,28.87,29.13,28.65,28.88
20151223,29.57,29.68,28.99,29.62
20151224,29.70,29.85,29.23,29.25
20151228,28.59,28.96,28.34,28.95
20151229,29.45,29.73,29.01,29.20
20151230,28.56,29.59,28.56,29.16
20151231,28.97,29.41,28.83,29.01
20160104,28.88,29.24,28.36,29.22
20160105,29.14,29.27,28.48,28.81
20160106,27.96,28.30,26.76,27.11
20160107,26.55,27.42,26.37,26.83
20160108,27.21,27.58,25.98,26.00
20160111,26.12,26.17,25.22,25.44
20160112,26.20,26.20,24.72,25.25
20160113,25.53,25.75,24.75,24.75
20160114,24.95,25.62,24.55,25.52
20160115,24.48,24.79,24.09,24.33
20160119,24.49,24.56,23.57,23.88
20160120,23.34,23.88,22.85,23.58
20160121,23.36,24.42,23.26,23.78
20160122,24.81,24.98,23.68,24.31
20160125,23.61,24.54,23.37,23.38
20160126,24.00,24.25,23.52,23.93
20160127,23.84,24.50,23.66,23.92
20160128,24.97,25.13,23.95,24.32
20160129,24.35,25.15,24.15,25.15
20160201,25.05,25.25,24.22,24.78
20160202,23.53,24.20,23.53,23.63
20160203,23.94,24.40,22.91,24.07
20160204,24.35,25.45,24.07,24.28
20160205,23.83,24.38,23.54,23.81
20160208,23.39,23.72,23.16,23.62
20160209,23.24,23.50,22.52,22.98
20160210,22.88,23.61,22.71,23.16
20160211,22.74,23.14,22.30,22.77
20160212,23.10,23.71,22.98,23.12
20160216,23.53,23.65,23.04,23.48
20160217,26.19,26.83,24.93,25.14
20160218,25.41,25.41,24.44,24.83
20160219,24.63,25.17,24.30,25.17
20160222,26.25,26.25,25.26,25.32
20160223,25.12,25.30,24.19,24.20
20160224,23.79,24.51,23.52,24.48
20160225,24.46,24.62,23.27,23.86
20160226,24.36,24.85,24.12,24.53
20160229,24.54,24.88,24.23,24.53
20160301,24.82,25.56,24.67,25.40
20160302,25.24,25.77,24.70,25.77
20160303,25.72,26.47,25.62,26.45
20160304,26.54,26.66,25.35,25.68
20160307,25.60,26.67,25.44,26.64
20160308,26.39,26.39,23.99,24.34
20160309,24.64,25.67,23.68,25.27
20160310,25.12,25.54,24.82,25.36
20160311,26.11,27.58,26.11,27.54
20160314,27.04,27.53,26.82,27.17
20160315,26.77,26.85,26.22,26.78
20160316,26.87,27.19,26.54,27.07
20160317,27.36,27.71,27.07,27.60
20160318,27.80,27.88,27.43,27.54
20160321,27.30,27.87,27.13,27.82
20160322,27.40,27.94,27.29,27.45
20160323,27.19,27.54,26.86,26.87
20160324,26.35,27.03,26.11,26.98
20160328,26.98,27.15,26.51,26.84
20160329,26.42,26.89,26.17,26.85
20160330,27.19,27.65,26.89,27.09
20160331,26.97,27.40,26.88,27.36
20160401,26.77,27.56,26.77,27.24
20160404,27.08,27.30,26.72,27.09
20160405,26.83,27.27,26.59,26.98
20160406,27.35,27.63,26.53,27.55
20160407,27.28,27.46,26.50,26.80
20160408,27.43,27.97,27.34,27.56
20160411,27.61,27.85,27.23,27.23
20160412,27.46,28.25,27.21,28.08
20160413,28.19,28.86,28.04,28.71
20160414,28.76,28.90,27.84,28.23
20160415,27.92,27.92,27.19,27.70
20160418,26.99,28.84,26.88,28.77
20160419,29.00,29.60,28.71,29.52
20160420,29.28,29.57,28.92,29.29
20160421,29.38,29.45,28.77,28.89
20160422,28.95,30.06,28.90,29.53
20160425,29.34,29.46,28.63,28.85
20160426,29.07,29.19,27.93,28.50
20160427,29.24,31.05,28.24,30.35
20160428,30.13,31.30,29.97,30.22
20160429,30.32,31.25,29.84,30.49
20160502,30.47,30.70,29.65,29.96
20160503,29.48,29.61,29.01,29.44
20160504,29.49,29.82,28.48,28.53
20160505,29.14,29.19,28.32,28.57
20160506,28.26,29.05,28.07,28.65
20160509,27.77,28.04,27.25,27.58
20160510,27.67,28.06,27.47,27.95
20160511,27.89,28.42,27.13,28.12
20160512,28.45,28.61,27.64,28.01
20160513,27.78,28.07,27.43,27.57
20160516,28.14,29.04,28.03,28.85
20160517,28.79,29.42,28.74,29.31
20160518,29.20,29.26,28.43,28.65
20160519,29.01,29.01,27.29,27.30
20160520,27.18,27.60,26.47,27.12
20160523,26.87,27.26,26.65,27.05
20160524,27.27,27.34,26.55,26.96
20160525,27.23,27.49,27.12,27.29
20160526,27.54,27.65,26.73,26.74
20160527,26.76,27.01,26.65,27.00
20160531,27.06,27.46,27.00,27.23
20160601,27.23,27.23,26.51,26.91
20160602,26.58,26.89,26.42,26.59
20160603,26.66,27.06,26.52,26.59
20160606,27.02,27.90,27.00,27.80
20160607,27.99,28.43,27.97,28.35
20160608,29.00,29.38,28.82,29.06
20160609,28.51,28.67,28.24,28.27
20160610,27.82,28.15,27.46,27.47
20160613,26.79,27.41,26.72,26.93
20160614,26.43,27.07,26.41,26.73
20160615,26.71,27.25,26.49,26.66
20160616,26.34,26.37,25.71,26.11
20160617,26.46,27.53,26.27,27.05
20160620,27.59,27.85,27.38,27.43
20160621,27.35,27.70,27.03,27.59
20160622,27.96,27.96,27.54,27.60
