Date,Open,High,Low,Close
20151127,36.74,36.98,36.45,36.69
20151130,36.72,37.26,36.01,36.02
20151201,36.25,36.25,35.61,36.10
20151202,36.03,36.33,35.75,35.90
20151203,35.95,36.09,34.56,34.70
20151204,34.75,35.35,34.64,35.22
20151207,35.27,35.27,34.36,34.49
20151208,34.05,34.89,33.80,34.52
20151209,34.52,34.78,32.57,32.71
20151210,32.64,32.64,31.57,31.80
20151211,31.45,31.58,30.40,30.54
20151214,30.37,30.95,29.83,30.42
20151215,30.68,30.70,30.26,30.59
20151216,30.95,32.13,30.47,31.95
20151217,32.00,32.05,31.41,31.42
20151218,31.44,31.95,31.14,31.22
20151221,31.50,31.78,31.20,31.66
20151222,31.67,31.86,31.31,31.54
20151223,31.65,31.95,31.45,31.89
20151224,31.78,32.04,31.72,31.77
20151228,31.70,31.92,31.49,31.79
20151229,31.91,32.00,31.52,31.78
20151230,31.60,32.24,31.45,31.45
20151231,31.40,31.65,31.14,31.17
20160104,30.54,30.99,29.83,30.23
20160105,30.21,30.31,29.71,29.84
20160106,29.38,29.58,28.83,29.50
20160107,28.90,29.64,28.37,29.17
20160108,29.19,29.47,28.48,28.61
20160111,28.81,28.93,27.88,28.35
20160112,28.54,29.14,28.11,28.73
20160113,29.50,29.95,27.92,28.39
20160114,28.75,29.66,27.93,29.29
20160115,28.34,28.51,27.19,28.28
20160119,28.48,28.70,26.44,26.46
20160120,24.07,26.32,23.64,25.99
20160121,26.28,27.18,26.03,26.73
20160122,27.11,27.87,26.31,27.75
20160125,27.59,28.06,27.11,27.21
20160126,26.52,27.15,25.66,26.87
20160127,26.61,26.97,25.69,25.83
20160128,26.32,26.47,25.53,26.36
20160129,30.00,30.03,27.51,28.14
20160201,27.98,28.62,27.40,28.39
20160202,28.19,28.61,26.99,27.06
20160203,27.15,27.23,26.03,26.39
20160204,26.38,26.76,25.92,26.72
20160205,26.52,26.57,24.34,25.11
20160208,24.72,24.86,23.41,24.23
20160209,23.70,25.14,23.66,23.84
20160210,24.05,24.81,23.86,23.91
20160211,23.49,24.04,23.16,23.83
20160212,24.23,24.25,23.51,24.11
20160216,24.58,25.56,24.39,25.42
20160217,25.47,26.49,25.30,26.18
20160218,25.96,26.16,25.26,25.59
20160219,25.50,26.17,25.37,26.09
20160222,26.21,27.12,25.99,26.57
20160223,26.56,26.77,26.14,26.55
20160224,26.21,27.41,26.07,27.30
20160225,27.50,28.14,27.01,28.06
20160226,28.50,28.61,27.86,28.11
20160229,28.30,29.20,28.21,28.40
20160301,28.75,29.87,28.52,29.61
20160302,29.49,29.60,28.92,29.35
20160303,29.91,29.91,28.50,28.77
20160304,28.75,28.99,28.30,28.51
20160307,28.26,28.68,28.02,28.42
20160308,28.19,28.37,27.15,27.19
20160309,27.34,28.04,27.11,27.67
20160310,27.81,28.06,27.08,27.50
20160311,27.76,28.63,27.74,28.52
20160314,28.30,28.66,27.82,28.01
20160315,27.95,28.14,27.42,27.60
20160316,27.26,28.44,27.20,28.29
20160317,28.11,29.15,28.01,28.99
20160318,29.05,29.35,28.69,28.70
20160321,29.55,29.96,29.17,29.66
20160322,29.47,30.36,28.72,28.96
20160323,28.90,28.90,27.95,28.43
20160324,28.22,28.61,27.95,28.53
20160328,28.68,28.74,28.01,28.64
20160329,28.59,29.11,28.28,29.08
20160330,29.29,29.78,29.23,29.40
20160331,29.90,31.00,29.80,30.63
20160401,30.25,31.05,30.20,31.00
20160404,30.98,31.15,30.76,31.00
20160405,30.70,31.19,30.57,30.64
20160406,30.74,30.83,30.37,30.67
20160407,30.50,30.72,30.13,30.35
20160408,30.72,30.98,30.21,30.36
20160411,30.45,30.78,29.92,29.94
20160412,29.54,29.64,28.08,28.79
20160413,29.15,29.97,29.02,29.79
20160414,29.66,29.84,29.27,29.43
20160415,29.37,29.80,29.31,29.64
20160418,29.49,30.55,29.33,30.27
20160419,30.41,30.46,29.56,30.02
20160420,29.76,31.03,29.54,30.79
20160421,30.82,31.03,30.59,30.78
20160422,30.44,31.22,30.43,31.14
20160425,31.05,31.59,30.82,31.29
20160426,31.22,31.46,30.48,30.95
20160427,33.00,34.34,32.42,33.35
20160428,33.29,33.29,32.23,32.33
20160429,32.36,32.65,31.31,32.51
20160502,32.52,32.90,32.23,32.86
20160503,32.44,32.63,31.97,32.15
20160504,31.84,32.24,31.45,32.16
20160505,32.22,32.37,31.91,32.06
20160506,31.60,32.01,31.08,31.99
20160509,31.92,32.19,31.56,32.06
20160510,32.19,32.78,31.95,32.77
20160511,32.60,33.05,32.45,32.48
20160512,32.63,32.73,31.85,32.22
20160513,32.21,32.70,32.10,32.33
20160516,32.40,32.95,32.23,32.62
20160517,32.57,33.10,32.50,32.73
20160518,32.52,33.15,32.52,32.82
20160519,32.86,33.55,32.85,33.32
20160520,33.53,33.76,33.19,33.71
