Date,Open,High,Low,Close
20151127,29.11,29.21,29.03,29.19
20151130,29.16,29.28,28.79,28.79
20151201,28.84,29.09,28.72,29.01
20151202,28.93,29.07,28.73,28.82
20151203,28.93,29.09,28.82,28.88
20151204,28.91,29.35,28.81,29.32
20151207,29.25,29.27,28.96,29.20
20151208,28.91,29.21,28.76,29.03
20151209,28.87,29.41,28.81,29.30
20151210,29.27,29.74,29.20,29.47
20151211,29.15,29.43,28.99,29.10
20151214,29.10,29.29,28.62,29.10
20151215,29.23,29.43,29.06,29.15
20151216,29.29,30.03,29.25,29.79
20151217,29.75,29.86,29.36,29.38
20151218,29.22,29.40,29.12,29.12
20151221,29.25,29.42,28.99,29.23
20151222,29.32,29.45,29.00,29.32
20151223,29.35,29.81,29.35,29.76
20151224,29.71,29.74,29.51,29.64
20151228,29.56,29.81,29.43,29.71
20151229,29.82,30.27,29.81,30.08
20151230,30.08,30.23,29.82,29.86
20151231,29.67,30.28,29.61,29.95
20160104,29.38,29.58,29.09,29.53
20160105,29.50,29.65,29.28,29.56
20160106,29.11,29.54,28.89,29.09
20160107,28.51,28.81,27.74,27.86
20160108,28.08,28.17,27.25,27.36
20160111,27.44,28.77,27.16,27.48
20160112,27.65,27.77,27.25,27.54
20160113,27.80,27.94,27.12,27.15
20160114,27.22,28.12,27.20,27.94
20160115,27.06,27.65,27.02,27.39
20160119,27.62,27.78,27.12,27.39
20160120,26.86,27.34,26.42,26.92
20160121,27.05,27.88,27.05,27.49
20160122,27.45,27.46,26.64,27.15
20160125,27.23,27.39,26.92,26.96
20160126,26.99,27.44,26.97,27.22
20160127,27.12,27.48,26.75,26.92
20160128,27.13,27.26,26.86,27.12
20160129,27.37,27.99,27.25,27.98
20160201,27.89,27.91,27.46,27.54
20160202,27.18,27.20,26.85,27.15
20160203,27.30,27.59,26.80,27.57
20160204,27.55,28.33,27.39,28.06
20160205,28.03,28.08,27.21,27.44
20160208,27.13,27.18,26.69,27.09
20160209,26.68,27.44,26.68,27.19
20160210,27.28,27.60,27.16,27.21
20160211,26.68,26.95,26.06,26.39
20160212,26.51,27.17,26.31,27.17
20160216,27.48,27.91,27.33,27.75
20160217,28.02,28.47,28.00,28.21
20160218,28.17,28.22,27.88,27.96
20160219,27.83,28.01,27.58,27.90
20160222,27.90,28.36,27.90,28.28
20160223,28.09,28.23,27.96,28.10
20160224,27.79,27.93,27.31,27.85
20160225,27.69,28.15,27.67,28.11
20160226,28.17,28.42,28.16,28.27
20160229,28.31,28.41,28.00,28.02
20160301,28.28,28.82,28.18,28.73
20160302,28.63,29.02,28.62,29.02
20160303,29.04,29.23,28.90,29.06
20160304,29.06,29.41,29.06,29.29
20160307,29.10,29.28,28.97,29.12
20160308,28.92,29.06,28.82,28.90
20160309,29.00,29.04,28.82,28.89
20160310,29.01,29.12,28.64,28.79
20160311,28.98,29.40,28.98,29.17
20160314,29.06,29.20,28.92,29.11
20160315,28.88,29.20,28.88,29.12
20160316,29.08,29.14,28.91,29.01
20160317,29.06,29.91,29.02,29.77
20160318,29.89,29.95,29.71,29.73
20160321,29.66,30.00,29.61,29.89
20160322,29.79,30.04,29.78,29.87
20160323,29.85,30.04,29.82,29.88
20160324,29.72,29.91,29.63,29.91
20160328,29.94,30.48,29.90,30.28
20160329,30.25,30.37,30.08,30.27
20160330,30.54,30.72,30.51,30.61
20160331,30.66,30.82,30.54,30.57
20160401,30.29,30.79,30.24,30.70
20160404,30.47,30.49,29.89,30.03
20160405,29.76,29.93,29.60,29.79
20160406,29.70,30.29,29.46,29.71
20160407,29.54,29.60,29.34,29.45
20160408,29.71,29.88,29.51,29.61
20160411,29.64,29.81,29.53,29.53
20160412,29.50,29.74,29.40,29.62
20160413,29.79,29.90,29.75,29.79
20160414,29.80,29.88,29.67,29.83
20160415,29.88,29.90,29.74,29.84
20160418,29.71,29.99,29.71,29.87
20160419,29.94,30.01,29.82,29.95
20160420,30.00,30.14,29.86,29.95
20160421,29.92,30.08,29.66,29.79
20160422,29.84,29.98,29.14,29.58
20160425,29.62,29.67,29.23,29.50
