Date,Open,High,Low,Close
20151127,58.33,58.57,58.11,58.41
20151130,58.57,58.61,57.75,57.76
20151201,58.20,58.92,57.96,58.26
20151202,58.14,58.22,57.72,57.79
20151203,57.89,58.31,56.98,57.27
20151204,57.49,58.71,57.45,58.52
20151207,58.40,58.83,58.00,58.58
20151208,58.09,59.16,58.00,59.01
20151209,58.58,59.24,58.38,58.58
20151210,58.59,59.11,58.28,58.78
20151211,58.24,58.44,57.77,58.10
20151214,58.20,58.66,57.99,58.43
20151215,58.85,58.91,58.19,58.55
20151216,58.78,59.33,58.32,59.19
20151217,57.91,58.18,56.42,57.23
20151218,56.60,57.72,56.23,56.94
20151221,57.28,57.60,56.79,57.41
20151222,57.69,58.57,57.41,58.41
20151223,58.55,59.00,58.28,58.92
20151224,58.92,58.98,58.50,58.72
20151228,58.54,58.81,58.43,58.58
20151229,58.77,59.01,58.74,58.88
20151230,58.98,59.05,58.48,58.56
20151231,58.07,58.26,57.21,57.66
20160104,56.84,57.48,56.66,57.46
20160105,57.68,57.91,56.96,57.20
20160106,56.80,57.20,56.50,56.73
20160107,55.70,55.96,54.92,55.11
20160108,55.17,55.94,55.06,55.29
20160111,55.39,56.04,55.32,55.91
20160112,56.21,56.45,55.82,56.37
20160113,56.49,56.54,55.18,55.30
20160114,55.34,55.64,55.10,55.35
20160115,54.27,54.91,54.17,54.74
20160119,55.30,55.63,55.11,55.42
20160120,54.77,55.14,53.70,54.56
20160121,54.59,54.78,53.53,54.12
20160122,54.76,55.54,54.30,55.33
20160125,55.28,55.33,54.72,54.80
20160126,54.86,55.48,54.86,55.13
20160127,55.26,55.60,54.64,54.94
20160128,55.35,55.70,54.98,55.21
20160129,55.21,56.62,55.21,56.51
20160201,56.56,56.90,56.27,56.67
20160202,56.12,56.38,55.66,55.80
20160203,55.94,56.21,55.16,55.67
20160204,55.38,55.51,54.84,55.12
20160205,55.12,55.52,54.91,55.37
20160208,55.13,55.89,54.86,55.72
20160209,55.30,56.23,54.84,55.94
20160210,56.16,57.01,55.98,56.09
20160211,55.40,56.27,55.36,55.98
20160212,56.17,56.94,56.02,56.89
20160216,57.00,57.70,56.34,57.66
20160217,57.99,58.43,57.57,58.14
20160218,58.11,58.75,57.84,58.60
20160219,58.53,59.14,58.20,58.72
20160222,58.96,59.09,58.26,58.37
20160223,58.29,58.92,58.26,58.82
20160224,58.53,59.00,58.19,58.96
20160225,59.04,60.18,58.94,60.14
20160226,60.05,60.15,58.68,59.00
20160229,58.93,59.34,58.66,58.85
20160301,59.25,59.46,58.90,59.37
20160302,59.15,59.54,58.70,59.53
20160303,59.49,59.84,59.11,59.79
20160304,59.71,60.24,59.55,60.20
20160307,59.80,60.00,59.41,59.62
20160308,59.33,60.10,59.22,59.95
20160309,60.11,60.92,60.03,60.44
20160310,60.59,60.74,60.04,60.53
20160311,60.89,61.26,60.70,61.06
20160314,60.99,61.07,60.70,60.89
