Date,Open,High,Low,Close
20151127,18.94,18.98,18.76,18.76
20151130,18.85,18.97,18.71,18.73
20151201,18.88,18.93,18.68,18.82
20151202,18.79,19.01,18.70,18.74
20151203,18.84,18.88,17.76,17.83
20151204,17.82,18.06,17.70,18.03
20151207,17.96,18.11,17.79,18.04
20151208,17.83,17.92,17.60,17.83
20151209,17.72,18.07,17.68,17.75
20151210,17.75,17.99,17.59,17.69
20151211,18.75,18.75,18.10,18.68
20151214,18.62,18.63,17.96,18.07
20151215,18.17,18.26,17.77,17.87
20151216,17.98,18.59,17.94,18.52
20151217,18.18,18.32,18.07,18.09
20151218,17.96,18.15,17.89,18.00
20151221,18.06,18.18,17.92,18.03
20151222,18.06,18.25,18.02,18.16
20151223,18.25,18.58,18.24,18.55
20151224,18.57,18.82,18.52,18.56
20151228,18.48,18.52,18.09,18.21
20151229,18.32,18.55,18.32,18.49
20151230,18.46,18.65,18.45,18.49
20151231,18.35,18.52,18.26,18.28
20160104,17.95,17.98,17.75,17.91
20160105,17.92,18.07,17.73,17.90
20160106,17.59,17.69,17.39,17.50
20160107,17.15,17.41,17.04,17.10
20160108,17.18,17.43,17.10,17.15
20160111,17.19,17.56,17.15,17.31
20160112,17.49,17.61,17.11,17.34
20160113,17.40,17.64,17.02,17.06
20160114,17.12,17.47,17.03,17.30
20160115,16.95,17.16,16.72,16.87
20160119,17.02,17.12,16.59,16.76
20160120,16.26,16.81,16.13,16.69
20160121,16.76,17.30,16.57,16.93
20160122,17.20,17.27,16.94,17.10
20160125,17.05,17.13,16.62,16.76
20160126,16.78,18.05,16.76,17.71
20160127,17.61,18.27,17.52,17.91
20160128,18.12,18.20,17.89,17.99
20160129,18.11,18.61,18.10,18.61
20160201,18.40,18.70,18.31,18.57
20160202,18.29,18.38,17.92,18.09
20160203,18.27,18.48,17.96,18.38
20160204,18.36,19.07,18.34,18.86
20160205,18.75,18.98,18.24,18.34
20160208,18.07,18.14,17.79,17.96
20160209,17.84,18.68,17.81,18.47
20160210,18.51,18.68,18.12,18.14
20160211,17.81,18.03,17.61,17.81
20160212,18.00,18.40,17.90,18.39
20160216,18.59,18.71,18.49,18.64
20160217,18.72,19.12,18.68,18.95
20160218,19.05,19.11,18.71,18.73
20160219,18.59,18.69,18.42,18.55
20160222,18.77,18.88,18.59,18.69
20160223,18.38,18.52,18.19,18.21
20160224,18.12,18.17,17.69,17.99
20160225,17.99,18.18,17.93,18.12
20160226,18.23,18.40,18.16,18.31
20160229,18.36,18.57,18.29,18.30
20160301,18.42,18.76,18.25,18.63
20160302,18.66,18.90,18.61,18.80
20160303,18.92,18.95,18.67,18.89
20160304,18.93,19.21,18.89,18.96
20160307,18.91,19.59,18.83,19.57
20160308,19.50,19.57,19.02,19.03
20160309,19.10,19.41,19.10,19.18
20160310,19.19,19.41,18.80,19.00
20160311,19.23,19.55,19.20,19.45
20160314,19.31,19.54,19.31,19.41
20160315,19.24,19.48,19.16,19.44
20160316,19.45,19.61,19.33,19.45
20160317,19.49,20.15,19.47,20.04
20160318,20.15,20.31,20.00,20.02
20160321,20.00,20.25,19.98,20.17
20160322,20.12,20.43,20.07,20.31
20160323,20.26,20.27,20.02,20.13
20160324,19.89,20.29,19.83,20.25
20160328,20.37,20.54,20.27,20.38
20160329,20.23,20.68,20.20,20.65
20160330,20.75,21.07,20.70,20.84
20160331,20.91,21.00,20.74,20.89
20160401,20.68,20.89,20.61,20.83
20160404,20.79,20.96,20.77,20.78
20160405,20.58,20.74,20.43,20.61
20160406,20.58,20.85,20.42,20.81
20160407,20.75,20.85,20.59,20.66
20160408,20.79,20.93,20.44,20.53
20160411,20.58,20.84,20.57,20.62
20160412,21.02,21.08,20.76,20.83
20160413,20.96,21.13,20.90,21.08
20160414,21.00,21.10,20.50,20.77
20160415,20.77,21.00,20.74,20.92
20160418,20.73,21.03,20.73,20.92
20160419,21.04,21.06,20.81,20.93
20160420,20.94,21.08,20.92,20.98
20160421,20.95,21.07,20.78,20.80
20160422,20.69,21.12,20.69,20.99
