Date,Open,High,Low,Close
20151127,36.36,36.49,36.22,36.37
20151130,36.60,36.88,36.19,36.20
20151201,35.95,36.34,35.80,36.26
20151202,36.31,36.36,35.62,35.73
20151203,35.83,36.00,35.23,35.47
20151204,35.60,36.34,35.37,36.25
20151207,36.46,36.52,35.99,36.13
20151208,35.83,35.87,35.23,35.48
20151209,35.30,35.70,34.86,35.45
20151210,35.25,35.89,35.18,35.63
20151211,35.14,35.41,34.27,34.55
20151214,34.78,34.84,34.05,34.39
20151215,34.75,34.96,34.30,34.54
20151216,34.35,35.17,34.25,35.14
20151217,35.15,35.27,34.07,34.11
20151218,33.96,34.06,33.54,33.67
20151221,33.79,34.06,33.59,33.83
20151222,34.21,34.49,34.07,34.29
20151223,34.51,34.94,34.38,34.78
20151224,34.72,34.75,34.50,34.60
20151228,34.53,34.67,34.30,34.51
20151229,34.66,34.69,34.17,34.50
20151230,34.32,34.56,34.28,34.33
20151231,34.21,34.30,34.00,34.01
20160104,33.45,33.54,32.84,33.31
20160105,33.33,33.41,32.18,32.43
20160106,31.95,31.98,31.01,31.27
20160107,30.26,30.82,29.83,29.99
20160108,30.46,30.70,29.42,29.53
20160111,30.37,30.48,29.68,30.25
20160112,30.63,30.75,29.80,30.30
20160113,31.83,31.90,30.09,30.49
20160114,30.81,30.89,29.45,30.30
20160115,29.46,29.68,28.80,29.57
20160119,29.93,30.00,28.91,29.40
20160120,28.86,29.90,28.32,29.42
20160121,29.46,30.14,29.07,29.55
20160122,30.16,30.29,29.03,29.28
20160125,29.33,29.59,29.02,29.23
20160126,29.41,29.75,29.04,29.65
20160127,29.72,29.90,29.00,29.21
20160128,29.47,29.48,28.40,29.02
20160129,29.17,29.64,29.02,29.64
20160201,29.46,30.24,29.10,30.11
20160202,29.99,30.19,28.87,29.65
20160203,30.10,30.25,28.18,28.92
20160204,28.94,29.21,28.10,28.64
20160205,28.67,29.20,28.42,28.54
20160208,28.28,28.84,28.05,28.68
20160209,28.13,28.87,27.77,27.87
20160210,28.12,28.64,27.69,27.71
20160211,27.48,28.09,26.69,26.90
20160212,27.23,27.74,27.05,27.71
20160216,28.00,28.59,27.76,28.58
20160217,28.86,29.35,28.70,29.27
20160218,29.45,29.55,28.92,29.03
20160219,28.88,28.98,28.38,28.78
20160222,28.78,29.64,28.78,29.63
20160223,29.41,29.82,29.28,29.38
20160224,28.72,28.90,27.81,28.84
20160225,28.83,29.51,28.55,29.50
20160226,29.73,29.96,29.54,29.63
20160229,29.37,29.80,29.29,29.44
20160301,30.02,30.23,28.92,30.01
20160302,30.00,30.32,29.84,30.15
20160303,30.26,31.22,30.20,31.07
20160304,31.22,31.74,31.06,31.37
20160307,31.31,31.78,31.19,31.59
20160308,31.40,31.40,30.46,30.68
20160309,30.47,30.63,30.20,30.54
20160310,30.72,30.88,30.27,30.82
20160311,31.05,31.33,30.98,31.26
20160314,31.18,31.39,30.90,31.18
20160315,30.86,31.08,30.44,31.05
20160316,30.83,31.76,30.83,31.69
20160317,31.73,32.10,31.64,31.96
20160318,32.08,32.38,31.91,31.96
20160321,32.11,32.19,31.75,32.08
20160322,32.08,32.21,31.76,31.90
20160323,31.92,31.93,31.17,31.31
20160324,30.88,30.97,30.39,30.96
20160328,31.13,31.25,30.94,31.02
20160329,31.04,31.28,30.58,31.19
20160330,31.44,31.67,30.96,30.99
20160331,31.01,31.59,31.00,31.43
20160401,31.18,31.20,30.32,30.47
20160404,30.40,30.48,29.75,29.90
20160405,29.67,29.73,29.35,29.60
20160406,29.66,29.95,29.30,29.94
20160407,29.85,29.95,29.18,29.42
20160408,29.67,29.76,29.23,29.37
20160411,29.49,30.04,29.48,29.53
20160412,29.56,29.77,29.27,29.71
20160413,30.01,30.87,29.94,30.78
20160414,30.84,31.05,30.64,30.72
20160415,30.68,30.85,30.41,30.56
20160418,30.76,31.37,30.61,31.31
20160419,31.65,32.16,31.61,31.97
20160420,32.00,32.41,32.00,32.19
20160421,33.18,33.41,32.47,32.66
20160422,32.66,32.79,32.12,32.18
20160425,32.09,32.11,31.60,31.95
20160426,32.00,32.30,31.93,32.19
20160427,32.18,32.29,31.99,32.16
20160428,31.97,32.73,31.73,32.44
20160429,32.35,32.35,31.52,31.80
20160502,32.05,32.12,31.73,31.75
