Date,Open,High,Low,Close
20151127,90.69,90.99,90.20,90.88
20151130,91.06,91.11,90.05,90.63
20151201,91.03,91.42,90.31,90.61
20151202,89.88,90.27,88.46,88.66
20151203,88.64,88.77,87.40,88.12
20151204,88.36,89.30,88.14,89.06
20151207,88.68,89.16,88.38,89.10
20151208,88.02,89.13,87.62,88.67
20151209,87.93,89.50,86.96,87.27
20151210,87.31,87.93,86.99,87.57
20151211,86.57,86.61,84.99,85.25
20151214,85.61,86.62,85.23,86.15
20151215,86.63,86.87,85.41,86.10
20151216,86.77,87.21,85.54,87.14
20151217,87.09,87.16,85.85,85.87
20151218,85.59,85.61,83.54,83.58
20151221,84.30,84.52,83.10,83.98
20151222,84.15,85.20,84.15,84.83
20151223,85.17,86.48,85.02,86.23
20151224,85.88,86.46,85.85,86.10
20151228,86.06,86.85,85.80,86.75
20151229,87.27,87.76,86.96,87.49
20151230,87.26,87.74,86.72,86.87
20151231,86.31,86.65,85.77,85.89
20160104,84.81,84.81,82.76,84.03
20160105,84.53,84.57,83.07,84.33
20160106,83.13,83.39,82.02,82.66
20160107,81.13,82.30,80.64,80.88
20160108,81.15,81.60,78.45,78.56
20160111,79.77,79.85,78.13,79.07
20160112,79.55,80.00,78.65,79.64
20160113,79.92,80.06,77.33,77.40
20160114,77.62,79.10,76.99,78.50
20160115,76.89,78.64,76.50,78.47
20160119,79.14,79.33,77.39,78.31
20160120,77.33,79.96,76.64,79.04
20160121,79.15,80.69,78.49,79.22
20160122,80.26,80.46,78.85,79.73
20160125,79.44,79.98,79.02,79.30
20160126,79.56,82.29,79.56,82.05
20160127,82.01,83.53,81.43,82.02
20160128,82.78,83.42,81.61,83.35
20160129,83.67,86.26,83.30,86.17
20160201,83.39,84.36,82.03,83.91
20160202,83.00,83.18,82.29,82.67
20160203,83.36,84.10,82.32,83.84
20160204,83.45,86.10,83.45,86.03
20160205,86.02,86.02,84.37,84.81
20160208,83.99,85.52,83.19,85.27
20160209,84.53,86.98,84.53,86.39
20160210,86.74,87.60,85.70,86.22
20160211,85.31,86.98,84.78,86.44
20160212,86.93,88.30,86.50,87.86
20160216,88.37,91.92,85.26,89.61
20160217,89.17,90.05,88.50,90.02
20160218,90.14,91.28,89.93,90.79
20160219,90.18,92.45,89.83,92.07
20160222,92.78,93.14,91.97,92.39
20160223,92.31,92.78,91.54,91.75
20160224,90.51,91.09,90.06,91.04
20160225,91.60,92.12,90.73,91.87
20160226,92.20,92.44,90.73,91.26
20160229,91.22,91.65,90.15,90.15
20160301,90.97,93.08,90.78,93.03
20160302,92.00,93.71,91.46,93.54
20160303,93.63,94.06,93.01,93.93
20160304,93.80,93.99,93.12,93.65
20160307,93.39,94.73,93.24,94.50
20160308,94.02,94.63,93.67,93.87
20160309,93.98,94.30,92.82,93.94
20160310,94.17,94.29,92.93,93.92
20160311,94.72,95.52,94.51,95.37
20160314,95.19,95.45,94.72,95.00
20160315,94.40,95.05,94.16,94.88
20160316,94.77,95.74,94.37,95.57
20160317,95.85,98.54,95.49,98.41
20160318,98.82,98.82,97.25,98.05
20160321,97.80,97.97,96.58,97.52
20160322,97.63,97.69,96.87,96.95
20160323,96.95,98.12,96.54,97.62
20160324,97.13,97.80,96.93,97.72
20160328,98.05,98.36,97.66,97.84
20160329,97.86,98.78,97.54,98.61
20160330,99.08,99.40,98.54,99.12
20160331,99.12,99.59,98.51,99.36
20160401,98.63,99.79,98.43,99.72
20160404,98.93,99.04,97.77,98.31
20160405,98.53,98.88,97.34,97.72
20160406,97.84,98.11,96.53,98.04
20160407,97.83,98.10,96.39,96.91
20160408,97.64,97.77,96.85,97.19
20160411,97.54,98.03,96.79,96.79
20160412,97.00,97.80,95.97,97.59
20160413,98.11,99.44,98.01,99.33
20160414,99.29,99.50,98.10,98.42
20160415,98.80,99.80,98.59,99.40
20160418,98.95,99.83,98.73,99.83
20160419,100.00,100.00,96.54,96.88
20160420,96.81,97.21,95.58,96.49
20160421,96.73,97.02,95.78,96.19
20160422,96.21,97.41,96.20,96.78
20160425,96.75,97.05,96.22,96.90
20160426,96.93,98.37,96.93,98.22
20160427,98.05,98.46,97.47,98.23
20160428,97.60,98.21,97.11,97.34
20160429,96.91,96.91,95.58,95.97
20160502,96.16,96.88,96.03,96.76
20160503,95.94,96.58,95.70,96.39
20160504,96.06,96.30,95.40,96.07
20160505,96.36,97.27,95.85,95.96
20160506,95.91,97.03,95.42,97.00
20160509,96.60,97.40,96.51,97.01
20160510,97.25,98.07,97.25,97.95
20160511,97.52,98.07,96.02,96.12
20160512,96.32,97.26,96.31,97.11
20160513,96.94,97.55,95.86,96.07
20160516,96.31,97.35,96.07,96.94
20160517,96.63,97.06,93.98,94.33
20160518,94.01,94.75,92.91,94.18
20160519,92.93,93.97,92.25,93.48
20160520,93.99,94.94,93.92,94.14
20160523,93.99,94.04,93.20,93.72
20160524,94.08,95.55,93.98,95.31
20160525,95.36,96.65,95.18,96.29
20160526,96.21,96.93,95.88,96.32
20160527,96.59,97.06,96.57,97.06
20160531,97.46,97.46,96.17,96.92
20160601,96.06,96.46,95.75,96.31
20160602,95.82,97.01,95.45,96.93
20160603,96.46,96.50,95.63,96.16
20160606,96.07,97.28,95.66,96.97
20160607,97.29,97.78,97.10,97.47
20160608,97.50,97.91,97.40,97.69
20160609,97.12,97.61,96.52,97.23
20160610,96.74,96.92,96.01,96.50
20160613,96.00,96.40,95.02,95.12
20160614,94.73,95.70,94.73,95.58
20160615,95.70,96.79,95.64,95.96
