Date,Open,High,Low,Close
20151127,189.16,191.19,188.85,190.47
20151130,190.50,191.08,189.24,190.02
20151201,191.22,193.15,190.01,193.07
20151202,193.30,193.84,189.80,190.26
20151203,190.66,191.65,184.73,185.20
20151204,185.61,190.62,184.75,189.99
20151207,190.00,190.12,185.00,185.49
20151208,183.92,184.47,181.84,182.92
20151209,182.02,184.85,179.83,180.71
20151210,180.99,183.93,180.31,182.11
20151211,179.68,180.15,175.47,176.56
20151214,176.67,178.63,172.90,176.40
20151215,178.98,183.28,178.85,182.01
20151216,184.01,186.88,181.68,186.21
20151217,186.88,187.89,182.61,182.61
20151218,181.20,181.90,175.39,175.49
20151221,177.50,178.15,175.83,177.75
20151222,178.90,180.69,177.05,180.05
20151223,180.70,183.00,180.46,182.95
20151224,182.27,183.17,182.02,182.47
20151228,181.77,181.93,179.84,181.62
20151229,182.82,184.18,182.50,183.53
20151230,183.28,183.53,181.84,182.01
20151231,181.16,182.89,180.03,180.23
20160104,175.79,177.19,173.76,177.14
20160105,176.71,177.50,172.92,174.09
20160106,171.31,172.02,169.10,169.84
20160107,166.67,169.50,163.60,164.62
20160108,166.75,168.42,163.63,163.94
20160111,165.00,166.46,163.34,165.73
20160112,166.89,168.18,163.30,165.71
20160113,166.46,167.10,157.92,158.99
20160114,160.30,162.51,156.76,161.39
20160115,156.70,157.99,153.81,155.61
20160119,157.56,158.76,155.28,156.82
20160120,154.10,158.37,151.65,153.75
20160121,153.97,155.16,151.49,151.65
20160122,154.58,156.99,153.86,156.86
20160125,156.40,156.53,151.12,151.12
20160126,151.12,156.10,151.12,154.45
20160127,153.59,158.43,153.19,153.72
20160128,155.01,158.05,152.53,157.06
20160129,158.64,161.59,157.78,161.56
20160201,160.41,161.00,158.45,159.65
20160202,157.00,157.00,150.16,151.70
20160203,152.50,153.84,147.01,152.68
20160204,152.30,157.95,152.01,156.49
20160205,157.57,159.70,155.69,156.47
20160208,153.83,153.83,145.25,149.25
20160209,145.52,149.95,145.10,148.25
20160210,150.00,153.38,147.21,147.23
20160211,143.41,144.41,139.05,140.69
20160212,143.75,146.51,143.70,146.13
20160216,149.60,150.48,147.45,149.02
20160217,150.80,151.87,150.31,150.94
20160218,151.25,152.00,147.37,147.73
20160219,147.00,147.73,145.43,146.91
20160222,149.20,149.99,148.23,148.79
20160223,148.00,148.05,144.05,144.91
20160224,143.08,145.64,140.26,145.56
20160225,146.00,149.07,145.23,148.25
20160226,149.72,151.97,149.01,150.25
20160229,149.75,150.29,148.32,149.53
20160301,150.95,154.77,150.68,154.65
20160302,154.75,155.41,153.45,154.20
20160303,154.00,155.66,153.36,155.33
20160304,156.37,158.85,155.29,156.84
20160307,156.00,156.37,154.41,155.35
20160308,154.00,154.23,151.50,151.60
20160309,152.11,152.50,149.18,149.91
20160310,150.41,153.60,148.84,151.02
20160311,153.28,154.16,152.37,153.94
20160314,153.66,154.45,152.13,153.49
20160315,152.65,152.74,150.90,152.03
20160316,150.92,152.85,149.71,150.54
20160317,150.39,153.98,148.75,152.91
20160318,153.91,158.18,153.87,157.60
20160321,157.24,158.90,155.75,156.29
20160322,155.50,155.59,153.36,154.20
20160323,154.25,155.55,153.59,154.08
20160324,152.40,153.04,150.13,153.00
20160328,153.14,154.64,152.38,153.84
20160329,152.87,155.35,151.50,155.03
20160330,156.13,158.02,154.89,156.50
20160331,156.18,157.48,156.06,156.98
20160401,156.46,160.01,155.09,159.82
20160404,159.97,160.00,157.39,157.77
20160405,156.44,156.53,154.55,155.35
20160406,155.26,156.27,153.92,155.19
20160407,153.65,154.03,149.37,150.41
20160408,152.07,152.87,150.01,150.28
20160411,151.18,153.90,150.41,152.20
20160412,152.67,155.09,151.30,154.31
20160413,156.53,159.99,156.38,159.85
20160414,159.53,162.27,159.15,160.91
20160415,161.23,161.78,158.20,158.52
20160418,157.61,160.00,157.15,159.02
20160419,157.75,163.70,157.00,162.65
20160420,162.00,167.45,161.94,166.98
20160421,166.55,168.90,165.01,165.32
20160422,165.79,167.49,165.66,166.75
20160425,166.00,167.39,164.06,165.09
20160426,165.38,166.00,164.22,165.84
20160427,165.83,168.66,164.93,166.92
20160428,165.35,167.32,164.01,164.29
20160429,163.80,164.68,162.56,164.11
20160502,165.08,167.19,163.99,166.18
20160503,163.66,164.11,161.37,163.14
20160504,161.20,162.60,159.09,160.07
20160505,160.78,160.82,158.50,159.53
20160506,158.19,160.17,157.01,158.85
20160509,158.20,159.85,156.79,157.51
20160510,158.67,161.50,158.39,161.42
20160511,161.36,162.53,159.28,159.42
20160512,160.32,161.47,157.31,158.07
20160513,157.88,159.72,155.26,155.34
20160516,155.34,156.90,154.60,155.38
20160517,154.74,157.11,153.77,154.65
20160518,154.81,160.00,154.65,159.94
20160519,158.68,159.95,154.52,154.70
20160520,155.76,156.41,153.92,154.51
20160523,154.44,156.09,153.74,155.45
20160524,156.67,158.55,156.44,157.59
20160525,158.06,162.29,158.03,161.25
20160526,161.16,161.33,159.17,159.22
20160527,158.70,160.40,158.32,159.53
20160531,160.40,161.65,158.55,159.48
20160601,157.90,160.55,156.00,159.97
20160602,160.14,160.33,158.46,159.28
20160603,155.86,156.54,153.86,155.67
20160606,156.25,157.91,155.77,157.06
20160607,157.20,157.47,155.17,155.17
20160608,155.20,156.58,153.91,154.64
20160609,153.79,154.29,152.46,153.17
20160610,151.35,151.66,149.57,149.89
20160613,149.00,151.32,148.59,148.63
20160614,148.22,149.05,145.45,146.19
20160615,147.16,148.70,145.90,146.16
20160616,145.00,146.99,143.53,146.63
20160617,146.63,148.23,145.46,145.64
20160620,148.50,150.50,147.58,147.75
20160621,148.50,148.83,147.12,148.35
20160622,148.01,150.12,147.99,148.14
20160623,150.56,152.80,150.14,152.66
20160624,143.03,146.42,140.92,141.86
20160627,140.07,141.23,138.20,139.51
20160628,142.21,142.62,139.82,142.41
20160629,143.60,145.55,142.93,145.50
20160630,146.67,148.88,145.37,148.58
20160701,148.49,150.70,148.07,148.25
20160705,146.72,146.94,143.33,144.45
20160706,142.94,145.94,142.62,145.58
20160707,146.00,148.09,145.36,147.00
20160708,149.36,150.92,148.31,150.38
20160711,151.49,152.98,151.38,152.19
20160712,154.00,157.25,153.92,156.92
20160713,157.00,158.27,156.15,157.92
20160714,160.29,163.24,160.01,162.54
20160715,162.86,163.14,160.70,161.64
20160718,162.36,164.09,162.01,163.33
20160719,162.02,164.08,160.73,161.41
20160720,162.55,162.89,159.22,161.77
20160721,161.71,161.90,159.77,160.05
20160722,160.29,160.73,159.86,160.41
20160725,159.64,161.33,159.61,160.51
20160726,160.68,161.50,159.42,161.16
20160727,161.20,162.17,160.41,160.99
20160728,160.18,160.96,158.84,160.53
20160729,159.51,160.19,158.65,158.81
20160801,158.81,159.92,157.93,158.18
20160802,157.65,158.46,155.37,156.06
20160803,156.45,158.95,156.18,158.34
20160804,158.22,158.90,157.41,158.05
20160805,159.75,162.13,159.20,162.09
20160808,162.10,163.98,162.01,162.83
20160809,162.50,164.58,162.50,163.44
20160810,163.45,163.60,162.01,162.19
20160811,162.20,164.25,161.93,163.86
20160812,162.67,163.37,162.07,163.25
20160815,163.87,165.84,163.80,165.55
20160816,164.99,166.76,164.72,165.65
20160817,165.94,166.32,164.74,165.67
20160818,165.34,166.56,164.63,166.06
20160819,165.36,166.90,164.50,166.23
20160822,166.00,166.91,164.89,166.26
20160823,167.00,167.85,165.98,166.08
20160824,165.78,166.70,164.85,165.30
20160825,165.08,166.04,164.61,165.90
20160826,166.76,168.07,165.36,165.97
20160829,166.60,167.86,166.15,166.87
20160830,166.22,169.51,166.22,169.37
20160831,169.25,170.24,167.47,169.46
20160901,170.00,170.07,166.66,168.51
20160902,168.52,169.74,167.90,169.18
20160906,168.72,169.79,167.47,169.33
20160907,168.70,170.21,168.65,169.67
20160908,169.35,171.88,168.71,171.66
20160909,170.83,172.42,168.51,168.57
20160912,167.01,171.67,166.23,171.06
20160913,168.54,169.97,166.38,167.00
20160914,167.00,167.86,165.59,166.16
20160915,165.78,168.76,165.76,168.08
20160916,167.85,168.05,165.61,166.00
20160919,167.34,168.31,165.68,166.21
20160920,167.68,168.28,166.39,166.47
20160921,167.42,168.28,165.93,167.03
20160922,168.45,169.33,167.70,168.02
20160923,167.75,168.10,165.05,165.13
20160926,163.83,163.97,161.00,161.48
20160927,160.72,163.45,159.82,162.89
20160928,163.34,163.79,161.68,163.45
20160929,163.38,163.96,157.77,158.95
20160930,159.95,162.41,157.80,161.27
20161003,160.50,161.72,160.25,161.07
20161004,161.24,164.15,161.23,162.27
20161005,163.32,166.57,163.01,166.40
20161006,167.18,167.29,164.82,167.15
20161007,167.50,169.98,166.24,169.83
20161010,170.52,171.75,170.10,171.04
20161011,169.84,170.87,167.91,169.04
20161012,169.04,169.99,168.30,169.30
20161013,167.60,167.63,165.51,167.42
20161014,171.60,172.95,169.11,170.52
20161017,170.50,171.27,168.45,169.00
20161018,172.01,173.47,171.10,172.63
20161019,173.37,175.68,173.18,174.51
20161020,174.00,175.79,173.80,174.51
20161021,172.84,174.90,172.51,174.67
20161024,175.50,175.79,174.35,175.12
20161025,175.04,175.96,174.64,175.55
20161026,174.79,177.90,173.93,177.07
20161027,178.19,178.85,176.57,177.75
