Date,Open,High,Low,Close
20151127,38.93,39.35,38.76,39.13
20151130,39.24,40.15,39.08,39.85
20151201,39.50,40.42,39.40,40.40
20151202,39.88,40.52,38.90,38.95
20151203,39.24,39.38,37.61,38.01
20151204,37.51,38.04,36.91,37.90
20151207,36.99,37.10,35.89,36.57
20151208,35.71,37.37,35.58,36.27
20151209,36.60,38.31,36.48,38.30
20151210,38.01,38.78,37.68,38.15
20151211,37.74,37.89,36.89,36.96
20151214,36.83,37.45,36.03,36.55
20151215,37.08,39.67,35.50,37.10
20151216,36.84,37.06,35.65,35.86
20151217,35.85,35.97,34.09,34.18
20151218,34.00,34.11,33.29,33.44
20151221,33.61,34.08,33.14,33.40
20151222,33.44,34.35,33.34,34.02
20151223,34.81,35.46,34.72,35.45
20151224,35.43,35.54,34.93,35.15
20151228,34.53,34.76,34.07,34.30
20151229,34.93,35.17,34.20,34.50
20151230,33.94,34.63,33.86,34.13
20151231,33.95,34.47,33.89,34.04
20160104,33.86,34.60,33.56,34.48
20160105,34.61,34.73,33.75,34.40
20160106,33.49,34.19,33.06,33.42
20160107,32.79,33.74,32.66,32.91
20160108,33.03,33.19,32.28,32.46
20160111,32.42,32.50,30.83,31.55
20160112,31.95,32.10,30.61,31.47
20160113,31.92,32.09,30.39,30.46
20160114,30.67,32.05,29.64,31.84
20160115,30.51,31.29,30.35,30.85
20160119,30.89,30.99,29.37,29.79
20160120,29.04,29.12,27.64,28.48
20160121,28.23,29.63,28.13,29.29
20160122,30.47,30.65,29.18,30.19
20160125,30.13,30.66,29.23,29.28
20160126,29.54,29.60,28.52,28.94
20160127,28.94,29.82,28.63,29.06
20160128,30.32,30.59,29.42,30.45
20160129,30.57,31.81,30.50,31.79
20160201,31.29,31.83,31.01,31.62
20160202,30.73,31.02,30.34,30.52
20160203,30.75,32.06,29.79,31.96
20160204,32.39,33.49,32.18,32.43
20160205,31.99,32.29,30.94,31.35
20160208,30.74,31.08,30.27,30.83
20160209,30.35,30.89,28.92,29.59
20160210,29.48,30.16,29.25,29.59
20160211,28.70,29.34,27.96,28.80
20160212,29.19,29.65,28.72,29.11
20160216,29.65,30.01,29.27,29.94
20160217,30.24,31.46,30.07,31.40
20160218,31.74,31.85,30.94,31.46
20160219,31.28,31.46,30.84,31.37
20160222,31.37,32.96,31.37,32.88
20160223,32.44,32.59,32.02,32.09
20160224,31.35,32.48,31.35,32.46
20160225,32.43,32.66,31.57,32.50
20160226,33.14,33.31,32.44,32.81
20160229,32.39,32.79,32.06,32.28
20160301,32.57,33.06,32.35,33.02
20160302,32.78,33.69,32.24,33.66
20160303,33.51,34.34,33.37,34.17
20160304,34.43,35.71,34.02,34.88
20160307,34.69,36.09,34.63,35.84
20160308,35.32,35.51,34.34,34.48
20160309,35.07,35.20,34.17,34.69
20160310,34.60,34.83,33.93,34.51
20160311,35.11,36.31,34.98,36.12
20160314,35.54,35.86,35.26,35.50
20160315,35.03,35.17,34.49,34.99
20160316,35.38,35.56,34.48,35.47
20160317,35.78,36.74,35.54,36.38
20160318,36.68,36.74,35.81,36.30
20160321,35.97,36.53,35.72,36.38
20160322,36.01,36.44,35.81,35.97
20160323,35.38,35.78,34.82,35.03
20160324,34.31,35.31,34.28,35.22
20160328,35.32,35.40,34.71,35.09
20160329,34.49,35.19,33.95,35.02
20160330,35.55,36.45,35.50,36.02
20160331,35.84,36.38,35.54,35.72
20160401,35.07,35.26,34.68,35.09
20160404,34.85,35.30,33.83,34.00
20160405,33.65,34.72,33.26,34.40
20160406,34.71,36.89,34.45,36.44
20160407,35.97,36.75,35.93,36.25
20160408,37.22,38.19,37.11,37.33
20160411,37.50,38.08,37.20,37.22
20160412,37.32,37.99,36.73,37.66
20160413,37.87,38.49,37.60,38.31
20160414,38.39,38.87,38.03,38.38
20160415,38.13,38.44,37.62,38.27
20160418,37.25,39.31,37.25,38.99
20160419,39.09,40.28,38.85,40.04
20160420,39.59,40.91,39.53,40.34
20160421,40.28,41.57,40.22,40.33
20160422,40.14,41.37,39.98,40.84
