Date,Open,High,Low,Close
20151127,11.66,11.76,11.60,11.76
20151130,11.76,11.79,11.62,11.69
20151201,11.75,11.85,11.66,11.80
20151202,11.85,11.87,11.66,11.67
20151203,11.70,11.80,11.39,11.43
20151204,11.51,11.78,11.43,11.75
20151207,11.69,11.75,11.52,11.56
20151208,11.47,11.51,11.20,11.23
20151209,11.21,11.33,10.98,11.06
20151210,10.94,11.22,10.91,11.09
20151211,10.96,11.07,10.76,10.82
20151214,10.88,10.96,10.68,10.84
20151215,11.01,11.29,10.97,11.23
20151216,11.30,11.39,11.06,11.33
20151217,11.32,11.36,11.11,11.12
20151218,11.08,11.09,10.82,10.82
20151221,10.94,11.00,10.76,10.85
20151222,10.98,11.02,10.78,10.99
20151223,11.03,11.15,11.00,11.15
20151224,11.17,11.28,11.06,11.21
20151228,11.13,11.18,10.99,11.15
20151229,11.12,11.33,11.12,11.30
20151230,11.24,11.34,11.15,11.17
20151231,11.09,11.19,11.02,11.06
20160104,10.76,10.81,10.58,10.70
20160105,10.76,10.81,10.65,10.72
20160106,10.51,10.65,10.48,10.55
20160107,10.32,10.44,10.18,10.23
20160108,10.40,10.40,10.02,10.05
20160111,10.14,10.19,9.98,10.10
20160112,10.18,10.21,9.97,10.18
20160113,10.22,10.25,9.72,9.75
20160114,9.82,9.92,9.55,9.85
20160115,9.55,9.61,9.38,9.58
20160119,9.78,9.78,9.42,9.48
20160120,9.26,9.32,9.02,9.26
20160121,8.74,9.37,8.57,9.00
20160122,9.09,9.23,9.06,9.15
20160125,9.09,9.15,8.79,8.80
20160126,8.23,8.38,7.83,8.05
20160127,8.11,8.50,8.04,8.26
20160128,8.35,8.54,8.28,8.48
20160129,8.50,8.58,8.42,8.58
20160201,8.56,8.73,8.46,8.64
20160202,8.54,8.54,8.35,8.41
20160203,8.46,8.57,8.12,8.52
20160204,8.48,8.79,8.48,8.67
20160205,8.69,8.80,8.53,8.58
20160208,8.50,8.52,8.25,8.41
20160209,8.29,8.55,8.27,8.45
20160210,8.52,8.60,8.33,8.37
20160211,8.18,8.18,7.95,8.01
20160212,8.16,8.51,8.16,8.44
