Date,Open,High,Low,Close
20151127,49.48,50.03,49.13,49.73
20151130,49.99,50.07,48.03,48.08
20151201,48.30,50.33,48.02,50.25
20151202,49.77,50.44,48.27,48.50
20151203,48.85,49.25,47.50,47.70
20151204,47.72,48.72,47.38,47.90
20151207,47.27,48.14,45.35,46.08
20151208,45.38,46.10,45.11,45.72
20151209,45.80,46.31,45.06,45.49
20151210,45.40,46.06,45.06,45.51
20151211,44.67,45.20,43.32,43.54
20151214,43.23,43.29,41.57,41.83
20151215,42.08,42.85,40.84,41.07
20151216,40.75,42.37,40.71,42.17
20151217,42.40,43.11,42.01,42.26
20151218,42.13,42.63,41.69,42.03
20151221,42.15,42.67,41.86,42.38
20151222,42.38,42.71,41.01,41.20
20151223,41.86,41.99,40.69,41.96
20151224,41.76,42.00,41.29,41.69
20151228,41.43,41.61,40.42,40.61
20151229,41.18,41.18,40.08,40.56
20151230,40.39,40.76,39.66,39.81
20151231,39.54,40.08,39.00,39.89
20160104,39.66,40.35,39.19,40.24
20160105,40.24,41.29,40.15,41.11
20160106,40.33,40.82,38.61,38.82
20160107,37.98,38.95,37.76,38.75
20160108,38.88,39.02,37.50,37.54
20160111,37.67,38.33,37.15,38.07
20160112,38.68,39.00,36.98,38.46
20160113,38.43,38.60,35.16,35.25
20160114,35.50,36.63,33.98,36.29
20160115,34.74,35.33,33.90,33.98
20160119,34.38,35.18,33.44,33.86
20160120,32.97,33.78,32.42,33.37
20160121,33.23,34.17,32.54,33.04
20160122,34.12,36.76,34.05,36.15
20160125,35.85,36.03,33.71,33.84
20160126,34.20,34.59,33.30,34.52
20160127,34.64,34.64,32.53,32.89
20160128,33.96,34.35,33.07,33.54
20160129,33.56,35.05,33.39,34.97
20160201,34.75,36.04,34.30,35.74
20160202,34.67,34.82,33.10,33.36
20160203,33.53,33.62,31.04,31.83
20160204,32.02,32.98,31.49,32.36
20160205,32.00,32.08,30.57,31.01
20160208,30.28,31.12,29.55,30.82
20160209,30.41,31.67,30.00,31.04
20160210,31.17,31.62,30.16,30.41
20160211,29.80,30.32,29.00,29.94
