Date,Open,High,Low,Close
20151127,132.80,133.28,131.17,132.77
20151130,132.83,132.83,130.25,130.92
20151201,131.19,133.87,130.42,133.75
20151202,133.38,133.38,130.69,131.21
20151203,131.36,132.41,128.93,130.10
20151204,130.32,133.48,129.22,133.08
20151207,133.08,133.08,131.08,132.53
20151208,130.88,131.72,130.02,130.58
20151209,130.10,131.48,128.46,128.66
20151210,128.56,129.62,127.74,128.48
20151211,126.70,127.61,126.07,126.58
20151214,126.73,127.23,124.90,126.41
20151215,127.42,127.79,126.23,126.96
20151216,128.22,129.43,126.74,128.57
20151217,128.64,129.52,126.91,126.99
20151218,126.99,127.14,124.90,125.45
20151221,126.61,127.96,125.90,127.25
20151222,127.69,128.23,126.09,127.75
20151223,128.89,129.92,127.67,128.42
20151224,128.45,130.38,128.10,129.45
20151228,129.31,129.96,126.63,128.29
20151229,129.40,130.36,128.49,129.48
20151230,129.18,129.23,127.36,127.64
20151231,127.06,128.49,125.65,126.85
20160104,124.97,124.97,122.35,124.22
20160105,124.22,127.63,123.86,127.02
20160106,125.88,127.58,125.08,127.47
20160107,125.42,127.11,123.30,124.89
20160108,127.75,130.28,126.15,127.22
20160111,127.85,128.87,125.77,126.47
20160112,127.37,129.65,127.18,129.02
20160113,128.02,129.92,121.72,122.91
20160114,123.18,126.51,120.78,124.96
20160115,122.29,124.83,121.82,123.65
20160119,124.82,124.92,119.65,121.80
20160120,121.04,123.29,118.20,121.98
20160121,122.03,123.54,120.31,121.41
20160122,122.55,123.73,121.91,122.86
20160125,122.68,123.29,121.57,121.86
20160126,122.35,125.11,122.35,124.78
20160127,123.27,124.53,120.87,122.16
20160128,122.98,123.53,121.41,122.45
20160129,122.95,127.98,122.48,127.88
20160201,126.65,127.98,125.07,126.72
20160202,125.65,126.22,124.19,124.58
20160203,125.92,126.26,123.32,125.63
20160204,125.56,128.00,124.50,125.95
20160205,125.73,126.35,124.47,125.38
20160208,126.27,126.45,123.37,125.17
20160209,123.20,126.68,122.91,125.46
20160210,126.14,130.59,125.65,129.44
20160211,125.59,129.40,124.64,128.43
20160212,129.27,131.63,128.50,131.30
20160216,132.61,134.47,130.23,134.34
20160217,134.59,135.22,132.73,134.86
20160218,132.00,133.73,128.56,133.02
20160219,131.83,133.11,130.32,133.01
20160222,132.12,135.60,132.04,134.53
20160223,133.84,135.72,132.04,132.88
20160224,131.60,133.52,130.11,132.86
20160225,132.86,135.00,132.29,133.99
20160226,135.07,135.23,133.50,133.55
20160229,133.74,134.29,130.81,131.06
20160301,132.45,133.61,131.26,132.81
20160302,132.43,132.97,130.43,131.47
20160303,131.33,133.57,131.23,133.54
20160304,131.60,134.84,131.48,133.81
20160307,133.01,133.27,131.09,132.28
20160308,131.90,131.90,129.53,130.08
20160309,130.62,132.59,130.19,131.68
20160310,132.07,132.67,130.89,131.94
20160311,132.96,135.94,132.36,134.06
20160314,132.03,134.09,131.25,132.61
20160315,132.20,134.75,131.88,134.33
20160316,134.32,135.70,133.25,135.41
20160317,135.43,138.13,134.58,137.58
20160318,137.08,139.44,137.08,138.52
20160321,137.92,139.65,137.24,137.84
20160322,137.81,138.50,137.05,137.59
20160323,136.88,140.07,136.88,138.39
20160324,137.64,138.10,135.42,137.33
20160328,138.29,138.29,136.24,137.05
20160329,136.70,138.85,136.12,138.18
20160330,138.91,140.70,138.20,138.46
20160331,138.50,139.93,136.49,136.94
20160401,136.00,138.12,135.51,137.46
20160404,137.49,138.48,136.41,137.90
20160405,136.81,138.37,136.50,137.35
20160406,137.09,140.78,136.76,140.69
20160407,139.72,140.30,137.17,138.94
20160408,140.18,140.48,138.75,139.42
20160411,137.32,140.80,136.95,139.09
20160412,139.71,142.15,138.17,141.31
20160413,142.66,143.50,141.20,143.14
20160414,143.32,143.74,141.41,143.62
20160415,143.19,143.55,141.51,142.97
20160418,142.00,143.95,142.00,143.95
20160419,144.25,145.28,143.46,144.47
20160420,144.39,144.42,142.97,144.06
20160421,143.86,144.61,142.79,143.75
20160422,143.38,144.61,142.79,144.20
20160425,143.48,144.53,142.17,143.01
20160426,143.55,144.85,142.76,144.38
20160427,144.56,146.90,143.47,146.42
20160428,146.00,146.40,144.29,145.16
20160429,144.66,145.47,143.59,144.77
20160502,144.93,146.16,144.52,145.97
20160503,144.80,146.47,144.39,145.95
20160504,144.87,145.81,143.34,145.13
20160505,145.60,153.41,145.20,151.13
20160506,151.98,156.82,151.65,155.20
20160509,154.52,155.19,152.58,154.36
20160510,155.24,156.95,154.38,156.17
20160511,156.48,157.39,153.03,153.67
20160512,154.17,154.81,152.33,153.62
20160513,153.45,154.17,150.86,152.24
20160516,153.19,155.37,152.29,154.27
20160517,154.06,154.99,152.86,153.92
20160518,153.48,155.77,152.75,154.33
20160519,153.50,154.57,152.54,154.04
20160520,154.52,155.49,153.46,154.52
20160523,154.93,154.93,153.40,154.12
20160524,149.48,152.06,148.56,151.56
20160525,151.55,152.69,151.31,151.82
20160526,152.26,154.28,152.26,154.22
20160527,153.92,155.17,153.46,154.67
20160531,155.12,155.49,152.09,153.41
20160601,152.82,156.77,152.82,156.62
20160602,156.50,156.97,155.90,156.74
20160603,156.65,158.00,156.44,157.59
20160606,157.85,158.95,157.25,158.42
20160607,158.78,159.50,157.50,158.12
20160608,158.10,163.27,158.10,162.78
20160609,162.52,164.04,161.81,163.75
20160610,163.06,164.22,162.51,163.16
20160613,161.97,162.49,159.36,159.50
20160614,159.37,159.74,158.25,159.29
20160615,159.96,160.49,158.66,159.76
20160616,158.91,159.94,157.45,159.25
20160617,159.93,160.05,158.26,159.75
20160620,161.44,162.18,160.47,160.63
20160621,161.30,162.00,160.46,161.30
20160622,162.05,162.71,161.69,162.00
20160623,163.59,163.59,161.65,163.00
20160624,158.16,162.45,157.90,160.72
20160627,160.00,160.38,156.97,159.10
20160628,159.71,160.87,158.24,160.85
20160629,162.50,165.54,161.79,164.45
20160630,164.75,168.03,164.38,168.03
20160701,169.34,170.79,167.40,168.33
20160705,168.29,170.58,167.11,170.30
20160706,170.49,173.19,169.04,172.40
20160707,172.37,172.69,170.43,171.33
20160708,171.83,173.42,171.39,172.52
20160711,173.02,174.99,172.87,173.86
20160712,174.88,176.26,172.39,173.14
20160713,173.64,174.04,173.05,173.15
20160714,174.38,174.59,171.81,171.97
20160715,172.36,172.83,171.50,171.61
20160718,172.62,172.62,170.20,170.33
20160719,170.04,171.87,168.33,169.42
20160720,169.94,170.40,169.01,169.67
20160721,170.00,170.04,168.22,168.82
20160722,168.32,169.44,167.26,169.13
20160725,169.01,169.72,168.05,168.51
20160726,169.59,171.58,169.59,170.82
20160727,171.09,172.31,170.70,171.52
20160728,171.67,172.87,171.54,172.56
20160729,172.53,173.27,171.71,172.58
20160801,172.25,174.25,172.03,172.74
20160802,172.56,173.70,171.96,172.60
20160803,173.14,174.39,172.43,174.09
20160804,174.09,177.10,172.10,172.79
20160805,172.45,173.38,169.77,169.98
20160808,170.14,170.34,167.74,167.76
20160809,168.10,169.37,167.89,169.28
20160810,169.08,169.65,166.73,166.90
20160811,167.86,169.37,167.01,167.87
20160812,167.47,168.05,166.27,166.80
20160815,167.62,169.48,166.80,169.28
20160816,168.58,168.58,165.18,165.24
20160817,164.60,166.09,164.22,165.88
20160818,165.85,167.77,165.85,167.44
20160819,167.46,167.82,166.13,167.77
20160822,168.18,169.15,167.51,168.46
20160823,169.11,169.63,166.91,167.39
20160824,167.29,167.52,165.98,166.63
20160825,166.43,167.49,165.61,166.75
20160826,167.25,168.51,165.17,165.86
20160829,165.68,167.38,165.68,166.99
20160830,166.30,166.89,164.58,165.42
20160831,165.14,165.39,162.54,165.17
20160901,165.17,166.51,165.17,165.96
20160902,166.00,167.46,165.96,166.71
20160906,166.24,167.48,166.24,167.04
20160907,166.35,167.12,166.16,166.46
20160908,166.73,167.42,166.01,166.59
20160909,165.80,166.11,162.88,162.92
20160912,162.00,165.13,160.24,164.08
20160913,163.28,163.48,160.80,160.90
20160914,161.33,162.38,159.14,159.47
20160915,159.25,160.35,158.20,159.89
20160916,159.49,159.90,156.15,156.36
20160919,156.88,157.70,154.50,154.67
20160920,150.40,151.19,149.07,149.11
20160921,149.17,150.19,149.10,150.05
20160922,151.15,154.35,150.77,154.03
20160923,153.14,154.49,152.75,153.46
20160926,153.27,155.54,152.98,154.52
20160927,154.96,155.55,153.59,153.85
20160928,153.91,155.26,153.02,154.81
20160929,154.70,154.79,151.19,152.53
20160930,154.15,154.37,151.99,153.42
20161003,153.25,153.63,151.67,153.52
20161004,153.64,154.60,152.95,153.80
20161005,154.48,155.34,153.79,154.62
20161006,154.37,156.07,154.31,156.06
20161007,155.80,155.83,153.94,155.28
20161010,155.28,157.36,154.46,156.29
20161011,155.85,155.85,153.23,154.14
20161012,154.50,157.13,153.76,155.94
20161013,155.06,155.86,154.20,155.59
20161014,156.04,157.37,156.04,156.60
20161017,156.95,159.57,156.76,159.27
20161018,159.93,161.52,159.32,160.58
20161019,160.94,161.68,158.51,159.07
20161020,159.19,159.45,156.86,157.19
20161021,156.49,156.49,155.43,155.68
20161024,157.40,157.50,155.78,155.98
20161025,156.06,157.15,155.64,156.60
20161026,155.82,159.62,155.05,159.29
20161027,159.53,159.57,157.39,159.13
20161028,159.09,161.43,159.09,160.07
20161031,160.51,161.97,160.06,161.36
20161101,161.67,162.74,160.19,161.57
20161102,162.55,163.54,159.85,159.97
20161103,155.00,156.11,148.48,148.74
20161104,148.88,149.56,146.72,146.75
20161107,147.93,149.54,147.79,148.94
20161108,147.97,151.30,146.52,150.42
20161109,153.62,169.05,153.60,167.59
20161110,169.44,173.39,168.47,172.90
20161111,173.50,175.16,169.87,174.61
20161114,179.00,179.00,174.10,176.95
20161115,178.41,178.41,170.90,171.25
20161116,171.29,174.87,170.15,174.38
20161117,175.11,178.00,173.47,176.91
20161118,176.28,177.11,175.10,176.12
20161121,177.14,177.71,174.94,176.20
20161122,176.33,179.37,176.20,178.92
20161123,178.55,181.15,175.72,177.72
20161125,179.18,180.80,178.01,180.80
20161128,180.55,180.66,178.28,180.02
20161129,180.00,181.68,179.01,180.55
20161130,181.55,182.74,177.06,178.76
20161201,178.91,181.20,176.47,179.29
20161202,179.27,183.25,179.17,180.85
20161205,182.43,184.72,181.12,183.30
20161206,182.43,185.11,180.78,183.87
20161207,184.37,185.51,183.46,183.94
20161208,184.08,184.98,180.96,181.20
20161209,180.55,182.35,179.79,181.50
20161212,179.33,179.74,174.07,178.20
20161213,179.20,180.00,175.40,176.54
20161214,176.74,178.76,175.97,176.23
20161215,175.56,180.38,175.26,179.69
20161216,179.61,183.45,179.61,182.40
20161219,183.59,185.76,182.87,184.21
20161220,183.52,188.20,183.52,187.96
20161221,188.28,188.52,184.10,184.85
20161222,185.69,189.17,185.41,187.90
20161223,187.48,188.74,185.36,187.01
20161227,188.17,188.63,183.65,185.45
20161228,185.64,185.75,183.53,184.11
20161229,184.10,186.19,183.90,184.65
20161230,185.22,185.32,183.38,184.19
20170103,185.00,189.17,184.81,189.05
20170104,190.00,191.96,189.35,191.87
20170105,192.11,197.28,191.19,195.61
20170106,196.00,196.10,192.28,193.55
20170109,193.90,194.16,190.28,190.45
20170110,191.25,193.34,189.84,191.30
20170111,191.39,191.91,188.49,190.34
20170112,193.77,194.67,190.54,191.07
20170113,192.19,193.94,191.47,191.58
20170117,192.00,192.00,188.27,189.61
20170118,189.75,191.58,188.90,190.94
20170119,192.44,195.16,192.00,194.82
20170120,195.69,196.29,194.63,195.71
20170123,196.25,196.71,192.58,193.54
20170124,193.06,195.38,192.10,194.76
20170125,195.41,195.66,192.35,192.72
20170126,192.78,194.33,190.75,194.30
20170127,193.93,195.24,191.34,191.53
20170130,192.15,192.67,189.39,192.61
20170131,192.71,194.21,189.73,193.96
20170201,194.97,194.99,189.81,192.79
20170202,192.34,194.84,190.78,194.75
20170203,195.30,199.43,194.92,199.28
20170206,199.91,200.77,199.00,199.45
20170207,200.26,201.10,198.49,199.01
20170208,198.96,199.57,197.99,198.64
20170209,198.81,200.21,198.57,198.87
20170210,199.26,200.75,198.90,200.35
20170213,200.87,201.60,200.01,201.19
20170214,200.32,203.63,199.30,202.59
20170215,203.44,206.82,202.00,205.70
20170216,208.95,211.79,204.27,209.94
20170217,211.00,213.65,209.00,211.91
20170221,211.91,213.41,210.11,212.66
20170222,213.78,215.70,213.08,215.26
20170223,216.22,216.33,213.33,214.35
20170224,214.30,217.95,213.07,216.98
20170227,215.97,218.72,215.08,218.13
20170228,218.89,219.80,217.35,218.50
20170301,218.51,220.18,217.91,219.47
20170302,219.00,220.68,217.86,218.32
20170303,218.35,219.26,217.00,218.82
20170306,218.22,218.87,216.25,218.03
20170307,217.93,219.88,217.64,217.77
20170308,217.73,218.45,214.97,215.38
20170309,215.23,215.66,212.08,213.70
20170310,213.57,213.90,209.81,211.70
20170313,211.69,213.36,211.13,213.25
20170314,212.34,212.48,208.21,211.49
20170315,212.50,212.74,209.66,211.63
20170316,212.28,212.75,209.31,210.16
20170317,210.74,215.51,210.74,213.72
20170320,213.72,214.76,210.74,211.31
20170321,211.50,211.87,206.00,207.12
20170322,207.11,209.74,206.77,208.86
20170323,208.86,209.09,207.43,207.94
20170324,207.52,208.60,204.22,204.93
20170327,202.75,202.99,200.31,202.08
20170328,201.33,203.94,200.93,202.46
20170329,202.46,202.86,200.56,202.13
20170330,201.79,203.33,201.40,202.39
20170331,202.45,203.12,200.23,200.24
20170403,200.08,202.45,200.00,201.84
20170404,201.97,203.38,201.56,202.06
20170405,202.43,203.45,198.18,198.67
20170406,198.58,201.25,197.50,200.44
20170407,202.00,206.13,201.02,203.80
20170410,204.41,205.13,203.20,203.89
20170411,204.09,205.76,202.25,205.62
20170412,207.76,207.76,203.20,203.65
20170413,202.89,205.36,202.71,202.97
20170417,203.41,203.84,200.50,200.79
20170418,200.68,201.14,198.02,199.29
20170419,199.82,200.68,198.43,200.05
20170420,200.43,201.73,198.72,200.05
20170421,200.20,201.20,199.48,199.63
20170424,201.74,204.05,200.64,203.72
20170425,203.50,205.59,203.08,205.00
20170426,205.03,205.22,201.02,203.08
20170427,203.18,204.13,201.13,202.19
20170428,202.59,202.89,199.81,200.89
20170501,200.85,201.86,198.00,199.54
20170502,199.35,201.07,199.35,200.66
20170503,200.58,201.34,199.00,201.05
20170504,197.37,197.37,183.61,188.21
20170505,189.94,197.73,188.83,195.50
20170508,195.43,196.18,193.23,195.31
20170509,195.21,196.69,194.59,195.99
20170510,195.38,198.00,195.30,196.47
20170511,196.71,196.90,194.53,195.58
20170512,195.13,195.48,193.40,194.09
20170515,193.47,197.83,193.06,197.30
20170516,197.16,197.88,196.01,196.27
20170517,196.27,196.27,190.98,191.15
20170518,190.14,191.93,189.01,190.34
20170519,191.30,197.00,190.75,195.49
20170522,198.32,199.49,195.71,195.93
20170523,196.15,196.62,193.88,196.03
20170524,196.04,197.25,194.98,195.25
20170525,195.50,197.92,195.46,197.44
20170526,196.77,198.44,196.01,196.32
20170530,196.83,197.74,193.62,194.08
20170531,194.24,196.31,192.71,195.81
20170601,196.84,196.84,192.89,194.29
20170602,194.09,195.67,193.41,193.79
20170605,192.69,193.70,190.76,191.18
20170606,190.19,190.96,188.77,188.83
20170607,189.00,189.96,187.90,189.88
20170608,189.67,192.73,189.20,192.51
20170609,192.56,194.60,191.90,193.47
20170612,193.20,195.07,192.22,194.77
20170613,195.10,198.34,194.98,196.67
20170614,196.92,198.43,196.40,196.77
20170615,195.19,196.46,194.76,195.56
20170616,193.79,194.37,185.35,185.98
20170619,189.22,189.22,184.49,187.16
20170620,186.03,187.54,184.83,186.27
20170621,186.52,187.60,185.51,186.58
20170622,186.55,186.60,184.73,185.54
20170623,185.46,188.75,185.10,186.84
20170626,186.92,188.49,185.94,186.29
20170627,185.76,189.05,185.76,186.97
20170628,187.81,188.94,187.23,187.36
20170629,187.50,187.76,183.42,185.22
20170630,186.13,186.92,184.64,186.16
20170703,186.36,192.72,185.92,191.54
20170705,192.20,193.96,191.21,192.97
20170706,192.37,193.35,190.96,191.38
20170707,192.43,193.50,191.73,192.90
20170710,192.72,194.55,190.90,193.28
20170711,193.86,195.62,192.54,194.88
20170712,195.50,200.44,195.41,199.40
20170713,200.00,200.30,198.25,198.39
20170714,198.66,199.51,197.86,198.15
20170717,198.24,199.08,196.14,198.28
20170718,198.08,198.31,195.28,197.38
20170719,198.11,199.71,197.05,198.49
20170720,199.30,201.85,198.62,199.19
20170721,198.83,202.14,198.49,201.35
20170724,201.40,203.16,201.32,201.66
20170725,202.08,203.82,201.10,203.62
20170726,204.65,204.70,202.51,203.49
20170727,203.91,204.47,201.99,202.84
20170728,203.02,205.89,202.42,205.65
20170731,206.02,207.10,205.77,206.11
20170801,207.23,207.44,205.18,206.59
20170802,206.26,209.24,204.54,208.21
20170803,209.00,214.76,208.38,213.93
20170804,213.97,215.37,213.04,213.95
20170807,214.02,214.59,212.38,213.54
20170808,213.75,214.97,213.15,214.00
20170809,213.82,216.00,213.09,214.76
20170810,214.62,218.49,213.04,213.08
20170811,214.83,215.27,213.02,213.16
20170814,214.82,216.09,213.80,215.01
20170815,215.14,216.30,214.07,214.33
20170816,214.41,215.30,210.61,210.82
20170817,210.38,212.31,208.24,208.44
20170818,208.38,208.70,204.97,205.22
20170821,204.96,205.86,203.26,203.92
20170822,205.33,208.26,203.96,207.73
20170823,206.70,207.28,205.94,206.84
20170824,207.38,209.60,206.53,209.37
20170825,210.03,212.45,208.25,208.94
20170828,209.68,209.93,205.99,206.12
20170829,205.76,209.12,205.14,208.80
20170830,209.30,210.67,208.53,210.55
20170831,211.22,214.42,210.35,213.96
20170901,214.39,215.86,214.37,215.03
20170905,215.47,215.86,212.24,213.34
20170906,213.93,214.09,211.22,211.60
20170907,211.27,211.29,207.54,209.93
20170908,209.22,211.42,208.14,210.43
20170911,210.89,211.99,210.00,211.78
20170912,212.21,213.59,211.87,213.56
20170913,213.16,213.56,210.30,210.43
20170914,210.98,211.12,208.94,210.15
20170915,210.22,212.53,210.22,212.41
20170918,213.56,217.53,213.01,215.57
20170919,215.70,218.31,214.84,217.07
20170920,217.12,218.88,217.00,218.12
20170921,218.75,219.37,216.18,219.18
20170922,219.41,221.52,219.28,220.37
20170925,220.16,221.00,218.15,220.48
20170926,220.00,222.86,219.63,222.21
20170927,223.05,224.13,221.68,223.46
20170928,223.35,224.18,221.47,223.06
20170929,223.45,227.03,221.91,226.44
20171002,227.49,230.12,226.65,229.93
20171003,231.41,232.49,230.00,232.00
20171004,231.21,234.23,231.17,234.14
20171005,233.29,235.02,231.94,234.16
20171006,234.16,235.95,233.21,235.83
20171009,236.16,236.94,235.11,235.94
20171010,236.84,236.84,234.15,234.88
20171011,234.45,235.70,233.15,233.93
20171012,234.17,236.65,233.40,235.44
20171013,235.59,236.34,233.85,234.40
20171016,234.23,236.10,233.91,235.93
20171017,236.07,236.90,234.77,235.23
